cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
1	1	146	495	405	2842.2425738870184	-1072.3175838254404	0.29494949494949496	cr-motor	cr-motor
2	1	30	166	405	1741.512717536814	-200.40244730269234	0.18072289156626506	cr-parietal	cr-motor
3	1	134	1410	405	915.7969004465458	-814.7559954218308	0.0950354609929078	cr-PFC	cr-motor
4	1	32	179	405	1722.7030829712394	-213.32794406951456	0.1787709497206704	cr-somatosensory	cr-motor
5	1	2	900	405	21.414156378600822	-5.500127694051492	0.0022222222222222222	cr-temporal	cr-motor
6	1	20	1035	405	186.21005546609413	-87.71538711198352	0.01932367149758454	cr-V1	cr-motor
7	1	10	93134	405	1.0346780306193626	-0.6920689450197215	1.0737217342753451e-4	dividing-motor	cr-motor
10	1	7	89922	405	0.7501455994372077	-0.1924542779213205	7.784524365561264e-5	dividing-somatosensory	cr-motor
11	1	1	67397	405	0.14297921821995593	-8.630350238797575e-4	1.4837455673101176e-5	dividing-temporal	cr-motor
12	1	5	91245	405	0.5280492284711694	-0.04020283337244471	5.479752315195353e-5	dividing-V1	cr-motor
19	1	5	331906	405	0.1451671613404152	-2.138723659969552e-11	1.5064506215615265e-5	neuron-motor	cr-motor
21	1	2	670728	405	0.02873406319810824	-5.748995144927016e-32	2.9818346632315932e-6	neuron-PFC	cr-motor
22	1	4	163968	405	0.23507929279787204	-3.110841099835078e-5	2.4395003903200624e-5	neuron-somatosensory	cr-motor
27	1	4	21248	405	1.8140757474341813	-1.7082046512469855	1.8825301204819278e-4	opc-PFC	cr-motor
30	1	2	9858	405	1.955035579300136	-1.2993380799679524	2.028809089064719e-4	opc-V1	cr-motor
35	1	1	77453	405	0.1244157149544933	-2.979238169370407e-4	1.2911055737027617e-5	rg-temporal	cr-motor
1	2	17	495	78	1718.3737373737372	-114.14203947861344	0.03434343434343434	cr-motor	cr-parietal
2	2	28	166	78	8439.638554216866	-235.68747325599224	0.1686746987951807	cr-parietal	cr-parietal
3	2	10	1410	78	354.8581560283688	-51.45177614857171	0.0070921985815602835	cr-PFC	cr-parietal
4	2	6	179	78	1677.1508379888269	-40.662199640736894	0.0335195530726257	cr-somatosensory	cr-parietal
5	2	10	900	78	555.9444444444445	-55.9513890996433	0.011111111111111112	cr-temporal	cr-parietal
6	2	6	1035	78	290.05797101449275	-30.076957544517462	0.005797101449275362	cr-V1	cr-parietal
20	2	1	392500	78	0.12747770700636943	-2.5671401837551114e-4	2.5477707006369425e-6	neuron-parietal	cr-parietal
1	3	154	495	1302	932.5519713261649	-938.7330632442511	0.3111111111111111	cr-motor	cr-PFC
2	3	28	166	1302	505.6004663816557	-151.65914828311824	0.1686746987951807	cr-parietal	cr-PFC
3	3	749	1410	1302	1592.2828872111645	-5300.462529507538	0.5312056737588653	cr-PFC	cr-PFC
4	3	36	179	1302	602.8468449913755	-201.4846551949926	0.2011173184357542	cr-somatosensory	cr-PFC
5	3	16	900	1302	53.28868407578085	-50.42272913295187	0.017777777777777778	cr-temporal	cr-PFC
6	3	246	1035	1302	712.4465371001136	-1430.270424454099	0.23768115942028986	cr-V1	cr-PFC
7	3	15	93134	1302	0.48277027926364263	-4.4600352779864587e-4	1.6105826014130179e-4	dividing-motor	cr-PFC
10	3	14	89922	1302	0.46668044204618914	-3.618283552841853e-4	1.5569048731122528e-4	dividing-somatosensory	cr-PFC
12	3	7	91245	1302	0.2299569220761544	-6.46961004224875e-8	7.671653241273494e-5	dividing-V1	cr-PFC
19	3	8	331906	1302	0.07224909412334028	-4.2790680494172875e-40	2.4103209944984425e-5	neuron-motor	cr-PFC
21	3	14	670728	1302	0.06256610535071955	-1.4654115330498567e-85	2.0872842642621152e-5	neuron-PFC	cr-PFC
22	3	7	163968	1302	0.12796655051497066	-2.8281050363906697e-17	4.269125683060109e-5	neuron-somatosensory	cr-PFC
27	3	6	21248	1302	0.84642935220143245	-0.34077755111246033	2.8237951807228914e-4	opc-PFC	cr-PFC
29	3	1	6676	1302	0.44899467933832726	-0.1138236610927733	1.4979029358897544e-4	opc-temporal	cr-PFC
30	3	1	9858	1302	0.3040665935547447	-0.037831723506223214	1.0144045445323595e-4	opc-V1	cr-PFC
1	4	26	495	168	1220.1897546897546	-164.0520643842551	0.052525252525252523	cr-motor	cr-somatosensory
2	4	9	166	168	1259.4868760757315	-57.71735093163187	0.05421686746987952	cr-parietal	cr-somatosensory
3	4	49	1410	168	807.302304964539	-290.5336760557579	0.03475177304964539	cr-PFC	cr-somatosensory
4	4	63	179	168	8176.110335195531	-533.4376027962635	0.35195530726256985	cr-somatosensory	cr-somatosensory
5	4	1	900	168	25.81170634920635	-3.2700025585242365	0.0011111111111111111	cr-temporal	cr-somatosensory
6	4	6	1035	168	134.66977225672878	-25.3870413775306	0.005797101449275362	cr-V1	cr-somatosensory
7	4	7	93134	168	1.7460191766701743	-2.2155350006510686	7.516052139927416e-5	dividing-motor	cr-somatosensory
19	4	3	331906	168	0.20997392979595772	-4.512084763742441e-5	9.038703729369158e-6	neuron-motor	cr-somatosensory
21	4	4	670728	168	0.1385392332765933	-1.3200574372118302e-10	5.9636693264631865e-6	neuron-PFC	cr-somatosensory
1	5	19	495	693	216.16415234597054	-86.21714093621878	0.03838383838383838	cr-motor	cr-temporal
2	5	12	166	693	407.10686903457986	-62.804904318503105	0.07228915662650602	cr-parietal	cr-temporal
3	5	17	1410	693	67.89926621841515	-57.56935440217303	0.012056737588652482	cr-PFC	cr-temporal
4	5	1	179	693	31.461704031536435	-3.464511470709756	0.00558659217877095	cr-somatosensory	cr-temporal
5	5	300	900	693	1877.215007215007	-2098.4003378220964	0.3333333333333333	cr-temporal	cr-temporal
6	5	29	1035	693	157.79488466444988	-121.53839325954712	0.028019323671497585	cr-V1	cr-temporal
11	5	68	67397	693	5.682031269520327	-67.30441599707977	0.00100894698577088	dividing-temporal	cr-temporal
25	5	3	19578	693	0.8629551059829944	-0.39231887514065894	1.5323322096230462e-4	opc-motor	cr-temporal
28	5	4	21256	693	1.059775126391611	-0.6506438064792772	1.881821603312006e-4	opc-somatosensory	cr-temporal
29	5	20	6676	693	16.871315223621995	-40.331194257760856	0.0029958058717795086	opc-temporal	cr-temporal
31	5	3	71249	693	0.23712522372152683	-2.756248568168019e-4	4.2105854117250766e-5	rg-motor	cr-temporal
33	5	6	79867	693	0.42307674170646364	-0.004594291398778753	7.51248951381672e-5	rg-PFC	cr-temporal
34	5	2	89514	693	0.12582713366948234	-1.791672087752079e-6	2.2342873740420493e-5	rg-somatosensory	cr-temporal
