gene	pct.1	pct.2	enrich.ratio	avg_logFC	gene.score	p_val_adj
RPL13A	0.993	0.962	1.03222	1.00097	1.03323	0
RPL17	0.445	0.269	1.65428	0.62365	1.0317	0
RPS17	0.948	0.819	1.15751	0.88926	1.02933	0
RP11-386G11.10	0.129	0.046	2.80435	0.35225	0.98783	0
MLLT11	0.955	0.882	1.08277	0.72248	0.78228	0
RPL27A	0.978	0.944	1.03602	0.71829	0.74416	0
RPL7	0.998	0.991	1.00706	0.72506	0.73018	0
RPL31	0.955	0.907	1.05292	0.68448	0.72071	0
RP11-436D23.1	0.389	0.277	1.40433	0.46504	0.65307	0
ATP6V1G2	0.323	0.237	1.36287	0.46214	0.62983	0
RPL4	0.971	0.939	1.03408	0.58751	0.60753	0
SLC25A6	0.925	0.87	1.06322	0.56956	0.60556	0
TMSB4X	1	1	1	0.5881	0.5881	0
C6orf48	0.402	0.281	1.4306	0.40746	0.58292	0
HNRNPC	0.737	0.646	1.14087	0.50358	0.57452	0
HMP19	0.382	0.314	1.21656	0.46726	0.56845	0
HNRNPA1	0.996	0.988	1.0081	0.55604	0.56054	0
RPS6	0.997	0.987	1.01013	0.54625	0.55178	0
HSPA1A	0.484	0.407	1.18919	0.45163	0.53708	0
CDK2AP1	0.171	0.098	1.7449	0.30765	0.53682	0
CALM2	0.941	0.93	1.01183	0.52608	0.5323	0
RPS20	0.93	0.904	1.02876	0.50645	0.52101	0
FOS	0.737	0.595	1.23866	0.39208	0.48565	0
ID2	0.405	0.35	1.15714	0.40628	0.47012	0
PSMB7	0.609	0.57	1.06842	0.43179	0.46134	0
EIF4A2	0.845	0.828	1.02053	0.45173	0.461	0
TUBB	0.998	0.997	1.001	0.45128	0.45174	0
EIF3L	0.732	0.715	1.02378	0.42763	0.4378	0
DNAJB1	0.275	0.254	1.08268	0.4031	0.43642	0.0217
RPL21	0.994	0.997	0.99699	0.43505	0.43374	0
ERGIC3	0.352	0.316	1.11392	0.38892	0.43323	0
RPLP0	0.946	0.943	1.00318	0.42461	0.42596	0
RAB3A	0.271	0.228	1.1886	0.34262	0.40724	0
ATP5A1	0.623	0.604	1.03146	0.39473	0.40714	0
OAZ2	0.329	0.297	1.10774	0.3586	0.39724	0
RPL3	0.996	0.997	0.999	0.39743	0.39703	0
FBL	0.348	0.32	1.0875	0.36022	0.39174	0
EEF2	0.842	0.866	0.97229	0.40148	0.39035	0
MEF2C	0.101	0.067	1.50746	0.2569	0.38726	2e-5
EIF3E	0.722	0.701	1.02996	0.372	0.38314	0
MIR99AHG	0.479	0.461	1.03905	0.36341	0.3776	0
MTG1	0.124	0.081	1.53086	0.24464	0.37452	0
CFL1	0.948	0.956	0.99163	0.37586	0.37271	0
ZFAND6	0.284	0.261	1.08812	0.34173	0.37184	4.8e-4
TMEM14A	0.227	0.19	1.19474	0.30797	0.36794	3e-5
ARL6IP1	0.377	0.348	1.08333	0.33436	0.36222	0
STMN1	0.998	0.999	0.999	0.36194	0.36158	0
TUBA1B	0.772	0.784	0.98469	0.3543	0.34888	0
RPS14	0.991	0.996	0.99498	0.34903	0.34728	0
HSBP1	0.654	0.684	0.95614	0.36255	0.34665	0
ACTB	0.994	0.997	0.99699	0.34735	0.3463	0
RPL23A	0.931	0.954	0.97589	0.35165	0.34317	0
RAB7A	0.259	0.218	1.18807	0.2875	0.34157	0
HDAC2	0.634	0.615	1.03089	0.33101	0.34123	0
CHMP1B	0.288	0.266	1.08271	0.31495	0.341	0.00211
HNRNPA1L2	0.163	0.123	1.3252	0.25651	0.33993	4e-5
ATAT1	0.366	0.331	1.10574	0.30566	0.33798	0
SYT1	0.606	0.683	0.88726	0.3783	0.33565	0.01528
MIF	0.397	0.401	0.99002	0.33878	0.3354	0.0055
ATP5B	0.633	0.656	0.96494	0.34186	0.32988	0
RGS2	0.117	0.078	1.5	0.21753	0.32629	0
RAB1A	0.319	0.296	1.0777	0.30094	0.32432	7.8e-4
RTN3	0.659	0.678	0.97198	0.33332	0.32398	0
NNAT	0.89	0.9	0.98889	0.32298	0.31939	0
RTN1	0.932	0.953	0.97796	0.32169	0.3146	0
UBB	0.873	0.922	0.94685	0.33158	0.31396	0
OAZ1	0.656	0.703	0.93314	0.33637	0.31388	0
RNF5	0.355	0.341	1.04106	0.30011	0.31243	0.00467
ESD	0.436	0.441	0.98866	0.31188	0.30834	1.9e-4
FABP7	0.936	0.95	0.98526	0.31041	0.30584	0
HMGN2	0.702	0.704	0.99716	0.30620000000000003	0.30533	0
RPL26	0.99	0.996	0.99398	0.30334	0.30151	0
SDHC	0.231	0.188	1.22872	0.24506	0.30111	1e-5
PPP1R11	0.19	0.156	1.21795	0.24476	0.2981	0.0021
PSMA4	0.429	0.438	0.97945	0.30144	0.29525	0.00887
RPS10	0.69	0.71	0.97183	0.30158	0.29309	0
CSRP2	0.65	0.66	0.98485	0.29722	0.29271	0
RBM4	0.34	0.328	1.03659	0.27449	0.28453	0.02084
GDI1	0.427	0.437	0.97712	0.29111	0.28445	0.01128
BRK1	0.578	0.597	0.96817	0.28615	0.27705	0
TMEM161B-AS1	0.516	0.536	0.96269	0.28432	0.27371	5e-5
ZBTB20	0.451	0.457	0.98687	0.27731	0.27367	0.03043
MORF4L2	0.438	0.451	0.97118	0.27635	0.26838	0.0167
GAPDH	0.95	0.963	0.9865	0.25998	0.25647	0
MYL6	0.856	0.893	0.95857	0.25999	0.24922	0
EIF3H	0.686	0.716	0.9581	0.25906	0.2482	0
HNRNPA0	0.765	0.829	0.9228	0.26895	0.24819	0
DCX	0.787	0.822	0.95742	0.25875	0.24773	0
RPL15	0.995	0.998	0.99699	0.24398	0.24325	0
AC004878.2	0.102	0.072	1.41667	0.17048	0.24151	0.00378
AP2M1	0.527	0.556	0.94784	0.24988	0.23684	5e-4
EIF4G2	0.746	0.801	0.93134	0.25098	0.23375	0
NAP1L1	0.767	0.795	0.96478	0.24028	0.23182	0
MALAT1	1	1	1	0.22512	0.22512	0
H3F3B	0.997	1	0.997	0.22435	0.22368	0
LAPTM4A	0.551	0.602	0.91528	0.24186	0.22137	0.04783
FUS	0.679	0.737	0.9213	0.23867	0.21989	0
RPL35	0.896	0.948	0.94515	0.22899	0.21643	0
MORF4L1	0.71	0.79	0.89873	0.22816	0.20506	0
NREP	0.734	0.813	0.90283	0.22177	0.20022	5e-5
CIRBP	0.944	0.974	0.9692	0.20586	0.19952	0
RPL10A	0.959	0.977	0.98158	0.20083	0.19713	0
MAP1B	0.959	0.978	0.98057	0.19937	0.1955	0
ROBO2	0.745	0.828	0.89976	0.21688	0.19514	0
RPS19	0.991	0.998	0.99299	0.18593	0.18462	1e-5
PRDX1	0.845	0.906	0.93267	0.19467	0.18157	0
GNB2L1	0.986	0.995	0.99095	0.17479	0.17321	0
RPS4X	1	0.999	1.001	0.15831	0.15847	0
HSPA8	0.786	0.859	0.91501999999999994	0.16908	0.15471	1.7e-4
SUMO2	0.931	0.972	0.95782	0.16059	0.15381	0
FTL	0.97	0.989	0.98079	0.15484	0.15186	0
EEF1A1	1	1	1	0.14559	0.14559	0
SRP14	0.943	0.973	0.96917	0.14868	0.14409	0
RPL18A	0.987	0.997	0.98997	0.14389	0.14245	0.00127
SKP1	0.801	0.875	0.91543	0.15288	0.13995	0.00145
MAP2	0.801	0.867	0.92388	0.15053	0.13908	0.0019
DDAH2	0.953	0.976	0.97643	0.14221	0.13886	0
RPS9	0.971	0.995	0.97588	0.14064	0.13725	0.00901
SYNE2	0.805	0.876	0.91895	0.1467	0.13481	0.00199
CHCHD2	0.846	0.912	0.92763	0.14301	0.13266	2e-5
RPS5	0.965	0.99	0.97475	0.13276	0.1294	5.5e-4
BTF3	0.933	0.973	0.95889	0.13113	0.12574	1e-4
RPSA	0.959	0.982	0.97658	0.12818	0.12518	0
RPL6	0.998	0.999	0.999	0.12498	0.12486	0
TUBA1A	1	1	1	0.11964	0.11964	0
ACTG1	0.993	0.999	0.99399	0.11336	0.11268	5.2e-4
TMSB10	0.997	0.998	0.999	0.11095	0.11084	0.0024
RPL10	1	1	1	0.1	0.1	3e-5
NARF	0.28	0.378	0.74074	0.1267	0.09385	0.03737
RPS3A	0.999	1	0.999	0.08229	0.08221	7.6e-4
BUB3	0.24	0.325	0.73846	0.10922	0.08065	0.02188
FAM96B	0.419	0.565	0.74159	0.09953	0.07381	0.02287
ATP6V0A1	0.242	0.325	0.74462	0.0982	0.07312	0.04516
ANAPC11	0.338	0.462	0.7316	0.09915	0.07254	0.00149
SYP	0.3	0.407	0.7371	0.09463	0.06975	0.01016
GLG1	0.226	0.305	0.74098	0.09264	0.06864	0.02358
DHPS	0.382	0.515	0.74175	0.09142	0.06781	0.02227
PSMC1	0.272	0.371	0.73315	0.08997	0.06596	0.01227
ZNF644	0.313	0.415	0.75422	0.08595	0.06483	0.04003
MED30	0.215	0.296	0.72635	0.08783	0.06379	0.00163
ATP5G1	0.285	0.383	0.74413	0.08517	0.06337	0.02362
POLR2F	0.33	0.444	0.74324	0.08511	0.06326	0.01467
POLR2L	0.167	0.234	0.71368	0.08697	0.06207	0.00527
SLC38A1	0.223	0.311	0.71704	0.08441	0.06052	3.3e-4
GTF3C6	0.286	0.389	0.73522	0.0823	0.06051	0.00347
TCEB1	0.346	0.466	0.74249	0.07987	0.0593	0.0103
MRPS7	0.167	0.239	0.69874	0.08446	0.05902	5.2e-4
PPHLN1	0.217	0.291	0.7457	0.07848	0.05852	0.03642
NEMF	0.302	0.411	0.73479	0.07933	0.05829	0.00246
ZHX1	0.208	0.28	0.74286	0.07828	0.05815	0.03691
ZC3H11A	0.207	0.283	0.73145	0.0792	0.05793	0.0109
RAE1	0.128	0.183	0.69945	0.08196	0.05733	0.01254
SUPT16H	0.334	0.484	0.69008	0.0823	0.05679	0
ARPP19	0.336	0.457	0.73523	0.07677	0.05644	0.00153
HNRNPUL1	0.203	0.297	0.6835	0.08244	0.05635	0
DUSP1	0.326	0.448	0.72768	0.07701	0.05604	1e-5
TXNRD1	0.165	0.226	0.73009	0.07657	0.0559	0.04008
SUMO3	0.156	0.215	0.72558	0.07691	0.05581	0.02611
DYNLRB1	0.408	0.557	0.7325	0.07546	0.05528	0.00174
SF3B5	0.339	0.456	0.74342	0.07398	0.055	0.00414
CHMP2A	0.289	0.4	0.7225	0.07574	0.05472	6e-5
PRPF31	0.185	0.26	0.71154	0.07649	0.05442	4.7e-4
ACIN1	0.296	0.396	0.74747	0.07276	0.05439	0.0031
BCAS2	0.305	0.439	0.69476	0.07825	0.05437	0
UBE2D1	0.22	0.314	0.70064	0.07752	0.05431	1e-5
TIMM8B	0.315	0.421	0.74822	0.07216	0.05399	0.0234
UFC1	0.291	0.389	0.74807	0.07174	0.05367	0.00663
PHPT1	0.354	0.487	0.7269	0.07359	0.05349	3.3e-4
ZKSCAN1	0.412	0.544	0.75735	0.06981	0.05287	0.0083
CACYBP	0.284	0.388	0.73196	0.07177	0.05254	0.00116
GGA1	0.163	0.227	0.71806	0.07314	0.05252	0.00879
AC090498.1	0.236	0.317	0.74448	0.07019	0.05226	0.04083
SSR4	0.383	0.504	0.75992	0.06872	0.05222	0.0439
SMG1	0.153	0.218	0.70183	0.07373	0.05175	0.00298
MRPS35	0.18	0.249	0.72289	0.07142	0.05163	0.01036
NEDD8	0.358	0.497	0.72032	0.07153	0.05153	0
FRMD4A	0.293	0.398	0.73618	0.06959	0.05123	0.00541
AP2S1	0.282	0.396	0.71212	0.0718	0.05113	4e-5
C9orf16	0.28	0.394	0.71066	0.07183	0.05105	0
SMC5	0.172	0.244	0.70492	0.07233	0.05099	6.6e-4
ENDOV	0.138	0.194	0.71134	0.07132	0.05073	0.02408
CD63	0.332	0.452	0.73451	0.06878	0.05052	3.9e-4
