gene	pct.1	pct.2	enrich.ratio	avg_diff	gene.score	p_val_adj
RPL13A	0.993	0.962	1.03222	117.80797	121.60428	0
TMSB4X	1	1	1	60.31246	60.31246	3.559198255288992e-294
RPS17	0.948	0.819	1.15751	40.83176	47.26313	0
RPL7	0.998	0.991	1.00706	44.92914	45.2465	0
RPL27A	0.978	0.944	1.03602	29.20671	30.25865	0
RPL31	0.955	0.907	1.05292	17.04855	17.95079	1.9607797689641796e-247
MLLT11	0.955	0.882	1.08277	13.58416	14.70847	4.255178738223357e-284
RPS6	0.997	0.987	1.01013	6.29516	6.35894	1.1478783120824677e-241
SLC25A6	0.925	0.87	1.06322	4.81616	5.12063	1.343482780706206e-175
HNRNPA1	0.996	0.988	1.0081	3.97744	4.00964	6.24653699874903e-238
RPL4	0.971	0.939	1.03408	3.60146	3.72419	1.4442316512795556e-222
HNRNPC	0.737	0.646	1.14087	1.18907	1.35657	1.1444078107843248e-87
PSMB7	0.609	0.57	1.06842	0.24649	0.26335	6.097783833704184e-41
RPS20	0.93	0.904	1.02876	-0.2691	-0.27684	3.4452686135251157e-149
ATP5A1	0.623	0.604	1.03146	-2.28715	-2.3591	9.596227818720054e-34
EIF3L	0.732	0.715	1.02378	-2.41223	-2.46958	2.451302872538537e-49
EIF3E	0.722	0.701	1.02996	-2.53332	-2.60921	1.0623323924945716e-43
EIF4A2	0.845	0.828	1.02053	-3.34702	-3.41574	1.4432035033402593e-86
TMEM161B-AS1	0.516	0.536	0.96269	-3.8966	-3.75121	4.8523165046115266e-5
HSBP1	0.654	0.684	0.95614	-3.98696	-3.8121	2.6967661147723374e-19
ATP5B	0.633	0.656	0.96494	-4.16519	-4.01916	1.0978715218976548e-18
GLTSCR2	0.332	0.503	0.66004	-6.30246	-4.15988	2.6760435983382596e-16
RTN3	0.659	0.678	0.97198	-4.37882	-4.25611	9.782047887320727e-20
HDAC2	0.634	0.615	1.03089	-4.12886	-4.25642	6.0352886038313875e-25
BRK1	0.578	0.597	0.96817	-4.40584	-4.26562	6.559259141060492e-10
CALM2	0.941	0.93	1.01183	-4.51361	-4.567	4.761994034548163e-127
MTRNR2L12	0.12	0.518	0.23166	-20.23862	-4.68848	3.886969080770577e-232
AP2M1	0.527	0.556	0.94784	-4.97116	-4.71187	5.028402679902981e-4
PSMD8	0.363	0.509	0.71316	-7.17282	-5.11539	8.109035394075227e-7
RANBP1	0.363	0.528	0.6875	-7.81402	-5.37214	1.8533663759037576e-12
SMARCE1	0.376	0.509	0.7387	-7.41642	-5.47853	6.913062661348211e-4
RABAC1	0.363	0.508	0.71457	-7.68734	-5.49312	2.250701824594672e-8
EEF2	0.842	0.866	0.97229	-5.68243	-5.52495	2.517478950139392e-51
MXI1	0.202	0.514	0.393	-14.23245	-5.5933	6.776598549401306e-122
ATP6V1F	0.373	0.529	0.7051	-8.08512	-5.70085	6.045172201431168e-10
POLR1D	0.254	0.519	0.4894	-11.64937	-5.70123	1.6357120615044114e-72
UBE2B	0.312	0.507	0.61538	-9.29302	-5.71878	8.276503627252957e-27
OAZ1	0.656	0.703	0.93314	-6.18026	-5.76707	8.571479661261513e-15
UQCR11	0.38	0.517	0.73501	-7.90379	-5.80936	5.333903391655608e-4
NCOR1	0.364	0.507	0.71795	-8.1057	-5.81948	3.2885525153947186e-6
NDUFB7	0.335	0.533	0.62852	-9.27202	-5.82763	7.727721285770169e-26
HMGN2	0.702	0.704	0.99716	-5.8446	-5.82799	3.623870173887243e-24
SNRPN	0.369	0.546	0.67582	-8.65102	-5.84657	3.908860099928027e-15
SCAND1	0.283	0.528	0.53598	-10.97129	-5.88044	2.528657115047589e-58
PA2G4	0.296	0.501	0.59082	-10.01376	-5.91631	1.4062447571344816e-34
DYNLRB1	0.408	0.557	0.7325	-8.07928	-5.91804	0.0017391566263792399
C11orf31	0.391	0.526	0.74335	-7.9782	-5.93056	0.0025941182622425097
DNAJC8	0.367	0.506	0.7253	-8.24647	-5.98114	5.974919693591685e-7
WDR83OS	0.338	0.542	0.62362	-9.72421	-6.06418	5.209192756042953e-28
PNRC1	0.293	0.5	0.586	-10.39765	-6.09302	1.0822586700961724e-37
BCL7A	0.235	0.514	0.4572	-13.34741	-6.10241	7.785601315033399e-89
CCT4	0.353	0.513	0.68811	-8.87651	-6.10801	5.856838723063148e-12
RBBP4	0.353	0.516	0.68411	-8.95064	-6.12321	4.836060746299936e-14
FIS1	0.314	0.502	0.6255	-9.80542	-6.1332700000000004	2.9246083951734134e-28
UBXN4	0.36	0.52	0.69231	-8.87609	-6.14499	1.316864567462641e-12
AES	0.214	0.5	0.428	-14.36038	-6.14624	1.402217664692269e-99
ATP5D	0.246	0.558	0.44086	-13.99795	-6.17114	1.5914554222408674e-102
SRSF9	0.232	0.542	0.42804	-14.43074	-6.177	1.5384141659257349e-112
TPR	0.327	0.502	0.65139	-9.48361	-6.17757	8.868821554736372e-20
PHF20L1	0.229	0.51	0.44902	-13.79963	-6.1963	1.0305307941077143e-91
