cluster_label	cl	x	y	cluster_id	cluster_color	size	clade	color	cluster.label
CR_1	1	1.6721846086587406	13.842700265738506	1	#00007F	5	cr	darkgrey	CR_1
CR_10	2	-13.10870361312241	-4.124249114460134	2	#000084	22	cr	darkgrey	CR_10
CR_12	3	1.692928498104495	13.816399340928788	3	#00008A	15	cr	darkgrey	CR_12
CR_13	4	1.6425350893839454	13.868892381450827	4	#00008F	15	cr	darkgrey	CR_13
CR_14	5	-4.776165062884714	9.223658939829855	5	#000095	6	cr	darkgrey	CR_14
CR_2	6	1.6767689341284282	13.841168499543125	6	#00009A	19	cr	darkgrey	CR_2
CR_3	7	-13.09681444924042	-3.7156929369196057	7	#0000A0	21	cr	darkgrey	CR_3
CR_4	8	-12.947726915831652	-3.801164660868429	8	#0000A6	13	cr	darkgrey	CR_4
CR_6	9	1.6715866723054555	13.846557124102713	9	#0000AB	7	cr	darkgrey	CR_6
CR_combo2_1	10	1.9697007665677584	13.643874084770006	10	#0000B1	288	cr	darkgrey	CR_combo2_1
Dividing_1	11	-12.134452215388416	-2.584537674479091	11	#0000B6	18	dividing	darkkhaki	Dividing_1
Dividing_2	12	-2.5114609285612284	5.912228549048118	12	#0000BC	10	dividing	darkkhaki	Dividing_2
Dividing_26	13	-2.6464468193213118	2.5034039379642214	13	#0000C2	29	dividing	darkkhaki	Dividing_26
Dividing_3	14	-4.819131131936952	8.954382221615965	14	#0000C7	9	dividing	darkkhaki	Dividing_3
Dividing_34	15	3.625881639164327	11.124949842644783	15	#0000CD	21	dividing	darkkhaki	Dividing_34
Dividing_7	16	2.038104397032029	13.452101641424209	16	#0000D2	15	dividing	darkkhaki	Dividing_7
Dividing_combo2_1	17	2.548754200516306	0.6279394794221995	17	#0000D8	124	dividing	darkkhaki	Dividing_combo2_1
Dividing_combo2_10	18	-2.6802369214418076	-0.20504005508808054	18	#0000DE	39	dividing	darkkhaki	Dividing_combo2_10
Dividing_combo2_11	19	-4.710651938531506	3.7176266422010102	19	#0000E3	34	dividing	darkkhaki	Dividing_combo2_11
Dividing_combo2_12	20	1.384920746853297	2.9307167310525597	20	#0000E9	62	dividing	darkkhaki	Dividing_combo2_12
Dividing_combo2_2	21	2.59578770450378	0.48719406900002266	21	#0000EE	761	dividing	darkkhaki	Dividing_combo2_2
Dividing_combo2_3	22	-0.8884141586684218	3.398716947504278	22	#0000F4	733	dividing	darkkhaki	Dividing_combo2_3
Dividing_combo2_4	23	-2.9403887475663835	0.15691050283991734	23	#0000FA	793	dividing	darkkhaki	Dividing_combo2_4
Dividing_combo2_5	24	-1.9863326437204485	3.1058588844466284	24	#0000FF	2251	dividing	darkkhaki	Dividing_combo2_5
Dividing_combo2_6	25	0.660527974969768	2.582471598620733	25	#0006FF	5712	dividing	darkkhaki	Dividing_combo2_6
Dividing_combo2_7	26	-4.327058363672147	2.8336493530475995	26	#000BFF	43	dividing	darkkhaki	Dividing_combo2_7
Dividing_combo2_8	27	-1.752345368953655	2.267942132439126	27	#0011FF	14745	dividing	darkkhaki	Dividing_combo2_8
Dividing_combo2_9	28	-2.172325316334345	1.4923045818636442	28	#0016FF	7794	dividing	darkkhaki	Dividing_combo2_9
Inteneuron_combo2_1	29	-7.854158256733425	-0.43644784012034094	29	#001CFF	29	inteneuron	deepskyblue	Inteneuron_combo2_1
Inteneuron_combo2_2	30	-8.993894307049805	0.8043983513161942	30	#0022FF	30	inteneuron	deepskyblue	Inteneuron_combo2_2
Inteneuron_combo2_3	31	0.7198214583612119	8.77130804911681	31	#0027FF	1597	inteneuron	deepskyblue	Inteneuron_combo2_3
Inteneuron_combo2_4	32	1.2287270807241253	-3.614733330423672	32	#002DFF	60	inteneuron	deepskyblue	Inteneuron_combo2_4
Inteneuron_combo2_5	33	5.6038051807242795	-4.944476731791278	33	#0032FF	87	inteneuron	deepskyblue	Inteneuron_combo2_5
Inteneuron_combo2_6	34	3.469484109956123	-1.4564512535392555	34	#0038FF	52355	inteneuron	deepskyblue	Inteneuron_combo2_6
Inteneuron_combo2_7	35	1.207755922402085	-3.668731291420409	35	#003DFF	107	inteneuron	deepskyblue	Inteneuron_combo2_7
Inteneuron_combo2_8	36	-3.414055299843521	2.6436612171924483	36	#0043FF	5399	inteneuron	deepskyblue	Inteneuron_combo2_8
Inteneuron_combo2_9	37	5.199114357938222	-2.5161877446556633	37	#0048FF	6856	inteneuron	deepskyblue	Inteneuron_combo2_9
Interneuron_33	38	-7.7202375443978575	-0.7625132507386783	38	#004EFF	14	interneuron	deeppink2	Interneuron_33
IPC_11	39	-3.158484268926525	14.312835509442294	39	#0053FF	9	ipc	brown4	IPC_11
IPC_13	40	-3.3118885657627404	14.240441287148313	40	#0059FF	7	ipc	brown4	IPC_13
IPC_23	41	-4.639073326885526	3.918121379453727	41	#005FFF	31	ipc	brown4	IPC_23
IPC_24	42	-2.993174901514581	-0.5658533079446484	42	#0064FF	20	ipc	brown4	IPC_24
IPC_31	43	0.669009447254201	-5.218143535564972	43	#006AFF	26	ipc	brown4	IPC_31
IPC_32	44	-4.8671546270898265	4.321227344151464	44	#006FFF	29	ipc	brown4	IPC_32
IPC_7	45	-3.9155086672912716	-10.853835390737375	45	#0075FF	16	ipc	brown4	IPC_7
IPC_9	46	-3.477183453298453	14.230898547047712	46	#007AFF	19	ipc	brown4	IPC_9
IPC_combo2_1	47	0.49316807489172887	-5.209233840060908	47	#0080FF	44	ipc	brown4	IPC_combo2_1
IPC_combo2_10	48	0.3142132392598965	-5.700564110274491	48	#0085FF	25	ipc	brown4	IPC_combo2_10
IPC_combo2_11	49	-2.881185965291695	2.6461030111101276	49	#008BFF	45	ipc	brown4	IPC_combo2_11
IPC_combo2_12	50	-12.867783645071928	-3.730928709604574	50	#0091FF	47	ipc	brown4	IPC_combo2_12
