cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
1	1	11	75	48	15371.421388888888	-99.17886526754965	0.14666666666666667	CR_1	CR_1
3	1	2	195	48	1074.9245726495726	-13.294235432378905	0.010256410256410256	CR_12	CR_1
4	1	2	210	48	998.1442460317461	-13.145742795957693	0.009523809523809525	CR_13	CR_1
6	1	8	286	48	2931.612470862471	-58.552586327775664	0.027972027972027972	CR_2	CR_1
9	1	5	105	48	4990.721230158731	-39.62948216745604	0.047619047619047616	CR_6	CR_1
10	1	15	4213	48	373.14910693092804	-78.60750475251736	0.0035604082601471635	CR_combo2_1	CR_1
94	1	5	500946	48	1.046072289561483	-0.639514882746122	9.981115729040656e-6	Neuron_combo2_8	CR_1
2	2	23	331	275	1271.1329964295523	-145.62976769815432	0.06948640483383686	CR_10	CR_10
7	2	3	315	275	174.2215411255411	-14.010043847422008	0.009523809523809525	CR_3	CR_10
8	2	3	180	275	304.88769696969695	-15.690615299891318	0.016666666666666666	CR_4	CR_10
10	2	1	4213	275	4.342098698832618	-1.5809037701214974	2.3736055067647758e-4	CR_combo2_1	CR_10
27	2	18	212729	275	1.547878816368585	-3.077236978051703	8.461469757296842e-5	Dividing_combo2_8	CR_10
34	2	1	752757	275	0.024301682771706964	-4.375363719728723e-20	1.3284499513123092e-6	Inteneuron_combo2_6	CR_10
36	2	6	77433	275	1.417477960418567	-1.3812937142760344	7.748634303204061e-5	Inteneuron_combo2_8	CR_10
50	2	3	693	275	79.1916096025187	-11.6547660746981	0.004329004329004329	IPC_combo2_12	CR_10
54	2	41	329576	275	2.2757231550399744	-14.003383370156982	1.2440226230065295e-4	IPC_combo2_3	CR_10
78	2	82	236414	275	6.34500270327015	-95.29651132832144	3.4684917136886987e-4	Neuron_combo2_1	CR_10
83	2	2	643	275	56.89972571751733	-7.417791248162562	0.003110419906687403	Neuron_combo2_14	CR_10
84	2	6	64958	275	1.6897005897516997	-1.9111631703160663	9.23673758428523e-5	Neuron_combo2_15	CR_10
87	2	5	270	275	338.7641077441077	-25.952479286883154	0.018518518518518517	Neuron_combo2_18	CR_10
88	2	25	5940	275	76.9918426691154	-87.58229293672545	0.004208754208754209	Neuron_combo2_2	CR_10
90	2	13	36068	275	6.593445814471655	-15.758080274001532	3.604302983253854e-4	Neuron_combo2_4	CR_10
92	2	15	447658	275	0.6129655390336536	-0.012668156928641037	3.350772241309214e-5	Neuron_combo2_6	CR_10
93	2	1	171534	275	0.10664510719846688	-7.186515392252261e-5	5.8297480382897855e-6	Neuron_combo2_7	CR_10
94	2	1	500946	275	0.036517432653782676	-2.9662347156791226e-13	1.996223145808131e-6	Neuron_combo2_8	CR_10
95	2	13	377253	275	0.6303790921115634	-0.025286040466888093	3.4459633190458395e-5	Neuron_combo2_9	CR_10
111	2	4	11972	275	6.112015308446983	-5.406839165067202	3.341129301703976e-4	OPC_combo2_3	CR_10
112	2	1	839	275	21.803649366128507	-3.104813541826786	0.0011918951132300357	OPC_combo2_4	CR_10
117	2	1	87065	275	0.2101103981873522	-0.008253835433229937	1.1485671624648252e-5	OPC_combo2_9	CR_10
121	2	1	540	275	33.87641077441077	-3.5373624304473608	0.001851851851851852	Other_combo2_12	CR_10
139	2	1	139084	275	0.1315267163597669	-4.4828258788512116e-4	7.189899629001179e-6	RG_combo2_10	CR_10
149	2	4	15746	275	4.647087976167107	-4.4693380356686525	2.5403277022735933e-4	RG_combo2_3	CR_10
