cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
1	1	2752	4201	3330	770.7975607123428	-18493.881301897833	0.6550821233039752	cr_1	cr_1
12	1	108	212799	3330	0.5971710647390515	-7.887237447397455e-10	5.075211819604415e-4	dividing_8	cr_1
17	1	3	690	3330	5.115837576707142	-3.8292866731072905	0.004347826086956522	ipc_12	cr_1
21	1	1	330305	3330	0.003562291344795394	-3.8193784233614205e-128	3.027504881851622e-6	ipc_3	cr_1
28	1	21	236376	3330	0.10453470528097394	-1.6267567899870391e-62	8.884150675195451e-5	neuron_1	cr_1
29	1	12	5551	3330	2.543633887896183	-5.669633185972529	0.0021617726535759323	neuron_10	cr_1
32	1	4	103804	3330	0.04534093648193297	-1.8266653871788294e-34	3.853416053331278e-5	neuron_13	cr_1
41	1	18	85227	3330	0.24850772135083446	-3.2501693204680756e-15	2.112006758421627e-4	neuron_5	cr_1
42	1	7	448274	3330	0.018373803741681422	-1.4479134627502744e-163	1.5615449479559376e-5	neuron_6	cr_1
44	1	2	501093	3330	0.0046963044490449584	-5.077328522593074e-196	3.991275072691097e-6	neuron_8	cr_1
49	1	3	375	3330	9.413141141141141	-5.46624626430336	0.008	opc_12	cr_1
53	1	19	11970	3330	1.8676867343534012	-4.782214994433273	0.0015873015873015873	opc_3	cr_1
54	1	7	838	3330	9.828757158112767	-11.546233280150627	0.008353221957040573	opc_4	cr_1
55	1	33	770	3330	50.42754182754183	-100.50402629539003	0.04285714285714286	opc_5	cr_1
59	1	92	87557	3330	1.236350298926678	-3.6743019034183044	0.0010507440867092294	opc_9	cr_1
61	1	226	139657	3330	1.9041024598640757	-42.98876418806059	0.0016182504278339073	rg_10	cr_1
64	1	2	39779	3330	0.05915898552716974	-6.06332522750952e-14	5.027778476080344e-5	rg_13	cr_1
71	1	9	15790	3330	0.6706639508412783	-0.08506906971238067	5.699810006333122e-4	rg_3	cr_1
76	1	10	99557	3330	0.11818783637942512	-4.967764131914108e-26	1.0044497122251574e-4	rg_8	cr_1
77	1	1	81059	3330	0.014515879083663042	-5.683631341614761e-31	1.2336693026067433e-5	rg_9	cr_1
2	2	366	1816	1654	477.4397269468223	-1979.2477705020451	0.20154185022026433	dividing_1	dividing_1
6	2	3	10953	1654	0.6488457718264397	-0.17399977329605848	2.738975623116954e-4	dividing_2	dividing_1
7	2	12	10493	1654	2.709161436696843	-6.175730913085238	0.0011436195558944058	dividing_3	dividing_1
8	2	18	11621	1654	3.6692923528861514	-12.437649692065158	0.0015489200585147578	dividing_4	dividing_1
9	2	122	32297	1654	8.948514765410918	-166.01230394387906	0.0037774406291606034	dividing_5	dividing_1
10	2	72	82554	1654	2.0660826335678446	-17.95180989958613	8.721564067156044e-4	dividing_6	dividing_1
12	2	817	212799	1654	9.095064548567507	-1285.5365182523842	0.0038393037561266735	dividing_8	dividing_1
13	2	47	113433	1654	0.981548472738106	-0.5591393262611095	4.1434150555834723e-4	dividing_9	dividing_1
16	2	1	659	1654	3.5947434187228096	-1.4150863066148323	0.0015174506828528073	ipc_11	dividing_1
22	2	1	898	1654	2.63801326607832	-1.153314689553124	0.0011135857461024498	ipc_4	dividing_1
27	2	3	1363	1654	5.214092251515036	-3.8775982837841725	0.0022010271460014674	ipc_9	dividing_1
53	2	2	11970	1654	0.3958121826129209	-0.03921422042550382	1.670843776106934e-4	opc_3	dividing_1
57	2	16	6913	1654	5.4828547095346885	-16.32895397363865	0.0023144799652828007	opc_7	dividing_1
59	2	28	87557	1654	0.7575659920083292	-0.05404809392375441	3.1979167856367854e-4	opc_9	dividing_1
61	2	7	139657	1654	0.11873770301931388	-6.689694353655328e-19	5.0122800862112174e-5	rg_10	dividing_1
62	2	2	162981	1654	0.029070086855993417	-2.174261683908108e-29	1.2271369055288654e-5	rg_11	dividing_1
63	2	73	5520	1654	31.328319138496052	-185.7752593024284	0.01322463768115942	rg_12	dividing_1
64	2	4	39779	1654	0.23820969988570165	-4.5454272687907535e-5	1.0055556952160688e-4	rg_13	dividing_1
65	2	1	2489	1654	0.951762118496718	-0.4300211374672629	4.017677782241864e-4	rg_14	dividing_1
74	2	2	13438	1654	0.3525726913139353	-0.023034663696145638	1.488316713796696e-4	rg_6	dividing_1
76	2	57	99557	1654	1.3563018877375261	-4.210865547904392	5.725363359683397e-4	rg_8	dividing_1
3	3	92	572	542	1162.7365623306582	-576.5608196238344	0.16083916083916083	dividing_10	dividing_10
6	3	8	10953	542	5.280152061997201	-8.650962269847364	7.303934994978545e-4	dividing_2	dividing_10
8	3	138	11621	542	85.8469985784102	-500.96614333053276	0.011875053781946476	dividing_4	dividing_10
9	3	11	32297	542	2.462181320577797	-5.09835530630148	3.4058890918661175e-4	dividing_5	dividing_10
10	3	17	82554	542	1.4886764937131165	-2.6498397000543883	2.0592581825229546e-4	dividing_6	dividing_10
12	3	116	212799	542	3.940741405073814	-83.23544174366414	5.451153435871409e-4	dividing_8	dividing_10
13	3	19	113433	542	1.210887269540226	-1.4706146121910475	1.6749975756614037e-4	dividing_9	dividing_10
19	3	12	405	542	214.19816864835315	-54.90737498077369	0.02962962962962963	ipc_14	dividing_10
23	3	30	44634	542	4.858978486276326	-26.527480755753423	6.721333512568893e-4	ipc_5	dividing_10
25	3	25	135455	542	1.3342416654759732	-2.3891959065015236	1.8456313904986895e-4	ipc_7	dividing_10
57	3	3	6913	542	3.137214606631818	-2.6274842317237064	4.339649934905251e-4	opc_7	dividing_10
59	3	1	87557	542	0.08256550809052296	-4.785969553903915e-6	1.1421131377274232e-5	opc_9	dividing_10
