gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	name_1006	n	description	go_id	definition_1006	namespace_1003	family	is_tf	stage_region	stage	region
LAMP5	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	1.90992	0	0.351	2.10377	0.669	0.318	0.90785	establishment of protein localization to organelle	4	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	GO:0072594	The directed movement of a protein to a specific location on or in an organelle. Encompasses establishment of localization in the membrane or lumen of a membrane-bounded organelle.	biological_process	NA	non_TF	early_pfc	early	pfc
S100A13	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	1.28649	0	0.241	1.87956	0.515	0.274	0.68446	protein binding	2221	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
HES4	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.89585	0	0.156	1.26263	0.75	0.594	0.70951	DNA binding	343	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]	GO:0003677	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function	bHLH	TF	early_pfc	early	pfc
STMN2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.5612	0	0.049	1.09742	0.552	0.503	0.51139	protein binding	2221	stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MT-CO2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.55928	0	0.007	1.00708	0.996	0.989	0.55535	protein binding	2221	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
HIST1H4C	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.50542	0	0.009	1.01172	0.777	0.768	0.49956	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
HOPX	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.50508	0	0.077	1.09613	0.878	0.801	0.46079	protein binding	2221	HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	Homeobox	TF	early_pfc	early	pfc
FTH1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.47145	0	0	1	1	1	0.47145	protein binding	2221	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
NRXN1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.47051	0	0.1	1.14306	0.799	0.699	0.41162	protein binding	2221	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
FABP7	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.45923	0	0.001	1.001	0.999	0.998	0.45877	nervous system development	181	fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]	GO:0007399	The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state.	biological_process	NA	non_TF	early_pfc	early	pfc
