gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
PLPPR3	pfc	ipc	gw16	5.50497	0	0.263	9.76634	0.293	0.03	0.56367
RP4-665J23.1	pfc	ipc	gw16	2.23424	0	0.094	7.26618	0.109	0.015	0.30748
LAMP5	pfc	ipc	gw16	1.19663	0	0.111	4.5805	0.142	0.031	0.26124000000000003
HIST1H4C	pfc	ipc	gw16	0.94459	0	0.103	1.13464	0.868	0.765	0.8325
RBP1	pfc	ipc	gw16	0.6844	0	0.236	1.43703	0.776	0.54	0.47626
C4orf48	pfc	ipc	gw16	0.67757	0	0.201	1.36413	0.753	0.552	0.49671
STK17A	pfc	ipc	gw16	0.63952	0	0.199	1.6067	0.527	0.328	0.39803
CXCL12	pfc	ipc	gw16	0.61211	2e-5	0.127	1.80379	0.285	0.158	0.33935
CSRP2	pfc	ipc	gw16	0.53235	0	0.083	1.09811	0.929	0.846	0.48479
HOPX	pfc	ipc	gw16	0.51681	1e-5	0.078	1.89653	0.165	0.087	0.2725
MT-CO2	pfc	ipc	gw16	0.49207	0	0.005	1.00502	1	0.995	0.48961
H2AFZ	pfc	ipc	gw16	0.48708	0	0.054	1.05882	0.972	0.918	0.46002
MT-ND3	pfc	ipc	gw16	0.48452	0	0.004	1.00405	0.992	0.988	0.48257
TXNDC17	pfc	ipc	gw16	0.45873	0	0.154	1.41847	0.522	0.368	0.3234
FOS	pfc	ipc	gw16	0.45186	0	0.177	1.28594	0.796	0.619	0.35138
HINT1	pfc	ipc	gw16	0.45102	0	0.023	1.02398	0.982	0.959	0.44046
COX5A	pfc	ipc	gw16	0.4451	0	0.125	1.20391	0.738	0.613	0.36971
TSPAN13	pfc	ipc	gw16	0.44361	0	0.14	1.29724	0.611	0.471	0.34197
GAPDH	pfc	ipc	gw16	0.44225	0	0.007	1.00707	0.997	0.99	0.43915
VIM	pfc	ipc	gw16	0.44149	1	0.064	1.13823	0.527	0.463	0.38788
RPS4Y1	pfc	ipc	gw16	0.43976	0	0.049	1.05338	0.967	0.918	0.41747
H1FX	pfc	ipc	gw16	0.4371	0	0.113	1.13436	0.954	0.841	0.38532
NDUFB11	pfc	ipc	gw16	0.43079	0	0.038	1.04208	0.941	0.903	0.4134
ATP5F1	pfc	ipc	gw16	0.4294	0	0.144	1.26134	0.695	0.551	0.34043
ATP5G1	pfc	ipc	gw16	0.42169	0	0.132	1.26884	0.623	0.491	0.33235
MRPL23	pfc	ipc	gw16	0.41581	0.01795	0.103	1.59194	0.277	0.174	0.2612
NENF	pfc	ipc	gw16	0.41558	1e-5	0.106	1.53806	0.303	0.197	0.2702
MDH1	pfc	ipc	gw16	0.41482	0	0.122	1.23968	0.631	0.509	0.33462
MGST3	pfc	ipc	gw16	0.40957	0	0.096	1.11823	0.908	0.812	0.36626
MALAT1	pfc	ipc	gw16	0.40514	0	0	1	1	1	0.40514
ATP5C1	pfc	ipc	gw16	0.40004	0	0.093	1.11969	0.87	0.777	0.35728
FABP7	pfc	ipc	gw16	0.39752	0	0.012	1.01218	0.997	0.985	0.39273
THOC7	pfc	ipc	gw16	0.39494	0	0.112	1.37583	0.41	0.298	0.28706
NDUFC2	pfc	ipc	gw16	0.39402	0	0.117	1.16479	0.827	0.71	0.33828
SKP1	pfc	ipc	gw16	0.39391	0	0.03	1.03174	0.975	0.945	0.38179
C1D	pfc	ipc	gw16	0.3937	5e-5	0.124	1.51239	0.366	0.242	0.26032
ATP6V1G1	pfc	ipc	gw16	0.38931	0	0.041	1.04442	0.964	0.923	0.37275
COA3	pfc	ipc	gw16	0.38596	0	0.121	1.25527	0.595	0.474	0.30747
FTH1	pfc	ipc	gw16	0.38564	0	0	1	1	1	0.38564
ARL4D	pfc	ipc	gw16	0.38359	2e-5	0.123	1.24453	0.626	0.503	0.30822
RPL5	pfc	ipc	gw16	0.38068	0	0.001	1.001	1	0.999	0.38029
NDUFA12	pfc	ipc	gw16	0.37692	0	0.111	1.18942	0.697	0.586	0.3169
H3F3B	pfc	ipc	gw16	0.37225	0	0.002	1.002	1	0.998	0.37151
DUT	pfc	ipc	gw16	0.36539	1	0.102	1.21935	0.567	0.465	0.29966
UBE2T	pfc	ipc	gw16	0.36535	1	0.069	1.32394	0.282	0.213	0.27595
GTF2B	pfc	ipc	gw16	0.36267	0.00101	0.131	1.41719	0.445	0.314	0.25591
UBE2V2	pfc	ipc	gw16	0.36239	0	0.108	1.20262	0.641	0.533	0.30134
COX7A2	pfc	ipc	gw16	0.36174	0	0.039	1.04397	0.926	0.887	0.3465
TIMM17B	pfc	ipc	gw16	0.36145	1e-5	0.102	1.34576	0.397	0.295	0.26858
ECH1	pfc	ipc	gw16	0.36066	0	0.126	1.30508	0.539	0.413	0.27635
SF3B6	pfc	ipc	gw16	0.36021	0	0.091	1.11757	0.865	0.774	0.32231
ATP5O	pfc	ipc	gw16	0.35871	0	0.04	1.04635	0.903	0.863	0.34282
LY6H	pfc	ipc	gw16	0.35663	1	0.106	1.39552	0.374	0.268	0.25555
CSNK2B	pfc	ipc	gw16	0.35597	0	0.141	1.28032	0.644	0.503	0.27804
PSMD6	pfc	ipc	gw16	0.35525	0	0.091	1.26608	0.433	0.342	0.28059
RPS13	pfc	ipc	gw16	0.35305	0	0	1	1	1	0.35305
ERH	pfc	ipc	gw16	0.35126	0	0.053	1.0605	0.929	0.876	0.33122
CDO1	pfc	ipc	gw16	0.34854	4e-5	0.109	1.37201	0.402	0.293	0.25403
HMGN3	pfc	ipc	gw16	0.34665	0	0.083	1.12425	0.751	0.668	0.30834
RPL6	pfc	ipc	gw16	0.34658	0	0	1	1	1	0.34658
GABARAPL2	pfc	ipc	gw16	0.3456	0	0.044	1.05046	0.916	0.872	0.329
ALKBH7	pfc	ipc	gw16	0.34513	0	0.104	1.19082	0.649	0.545	0.28982
DCTN3	pfc	ipc	gw16	0.34457	0	0.075	1.10108	0.817	0.742	0.31294
MRPS6	pfc	ipc	gw16	0.3426	1e-5	0.116	1.31351	0.486	0.37	0.26082
PRDX1	pfc	ipc	gw16	0.34123	0	-0.001	0.999	0.997	0.998	0.34157
SMS	pfc	ipc	gw16	0.3412	2e-5	0.114	1.20357	0.674	0.56	0.28349
ACTB	pfc	ipc	gw16	0.33693	0	0	1	1	1	0.33694
MT-CYB	pfc	ipc	gw16	0.33692	0	0.001	1.001	0.997	0.996	0.33658
SERF2	pfc	ipc	gw16	0.33219	0	0.053	1.05982	0.939	0.886	0.31344
SELK	pfc	ipc	gw16	0.33088	0	0.084	1.15642	0.621	0.537	0.28612
RPL11	pfc	ipc	gw16	0.33047	0	0	1	1	1	0.33047
RTN1	pfc	ipc	gw16	0.32918	0	0.052	1.05916	0.931	0.879	0.3108
SEC61B	pfc	ipc	gw16	0.32852	0	0.073	1.0972	0.824	0.751	0.29942
AP2S1	pfc	ipc	gw16	0.32753	0	0.098	1.17626	0.654	0.556	0.27845
STMN1	pfc	ipc	gw16	0.32636	0	0.001	1.001	1	0.999	0.32604
NUDT1	pfc	ipc	gw16	0.32571	0.003	0.112	1.2807	0.511	0.399	0.25432
NDUFB9	pfc	ipc	gw16	0.3251	0	0.121	1.21568	0.682	0.561	0.26742
ATOX1	pfc	ipc	gw16	0.32459	0.00131	0.107	1.28232	0.486	0.379	0.25313
PHPT1	pfc	ipc	gw16	0.32457	1e-5	0.121	1.22161	0.667	0.546	0.26569
RPL8	pfc	ipc	gw16	0.32433	0	-0.002	0.998	0.997	0.999	0.32498
HIGD2A	pfc	ipc	gw16	0.32092	1e-4	0.112	1.23431	0.59	0.478	0.26
SOD1	pfc	ipc	gw16	0.31977	0	0.058	1.07542	0.827	0.769	0.29734
HN1	pfc	ipc	gw16	0.31935	0	0.003	1.00302	0.997	0.994	0.31839
SRP14	pfc	ipc	gw16	0.31731	0	0.003	1.00302	0.997	0.994	0.31636
GPX4	pfc	ipc	gw16	0.31292	0	0.056	1.06896	0.868	0.812	0.29273
NDUFA4	pfc	ipc	gw16	0.31283	0	0.034	1.03716	0.949	0.915	0.30163
C14orf166	pfc	ipc	gw16	0.31136	0	0.104	1.14188	0.837	0.733	0.27267
TXN	pfc	ipc	gw16	0.31007	0	0.066	1.09257	0.779	0.713	0.2838
SPCS2	pfc	ipc	gw16	0.31002999999999997	0	0.089	1.13994	0.725	0.636	0.27197
FTL	pfc	ipc	gw16	0.30934	0	-0.004	0.99599	0.995	0.999	0.31058
DDT	pfc	ipc	gw16	0.30547	1e-5	0.096	1.20042	0.575	0.479	0.25447
LSM7	pfc	ipc	gw16	0.30196	0	0.057	1.07116	0.858	0.801	0.2819
RPS26	pfc	ipc	gw16	0.3005	0	0.007	1.00719	0.98	0.973	0.29836
SUB1	pfc	ipc	gw16	0.29984	0	0.041	1.04729	0.908	0.867	0.2863
MT-ND2	pfc	ipc	gw16	0.29846	0	0.042	1.04492	0.977	0.935	0.28563
NGFRAP1	pfc	ipc	gw16	0.29609	0	0.029	1.03187	0.939	0.91	0.28695
ATP5G3	pfc	ipc	gw16	0.29186	0	0.065	1.08643	0.817	0.752	0.26864
SEC61G	pfc	ipc	gw16	0.29133	0	0.084	1.11699	0.802	0.718	0.26081
RBX1	pfc	ipc	gw16	0.29055	0	0.063	1.08214	0.83	0.767	0.2685
BTG3	pfc	ipc	gw16	0.29036	5e-5	0.078	1.15538	0.58	0.502	0.25132
SEPW1	pfc	ipc	gw16	0.28973	0	0.065	1.08312	0.847	0.782	0.26749
PEBP1	pfc	ipc	gw16	0.28653	0	0.025	1.02626	0.977	0.952	0.2792
FAU	pfc	ipc	gw16	0.28119	0	0	1	0.997	0.997	0.28119
MYL6	pfc	ipc	gw16	0.27826	0	0.007	1.00708	0.995	0.988	0.2763
NDUFB4	pfc	ipc	gw16	0.27804	0	0.047	1.05949	0.837	0.79	0.26243
PTN	pfc	ipc	gw16	0.27442	4.2e-4	0.026	1.03746	0.72	0.694	0.26451
TUBB2A	pfc	ipc	gw16	0.27374	0	0.057	1.06635	0.916	0.859	0.2567
VDAC2	pfc	ipc	gw16	0.2718	0	0.057	1.06859	0.888	0.831	0.25436
PSMA7	pfc	ipc	gw16	0.27173	0	0.067	1.08191	0.885	0.818	0.25115
RPL39	pfc	ipc	gw16	0.26911	0	0	1	1	1	0.26911
FABP5	pfc	ipc	gw16	0.26869	0.00542	0.03	1.03337	0.929	0.899	0.26001
RPS7	pfc	ipc	gw16	0.25665	0	-0.001	0.999	0.997	0.998	0.25691
CPSF2	pfc	ipc	gw17	301040.01619	1	0.273	273000	0.273	0	1.10271
PIGP	pfc	ipc	gw17	279045.26054	1	0.273	273000	0.273	0	1.02214
CAB39	pfc	ipc	gw17	276130.38916	1	0.273	273000	0.273	0	1.01147
HYOU1	pfc	ipc	gw17	256939.0756	1	0.273	273000	0.273	0	0.94117
DGKD	pfc	ipc	gw17	250331.20443	1	0.273	273000	0.273	0	0.91696
SEC14L1	pfc	ipc	gw17	226351.5073	1	0.273	273000	0.273	0	0.82913
ABHD2	pfc	ipc	gw17	223528.34316	1	0.273	273000	0.273	0	0.81879
TMEM123	pfc	ipc	gw17	21.99058	1	0.344	18.19909	0.364	0.02	1.20833
TOX3	pfc	ipc	gw17	9.61109	1	0.394	7.45889	0.455	0.061	1.28854
PSMD12	pfc	ipc	gw17	5.95776	1	0.443	5.34308	0.545	0.102	1.11504
LSM3	pfc	ipc	gw17	2.78927	1	0.462	2.74339	0.727	0.265	1.01673
TDG	pfc	ipc	gw17	1.82097	1	0.512	2.67319	0.818	0.306	0.6812
DDX5	pfc	ipc	gw17	1.79849	1	0.399	1.78235	0.909	0.51	1.00905
HSP90AB1	pfc	ipc	gw17	0.96652	1	0.224	1.28866	1	0.776	0.75002
ATP5E	pfc	ipc	gw17	0.44392	1	-0.071	0.92755	0.909	0.98	0.47859
ATP6V1G1	pfc	ipc	gw17	0.37728	1	-0.269	0.57504	0.364	0.633	0.65609
C4orf48	pfc	ipc	gw18	95.52535	0	0.667	56.57862	0.679	0.012	1.68836
PCSK1N	pfc	ipc	gw18	42.86555	0	0.711	23.21802	0.743	0.032	1.84622
ATP5D	pfc	ipc	gw18	26.7676	0	0.522	19.64216	0.55	0.028	1.36276
HBA2	pfc	ipc	gw18	15.39903	0	0.276	19.39871	0.291	0.015	0.79382
TTC9B	pfc	ipc	gw18	7.8519	0	0.231	11.043	0.254	0.023	0.71103
HBA1	pfc	ipc	gw18	7.56604	0	0.144	12.99892	0.156	0.012	0.58205
CENPV	pfc	ipc	gw18	7.23828	0	0.452	6.19533	0.539	0.087	1.16834
C1QBP	pfc	ipc	gw18	6.80103	0	0.272	8.55532	0.308	0.036	0.79495
TMEM160	pfc	ipc	gw18	6.2655	0	0.316	6.26656	0.376	0.06	0.99983
HBG2	pfc	ipc	gw18	6.23465	0	0.343	4.89767	0.431	0.088	1.27298
SLN	pfc	ipc	gw18	5.49017	0	0.103	18.16364	0.109	0.006	0.30226
HES6	pfc	ipc	gw18	4.67312	0	0.46	3.00872	0.689	0.229	1.55319
CLTB	pfc	ipc	gw18	4.56733	0	0.184	7.57116	0.212	0.028	0.60325
PXMP2	pfc	ipc	gw18	4.31458	0	0.116	9.92231	0.129	0.013	0.43484
YBX1	pfc	ipc	gw18	4.04661	0	0.463	1.87358	0.993	0.53	2.15983
EBPL	pfc	ipc	gw18	4.02345	0	0.133	9.31192	0.149	0.016	0.43208
NPDC1	pfc	ipc	gw18	3.91364	0	0.231	5.27768	0.285	0.054	0.74154
RCN2	pfc	ipc	gw18	3.78134	0	0.368	4.2566	0.481	0.113	0.88835
KRT10	pfc	ipc	gw18	3.68182	0	0.214	5.27989	0.264	0.05	0.69733
ZNF580	pfc	ipc	gw18	3.16437	0	0.1	8.14228	0.114	0.014	0.38863
PODXL2	pfc	ipc	gw18	3.08483	0	0.247	4.08745	0.327	0.08	0.75471
BAG1	pfc	ipc	gw18	3.05049	0	0.17	5.47354	0.208	0.038	0.55732
MARCKSL1	pfc	ipc	gw18	2.74266	0	0.342	1.52293	0.996	0.654	1.8009
PPP1R1B	pfc	ipc	gw18	2.48099	0	0.1	6.88195	0.117	0.017	0.36051
MAF1	pfc	ipc	gw18	2.35713	0	0.165	4.36726	0.214	0.049	0.53973
TOMM40	pfc	ipc	gw18	2.33835	0	0.096	6.99956	0.112	0.016	0.33407
FGFBP3	pfc	ipc	gw18	2.29527	0	0.096	6.05231	0.115	0.019	0.37924
C20orf24	pfc	ipc	gw18	2.25908	0	0.128	4.99984	0.16	0.032	0.45183
RPRM	pfc	ipc	gw18	2.19475	0	0.147	4.67488	0.187	0.04	0.46948
PRELID1	pfc	ipc	gw18	2.1244	0	0.232	2.77097	0.363	0.131	0.76666
C17orf89	pfc	ipc	gw18	2.06386	0	0.13	4.51339	0.167	0.037	0.45727
HPCAL1	pfc	ipc	gw18	2.0564	0	0.141	4.43892	0.182	0.041	0.46327
STK17A	pfc	ipc	gw18	1.94679	0	0.11	4.43736	0.142	0.032	0.43873
HNRNPAB	pfc	ipc	gw18	1.86301	0	0.235	2.66665	0.376	0.141	0.69863
CHGA	pfc	ipc	gw18	1.82627	0	0.115	4.38222	0.149	0.034	0.41674
SRSF9	pfc	ipc	gw18	1.79424	0	0.157	3.45307	0.221	0.064	0.51961
RAC3	pfc	ipc	gw18	1.76714	0	0.186	3.21425	0.27	0.084	0.54978
EPHB6	pfc	ipc	gw18	1.71549	0	0.239	2.13269	0.45	0.211	0.80438
KLHDC2	pfc	ipc	gw18	1.65159	0	0.188	2.62067	0.304	0.116	0.63022
AP1S2	pfc	ipc	gw18	1.58049	0	0.237	2.29507	0.42	0.183	0.68864
TMEM165	pfc	ipc	gw18	1.56277	0	0.101	4.60698	0.129	0.028	0.33922
ZNF703	pfc	ipc	gw18	1.48247	0	0.126	3.06552	0.187	0.061	0.48359
RBP1	pfc	ipc	gw18	1.41481	0	0.279	2.21833	0.508	0.229	0.63778
