gene	individual	area	region	stage	cell_type	p_val_adj	avg_logfc	gene.score	enrichment_ratio	pct.1	pct.2
AAK1	gw14	somatosensory	msp	early	ipc	0.0371	0.41227	1.03067	2.5	0.275	0.11
AAK1	gw14	somatosensory	msp	early	neuron	0	0.59491	1.80434	3.03297	0.276	0.091
ABHD3	gw14	somatosensory	msp	early	rg	0	0.44183	3.6384	8.23481	0.14	0.017
ABRACL	gw14	v1	v1	early	neuron	0	0.39431	0.5779	1.46561	0.554	0.378
AC090498.1	gw14	v1	v1	early	ipc	0.00435	0.3203	0.35677	1.11385	0.949	0.852
AC090498.1	gw14	motor	msp	early	neuron	0	0.32602	0.35454	1.08747	0.92	0.846
AC090498.1	gw14	v1	v1	early	neuron	0	0.54935	0.62971	1.14628	0.956	0.834
AC090498.1	gw14	v1	v1	early	rg	0	0.40576	0.4339	1.06935	0.956	0.894
ACAT2	gw14	v1	v1	early	rg	0.00189	0.35515	0.43964	1.23789	0.588	0.475
ACTB	gw14	v1	v1	early	rg	0	0.30357	0.30357	1	1	1
ACTB	gw14	v1	v1	early	ipc	0.02391	0.29581	0.29462	0.996	0.996	1
ADAM17	gw14	motor	msp	early	neuron	0.00539	0.40618	1.11213	2.73803	0.115	0.042
AFF3	gw14	somatosensory	msp	early	ipc	0.0013	0.5539	1.50574	2.71845	0.28	0.103
AFF3	gw14	somatosensory	msp	early	neuron	0	0.60427	1.53459	2.53957	0.353	0.139
AKAP12	gw14	somatosensory	msp	early	rg	0	0.58855	1.88106	3.19608	0.326	0.102
AKAP12	gw14	somatosensory	msp	early	neuron	0	0.38032	0.98882	2.59997	0.195	0.075
AKAP9	gw14	somatosensory	msp	early	neuron	0	0.26123	0.31536	1.20722	0.635	0.526
AKIRIN1	gw14	somatosensory	msp	early	neuron	0	0.31125	0.91775	2.94864	0.115	0.039
AKIRIN1	gw14	somatosensory	msp	early	rg	0	0.50241	2.8134	5.59978	0.14	0.025
AKIRIN2	gw14	somatosensory	msp	early	ipc	0	0.68121	2.96417	4.35135	0.322	0.074
