p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS9	2.35860562320528e-109	0.306581619932357	0.999	0.988	6.61753979702707e-105	Motor	RPS9
RPS2	2.80446354036784e-103	0.318074341808689	1	0.99	7.86848335521004e-99	Motor	RPS2
RPS6	8.07872527455798e-81	0.268009734072178	1	0.988	2.26664795028273e-76	Motor	RPS6
RPSA	3.44808163817199e-79	0.277274643850466	0.998	0.98	9.67428265221915e-75	Motor	RPSA
RPL10A	7.58621336861875e-75	0.279615229486912	0.997	0.966	2.12846388483336e-70	Motor	RPL10A
TMSB4X	1.08623734515605e-72	0.310826078584736	1	1	3.04765611930434e-68	Motor	TMSB4X
HSPA1A	3.65923856481495e-55	0.294849671427131	0.985	0.973	1.02667256413013e-50	Motor	HSPA1A
HSPA1B	2.57227635304288e-50	0.26730679574156	0.968	0.949	7.2170357637324e-46	Motor	HSPA1B
NASP	2.20606648010861e-49	0.308862821625884	0.911	0.738	6.18956072324074e-45	Motor	NASP
IDH2	6.81400667909108e-37	0.270418053211882	0.852	0.679	1.91180585395258e-32	Motor	IDH2
POU3F2	1.21521524231989e-33	0.260271084046763	0.753	0.557	3.40952940537691e-29	Motor	POU3F2
HES6	4.82187257392211e-25	0.307731739524253	0.89	0.817	1.35287278806533e-20	Motor	HES6
INSM1	4.75999143720009e-24	0.310391634809414	0.672	0.528	1.33551079753523e-19	Motor	INSM1
RPS61	4.92188180642552e-60	0.371071326359644	1	0.99	1.38093237842881e-55	Parietal	RPS6
RPL4	1.80029839555417e-57	0.385991437999199	0.979	0.891	5.05109720840632e-53	Parietal	RPL4
RPL27A	5.62182766610035e-54	0.400753064052623	0.981	0.895	1.57731618827778e-49	Parietal	RPL27A
RPL37A	1.86490693854658e-52	0.324480864392537	1	0.989	5.23236939748014e-48	Parietal	RPL37A
RPS21	1.8723186718404e-52	0.360284892801108	1	0.992	5.2531644975826e-48	Parietal	RPS2
NR2F11	3.15179702087257e-48	0.424902524972546	0.844	0.524	8.84299690146217e-44	Parietal	NR2F1
POU3F21	1.91959182885355e-47	0.500958282123144	0.856	0.579	5.38579879421439e-43	Parietal	POU3F2
RPL10A1	4.09624457024876e-40	0.293543739156556	0.997	0.971	1.1492833390747e-35	Parietal	RPL10A
TPT1	2.75627039492297e-39	0.280167804216515	1	0.993	7.73326784703537e-35	Parietal	TPT1
NASP1	1.53691812721294e-38	0.401393490171109	0.931	0.764	4.31213118952136e-34	Parietal	NASP
ATP5B	2.22395172070526e-37	0.348430545959831	0.96	0.851	6.23974134278273e-33	Parietal	ATP5B
UBC	6.77801570757909e-37	0.378990802232334	0.974	0.905	1.90170786707546e-32	Parietal	UBC
RPL35	3.13421589024939e-36	0.25510728017871	0.997	0.978	8.79366952327272e-32	Parietal	RPL35
EEF2	5.62451136679182e-35	0.300243539486645	0.955	0.81	1.57806915418078e-30	Parietal	EEF2
DDX17	9.93204074309644e-34	0.3413171331766	0.843	0.603	2.78663267129057e-29	Parietal	DDX17
TMSB4X1	1.20094359335487e-33	0.296318197873446	1	1	3.36948743987576e-29	Parietal	TMSB4X
MT-ND1	1.39352391453086e-33	0.319335161025454	0.967	0.965	3.90981004699923e-29	Parietal	MT-ND1
