p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
H1FX	2.62498886738129e-87	0.424654280826682	0.92	0.81	7.36493126521169e-83	Motor	H1FX
RBP1	1.50526341137739e-38	0.353496646959116	0.64	0.509	4.22331755330155e-34	Motor	RBP1
PODXL2	1.75300688104854e-20	0.267864050952858	0.494	0.384	4.91841140615789e-16	Motor	PODXL2
EPHB6	1.17090928005664e-19	0.315688069145006	0.469	0.369	3.28522016705491e-15	Motor	EPHB6
AKAP8L	1.8230392438422e-17	0.263580137347706	0.295	0.187	5.11490120644805e-13	Motor	AKAP8L
RND3	3.46533299014523e-17	0.274457094783062	0.715	0.652	9.72268477045047e-13	Motor	RND3
RP11-436D23.1	2.02936566142274e-13	0.253492935399035	0.291	0.201	5.69379123625378e-09	Motor	RP11-436D23.1
PALMD	3.06546894857833e-12	0.253047287197057	0.335	0.254	8.60078622902623e-08	Motor	PALMD
RPL37A	1.35702935800339e-86	0.261042647595376	1	0.996	3.80741726975012e-82	Parietal	RPL37A
NR2F11	5.50345218840307e-64	0.462273255778308	0.817	0.461	1.54410358050025e-59	Parietal	NR2F1
MT-ND1	1.48249881813553e-54	0.276573699871619	0.993	0.981	4.15944693404287e-50	Parietal	MT-ND1
HES6	2.15006042366737e-52	0.288931326111941	0.997	0.986	6.03242453068354e-48	Parietal	HES6
RPL27A	4.06740087149345e-51	0.312040313004176	0.966	0.877	1.14119066251492e-46	Parietal	RPL27A
RPL4	1.75244844948735e-46	0.28031441360557	0.977	0.92	4.91684461472665e-42	Parietal	RPL4
PPDPF	4.47410051002921e-44	0.2651223776255	0.974	0.888	1.2552983800989e-39	Parietal	PPDPF
RPL35	1.05124724156504e-43	0.251120978889958	0.984	0.932	2.94948438565904e-39	Parietal	RPL35
ENC1	1.11113985497378e-36	0.305650984113425	0.968	0.87	3.11752509109994e-32	Parietal	ENC1
MTRNR2L12	1.45900485702901e-36	0.307562183275346	0.883	0.707	4.09352992736629e-32	Parietal	MTRNR2L12
CADM1	1.00596815926752e-32	0.357173106641894	0.507	0.27	2.82244486445688e-28	Parietal	CADM1
POU3F2	3.06437627599633e-32	0.295528114769866	0.836	0.641	8.59772051756289e-28	Parietal	POU3F2
TMEM158	1.05815342916506e-30	0.3325402006343	0.972	0.853	2.96886107620842e-26	Parietal	TMEM158
CORO1C	7.04744970790083e-29	0.271499372947873	0.753	0.523	1.97730296454574e-24	Parietal	CORO1C
LRP8	8.41293578810311e-29	0.311422650472444	0.7	0.471	2.36041739406809e-24	Parietal	LRP8
CASC15	3.64208641708703e-28	0.270674233942885	0.69	0.474	1.02186018604211e-23	Parietal	CASC15
DDX17	8.80961014800693e-26	0.28085790170468	0.745	0.518	2.4717123192263e-21	Parietal	DDX17
TMEM132A	1.22657041542699e-24	0.278670662937517	0.5	0.299	3.4413886145635e-20	Parietal	TMEM132A
SETBP1	4.79478227603509e-24	0.252621152267338	0.58	0.35	1.34527206318716e-19	Parietal	SETBP1
SOX5	1.77940665960063e-23	0.26553001005248	0.461	0.264	4.9924812648415e-19	Parietal	SOX5
PNN	2.0129772849499e-22	0.256672071459049	0.645	0.458	5.64781036838394e-18	Parietal	PNN
PENK	7.89902219691192e-21	0.302798512011849	0.416	0.253	2.21622865778758e-16	Parietal	PENK
SEZ6	2.26641108614462e-19	0.255863584588943	0.671	0.491	6.35886958439596e-15	Parietal	SEZ6
IVNS1ABP	2.88430438665452e-17	0.282957637552103	0.529	0.347	8.0924928176366e-13	Parietal	IVNS1ABP
MT-CO2	4.77880527025391e-102	0.489612594376896	1	0.995	1.34078939467514e-97	PFC	MT-CO2
FTH1	2.29979967391184e-89	0.385637387823246	1	1	6.45254794509445e-85	PFC	FTH1
RPS13	9.17744773262033e-87	0.353053041782756	1	1	2.57491651034129e-82	PFC	RPS13
RPL6	1.95430531267873e-85	0.346584576058337	1	1	5.48319441578272e-81	PFC	RPL6
RPL11	7.19878622923418e-83	0.330470234778318	1	1	2.01976345233623e-78	PFC	RPL11
RPL51	2.26148503527987e-79	0.380294938775734	1	0.999	6.34504856348474e-75	PFC	RPL5
PLPPR3	8.41383485276291e-79	0.563667578800142	0.293	0.03	2.36066964463969e-74	PFC	PLPPR3
MALAT1	3.02963403622874e-77	0.405136531674512	1	1	8.50024421544699e-73	PFC	MALAT1
MT-ND3	6.10323738548106e-74	0.482571422426116	0.992	0.988	1.71238531324442e-69	PFC	MT-ND3
ACTB	2.37110216177622e-66	0.336935143814724	1	1	6.65260133529554e-62	PFC	ACTB
H3F3B	6.50274456241336e-66	0.371508940231136	1	0.998	1.82447504187632e-61	PFC	H3F3B
RPL8	2.94446072995767e-59	0.324979335470958	0.997	0.999	8.26127347004224e-55	PFC	RPL8
GAPDH	1.58704071421934e-57	0.43914709988093	0.997	0.99	4.45276013188519e-53	PFC	GAPDH
HINT1	3.07549589092736e-56	0.440458643984017	0.982	0.959	8.6289188211749e-52	PFC	HINT1
STMN1	2.40549539303927e-55	0.326036281733735	1	0.999	6.74909842425029e-51	PFC	STMN1
RPL39	8.07312879462687e-55	0.269112811948115	1	1	2.26507774590846e-50	PFC	RPL39
MT-CYB	1.12505969814057e-52	0.336583689021984	0.997	0.996	3.156579995073e-48	PFC	MT-CYB
SRP14	1.405527711634e-48	0.316358552506244	0.997	0.994	3.94348910053152e-44	PFC	SRP14
PRDX1	3.00417024989979e-47	0.341567603646861	0.997	0.998	8.42880047014384e-43	PFC	PRDX1
FTL	1.00567610996521e-46	0.31057890410725	0.995	0.999	2.8216254617294e-42	PFC	FTL
RPS4Y1	3.81714258969962e-41	0.417474689924831	0.967	0.918	1.07097569639202e-36	PFC	RPS4Y1
HN1	2.97942433198079e-40	0.318388472281841	0.997	0.994	8.35937084823849e-36	PFC	HN1
SKP1	4.94029106025655e-40	0.381794672295874	0.975	0.945	1.38609746277618e-35	PFC	SKP1
FAU	1.37713751609356e-38	0.281190808675817	0.997	0.997	3.8638347289037e-34	PFC	FAU
FABP7	6.13202277317647e-37	0.392734854426406	0.997	0.985	1.72046162947012e-32	PFC	FABP7
RPS7	6.30054400142748e-36	0.256905050011477	0.997	0.998	1.76774363048051e-31	PFC	RPS7
NDUFB11	1.00970549181332e-35	0.413395042683352	0.941	0.903	2.83293069838063e-31	PFC	NDUFB11
ATP6V1G1	2.66258282071073e-34	0.372748280056483	0.964	0.923	7.4704086200681e-30	PFC	ATP6V1G1
H1FX2	4.93856909025003e-34	0.385323969789743	0.954	0.841	1.38561432965145e-29	PFC	H1FX
H2AFZ1	1.32235136251928e-31	0.460019462719003	0.972	0.918	3.71012121782035e-27	PFC	H2AFZ
RPS26	2.49844274480061e-29	0.298355805387255	0.98	0.973	7.00988080908707e-25	PFC	RPS26
CSRP21	7.96961137456684e-29	0.484785990953846	0.929	0.846	2.23603386336222e-24	PFC	CSRP2
C4orf481	2.94686330678159e-28	0.496706309846023	0.753	0.552	8.2680143798371e-24	PFC	C4orf48
PEBP1	5.56167518690919e-27	0.279195076785825	0.977	0.952	1.56043920719111e-22	PFC	PEBP1
MGST3	1.26604900463412e-26	0.366264924292966	0.908	0.812	3.55215369230196e-22	PFC	MGST3
COX7A2	3.30088985122323e-26	0.346502612657823	0.926	0.887	9.26130665557702e-22	PFC	COX7A2
RBP11	4.84784637845973e-25	0.476255639128209	0.776	0.54	1.36016025840445e-20	PFC	RBP1
HIST1H4C	7.48820798564701e-25	0.832499203340697	0.868	0.765	2.10096651453298e-20	PFC	HIST1H4C
MYL6	5.84234367258407e-24	0.276300295891901	0.995	0.988	1.63918636421691e-19	PFC	MYL6
ATP5C1	8.91990190357785e-24	0.357281702949476	0.87	0.777	2.50265687708684e-19	PFC	ATP5C1
ERH	1.49625160928108e-23	0.331223404188103	0.929	0.876	4.19803314015993e-19	PFC	ERH
GABARAPL2	3.794936029489e-23	0.328997053636918	0.916	0.872	1.06474520179373e-18	PFC	GABARAPL2
ATP5O	3.04748914767899e-22	0.342819517594153	0.903	0.863	8.55034030164295e-18	PFC	ATP5O
NDUFA4	4.62240328570529e-22	0.301626752945249	0.949	0.915	1.29690768987033e-17	PFC	NDUFA4
MT-ND2	9.5084803582477e-21	0.285633215740427	0.977	0.935	2.66779433411356e-16	PFC	MT-ND2
SERF2	7.65310622453148e-20	0.313441491208241	0.939	0.886	2.1472320134168e-15	PFC	SERF2
SF3B6	2.07747211421782e-19	0.322313838374412	0.865	0.774	5.82876351086094e-15	PFC	SF3B6
