p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HSP90AA1	4.42041373888211e-09	0.502810003793836	1	0.96	0.000124023548271815	Motor	HSP90AA1
PODXL2	3.72868438215239e-08	0.48377336580582	0.533	0.201	0.0010461569771005	Motor	PODXL2
POU3F2	5.14271766754155e-08	0.626192116119667	0.483	0.176	0.00144289229598213	Motor	POU3F2
HSPA1B	1.93735119933418e-07	0.514854837359885	0.967	0.839	0.00543562625997192	Motor	HSPA1B
CKB	1.97595237647761e-07	0.536298973233519	0.967	0.918	0.00554392958268323	Motor	CKB
NFIX	3.52794604566665e-07	0.575132010533536	0.433	0.156	0.00989835822032692	Motor	NFIX
H1FX	3.6958820567561e-07	0.500186127670848	0.833	0.566	0.0103695362866406	Motor	H1FX
MEIS2	3.89202677944941e-07	0.532113851769201	0.717	0.377	0.0109198595351012	Motor	MEIS2
HSPA1A	9.07035439242119e-07	0.481619264161111	0.983	0.938	0.0254486933188161	Motor	HSPA1A
EMX1	1.74004059258164e-06	0.411190053329033	0.433	0.164	0.0488203189060631	Motor	EMX1
RPSA	2.12239957545755e-06	0.284775250462553	1	0.926	0.0595481648886124	Motor	RPSA
CLMP	4.83668125525773e-06	0.560822156054453	0.317	0.107	0.135702765978766	Motor	CLMP
IGSF8	5.13412232554555e-06	0.297603397147126	0.283	0.084	0.144048070087832	Motor	IGSF8
SHF	5.85575180212404e-06	0.323787866202121	0.3	0.094	0.164294828312194	Motor	SHF
ST8SIA1	6.14975579792858e-06	0.326364029239743	0.283	0.084	0.172543698422482	Motor	ST8SIA1
TCF4	7.72699439342064e-06	0.505331274677759	0.8	0.474	0.216796281696203	Motor	TCF4
HNRNPR	8.22645852008117e-06	0.442407813479206	0.767	0.499	0.230809746697917	Motor	HNRNPR
RND3	1.060048352243e-05	0.677298148308961	0.517	0.258	0.29741776618882	Motor	RND3
PLXNA2	1.22852631851442e-05	0.43284317409872	0.4	0.161	0.344687629185592	Motor	PLXNA2
TMPO	1.47672325531812e-05	0.355911220241196	0.5	0.231	0.414324243744606	Motor	TMPO
SCRN1	1.50887188710836e-05	0.25128580967972	0.367	0.136	0.423344185365991	Motor	SCRN1
