p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
JUNB	2.1907373020771e-09	0.872226915360079	0.838	0.344	6.14655164843772e-05	Motor	JUNB
FAM195A	8.23643708509513e-08	0.375439965172933	0.378	0.066	0.00231089715296514	Motor	FAM195A
MRPL23	1.83708338663961e-07	0.600680253889795	0.622	0.208	0.00515430485789476	Motor	MRPL23
H1FX	2.67056934648529e-07	0.63767864116305	0.919	0.672	0.00749281641543379	Motor	H1FX
HSPA1B	2.58989786899309e-06	0.505490322992144	1	0.962	0.0726647645103392	Motor	HSPA1B
HSPA1A	2.70080104190738e-06	0.436761485302704	1	0.989	0.0757763748327954	Motor	HSPA1A
NEFL	3.5914093241889e-06	0.263720267485393	0.297	0.049	0.100764171408768	Motor	NEFL
PPP1R15A	1.532893242436e-05	0.477003655658356	0.622	0.246	0.430083857030269	Motor	PPP1R15A
NUP50	1.58093358877609e-05	0.394496674269472	0.378	0.104	0.443562537002907	Motor	NUP50
ATP6V0E2	1.76970862145871e-05	0.489927793736005	0.973	0.65	0.496527147922671	Motor	ATP6V0E2
TIPRL	2.17664544831908e-05	0.443567284287969	0.649	0.29	0.610701413434884	Motor	TIPRL
HSP90AA1	5.19449294092385e-05	0.343047772080814	1	0.984	1	Motor	HSP90AA1
UBC	8.0078011859755e-05	0.454821740151135	0.973	0.88	1	Motor	UBC
DPH2	9.39433846354076e-05	0.288952819790241	0.297	0.077	1	Motor	DPH2
RPS2	0.000109602255823629	0.276369526108533	1	1	1	Motor	RPS2
WBSCR16	0.000143371405116521	0.305200612450395	0.405	0.137	1	Motor	WBSCR16
PODXL2	0.000194739951046633	0.371649013534777	0.838	0.525	1	Motor	PODXL2
MYEF2	0.000223717037950282	0.315590525818044	0.622	0.284	1	Motor	MYEF2
MT-ND1	0.000258951807055796	0.297471783369043	1	0.945	1	Motor	MT-ND1
NR4A1	0.00026581631351433	0.290768863923782	0.378	0.12	1	Motor	NR4A1
RPS9	0.000344303999141476	0.272974403302094	1	0.973	1	Motor	RPS9
TRIM16	0.000344893578262095	0.316307399952859	0.351	0.115	1	Motor	TRIM16
LRRN3	0.000352524836466688	0.356270924544953	0.514	0.213	1	Motor	LRRN3
CDIPT	0.000395937443034636	0.264539230694349	0.405	0.148	1	Motor	CDIPT
CSNK2A2	0.00041413308163028	0.310869893508042	0.378	0.137	1	Motor	CSNK2A2
KANK1	0.000428905412596476	0.336648994371559	0.568	0.246	1	Motor	KANK1
RALY	0.000435427597224743	0.297497180024906	0.622	0.279	1	Motor	RALY
RPL23A	0.000436189177922635	0.300311038797448	1	0.973	1	Motor	RPL23A
CRMP1	0.000502308425496734	0.371438745437111	0.973	0.656	1	Motor	CRMP1
IRX2	0.000792131187704067	0.282297987942033	0.514	0.219	1	Motor	IRX2
PRADC1	0.000964185929155906	0.351634587610756	0.514	0.246	1	Motor	PRADC1
DNAJB1	0.000990008291202773	0.325999169983779	0.973	0.842	1	Motor	DNAJB1
FOS	0.00100942285133628	0.342371319102894	0.973	0.776	1	Motor	FOS
RALYL	0.00101006322917178	0.285617427871033	0.514	0.23	1	Motor	RALYL
GTF3C1	0.00105243042664411	0.279359095705158	0.351	0.137	1	Motor	GTF3C1
CHST11	0.00113623188275065	0.292196952811834	0.459	0.197	1	Motor	CHST11
EIF2B1	0.00131683274885779	0.296524825575754	0.541	0.273	1	Motor	EIF2B1
IMMT	0.00158004534691513	0.261750422252808	0.514	0.246	1	Motor	IMMT
ABHD17A	0.00162534890503409	0.274186828718812	0.486	0.235	1	Motor	ABHD17A
ID1	0.00175056353272877	0.280392970533435	0.351	0.131	1	Motor	ID1
THUMPD2	0.00177631539086612	0.270101977977797	0.378	0.158	1	Motor	THUMPD2
HERPUD1	0.00184021983798746	0.415964126608053	0.514	0.251	1	Motor	HERPUD1
RPL3	0.00204325571067079	0.26057719605347	1	0.989	1	Motor	RPL3
TMEM160	0.00218815831427486	0.314098431000542	0.703	0.41	1	Motor	TMEM160
SRSF5	0.00219454054340885	0.341597789638396	0.784	0.47	1	Motor	SRSF5
ODC1	0.00230163153216192	0.260203589544613	0.892	0.699	1	Motor	ODC1
ATXN7L3B	0.00232957069348678	0.316154913700762	0.514	0.251	1	Motor	ATXN7L3B
ATP5H	0.00233961634669426	0.327732386263097	0.946	0.667	1	Motor	ATP5H
GHITM	0.00262129404317276	0.280098339169151	0.811	0.508	1	Motor	GHITM
ABCE1	0.00293039546497434	0.352886698854585	0.541	0.29	1	Motor	ABCE1
VCP	0.00314874929176092	0.295328503026279	0.757	0.497	1	Motor	VCP
NASP	0.00392191333892742	0.359815943339675	0.757	0.514	1	Motor	NASP
EGR1	0.00434189164204318	0.359166405026965	0.703	0.437	1	Motor	EGR1
MAP2K2	0.00440248588164534	0.270115905304761	0.919	0.639	1	Motor	MAP2K2
BDP1	0.00522793031446153	0.288997141964495	0.459	0.23	1	Motor	BDP1
TSC22D1	0.00568693136061839	0.257790222943274	0.973	0.852	1	Motor	TSC22D1
NFIX	0.00587150314680345	0.272590116379538	0.378	0.175	1	Motor	NFIX
BAZ1A	0.00596571657924035	0.260888060851891	0.486	0.257	1	Motor	BAZ1A
INF2	0.00623374007950731	0.250973846322705	0.297	0.12	1	Motor	INF2
SRSF2	0.00668434780552351	0.27899844613401	0.919	0.645	1	Motor	SRSF2
RNPS1	0.00688440827437829	0.271719268660142	0.757	0.486	1	Motor	RNPS1
MYADM	0.00759351023671118	0.286462694916173	0.297	0.126	1	Motor	MYADM
CACNG4	0.0078379111051845	0.302655259358892	0.541	0.306	1	Motor	CACNG4
DTD1	0.00850653761511873	0.251877186320962	0.838	0.563	1	Motor	DTD1
XPNPEP1	0.00853061101281851	0.26352227042729	0.351	0.164	1	Motor	XPNPEP1
BTG2	0.00921177372750369	0.37029957130021	0.514	0.279	1	Motor	BTG2
GAP43	0.00930210184429797	0.348363833111467	0.703	0.497	1	Motor	GAP43
POLR2E	0.00999930288890307	0.270041712793883	0.838	0.508	1	Motor	POLR2E
RP11-74E22.3	8.66091990470331e-10	0.345676941141771	0.278	0.01	2.42999429766261e-05	Parietal	RP11-74E22.3
MIR181A1HG	1.2620052684033e-07	0.574374098958609	0.5	0.079	0.00354080818155915	Parietal	MIR181A1HG
NIPAL3	1.90964797708656e-07	0.283310725457276	0.278	0.02	0.00535789932931175	Parietal	NIPAL3
LMTK3	1.9770957024559e-07	0.299502706137594	0.389	0.045	0.00554713741238053	Parietal	LMTK3
NLGN4Y	3.3813154596566e-07	0.413574766714845	0.5	0.084	0.00948695678515852	Parietal	NLGN4Y
RFX7	8.28320418576287e-07	0.262781201720631	0.389	0.05	0.0232401859839949	Parietal	RFX7
MAST1	8.7471195881605e-07	0.3002665675215	0.444	0.069	0.0245417934285019	Parietal	MAST1
PI4KA	1.18264788945963e-06	0.385375983108306	0.5	0.094	0.0331815518345689	Parietal	PI4KA
COL6A1	1.43681039638889e-06	0.50232885454988	0.667	0.163	0.0403125892914831	Parietal	COL6A1
XRN1	2.36715128170418e-06	0.33665625001037	0.444	0.074	0.0664151635107741	Parietal	XRN1
DNPEP	3.54887928358952e-06	0.304487904852207	0.389	0.059	0.0995709060596713	Parietal	DNPEP
HNRNPUL1	3.70686078660466e-06	0.57535361196415	0.778	0.248	0.104003393089767	Parietal	HNRNPUL1
FBXL19	4.03169346374525e-06	0.400392379125088	0.278	0.03	0.1131172235123	Parietal	FBXL19
RAB30	4.44784279792338e-06	0.279028814566242	0.278	0.03	0.124793125381336	Parietal	RAB30
MAP2K4	6.97290523824054e-06	0.420129080972326	0.389	0.064	0.195638802269315	Parietal	MAP2K4
ABCD4	6.99610037269666e-06	0.553206766038672	0.722	0.213	0.19628958815675	Parietal	ABCD4
ELP2	7.93789988268385e-06	0.422623275361682	0.667	0.173	0.222713657008461	Parietal	ELP2
DDX39B	8.41918535337771e-06	0.464715149425228	0.556	0.129	0.236217083459718	Parietal	DDX39B
PHC1	9.67747727451324e-06	0.520082744930326	0.5	0.114	0.271520979891018	Parietal	PHC1
FAM189B	1.04559369953091e-05	0.256094225469616	0.333	0.05	0.293362224277387	Parietal	FAM189B
WDR92	1.18940495372389e-05	0.368342968637892	0.278	0.035	0.333711347866312	Parietal	WDR92
GPR173	1.48823067897925e-05	0.492385728941477	0.278	0.035	0.417552881601207	Parietal	GPR173
HSPH1	2.02812795814835e-05	0.966852466551278	1	0.53	0.569031861217682	Parietal	HSPH1
XYLT1	2.06044461941106e-05	0.611827057760985	0.5	0.119	0.578098946868161	Parietal	XYLT1
ZNF790-AS1	2.64060969899969e-05	0.259617789691982	0.333	0.054	0.740875863248343	Parietal	ZNF790-AS1
PLXNA3	2.73901812657925e-05	0.345889780519271	0.389	0.074	0.768486315774341	Parietal	PLXNA3
SBF1	4.11919473233608e-05	0.48585624159627	0.389	0.079	1	Parietal	SBF1
ZNF528	4.11919473233608e-05	0.344200346304465	0.389	0.079	1	Parietal	ZNF528
WDR26	4.66893728422891e-05	0.294575959505893	0.5	0.119	1	Parietal	WDR26
DYRK2	5.81393349310656e-05	0.412148321040961	0.389	0.084	1	Parietal	DYRK2
ZBTB10	5.94491525276033e-05	0.453735448802522	0.5	0.129	1	Parietal	ZBTB10
INTS6	6.1214113911181e-05	0.992195942948069	0.5	0.158	1	Parietal	INTS6
CACNB4	7.18334189813307e-05	0.541026037860353	0.444	0.114	1	Parietal	CACNB4
HSPA1A1	7.28403849242569e-05	0.63727599139762	1	0.99	1	Parietal	HSPA1A
RAD54L2	7.43306970824109e-05	0.475876146985751	0.333	0.064	1	Parietal	RAD54L2
EIF4B	8.79027648470856e-05	0.481039950346329	0.944	0.505	1	Parietal	EIF4B
RPL37A	9.12576303931442e-05	0.412735383454474	1	0.975	1	Parietal	RPL37A
PLK2	9.1589582754681e-05	0.473339548838343	0.5	0.139	1	Parietal	PLK2
LRRTM2	9.56203747122583e-05	0.472908219970108	0.722	0.248	1	Parietal	LRRTM2
RNF112	9.95423153570338e-05	0.600268451404269	0.389	0.084	1	Parietal	RNF112
EGR11	0.000103699013670182	0.866636763529479	0.833	0.45	1	Parietal	EGR1
MTRNR2L12	0.000122668463080301	0.762748454816129	1	0.733	1	Parietal	MTRNR2L12
OBSL1	0.00012725356376862	0.322332100033548	0.556	0.153	1	Parietal	OBSL1
HSP90AA11	0.000133468467487145	0.76733380927032	1	0.985	1	Parietal	HSP90AA1
ZDHHC8	0.000133881833032885	0.286535753198269	0.333	0.064	1	Parietal	ZDHHC8
VKORC1L1	0.000150120662665546	0.485214549579499	0.444	0.119	1	Parietal	VKORC1L1
SF3A2	0.000163278779414433	0.439408820006905	0.556	0.168	1	Parietal	SF3A2
THSD7A	0.000174844553238689	0.519277052090401	0.389	0.099	1	Parietal	THSD7A
ATP2C1	0.000177619005499004	0.261391527735483	0.389	0.084	1	Parietal	ATP2C1
CLASRP	0.000179162043137664	0.436354311459079	0.333	0.069	1	Parietal	CLASRP
KAT5	0.000194868661528521	0.311320761731329	0.5	0.144	1	Parietal	KAT5
CH17-189H20.1	0.000229846030976253	0.347440403524674	0.444	0.119	1	Parietal	CH17-189H20.1
BAIAP2	0.00022995619685373	0.369482067949687	0.278	0.05	1	Parietal	BAIAP2
ATP13A2	0.000230099679526726	0.523223033468047	0.5	0.149	1	Parietal	ATP13A2
NGRN	0.000240112347500737	0.454235292269882	0.333	0.074	1	Parietal	NGRN
PPP1R12C	0.000245319238338225	0.460765045806146	0.389	0.094	1	Parietal	PPP1R12C
MKRN1	0.000249515266056639	0.42306862240189	0.667	0.238	1	Parietal	MKRN1
SUPT7L	0.000258879900004945	0.410533635246297	0.389	0.094	1	Parietal	SUPT7L
GATAD2B	0.000266441554110509	0.451998533277965	0.444	0.119	1	Parietal	GATAD2B
TSN	0.000283192738912924	0.480886997966978	0.667	0.252	1	Parietal	TSN
PTPN23	0.000292675472372981	0.254299660698573	0.278	0.05	1	Parietal	PTPN23
COPA	0.000300352133356994	0.417217374589664	0.556	0.183	1	Parietal	COPA
PEAK1	0.000316795019077586	0.26746357378932	0.389	0.089	1	Parietal	PEAK1
RTN4RL2	0.000318673788014463	0.270601781562397	0.444	0.114	1	Parietal	RTN4RL2
TP53BP1	0.000327187210345716	0.470624807654333	0.5	0.158	1	Parietal	TP53BP1
RP11-421L21.3	0.000348574051236932	0.27644789761734	0.333	0.069	1	Parietal	RP11-421L21.3
ZNF559	0.000396126561606827	0.312073735609677	0.389	0.099	1	Parietal	ZNF559
PHLPP1	0.000414324546942064	0.307607212515508	0.556	0.163	1	Parietal	PHLPP1
ATF7IP2	0.000427802891219337	0.361102866527873	0.389	0.099	1	Parietal	ATF7IP2
PRRC2B	0.00042921494989002	0.497255832398097	0.667	0.277	1	Parietal	PRRC2B
ATXN7	0.000432928626713305	0.393719425473435	0.278	0.054	1	Parietal	ATXN7
RBM28	0.000436305821857394	0.396192475255687	0.389	0.104	1	Parietal	RBM28
MYO9B	0.00043755421404063	0.448287506671754	0.556	0.188	1	Parietal	MYO9B
