p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TMSB4X	5.61170927505268e-143	0.309200771610617	1	1	1.57447727130153e-138	Motor	TMSB4X
RPS2	4.03805883005015e-108	0.329720704793016	1	0.992	1.13295816594717e-103	Motor	RPS2
RPS9	2.34771347085453e-95	0.308302860695856	0.997	0.98	6.58697968517656e-91	Motor	RPS9
CKB	5.35731424779781e-89	0.276264982088724	0.999	0.997	1.50310165850463e-84	Motor	CKB
RPL3	5.78813271408543e-81	0.268110848272031	0.999	0.994	1.62397639559095e-76	Motor	RPL3
RPSA	1.00491136313376e-76	0.290112468757014	0.994	0.957	2.81947981154438e-72	Motor	RPSA
S100A16	2.83521093635853e-75	0.407456310657251	0.537	0.241	7.95475132414112e-71	Motor	S100A16
RPS6	2.22510701930979e-74	0.269224015600492	0.997	0.975	6.24298276407747e-70	Motor	RPS6
TPT1	1.07709762114817e-73	0.251345839141681	0.997	0.986	3.02201279565543e-69	Motor	TPT1
C8orf4	3.70685282883042e-73	0.462448779226742	0.842	0.614	1.04003169818495e-68	Motor	C8orf4
HSPA1A	7.71298900766983e-68	0.307962952623163	0.992	0.98	2.16403332588192e-63	Motor	HSPA1A
HSP90AA1	4.20460935775239e-61	0.264869962935748	0.998	0.996	1.17968724750459e-56	Motor	HSP90AA1
RPL10A	1.77852585024089e-59	0.260197432162918	0.996	0.958	4.99000997802086e-55	Motor	RPL10A
HSPA1B	6.29719683107631e-55	0.261033914292343	0.981	0.956	1.76680451489508e-50	Motor	HSPA1B
LAMP5	3.03310546500122e-50	0.255916299809681	0.619	0.335	8.50998400315393e-46	Motor	LAMP5
ID4	1.11672761878708e-48	0.364504069288129	0.954	0.89	3.13320268003091e-44	Motor	ID4
DDX5	4.16953618377164e-42	0.278876645668952	0.852	0.663	1.16984676708081e-37	Motor	DDX5
UBC	1.56399916446938e-41	0.264074025058773	0.966	0.883	4.38811245575175e-37	Motor	UBC
GLTSCR2	3.93454371176787e-41	0.275515342511901	0.697	0.478	1.10391492921071e-36	Motor	GLTSCR2
ID2	6.50252353533994e-40	0.30847729112506	0.595	0.396	1.82441302831033e-35	Motor	ID2
GAS1	7.50226358757589e-39	0.368422915965289	0.515	0.313	2.10491009476617e-34	Motor	GAS1
NASP	8.87178539968384e-38	0.288787842975214	0.744	0.555	2.48915682958929e-33	Motor	NASP
S100A6	2.23237266807071e-37	0.283849337353765	0.545	0.346	6.26336799480598e-33	Motor	S100A6
H1FX	2.15803257473254e-33	0.251784326173989	0.933	0.847	6.05479199492708e-29	Motor	H1FX
LRRC10B	4.46839309393505e-33	0.298806432433906	0.307	0.16	1.25369705036536e-28	Motor	LRRC10B
CALR	9.09132701272897e-33	0.27855524540284	0.799	0.642	2.55075361996137e-28	Motor	CALR
NRG1	1.27704058628951e-32	0.342816570389891	0.714	0.552	3.58299277295247e-28	Motor	NRG1
IDH2	1.44090630772992e-32	0.262630134256477	0.65	0.476	4.04275082759783e-28	Motor	IDH2
TKTL1	7.61391784861401e-32	0.282223756061087	0.618	0.428	2.13623693078563e-27	Motor	TKTL1
JUNB	1.74646862924537e-30	0.435783511998281	0.384	0.223	4.90006703307374e-26	Motor	JUNB
CYBA	4.81391819879459e-30	0.25697939977689	0.466	0.272	1.3506410290358e-25	Motor	CYBA
SOX3	3.19828486331723e-29	0.253552783961094	0.552	0.379	8.97342784100915e-25	Motor	SOX3
FAM107A	1.11210319762596e-27	0.250984673800874	0.588	0.438	3.12022794157917e-23	Motor	FAM107A
FAM181B	2.99342348199891e-27	0.299370826919165	0.702	0.558	8.39864826344433e-23	Motor	FAM181B
FOSB	1.43761003705073e-26	0.282476333647679	0.441	0.279	4.03350248095323e-22	Motor	FOSB
ARC	2.98712085839693e-24	0.369221375452735	0.376	0.218	8.38096499240426e-20	Motor	ARC
SAT1	1.82084202497598e-19	0.274431177432084	0.822	0.712	5.1087364694751e-15	Motor	SAT1
JUN	9.70064940411416e-19	0.27303922014984	0.963	0.929	2.72171120331231e-14	Motor	JUN
INSM1	5.56889354380562e-17	0.262833798547973	0.269	0.148	1.56246446158554e-12	Motor	INSM1
EGR1	2.19067497564438e-14	0.260698724366099	0.59	0.483	6.14637677916544e-10	Motor	EGR1
HES6	7.85690476871563e-12	0.336512765833621	0.551	0.44	2.20441177095854e-07	Motor	HES6
IER2	1.22207306089142e-10	0.258812484434155	0.712	0.628	3.42877038694306e-06	Motor	IER2
RPS21	2.06909392625236e-74	0.372875310697549	1	0.993	5.80525682888623e-70	Parietal	RPS2
TMSB4X1	1.5962369322362e-73	0.354910746664118	1	1	4.47856196077511e-69	Parietal	TMSB4X
RPS61	2.6198172765034e-71	0.388637797465806	1	0.978	7.35042133268558e-67	Parietal	RPS6
ATP5B	5.02612603561961e-62	0.401290592472427	0.943	0.744	1.41018018181379e-57	Parietal	ATP5B
RPL27A	6.20573092468908e-62	0.41905722327144	0.971	0.844	1.74114192554002e-57	Parietal	RPL27A
NR2F11	6.03272890117274e-58	0.408448822436435	0.818	0.475	1.69260274780204e-53	Parietal	NR2F1
ADGRV1	1.39215092965548e-57	0.506443461650781	0.764	0.446	3.90595786333439e-53	Parietal	ADGRV1
RPL4	1.01198842480563e-53	0.376700868295364	0.97	0.83	2.83933592347714e-49	Parietal	RPL4
RPL37A	5.71753304668606e-51	0.295155961454049	0.999	0.985	1.60416824690871e-46	Parietal	RPL37A
EEF2	1.81478948861856e-48	0.399831750679869	0.964	0.799	5.0917548682171e-44	Parietal	EEF2
UBC1	6.67626507742779e-48	0.438322101818882	0.974	0.893	1.87315969277392e-43	Parietal	UBC
RPS16	7.89752559893092e-46	0.284914493335072	0.999	0.947	2.21580875729205e-41	Parietal	RPS16
TPT11	2.33359798855413e-44	0.275957352308301	0.999	0.988	6.54737587648632e-40	Parietal	TPT1
RPL10A1	1.00268121670969e-43	0.307985517979597	0.995	0.963	2.81322268972238e-39	Parietal	RPL10A
CFL1	3.89368142717047e-43	0.253753900404698	0.991	0.955	1.09245019802122e-38	Parietal	CFL1
MAP1B	1.03408568546995e-40	0.266035696528657	0.995	0.967	2.90133420772305e-36	Parietal	MAP1B
HLA-A	3.89360444215529e-40	0.357539270798107	0.675	0.375	1.09242859833551e-35	Parietal	HLA-A
TRIM28	1.45537230026184e-39	0.340085742601216	0.686	0.392	4.08333806284465e-35	Parietal	TRIM28
HNRNPA1	8.18095225424674e-39	0.279422889301487	0.992	0.946	2.29532977397401e-34	Parietal	HNRNPA1
MT-ND1	1.19100866309933e-38	0.340501053550093	0.96	0.941	3.34161300605778e-34	Parietal	MT-ND1
JAM3	4.48060688158397e-38	0.308972613201764	0.572	0.28	1.25712387276601e-33	Parietal	JAM3
DDX17	5.3822693763451e-38	0.369545696128031	0.805	0.56	1.51010331892114e-33	Parietal	DDX17
POU3F2	1.98871881883833e-37	0.364256561249694	0.621	0.341	5.57974839001471e-33	Parietal	POU3F2
MLC1	2.84932074330493e-37	0.286576908706133	0.611	0.328	7.99433920949065e-33	Parietal	MLC1
SYNE2	7.35606559817447e-36	0.392739157218142	0.827	0.591	2.06389132487981e-31	Parietal	SYNE2
EIF4G2	1.21210440258323e-34	0.321214195965709	0.742	0.477	3.40080132232778e-30	Parietal	EIF4G2
GLI3	1.79352155791092e-34	0.317081961058423	0.743	0.491	5.03208343503066e-30	Parietal	GLI3
HNRNPC	4.74641709264474e-33	0.314519248510494	0.881	0.657	1.33170224368334e-28	Parietal	HNRNPC
SOX9	5.80066612668634e-33	0.333964306175723	0.797	0.582	1.62749289516439e-28	Parietal	SOX9
RPL13A	6.73055387257343e-33	0.288311176299476	0.974	0.871	1.88839150002793e-28	Parietal	RPL13A
RPL35	2.42232502362456e-32	0.259645191727479	0.995	0.957	6.79631731878343e-28	Parietal	RPL35
HSP90AA11	1.12652867956847e-31	0.370209215385763	0.988	0.997	3.16070151626525e-27	Parietal	HSP90AA1
PTMS	1.28616174475715e-31	0.348437075493686	0.926	0.792	3.60858400726514e-27	Parietal	PTMS
PHIP	1.65850329231707e-31	0.334231312081671	0.85	0.64	4.65326268725399e-27	Parietal	PHIP
GLTSCR21	1.6596538417824e-31	0.326854224250259	0.763	0.501	4.65649078388888e-27	Parietal	GLTSCR2
ITGB8	1.16582451006249e-30	0.317806552259829	0.686	0.447	3.27095382788232e-26	Parietal	ITGB8
EIF3E	1.45655585759184e-30	0.302922936345742	0.864	0.641	4.08665876964543e-26	Parietal	EIF3E
PNN	1.4582670878143e-30	0.306901647244047	0.75	0.482	4.09145996828059e-26	Parietal	PNN
VPS51	1.68624450257054e-30	0.251300773773982	0.506	0.256	4.73109620086216e-26	Parietal	VPS51
TMEM132B	2.43398097575271e-29	0.322639992051646	0.731	0.471	6.82902042366938e-25	Parietal	TMEM132B
FSTL1	9.80102859413548e-29	0.270292023022905	0.528	0.29	2.74987459265659e-24	Parietal	FSTL1
BPTF	1.79865314500267e-28	0.264638169165436	0.618	0.37	5.04648112893399e-24	Parietal	BPTF
DPYSL3	2.83406172173248e-27	0.264884537272383	0.586	0.316	7.95152697266481e-23	Parietal	DPYSL3
PNISR	4.03963106757689e-27	0.320661085759469	0.843	0.719	1.13339928863005e-22	Parietal	PNISR
WSB1	6.86769420741333e-27	0.343076714535035	0.841	0.7	1.92686896377396e-22	Parietal	WSB1
HSPA1B1	1.36210556400402e-26	0.302509743374812	0.947	0.962	3.82165958092609e-22	Parietal	HSPA1B
NKTR	1.65242302860512e-26	0.295635736394959	0.617	0.363	4.63620329135739e-22	Parietal	NKTR
RTN3	2.0250667625012e-26	0.2541112937431	0.842	0.632	5.68172981554962e-22	Parietal	RTN3
PBX1	2.90468992282654e-26	0.271306485091044	0.618	0.372	8.14968851647442e-22	Parietal	PBX1
DDX51	3.21059589109241e-26	0.284179952390326	0.872	0.686	9.00796889163797e-22	Parietal	DDX5
EIF4A2	4.23294739516089e-26	0.259599981803175	0.922	0.738	1.18763805066029e-21	Parietal	EIF4A2
NASP1	6.87489369158842e-26	0.33737457899213	0.809	0.575	1.92888892304896e-21	Parietal	NASP
ATRX	2.32919534058677e-25	0.26370265455204	0.667	0.429	6.53502336708429e-21	Parietal	ATRX
FBXO32	3.33881316162512e-25	0.346778985075128	0.628	0.408	9.36770808757161e-21	Parietal	FBXO32
AKAP12	4.32639405804802e-25	0.300840269258065	0.769	0.563	1.21385638086653e-20	Parietal	AKAP12
SRSF5	8.62816978737716e-25	0.314027703700991	0.755	0.529	2.42080559724441e-20	Parietal	SRSF5
SCRN1	2.75241462622536e-24	0.263534599256643	0.751	0.489	7.7224497168005e-20	Parietal	SCRN1
GPC1	4.82682941911463e-24	0.270746165044148	0.673	0.439	1.35426353012099e-19	Parietal	GPC1
CCDC88A	7.47760471115283e-24	0.258245418451802	0.585	0.349	2.09799155380815e-19	Parietal	CCDC88A
AGO3	9.44925491177773e-24	0.260537401742555	0.553	0.311	2.65117745059748e-19	Parietal	AGO3
MTRNR2L12	5.32138864313296e-23	0.309496404969596	0.796	0.571	1.49302201160381e-18	Parietal	MTRNR2L12
KIF1B	8.97985110497576e-23	0.262042853771378	0.721	0.47	2.51947682452305e-18	Parietal	KIF1B
HNRNPU	9.24858133386928e-23	0.253043626847835	0.759	0.538	2.5948744648437e-18	Parietal	HNRNPU
FAM107A1	9.80019898214918e-23	0.33957221433477	0.643	0.453	2.7496418284216e-18	Parietal	FAM107A
ZNF292	1.03732313499002e-22	0.252011830190808	0.621	0.383	2.91041751984149e-18	Parietal	ZNF292
TPM2	1.32804840298473e-22	0.261186790355059	0.739	0.533	3.72610540425426e-18	Parietal	TPM2
MAP2	5.56118344855832e-22	0.259088859828573	0.685	0.426	1.56030124016201e-17	Parietal	MAP2
ID21	2.35252342719117e-21	0.261208294224966	0.64	0.419	6.60047497967026e-17	Parietal	ID2
QKI	4.9685510135096e-21	0.283982793382502	0.899	0.754	1.39402635786039e-16	Parietal	QKI
MAP4K4	9.50138412286675e-21	0.251993469392632	0.499	0.277	2.66580334335272e-16	Parietal	MAP4K4
HSPA1A1	1.39334742659952e-20	0.285756798489374	0.979	0.983	3.90931487481027e-16	Parietal	HSPA1A
IER5	1.72937050719748e-19	0.295130060607393	0.369	0.197	4.85209483204398e-15	Parietal	IER5
CALR1	2.49959581629966e-19	0.288860216226427	0.85	0.658	7.01311598179194e-15	Parietal	CALR
H2AFX	1.95205395504531e-18	0.270313264036435	0.593	0.388	5.47687778167063e-14	Parietal	H2AFX
