p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DUSP6	3.86775505969015e-06	0.480054892727286	0.783	0.484	0.108517603709727	Motor	DUSP6
PMEPA1	4.23033775444412e-05	0.414290284504413	0.797	0.566	1	Motor	PMEPA1
HSPA1A	4.41071253459566e-05	0.297080412076631	1	1	1	Motor	HSPA1A
CLTC	0.000117134237367014	0.307576884267814	0.565	0.335	1	Motor	CLTC
VOPP1	0.000186095255457492	0.475707068779993	0.464	0.281	1	Motor	VOPP1
JUNB	0.000395321208211727	0.310323376182294	0.957	0.837	1	Motor	JUNB
NR4A1	0.000438106800903194	0.4333372091537	0.652	0.452	1	Motor	NR4A1
NEAT1	0.00046449808757587	0.313610417895882	0.826	0.697	1	Motor	NEAT1
UACA	0.000651384694943441	0.32272009507014	0.754	0.516	1	Motor	UACA
EFCAB14	0.000783771615554186	0.349639315788713	0.536	0.353	1	Motor	EFCAB14
DENND2C	0.00097457280359995	0.263411043963075	0.29	0.131	1	Motor	DENND2C
SLC2A3	0.00101251314060589	0.338887271744555	0.768	0.57	1	Motor	SLC2A3
WAC	0.00113700959703087	0.409299214053396	0.507	0.33	1	Motor	WAC
SPARC	0.00128761616430716	0.330378696706001	0.971	0.864	1	Motor	SPARC
PTPN9	0.00129030061461687	0.338847849111171	0.261	0.118	1	Motor	PTPN9
VCL	0.00173497333194945	0.294821680813077	0.551	0.353	1	Motor	VCL
ZFP36L1	0.00200022655316785	0.331242512000934	0.797	0.688	1	Motor	ZFP36L1
RB1CC1	0.00214363385553677	0.29302992855498	0.42	0.262	1	Motor	RB1CC1
ZBTB1	0.00225100729721576	0.349027690932581	0.348	0.204	1	Motor	ZBTB1
TEAD1	0.00231751896444737	0.299306844539585	0.406	0.244	1	Motor	TEAD1
PLEKHA1	0.00255487710756717	0.363220370583492	0.478	0.321	1	Motor	PLEKHA1
APP	0.00292627087706911	0.314971945778835	0.739	0.57	1	Motor	APP
KRR1	0.00300651442452762	0.334195482862792	0.478	0.312	1	Motor	KRR1
CAST	0.00302934593740078	0.312388403592745	0.493	0.33	1	Motor	CAST
FSTL1	0.00338367732096576	0.332713204488037	0.681	0.538	1	Motor	FSTL1
MTDH	0.00350807453539299	0.26108444309618	0.725	0.566	1	Motor	MTDH
FDPS	0.00363525812993551	0.264926758890008	0.783	0.593	1	Motor	FDPS
C1orf115	0.00373409156857405	0.33704461033959	0.522	0.348	1	Motor	C1orf115
TJP1	0.00414310486147364	0.340097842041128	0.652	0.489	1	Motor	TJP1
CYYR1	0.00414408198883594	0.274202718958	0.536	0.353	1	Motor	CYYR1
CCDC50	0.00418480457599961	0.276161421060682	0.565	0.389	1	Motor	CCDC50
CDH11	0.00451209130408474	0.267792928508618	0.667	0.489	1	Motor	CDH11
LDLR	0.00497498130241456	0.328910949054043	0.507	0.357	1	Motor	LDLR
NID1	0.00533176640385	0.378535673130713	0.609	0.484	1	Motor	NID1
RPS6KA3	0.0053872372934344	0.346410472271677	0.406	0.253	1	Motor	RPS6KA3
TNS3	0.00586296664243034	0.363482561039069	0.391	0.249	1	Motor	TNS3
FLT1	0.00588738946657539	0.318115249867204	0.667	0.516	1	Motor	FLT1
TPMT	0.00604526722213318	0.307780185265538	0.261	0.136	1	Motor	TPMT
TMEM109	0.00668020009562379	0.338531013196387	0.638	0.502	1	Motor	TMEM109
AGRN	0.00768346421957269	0.26132462925186	0.681	0.561	1	Motor	AGRN
RBMS3	0.00868371193997387	0.289190788340841	0.362	0.235	1	Motor	RBMS3
FRMD4B	0.00871824148536802	0.341612735369337	0.493	0.357	1	Motor	FRMD4B
ZCRB1	0.00970658013766411	0.288792028838622	0.478	0.33	1	Motor	ZCRB1
MSN	0.00983203892372855	0.287141655932772	0.565	0.425	1	Motor	MSN
CANX	0.00993431474203552	0.311757756724316	0.551	0.452	1	Motor	CANX
GPR162	1.77426703716768e-10	0.316401917331778	0.625	0.095	4.97806102618137e-06	Parietal	GPR162
RIN1	2.5908154742476e-09	0.442388468421491	0.438	0.047	7.2690509760965e-05	Parietal	RIN1
ITCH	6.11584633798404e-09	0.30918152055394	0.562	0.095	0.000171592300704818	Parietal	ITCH
DCAKD	2.16409319422724e-08	0.277835154411482	0.438	0.055	0.000607179627504336	Parietal	DCAKD
NR1H3	2.57576030091308e-07	0.370700764176188	0.375	0.047	0.00722681067627182	Parietal	NR1H3
EBF4	2.5975773993555e-07	0.274897842247996	0.438	0.066	0.00728802290937172	Parietal	EBF4
CLIP3	6.62290467161111e-07	0.439696588888859	0.562	0.131	0.0185818836371393	Parietal	CLIP3
MARVELD1	6.73647369485851e-07	0.556354776623565	0.562	0.124	0.0189005242456645	Parietal	MARVELD1
PPP1R12B	9.44303976344528e-07	0.261890695771737	0.5	0.099	0.0264943366642984	Parietal	PPP1R12B
PEX12	1.06726478105103e-06	0.25007009395582	0.312	0.036	0.0299442479619487	Parietal	PEX12
DLG4	1.31380111909935e-06	0.278319407121475	0.5	0.102	0.0368613179985703	Parietal	DLG4
KCNJ2-AS1	1.47288042539058e-06	0.395359422854743	0.312	0.036	0.0413246060951834	Parietal	KCNJ2-AS1
RANBP3	2.13098978235295e-06	0.254900271694821	0.562	0.124	0.0597891803234766	Parietal	RANBP3
FAAP100	2.66347065444791e-06	0.442337006185963	0.625	0.161	0.0747289961518449	Parietal	FAAP100
KLHL24	4.06505956241905e-06	0.315489523226428	0.688	0.204	0.114053376142791	Parietal	KLHL24
ST6GALNAC6	4.15258047814627e-06	0.771735182957487	0.812	0.296	0.11650895047535	Parietal	ST6GALNAC6
ITGA10	5.98753057343256e-06	0.302127548733338	0.5	0.109	0.167992145298797	Parietal	ITGA10
CALCOCO2	9.69400755493886e-06	0.497470312101196	0.688	0.226	0.27198476996892	Parietal	CALCOCO2
IL10RB	1.12467755263297e-05	0.51761691082402	0.688	0.226	0.315550780942232	Parietal	IL10RB
TWF2	1.27282547730649e-05	0.352481079616197	0.875	0.325	0.357116644167881	Parietal	TWF2
PQBP1	1.30458568398638e-05	0.572657203437942	0.875	0.336	0.366027605356058	Parietal	PQBP1
WAC-AS1	1.45135721574955e-05	0.279646638711975	0.375	0.066	0.40720729402285	Parietal	WAC-AS1
BROX	1.63390769996341e-05	0.338464225523757	0.625	0.19	0.458425483378735	Parietal	BROX
ABCA9	1.69967342501071e-05	0.267983024789816	0.562	0.153	0.476877372855255	Parietal	ABCA9
ZNF430	1.74610732158844e-05	0.2838150191581	0.5	0.117	0.489905331218067	Parietal	ZNF430
PCNXL4	1.7763963001219e-05	0.306738329820478	0.625	0.182	0.498403509925201	Parietal	PCNXL4
UVRAG	1.80337249395146e-05	0.383539900011742	0.562	0.157	0.505972220627963	Parietal	UVRAG
SCO1	1.92560912116122e-05	0.377806414333992	0.562	0.153	0.540268151124203	Parietal	SCO1
ZNF37A	1.92809464341059e-05	0.27402606882965	0.562	0.15	0.540965514101709	Parietal	ZNF37A
MOSPD3	1.99229093185116e-05	0.270431419820037	0.688	0.215	0.55897706674948	Parietal	MOSPD3
ST8SIA1	2.30782943939195e-05	0.346590676416347	0.625	0.19	0.647507705810199	Parietal	ST8SIA1
FBXL20	2.33439723344793e-05	0.301450670253034	0.438	0.095	0.654961831788486	Parietal	FBXL20
VPS53	2.36421531144438e-05	0.452448658402406	0.5	0.135	0.663327889931949	Parietal	VPS53
SNAPC1	2.36698169360248e-05	0.449917572968559	0.562	0.153	0.664104053774047	Parietal	SNAPC1
PSMB8	2.75643889589708e-05	0.392129300132483	0.75	0.259	0.773374061021843	Parietal	PSMB8
RPL37A	2.78741764833303e-05	0.632866536179183	1	0.832	0.782065769592797	Parietal	RPL37A
SLC35F5	2.94366891411415e-05	0.366338183229853	0.438	0.099	0.825905187233007	Parietal	SLC35F5
BTBD2	3.03437834978576e-05	0.477189725952124	0.562	0.161	0.851355533599389	Parietal	BTBD2
LDOC1	3.16340578010374e-05	0.294191113916389	0.375	0.069	0.887556759723706	Parietal	LDOC1
ZMYM5	3.80010351242977e-05	0.284847102120826	0.562	0.164	1	Parietal	ZMYM5
FHL1	4.39465484384021e-05	0.323690916530905	0.5	0.128	1	Parietal	FHL1
MYOF	4.94856083269656e-05	0.305880383530109	0.625	0.193	1	Parietal	MYOF
RP11-713P17.3	5.52786866467853e-05	0.283975175453055	0.375	0.073	1	Parietal	RP11-713P17.3
DPYSL4	6.32689149872585e-05	0.302638625641303	0.375	0.077	1	Parietal	DPYSL4
DACT3	6.81023235664838e-05	0.295136792530796	0.5	0.146	1	Parietal	DACT3
CANT1	6.91632488024619e-05	0.256992109948699	0.5	0.135	1	Parietal	CANT1
ARIH2OS	7.65958974718914e-05	0.340181695476938	0.5	0.135	1	Parietal	ARIH2OS
TEAD11	7.82628826354531e-05	0.475120068200879	0.688	0.259	1	Parietal	TEAD1
SLC9A1	8.2573206417776e-05	0.334359139878743	0.688	0.248	1	Parietal	SLC9A1
IDH3G	8.36064983776464e-05	0.437577013640581	0.875	0.416	1	Parietal	IDH3G
ZNF277	8.65123768868054e-05	0.340025401842016	0.5	0.135	1	Parietal	ZNF277
CCDC92	8.67180917275879e-05	0.349933234108613	0.625	0.215	1	Parietal	CCDC92
RNF152	8.72687247034182e-05	0.371259259292392	0.5	0.139	1	Parietal	RNF152
PTGDR2	9.16159507669493e-05	0.655519767136019	0.562	0.179	1	Parietal	PTGDR2
HMBOX1	0.000102985045839092	0.263542778567669	0.562	0.182	1	Parietal	HMBOX1
FBXO21	0.000105727836317464	0.362310180648867	0.625	0.208	1	Parietal	FBXO21
ADRBK1	0.000111872389532778	0.273627113066534	0.625	0.219	1	Parietal	ADRBK1
PNPLA6	0.000117846880001827	0.279145503032625	0.562	0.19	1	Parietal	PNPLA6
COLEC12	0.000118158937658529	0.828216716560779	0.75	0.325	1	Parietal	COLEC12
FAM126A	0.000122635734581893	0.385951778857229	0.5	0.142	1	Parietal	FAM126A
DHX30	0.000139970508214122	0.277763408642392	0.562	0.186	1	Parietal	DHX30
PFDN6	0.000142442644691219	0.315527404542516	0.562	0.186	1	Parietal	PFDN6
RP11-181E10.3	0.00014254338088904	0.39759361371198	0.375	0.088	1	Parietal	RP11-181E10.3
EIF2B4	0.000147880944931699	0.474359512632946	0.562	0.19	1	Parietal	EIF2B4
ARMCX6	0.000154550547447194	0.253303903505283	0.688	0.259	1	Parietal	ARMCX6
PPP2R5D	0.000164834019276056	0.354180920509965	0.375	0.084	1	Parietal	PPP2R5D
NRSN2	0.000165948159519679	0.414972625402008	0.5	0.15	1	Parietal	NRSN2
ABT1	0.000181084267047636	0.339765675155913	0.688	0.277	1	Parietal	ABT1
GPSM3	0.000188927597616081	0.330554139924199	0.625	0.223	1	Parietal	GPSM3
FNDC4	0.000191033027671915	0.31780504032126	0.5	0.139	1	Parietal	FNDC4
SCARB2	0.000204975180427799	0.287481702311843	0.812	0.343	1	Parietal	SCARB2
ACYP1	0.000205543467933909	0.279471289617691	0.625	0.219	1	Parietal	ACYP1
KLHDC3	0.000205622729831458	0.31705051610791	0.688	0.285	1	Parietal	KLHDC3
SDCCAG8	0.000215494895765723	0.301520429917223	0.5	0.15	1	Parietal	SDCCAG8
PLEKHO1	0.000240964711446322	0.366253699279351	0.688	0.259	1	Parietal	PLEKHO1
C8orf58	0.000251858727126404	0.346986761561034	0.75	0.314	1	Parietal	C8orf58
GJC1	0.000252554237810109	0.426449621372844	0.625	0.237	1	Parietal	GJC1
PHF1	0.0002537912008461	0.290882757707003	0.562	0.197	1	Parietal	PHF1
MED27	0.000254062313737451	0.303972406861208	0.438	0.12	1	Parietal	MED27
MAT2A	0.000256995547117309	0.389832614000102	0.625	0.252	1	Parietal	MAT2A
EVI5	0.00026798771665085	0.390916105885466	0.562	0.204	1	Parietal	EVI5
PPP1R11	0.000270211080368923	0.495562378166786	0.625	0.241	1	Parietal	PPP1R11
ASNS	0.000285125870994749	0.371649542838418	0.375	0.091	1	Parietal	ASNS
AGO2	0.000288570064666334	0.391443420625063	0.625	0.245	1	Parietal	AGO2
ARPC4	0.000297587418307606	0.493190280032872	0.75	0.31	1	Parietal	ARPC4
WDR13	0.000309604988148587	0.283300908875542	0.75	0.296	1	Parietal	WDR13
HDAC1	0.000316993883749068	0.335749968438754	0.688	0.274	1	Parietal	HDAC1
CMTM3	0.00031837477477576	0.329211479118888	0.875	0.394	1	Parietal	CMTM3
HIC1	0.000323650491198296	0.496813681931785	0.812	0.401	1	Parietal	HIC1
FGD5-AS1	0.000323898399638209	0.410330328337874	0.812	0.369	1	Parietal	FGD5-AS1
PRKACA	0.000370281752821684	0.276370784021534	0.562	0.204	1	Parietal	PRKACA
GPC1	0.000375201975014032	0.272211862361434	0.562	0.186	1	Parietal	GPC1
RPL27A	0.000382261518262635	0.562649832794086	1	0.73	1	Parietal	RPL27A
SMG6	0.000391211750754903	0.462593615278416	0.438	0.139	1	Parietal	SMG6
ZBED6	0.000409708073530628	0.389687094866425	0.5	0.164	1	Parietal	ZBED6
COLEC11	0.00041909631452219	0.328679227763235	0.438	0.128	1	Parietal	COLEC11
SH2D3C	0.00042114889877766	0.336583851926512	0.812	0.38	1	Parietal	SH2D3C
OPA1	0.000435246436792663	0.253744143385943	0.438	0.128	1	Parietal	OPA1
SYNGAP1	0.000454857500384029	0.268638986342678	0.5	0.161	1	Parietal	SYNGAP1
B4GALT5	0.000459427208406964	0.340581792299969	0.438	0.135	1	Parietal	B4GALT5
PDCD4	0.000470791582242229	0.30610160405552	0.562	0.197	1	Parietal	PDCD4
N4BP2	0.000481957244103806	0.350065675861542	0.5	0.172	1	Parietal	N4BP2
PAG1	0.000501103956020461	0.617603939439323	0.688	0.318	1	Parietal	PAG1
CHMP2B	0.000524505273195897	0.359968740958716	0.688	0.285	1	Parietal	CHMP2B
TRPC6	0.00053493461757377	0.326947504112762	0.375	0.099	1	Parietal	TRPC6
SRD5A3	0.000546186579815534	0.25842942768778	0.562	0.215	1	Parietal	SRD5A3
RP11-803D5.4	0.000558534930974478	0.325977617577142	0.5	0.161	1	Parietal	RP11-803D5.4
MRC2	0.000566255588657306	0.263440984665953	0.5	0.164	1	Parietal	MRC2
TTC9	0.000592594679438734	0.425464672605401	0.438	0.124	1	Parietal	TTC9
PPME1	0.000602472049248896	0.398273900432918	0.5	0.168	1	Parietal	PPME1
WASL	0.000641268669441602	0.313328853618014	0.75	0.325	1	Parietal	WASL
RAD17	0.000671353286670906	0.275223660107619	0.438	0.131	1	Parietal	RAD17
GMPPA	0.000683819446522481	0.524709924090168	0.375	0.106	1	Parietal	GMPPA
ARHGAP26	0.000717082398633704	0.37442043476832	0.625	0.259	1	Parietal	ARHGAP26
PAFAH1B2	0.000741535496695732	0.414382537688528	0.562	0.234	1	Parietal	PAFAH1B2
RAB33A	0.00074798599883511	0.254574821641728	0.562	0.204	1	Parietal	RAB33A
CADM4	0.000750907297134203	0.49151416586539	0.625	0.288	1	Parietal	CADM4
CARMN	0.000761652076483885	0.43557993346201	0.562	0.219	1	Parietal	CARMN
FHL2	0.000772297023028151	0.286997452869451	0.375	0.102	1	Parietal	FHL2
AKT1	0.000791323449286978	0.436355990886683	0.75	0.339	1	Parietal	AKT1
PHF20L1	0.000833820267533563	0.464073717462381	0.812	0.369	1	Parietal	PHF20L1
SLC25A12	0.000869517030148132	0.257849701522404	0.312	0.077	1	Parietal	SLC25A12
APMAP	0.000881611477037355	0.250054453274754	0.688	0.299	1	Parietal	APMAP
PLCG2	0.000883269179671974	0.263471406647226	0.562	0.219	1	Parietal	PLCG2
SCAPER	0.000932268864033833	0.289995242677606	0.438	0.146	1	Parietal	SCAPER
QSOX1	0.000943843075928644	0.275326591518309	0.438	0.131	1	Parietal	QSOX1
FAHD2A	0.00096463869103793	0.496736944376276	0.562	0.219	1	Parietal	FAHD2A
UBL3	0.000975920468056962	0.254437465672002	0.562	0.223	1	Parietal	UBL3
GPI	0.000985206866864882	0.352898327300944	0.5	0.186	1	Parietal	GPI
RPS16	0.00100054607739358	0.323046139513094	1	0.909	1	Parietal	RPS16
PSMA3-AS1	0.00101135136627102	0.314083860148488	0.688	0.296	1	Parietal	PSMA3-AS1
CCM2	0.00101610130242237	0.380894440868623	0.625	0.259	1	Parietal	CCM2
WDR20	0.00102222604348688	0.316765991662	0.5	0.172	1	Parietal	WDR20
TMEM94	0.00102978639607124	0.267343074161019	0.5	0.179	1	Parietal	TMEM94
SGSM3	0.00103768968328613	0.366022102690843	0.562	0.219	1	Parietal	SGSM3
FBXO22	0.00103861085181675	0.283990993473184	0.5	0.172	1	Parietal	FBXO22
RABIF	0.00105723489957223	0.283792268426487	0.562	0.212	1	Parietal	RABIF
TPT1	0.00107198210806737	0.30648634030136	1	0.989	1	Parietal	TPT1
AC006994.2	0.00107550434095598	0.255686999680227	0.438	0.142	1	Parietal	AC006994.2
MSH6	0.0010812019890258	0.266887352686053	0.438	0.139	1	Parietal	MSH6
CCDC102B	0.00108950729894525	0.286605558655087	0.562	0.204	1	Parietal	CCDC102B
FAM65A	0.00114469592695457	0.259670925984402	0.625	0.252	1	Parietal	FAM65A
DRG1	0.00116884291141071	0.255140992021735	0.562	0.215	1	Parietal	DRG1
SPECC1	0.00117415657932385	0.359709764560545	0.625	0.27	1	Parietal	SPECC1
FAM162A	0.00118978666057972	0.268543323384051	0.688	0.292	1	Parietal	FAM162A
COX7A1	0.0012131587875247	0.350019448984668	0.938	0.445	1	Parietal	COX7A1
USF1	0.00125844751742853	0.321766916717941	0.375	0.102	1	Parietal	USF1
FAM13A	0.00126488780238452	0.292719399336401	0.625	0.266	1	Parietal	FAM13A
LINGO1	0.0012724994466274	0.465184499582775	0.625	0.27	1	Parietal	LINGO1
TXN2	0.00127417601124306	0.317617706622784	0.875	0.456	1	Parietal	TXN2
NLRP1	0.00129060334768509	0.42383956709858	0.688	0.318	1	Parietal	NLRP1
ADA	0.00129678586123688	0.317171623818042	0.562	0.212	1	Parietal	ADA
CTSK	0.00130824639142209	0.317945568178073	0.625	0.263	1	Parietal	CTSK
ZNF143	0.00133990322186077	0.29004120388611	0.438	0.142	1	Parietal	ZNF143
RRAS2	0.00134959102170078	0.304471822426458	0.438	0.139	1	Parietal	RRAS2
ANO8	0.00137574018383509	0.304455160598814	0.312	0.077	1	Parietal	ANO8
PTPRN2	0.00138640088703337	0.324343769122852	0.562	0.241	1	Parietal	PTPRN2
PRELP	0.0014301053304431	0.618154146299711	0.688	0.339	1	Parietal	PRELP
HTRA3	0.00156398698118563	0.307555712630248	0.562	0.223	1	Parietal	HTRA3
SEPT5	0.00158722755266652	0.390597966623546	0.562	0.23	1	Parietal	SEPT5
CLINT1	0.00161491378564989	0.646873234322856	0.5	0.193	1	Parietal	CLINT1
SAP30BP	0.00162363009917793	0.449563645027999	0.75	0.372	1	Parietal	SAP30BP
GEM	0.00165704992884717	0.277686730438216	0.5	0.182	1	Parietal	GEM
N4BP2L2	0.00166788808154755	0.367287402450837	0.812	0.391	1	Parietal	N4BP2L2
