p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
HSPA1A	1.12899439984064e-84	0.477923842554201	0.994	0.965	3.16761958763287e-80	Motor	HSPA1A
HSPA1B	1.71173136957708e-49	0.404693954468331	0.961	0.897	4.8026047036224e-45	Motor	HSPA1B
H1FX	8.74110390837908e-35	0.369762728707122	0.83	0.661	2.45249152357392e-30	Motor	H1FX
CKB	4.31938598674694e-28	0.251993734893845	0.969	0.927	1.21189012630159e-23	Motor	CKB
EGR1	4.86695602828995e-26	0.415996226957998	0.571	0.389	1.36552185285731e-21	Motor	EGR1
FOS	1.50890234016571e-25	0.372401188765797	0.876	0.75	4.23352729580293e-21	Motor	FOS
JUNB	2.12021283035529e-24	0.475951576731463	0.479	0.312	5.94868113812783e-20	Motor	JUNB
PODXL2	7.5142999982552e-19	0.367927792115288	0.445	0.289	2.10828715051046e-14	Motor	PODXL2
GPD1	3.1323721498779e-16	0.418548301737371	0.294	0.173	8.78849654091241e-12	Motor	GPD1
C11orf96	7.49341984110754e-16	0.313309826303479	0.752	0.668	2.10242880481954e-11	Motor	C11orf96
IER2	1.21090430112048e-15	0.343532151948818	0.747	0.642	3.39743419765372e-11	Motor	IER2
NPAS1	2.25745679327507e-15	0.388689811558411	0.375	0.238	6.33374652489188e-11	Motor	NPAS1
DLX5	6.16966116678106e-13	0.253328691690994	0.731	0.639	1.73102183356376e-08	Motor	DLX5
DLX2	1.11389943240924e-11	0.279475399440385	0.675	0.57	3.12526763751061e-07	Motor	DLX2
TMEM160	1.16990548218011e-09	0.266331165370765	0.349	0.245	3.28240381135274e-05	Motor	TMEM160
SCGN	1.0863972811135e-08	0.398350581918755	0.454	0.375	0.000304810485162015	Motor	SCGN
DDIT4	5.45494340588406e-05	0.263799455347353	0.293	0.231	1	Motor	DDIT4
DLX6-AS1	2.21489240397997e-115	0.644400087201138	0.971	0.807	6.21432361784659e-111	Parietal	DLX6-AS1
RPS6	3.89483713141147e-110	0.432821525010775	0.994	0.939	1.09277445396011e-105	Parietal	RPS6
RPL37A	1.36731163716697e-104	0.347817110323752	1	0.99	3.83626626039937e-100	Parietal	RPL37A
RPL27A	1.00257106070809e-99	0.484999379959136	0.965	0.778	2.8129136250287e-95	Parietal	RPL27A
