p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
H1FX	3.92925577058375e-147	0.604146543905709	0.863	0.658	1.10243129155268e-142	Motor	H1FX
HSPA1A	1.55618651813376e-145	0.536006854670807	0.996	0.912	4.36619251392789e-141	Motor	HSPA1A
HSPA1B	3.3069617839512e-136	0.513323027698165	0.971	0.813	9.27834267723187e-132	Motor	HSPA1B
HSP90AA1	3.73662228766477e-134	0.385231933914783	0.999	0.987	1.0483841152501e-129	Motor	HSP90AA1
CSRP2	8.96957558583894e-133	0.584475908762028	0.914	0.742	2.51659382211883e-128	Motor	CSRP2
EPHB6	5.3658579914788e-103	0.720351065550406	0.561	0.266	1.50549877666921e-98	Motor	EPHB6
SYT1	1.66053972290588e-100	0.476829019765392	0.913	0.781	4.65897630055701e-96	Motor	SYT1
RHOB	1.01666383916819e-99	0.483210888431177	0.928	0.76	2.85245373355419e-95	Motor	RHOB
MEIS2	5.41311437916369e-91	0.418261054394046	0.895	0.727	1.51875750136196e-86	Motor	MEIS2
JUN	3.5050035259166e-87	0.507456687655227	0.921	0.711	9.8339883926642e-83	Motor	JUN
LINC01551	1.15023513418118e-85	0.513492086913977	0.831	0.674	3.22721471597213e-81	Motor	LINC01551
FOS	1.25220665649674e-70	0.545283831159692	0.765	0.522	3.51331621613292e-66	Motor	FOS
SLA	3.44225173028891e-67	0.354291684598271	0.902	0.81	9.6579256796716e-63	Motor	SLA
ENC1	4.87977527613698e-60	0.290669186226992	0.863	0.699	1.36911854922575e-55	Motor	ENC1
TSC22D1	8.09569216302586e-60	0.33917528754166	0.928	0.848	2.27140835018016e-55	Motor	TSC22D1
POU3F2	1.88940644583723e-59	0.384554193111811	0.726	0.534	5.30110766508553e-55	Motor	POU3F2
JUND	6.39530790878039e-52	0.339588775152666	0.944	0.849	1.79433153996651e-47	Motor	JUND
NFIA	1.23295607961653e-50	0.420172674134037	0.618	0.392	3.45930487258009e-46	Motor	NFIA
CTTNBP2	2.85403301504242e-50	0.392379916280886	0.61	0.452	8.00756043030452e-46	Motor	CTTNBP2
DUSP1	1.47461042581722e-49	0.432538214299576	0.658	0.468	4.13731447171537e-45	Motor	DUSP1
CLMP	6.46344591101981e-42	0.459294845421918	0.532	0.347	1.81344901925483e-37	Motor	CLMP
PODXL2	1.03160145909533e-35	0.345466569677878	0.577	0.443	2.89436421378376e-31	Motor	PODXL2
DNAJB1	3.84533479705764e-34	0.358389012721998	0.685	0.546	1.07888558401046e-29	Motor	DNAJB1
BTG1	7.29341915320025e-33	0.270896618642771	0.873	0.753	2.04631461181339e-28	Motor	BTG1
RBP1	1.90481334210873e-32	0.372120663108635	0.445	0.277	5.34433479395447e-28	Motor	RBP1
NEUROD1	2.62932001647421e-31	0.354056600465793	0.309	0.179	7.37708317022168e-27	Motor	NEUROD1
HSPB1	9.4117811011543e-31	0.329183261782306	0.645	0.479	2.64066342355086e-26	Motor	HSPB1
ID4	8.84034573851371e-29	0.38322372035231	0.308	0.164	2.48033580385479e-24	Motor	ID4
IER2	5.16762530518362e-28	0.389301495455293	0.653	0.506	1.44988063187537e-23	Motor	IER2
PDHA1	8.39460359385974e-28	0.372322001015872	0.498	0.391	2.35527393032923e-23	Motor	PDHA1
BCL11B	8.67347857229621e-28	0.329249674089823	0.406	0.249	2.43351788302915e-23	Motor	BCL11B
RND3	9.48279402603482e-28	0.353204623511732	0.534	0.407	2.66058751988459e-23	Motor	RND3
UNC5D	1.45304225233004e-27	0.296735680851841	0.336	0.215	4.0768006473624e-23	Motor	UNC5D
NFIX	3.23292209105604e-27	0.282283496400739	0.536	0.435	9.07060951087592e-23	Motor	NFIX
GNG4	4.48809730977266e-27	0.341734930100197	0.365	0.228	1.25922546220292e-22	Motor	GNG4
