	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS2	1.29266402883829e-90	1.37714576133772	0.948	0.442	2.6985654266028e-86	motor	RPS2
C19orf43	3.8853197382427e-24	0.880395567829095	0.424	0.153	8.11099348555546e-20	motor	C19orf43
CKB	8.17171167886072e-10	0.30467627599899	0.873	0.8	1.70592653007896e-05	motor	CKB
MZT2B	2.27137699417161e-08	0.515780807478821	0.432	0.309	0.000474172661303265	motor	MZT2B
HNRNPH1	4.51589035685792e-06	0.431164215206449	0.553	0.438	0.094273727089766	motor	HNRNPH1
SDCBP	8.58813937302826e-06	0.323959993501585	0.651	0.56	0.179285997551338	motor	SDCBP
CCDC167	1.17238127416013e-05	0.279478868189794	0.631	0.542	0.244746314793669	motor	CCDC167
ANP32E	1.32789793719691e-05	0.327289019473604	0.432	0.323	0.277211973369227	motor	ANP32E
ENY2	2.01298007899896e-05	0.272224645035498	0.524	0.407	0.420229721291822	motor	ENY2
MOXD1	6.85086130075978e-05	0.374220431328077	0.265	0.163	1	motor	MOXD1
CDK1	7.10143999800141e-05	0.344342841775005	0.62	0.577	1	motor	CDK1
CCNA2	0.000267387997846236	0.410607158851492	0.303	0.214	1	motor	CCNA2
TMX1	0.000272500314496332	0.360461804036231	0.297	0.207	1	motor	TMX1
IMMP1L	0.000282179951117106	0.311501221161888	0.326	0.238	1	motor	IMMP1L
SAR1A	0.000372271176090049	0.253028838674668	0.271	0.179	1	motor	SAR1A
VIM	0.000392259579188097	0.289232951043944	0.695	0.68	1	motor	VIM
DTYMK	0.000424598860491837	0.314485366941511	0.386	0.309	1	motor	DTYMK
PPP1CB	0.000520892115813428	0.289205488798821	0.429	0.353	1	motor	PPP1CB
XRCC6	0.000718678231896538	0.286478218971021	0.372	0.296	1	motor	XRCC6
PPP4C	0.000916927408114978	0.333170340751366	0.265	0.189	1	motor	PPP4C
CARHSP1	0.00112695560464077	0.250007365263303	0.588	0.566	1	motor	CARHSP1
PON2	0.00421746619383855	0.270613803291184	0.303	0.229	1	motor	PON2
SMARCB1	0.00525717635976534	0.273554440601667	0.3	0.238	1	motor	SMARCB1
MZT1	0.00871915357353681	0.281842775878489	0.308	0.255	1	motor	MZT1
HES4	5.63595966109174e-40	1.45943841673224	0.6	0.007	1.17656293884951e-35	parietal	HES4
LMNTD1	4.31606121188309e-32	0.820706171415882	0.4	0.003	9.01020938592713e-28	parietal	LMNTD1
NR4A1	3.87519898042924e-24	1.60410608636816	0.8	0.026	8.08986539154408e-20	parietal	NR4A1
ERRFI1	2.42029242783831e-23	1.24851892648768	0.4	0.006	5.05260247235526e-19	parietal	ERRFI1
ECI1	3.04389007284732e-23	1.13985709501815	0.4	0.006	6.35442491607607e-19	parietal	ECI1
LMO2	1.39877875307098e-20	1.01148645872142	0.4	0.007	2.92009052491099e-16	parietal	LMO2
MMP24-AS1	2.16614077940936e-18	1.00992584837088	0.4	0.008	4.52203549109497e-14	parietal	MMP24-AS1
C2orf72	1.44463472173286e-16	1.413705963193	0.4	0.009	3.01581944508953e-12	parietal	C2orf72
C12orf75	2.81181561184906e-15	1.21706623070502	0.6	0.024	5.86994627129609e-11	parietal	C12orf75
PHKG1	3.13111640720974e-15	0.811756720378225	0.4	0.01	6.53651861169106e-11	parietal	PHKG1
NBL1	5.70061131223401e-14	0.980202771714728	0.4	0.011	1.19005961754197e-09	parietal	NBL1
RNF11	2.09094995322204e-12	1.80106911088178	0.8	0.059	4.36506712234633e-08	parietal	RNF11
RGCC	2.45697547345116e-12	1.65010870199439	0.4	0.014	5.12918199837665e-08	parietal	RGCC
MGAT3	3.27906837672375e-12	0.997497899649872	0.4	0.014	6.8453831432485e-08	parietal	MGAT3
BOP1	4.12597196963529e-12	1.01779215859653	0.4	0.014	8.61337908381062e-08	parietal	BOP1
CEP83	1.1158858539236e-11	1.1861570144218	0.6	0.033	2.32952330865091e-07	parietal	CEP83
CDC42SE1	1.98386851418253e-11	1.64285257402677	0.8	0.062	4.14152391020746e-07	parietal	CDC42SE1
CRELD2	2.23534079841246e-11	0.976264112833006	0.4	0.015	4.66649745076584e-07	parietal	CRELD2
KANSL3	2.48762519145017e-11	0.962426831200635	0.4	0.015	5.19316634967138e-07	parietal	KANSL3
EYA3	2.91911264635602e-11	0.959900273664148	0.4	0.015	6.09393956053283e-07	parietal	EYA3
WDR25	6.23798834214935e-11	1.41958600319711	0.4	0.016	1.3022424463071e-06	parietal	WDR25
GPCPD1	6.56801993957342e-11	1.30873827131506	0.6	0.036	1.37113984258535e-06	parietal	GPCPD1
CLTB	9.82497032454658e-11	0.969759670234257	0.4	0.016	2.05106080495234e-06	parietal	CLTB
BEST1	2.48531380406748e-10	1.61208002984565	0.4	0.017	5.18834109737127e-06	parietal	BEST1
C4orf48	4.81461965337718e-10	2.08368843841494	0.6	0.041	1.00509999883902e-05	parietal	C4orf48
INTS2	4.82291060581879e-10	0.959318842685269	0.4	0.017	1.00683081807073e-05	parietal	INTS2
MTPAP	5.55162991567748e-10	0.771507500192477	0.4	0.017	1.15895826119683e-05	parietal	MTPAP
TAF13	1.27340068659342e-09	1.10584912841752	0.4	0.018	2.65835127333243e-05	parietal	TAF13
SRSF9	1.6874393976318e-09	1.36324910337333	0.6	0.043	3.52269848649615e-05	parietal	SRSF9
NENF	2.22642373094419e-09	1.41807906319609	0.6	0.044	4.64788218071909e-05	parietal	NENF
H1FX	2.45057096120428e-09	1.57128447200212	0.8	0.083	5.11581193861005e-05	parietal	H1FX
SPG21	2.95670883457081e-09	1.1574898627782	0.6	0.043	6.17242536305003e-05	parietal	SPG21
MAF1	1.03491947199586e-08	1.3643872947641	0.4	0.02	0.000216049788973855	parietal	MAF1
C17orf89	1.12117680674686e-08	0.974370533010139	0.4	0.02	0.000234056870176475	parietal	C17orf89
SEC24A	1.36851769351849e-08	0.95227411390855	0.4	0.02	0.00028569175369892	parietal	SEC24A
FZR1	1.40200753484501e-08	1.31288495430466	0.4	0.022	0.000292683092974244	parietal	FZR1
TMTC3	1.54156326208814e-08	0.747170696748525	0.4	0.02	0.000321816746593521	parietal	TMTC3
DACH1	1.60925609953845e-08	1.21989491147204	0.6	0.048	0.000335948303339647	parietal	DACH1
H2AFX	2.35196148529029e-08	1.76439551874701	0.6	0.05	0.000490995479669201	parietal	H2AFX
PARP11	2.59378020638255e-08	0.938637293596677	0.4	0.022	0.000541477555884421	parietal	PARP11
C1orf56	2.97531775579765e-08	1.74998670383112	0.8	0.091	0.000621127334700318	parietal	C1orf56
RP11-538P18.2	3.09254719822537e-08	1.40700311313357	0.4	0.023	0.000645600153101528	parietal	RP11-538P18.2
JUNB	6.09073366171872e-08	1.540921441589	0.6	0.054	0.0012715015592204	parietal	JUNB
LONRF1	6.60434424718013e-08	1.63197525440146	0.4	0.024	0.00137872290504132	parietal	LONRF1
BNIP2	1.03563126455623e-07	1.09512977883546	0.6	0.052	0.00216198382788759	parietal	BNIP2
STT3A	1.11877233371621e-07	1.12895605846029	0.4	0.024	0.00233554912386596	parietal	STT3A
OSER1	1.13683341508801e-07	1.22589184084657	0.6	0.054	0.00237325343733774	parietal	OSER1
RIN2	1.32519213605771e-07	1.26792394901143	0.4	0.025	0.00276647110323407	parietal	RIN2
ATP5D	2.27016343178974e-07	0.926800674587749	0.4	0.025	0.00473919318020426	parietal	ATP5D
PDHX	2.3470892733823e-07	0.916810151689279	0.4	0.025	0.00489978356711289	parietal	PDHX
GAN	3.05838686454294e-07	1.15406089129997	0.4	0.026	0.00638468841841984	parietal	GAN
CENPV	4.25235721281889e-07	1.1616635436351	0.6	0.058	0.00887722091748072	parietal	CENPV
BMPR1A	5.1604125860408e-07	1.14753352100239	0.4	0.027	0.0107728773146188	parietal	BMPR1A
SORBS3	6.6145086397237e-07	1.11087101172664	0.4	0.027	0.0138084482362872	parietal	SORBS3
MED14	7.48243300406045e-07	0.95270431465276	0.4	0.027	0.0156203271392766	parietal	MED14
EIF4A3	1.2851500586505e-06	1.06009320104882	0.6	0.062	0.0268287926243878	parietal	EIF4A3
TRPS1	1.31092800977309e-06	1.32660090070527	0.4	0.028	0.027366933132023	parietal	TRPS1
AKAP8L	1.39070230103238e-06	0.936709485529363	0.4	0.028	0.029032301236352	parietal	AKAP8L
GTF2H2	2.08004354091178e-06	1.25166178466525	0.6	0.067	0.0434229889600744	parietal	GTF2H2
IQCG	2.0855855634732e-06	0.904000646319645	0.4	0.029	0.0435386842230666	parietal	IQCG
C12orf49	2.09505627776046e-06	0.700586611253889	0.4	0.028	0.0437363948545273	parietal	C12orf49
MYBL2	2.27165206273044e-06	0.899577614785665	0.4	0.029	0.0474230084615608	parietal	MYBL2
RAB11FIP2	2.88753977794477e-06	1.25936407929368	0.4	0.032	0.0602802804043751	parietal	RAB11FIP2
XBP1	3.12790891904413e-06	0.946475311202014	0.4	0.031	0.0652982265939653	parietal	XBP1
YBX3	3.4921570194952e-06	0.931587895473905	0.4	0.031	0.0729022699389818	parietal	YBX3
RSRC1	3.81688312827919e-06	1.53083770999885	1	0.242	0.0796812521859565	parietal	RSRC1
RAD54L2	3.89689323590787e-06	0.729951557706136	0.4	0.031	0.0813515431928127	parietal	RAD54L2
MSL1	4.3824668208333e-06	1.09158056332931	0.6	0.07	0.0914883773517159	parietal	MSL1
HYPK	4.58038411126073e-06	1.13975266523979	0.6	0.071	0.0956200987066791	parietal	HYPK
TSC22D3	4.63958768722999e-06	1.25804254663747	0.4	0.033	0.0968560325586133	parietal	TSC22D3
HTRA1	4.81896133272163e-06	0.911448346091835	0.4	0.032	0.100600636781897	parietal	HTRA1
NLRP1	5.08268422187393e-06	0.993167599835985	0.4	0.032	0.10610611581584	parietal	NLRP1
COQ10B	5.21967191334181e-06	0.891313731699163	0.4	0.032	0.108965870862924	parietal	COQ10B
STK17A	5.8531385487554e-06	0.67985506739173	0.4	0.031	0.122190120343818	parietal	STK17A
CCL3	5.87136808155171e-06	2.08688099575266	0.4	0.033	0.122570680070473	parietal	CCL3
C5orf51	6.24915510342059e-06	1.07764616141693	0.6	0.071	0.130457361939008	parietal	C5orf51
PCSK1N	6.86031907163106e-06	1.01360942985359	0.4	0.033	0.14321602093937	parietal	PCSK1N
MAP9	7.63739635617761e-06	1.20796720976079	0.6	0.075	0.159438286331564	parietal	MAP9
MYNN	9.29925471703585e-06	0.677435573766768	0.4	0.032	0.19413124147284	parietal	MYNN
SEMA3A	1.00486956385001e-05	0.908948100683472	0.4	0.034	0.209776570149328	parietal	SEMA3A
DUSP1	1.09288714283052e-05	1.55400675165572	0.6	0.082	0.2281511199373	parietal	DUSP1
KCNN3	1.12562402831365e-05	1.07705710603433	0.6	0.074	0.234985272150758	parietal	KCNN3
MINCR	1.19654575228837e-05	0.860343199114062	0.4	0.034	0.249790891247721	parietal	MINCR
LIFR	1.29363808808968e-05	1.00478633879437	0.6	0.074	0.270059887269601	parietal	LIFR
DAXX	1.39448203045802e-05	1.24629524390825	0.6	0.08	0.291112068678416	parietal	DAXX
MMGT1	1.54739955624377e-05	0.911050724445811	0.4	0.035	0.323035131361449	parietal	MMGT1
RBM12B	1.58526244206865e-05	0.877749436826245	0.4	0.035	0.330939387406252	parietal	RBM12B
ULK3	1.75154395229617e-05	1.11603124320395	0.4	0.036	0.365652315481349	parietal	ULK3
TCEA2	1.93703341174914e-05	1.24583265158665	0.6	0.084	0.404375095036751	parietal	TCEA2
DNAJB5	2.23926466307979e-05	1.22093384709368	0.4	0.039	0.467468891064538	parietal	DNAJB5
FOXK1	2.2552482604122e-05	1.42430094029147	0.6	0.084	0.470805626843651	parietal	FOXK1
LDLR	2.38103662157093e-05	0.673802863805827	0.4	0.035	0.497065205119147	parietal	LDLR
FAM103A1	2.56210771358461e-05	1.08209932524192	0.6	0.083	0.534865606287922	parietal	FAM103A1
ZC3H7B	2.97478298560473e-05	0.887570802558983	0.4	0.037	0.621015696074843	parietal	ZC3H7B
CCNY	3.09974212521516e-05	1.01026903200415	0.6	0.083	0.647102166059916	parietal	CCNY
RAB28	3.15017128017952e-05	1.01112575572672	0.6	0.08	0.657629756450277	parietal	RAB28
TMEM50B	3.86965657314547e-05	0.969957365918604	0.6	0.082	0.807829506209848	parietal	TMEM50B
GAS2L3	3.99314154983657e-05	0.95591620467623	0.6	0.082	0.833608229943883	parietal	GAS2L3
YAP1	4.38729669348451e-05	0.858861533619167	0.4	0.039	0.915892057731827	parietal	YAP1
