	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS2	1.39371371336967e-293	1.13839778924736	0.964	0.564	2.90951674803052e-289	motor	RPS2
C19orf43	3.9864774692257e-50	0.683148054259663	0.418	0.218	8.32217036475556e-46	motor	C19orf43
NNAT	2.57190280539105e-36	0.39310845714946	0.78	0.698	5.36910429653436e-32	motor	NNAT
SLN	4.89291021715256e-15	0.35423896767038	0.277	0.168	1.02144393693277e-10	motor	SLN
CSRP2	6.00373248596947e-15	0.353837039361169	0.695	0.688	1.25333919377099e-10	motor	CSRP2
LMO3	1.04824860476864e-12	0.380100110582084	0.347	0.268	2.18832378731501e-08	motor	LMO3
PPP4C	1.12577450676725e-08	0.354384596342679	0.262	0.202	0.000235016686032731	motor	PPP4C
PPP1CB	1.02636879248748e-07	0.256981939224948	0.423	0.383	0.00214264749119687	motor	PPP1CB
RPRM	1.06286448470703e-07	0.301463919171846	0.317	0.259	0.00221883589827439	motor	RPRM
DAAM1	6.59979298558823e-06	0.250269041087182	0.446	0.444	0.13777727836714	motor	DAAM1
MZT2B	8.46638365272742e-06	0.317566611652194	0.328	0.299	0.176744225134338	motor	MZT2B
FKBP8	1.63375325067041e-05	0.299220970920554	0.289	0.252	0.341062328609954	motor	FKBP8
DBI	0.000158806267757445	0.255324095796917	0.58	0.606	1	motor	DBI
SNX3	0.0041933904177912	0.253916011224698	0.255	0.237	1	motor	SNX3
HES4	6.88844131161024e-75	1.62873527997518	0.556	0.009	1.43803100821175e-70	parietal	HES4
C4orf48	4.23905700075436e-21	2.0325674409589	0.722	0.098	8.84945539477479e-17	parietal	C4orf48
UBE2S	2.0097621252694e-14	1.34804969629308	0.5	0.075	4.19557941271241e-10	parietal	UBE2S
C12orf75	1.48614506534641e-11	1.28371640471503	0.333	0.035	3.10247643841716e-07	parietal	C12orf75
RCN2	3.0866116745268e-11	1.37099457979448	0.556	0.104	6.44361053174214e-07	parietal	RCN2
