	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
S100A16	3.6087321941241e-83	0.33357235566049	0.31	0.058	7.47260175437278e-79	motor	S100A16
TUBB2B	2.5061155841323e-49	0.315486729513262	0.998	0.998	5.18941354006275e-45	motor	TUBB2B
TUBA1B	1.63737539792231e-43	0.300601013625345	0.991	0.99	3.39051323647773e-39	motor	TUBA1B
TMEM108	1.18418504314579e-42	0.355858513663058	0.479	0.27	2.45209196884199e-38	motor	TMEM108
TMSB4X	8.34429845549037e-41	0.301689393657057	0.999	0.999	1.72785388117839e-36	motor	TMSB4X
RPL4	9.84083966893842e-39	0.251746183058713	0.982	0.962	2.03774267024708e-34	motor	RPL4
HSPA1B	5.85025716030829e-27	0.535319201001521	0.674	0.557	1.21141275018504e-22	motor	HSPA1B
RP11-436D23.1	2.04199534419994e-26	0.283288883094283	0.489	0.335	4.22835975923481e-22	motor	RP11-436D23.1
HSPA1A	3.07621948092428e-25	0.617913241578982	0.814	0.737	6.36992767914991e-21	motor	HSPA1A
NNAT	1.70558934551644e-21	0.307780097240564	0.984	0.966	3.53176385776089e-17	motor	NNAT
RBP1	8.15745793183976e-20	0.410191709021118	0.416	0.262	1.68916481394606e-15	motor	RBP1
TUBB2A	1.14110795324771e-17	0.256030872049783	0.922	0.902	2.36289223879002e-13	motor	TUBB2A
GAS1	4.83162508302001e-17	0.457100704546754	0.469	0.367	1.00048460594095e-12	motor	GAS1
FABP7	1.41953905535387e-16	0.300509899636193	0.991	0.989	2.93943952192125e-12	motor	FABP7
ATP1B3	7.50102668889866e-16	0.271772234409837	0.69	0.604	1.55323759647025e-11	motor	ATP1B3
INSM1	3.80538962775185e-15	0.271868074711673	0.708	0.6	7.87982030218575e-11	motor	INSM1
ARL6IP1	2.68585910329447e-08	0.280697649800801	0.702	0.643	0.000556160844519186	motor	ARL6IP1
RPS291	1.6253378195025e-98	0.350121031281145	0.964	0.995	3.36558702284382e-94	parietal	RPS29
DPYSL2	1.17253194273212e-80	0.359111761785079	0.838	0.749	2.4279618938154e-76	parietal	DPYSL2
RBMX	4.47199226787269e-64	0.320924708624133	0.909	0.934	9.26015438908398e-60	parietal	RBMX
NR2F11	3.02115799467502e-57	0.322164152034338	0.883	0.822	6.25591185957357e-53	parietal	NR2F1
DYNC1I2	5.47786553410374e-49	0.279886203631381	0.833	0.799	1.13430161614686e-44	parietal	DYNC1I2
MT-ND4L1	1.86939269121304e-47	0.255840480270378	0.894	0.916	3.87095144569485e-43	parietal	MT-ND4L
SAMD1	6.35884313423807e-43	0.258794646432036	0.422	0.224	1.31672564780668e-38	parietal	SAMD1
CDR1-AS	3.37481044563123e-42	0.283188475034065	0.541	0.361	6.98821998976858e-38	parietal	CDR1-AS
MT-ATP8	2.17752079597885e-41	0.28555121704332	0.643	0.471	4.5089923122334e-37	parietal	MT-ATP8
AP2B1	2.41198914608172e-38	0.276963832811365	0.713	0.6	4.99450592479142e-34	parietal	AP2B1
BPTF	4.66199657454196e-37	0.263314522315863	0.835	0.743	9.65359630690405e-33	parietal	BPTF
SYNE2	1.10750150067492e-36	0.261972633374489	0.941	0.945	2.29330335744756e-32	parietal	SYNE2
NTM	1.16718695912952e-36	0.371450423776465	0.472	0.306	2.4168940362695e-32	parietal	NTM
ZFHX4	5.78782397469902e-30	0.251950602136895	0.766	0.679	1.19848471044093e-25	parietal	ZFHX4
POU3F2	4.33113578752244e-27	0.273227807268554	0.815	0.722	8.96848287522272e-23	parietal	POU3F2
NPY1	1.72231519721593e-26	0.517926186800497	0.583	0.461	3.56639807887503e-22	parietal	NPY
HES11	6.47854559013362e-21	0.554954910348127	0.704	0.669	1.34151243534897e-16	parietal	HES1
TOP2A	1.02879028020788e-10	0.332356007369565	0.82	0.789	2.13031603322645e-06	parietal	TOP2A
STMN2	0.000276369884985842	0.272380538583604	0.625	0.568	1	parietal	STMN2
RPL411	7.83792512396463e-110	0.599383388360539	1	0.981	1.62299915541936e-105	somatosensory	RPL41
RPL36A1	3.73193092803866e-95	0.645158040725486	0.934	0.694	7.72770937268966e-91	somatosensory	RPL36A
RPS101	1.31634501848967e-89	0.717725968725307	0.957	0.827	2.72575562978657e-85	somatosensory	RPS10
NDUFA131	3.90026469129969e-64	0.487276215951986	0.821	0.555	8.07627809627427e-60	somatosensory	NDUFA13
RBMX1	2.22956616254384e-62	0.416109503741221	0.982	0.923	4.61676265277953e-58	somatosensory	RBMX
MT-ND31	3.17461499830549e-58	0.335975003341851	0.998	0.993	6.57367527699119e-54	somatosensory	MT-ND3
MT-ATP81	4.75242769329667e-58	0.39166338719059	0.804	0.49	9.84085202450942e-54	somatosensory	MT-ATP8
SNHG25	9.83223684009595e-48	0.290886592656104	0.474	0.187	2.03596128247867e-43	somatosensory	SNHG25
RPS211	1.26539640695008e-44	0.313800077120695	0.998	0.961	2.62025633987153e-40	somatosensory	RPS21
CBX3	9.74634226607978e-44	0.309575523474831	0.966	0.897	2.01817509303714e-39	somatosensory	CBX3
PSMA2	2.23797685506169e-41	0.318830200519228	0.752	0.474	4.63417867377625e-37	somatosensory	PSMA2
PLCG2	2.07277762786883e-35	0.312477227187823	0.655	0.376	4.292100634028e-31	somatosensory	PLCG2
PET100	6.05517248429394e-34	0.318137038230382	0.831	0.603	1.25384456632275e-29	somatosensory	PET100
MTRNR2L12	2.36857344000505e-33	0.329046134772457	0.89	0.704	4.90460502221846e-29	somatosensory	MTRNR2L12
MT-ND4L2	7.50938933217409e-33	0.314931920930046	0.982	0.904	1.55496924901329e-28	somatosensory	MT-ND4L
DYNC1I21	9.39455273844682e-32	0.287114285512165	0.936	0.797	1.94533003555018e-27	somatosensory	DYNC1I2
NDUFB11	6.82465428956604e-30	0.291541496891946	0.899	0.717	1.41318116374044e-25	somatosensory	NDUFB1
BCYRN1	1.2125783206218e-29	0.295230682438654	0.37	0.151	2.51088592851156e-25	somatosensory	BCYRN1
AP2B11	7.36242835026295e-28	0.283319258499825	0.84	0.611	1.52453803848895e-23	somatosensory	AP2B1
EMX2	2.04001771489319e-23	0.292193795550644	0.827	0.636	4.22426468222933e-19	somatosensory	EMX2
DPYSL21	5.02890002196371e-23	0.275753769988379	0.908	0.76	1.04133432754802e-18	somatosensory	DPYSL2
USMG5	3.13611857365725e-22	0.252207904482365	0.942	0.826	6.49396073047206e-18	somatosensory	USMG5
NOVA1	6.01048820245921e-21	0.269292765677675	0.713	0.488	1.24459179208323e-16	somatosensory	NOVA1
PTPRZ11	1.53764869387547e-20	0.328795078085907	0.966	0.913	3.18400915040793e-16	somatosensory	PTPRZ1
EIF2S2	2.20280273170514e-17	0.258501694470283	0.877	0.734	4.56134361654184e-13	somatosensory	EIF2S2
HIST1H2AM1	2.91278006358916e-17	0.435917349820898	0.44	0.279	6.03149367767408e-13	somatosensory	HIST1H2AM
HIST1H2AJ	1.48245974927632e-16	0.567685782512885	0.38	0.235	3.06972940282648e-12	somatosensory	HIST1H2AJ
HIST1H1E1	2.0380857896427e-09	0.289698110802789	0.824	0.7	4.22026424461314e-05	somatosensory	HIST1H1E
MT2A	2.03604453202485e-07	0.420151410600679	0.603	0.543	0.00421603741246385	somatosensory	MT2A
UBC	2.12527135411887e-40	0.252000263841917	0.974	0.96	4.40079939297394e-36	temporal	UBC
KCNG1	1.90107583574776e-25	0.255953343679905	0.64	0.544	3.9365577330829e-21	temporal	KCNG1
TAGLN2	5.60616310108347e-20	0.264062198788701	0.697	0.618	1.16086819334135e-15	temporal	TAGLN2
ANXA2	1.09811884944951e-16	0.250882254774296	0.453	0.339	2.2738747015551e-12	temporal	ANXA2
RPL413	2.58402051663345e-269	0.518068728073133	0.999	0.976	5.35073128379288e-265	V1	RPL41
RPL392	2.08199117729211e-259	0.453263702649522	1	0.991	4.31117913081877e-255	V1	RPL39
RPL342	2.11030171968275e-251	0.443265105630354	1	0.995	4.36980177094707e-247	V1	RPL34
RPS281	1.19414504797874e-227	0.404975381696974	0.999	0.985	2.47271615084957e-223	V1	RPS28
RPS213	7.85359217494724e-226	0.499138596719411	0.998	0.95	1.62624333166632e-221	V1	RPS21
RPS15A	1.92727973969439e-225	0.387303191894276	1	0.992	3.99081815698516e-221	V1	RPS15A
RPS261	5.99409812173468e-222	0.413638558736058	0.999	0.985	1.2411978980676e-217	V1	RPS26
RPL30	2.02724507020895e-210	0.369241338119465	1	0.996	4.19781636688168e-206	V1	RPL30
RPS13	7.49599074381757e-184	0.335748281857993	1	0.996	1.5521948033223e-179	V1	RPS13
RPS12	4.63990142634754e-179	0.36615445147529	1	0.995	9.60784388353785e-175	V1	RPS12
RPS7	5.60456331641213e-179	0.325383856666181	1	0.993	1.16053692592946e-174	V1	RPS7
FAU	6.78365969101209e-173	0.311125306853791	0.998	0.986	1.40469241221787e-168	V1	FAU
RPS27A	1.65429606434405e-168	0.308744353158508	1	0.997	3.42555086043723e-164	V1	RPS27A
RPS24	2.88422718157743e-168	0.307165402373749	1	0.998	5.97236922489239e-164	V1	RPS24
RPL11	1.86474486768917e-163	0.295315176074741	1	0.999	3.86132719752397e-159	V1	RPL11
RPS103	3.4048273342079e-149	0.413965440431433	0.969	0.783	7.0503759609443e-145	V1	RPS10
RPL262	8.93860570578725e-145	0.342734565893767	1	0.983	1.85091708349737e-140	V1	RPL26
RPL372	2.36411107034855e-144	0.324205209793893	1	0.991	4.89536479337075e-140	V1	RPL37
RPL14	2.66189407900522e-140	0.296537408762712	1	0.99	5.51198406939611e-136	V1	RPL14
RPS272	6.25118914688774e-125	0.293793419525198	1	0.994	1.29443373664604e-120	V1	RPS27
RPL36	3.47776016576102e-118	0.292471172420426	0.998	0.987	7.20139797524135e-114	V1	RPL36
RPL35A	1.22957782240387e-117	0.272611081785497	1	0.992	2.5460867968517e-113	V1	RPL35A
RPL12	8.30579345015082e-109	0.290861196261482	1	0.99	1.71988064972273e-104	V1	RPL12
RPLP2	1.90260552331084e-103	0.26825586120011	0.998	0.977	3.93972525711975e-99	V1	RPLP2
MT-ND33	5.10865106960888e-101	0.283930327376004	0.997	0.992	1.05784837698391e-96	V1	MT-ND3
RPS25	2.73618901451536e-95	0.261173363195937	0.997	0.973	5.66582659235695e-91	V1	RPS25
HBG2	2.05973867561801e-89	0.936224026555814	0.337	0.077	4.26510087560222e-85	V1	HBG2
IER24	5.47147741037102e-80	0.701178559076921	0.919	0.86	1.13297882736553e-75	V1	IER2
RPL36A3	6.9393715467653e-61	0.303524687981553	0.847	0.658	1.43693566618869e-56	V1	RPL36A
H3F3B	4.03690966161262e-52	0.259706674341198	0.998	0.996	8.35922883630125e-48	V1	H3F3B
ZFAS1	6.6582451527779e-46	0.254681899296638	0.952	0.873	1.37872282378572e-41	V1	ZFAS1
RPL22L1	2.24138369919572e-45	0.307749830655077	0.807	0.672	4.64123322592457e-41	V1	RPL22L1
HIST1H1D2	2.17870055599292e-41	0.531039199283283	0.831	0.68	4.51143524129455e-37	V1	HIST1H1D
JUND	1.04718719211167e-34	0.280485829586179	0.989	0.985	2.16841051870563e-30	V1	JUND
HIST1H2AJ2	2.61848194854685e-32	0.303632103392239	0.36	0.2	5.42209057085597e-28	V1	HIST1H2AJ
CRYAB1	2.16820697676056e-31	0.668174296688596	0.39	0.23	4.48970618677809e-27	V1	CRYAB
HIST1H1E2	3.11762242481999e-30	0.326942181810921	0.803	0.671	6.45566075507476e-26	V1	HIST1H1E
HIST1H4C2	7.3891955714239e-30	0.474597216679505	0.975	0.914	1.53008072697475e-25	V1	HIST1H4C
PSAT1	9.8704567891543e-30	0.272736462024828	0.709	0.589	2.04387548733018e-25	V1	PSAT1
ARC1	3.54641651758543e-28	0.299517778699777	0.522	0.385	7.34356468296416e-24	V1	ARC
NEUROD6	3.48124101758073e-22	0.265022032770914	0.266	0.143	7.20860577510443e-18	V1	NEUROD6
SOX41	1.16781796515315e-21	0.279159670430531	0.985	0.963	2.41820066044262e-17	V1	SOX4
LGALS12	5.2310778445877e-21	0.313970174374264	0.672	0.537	1.08319928927878e-16	V1	LGALS1
CTGF	3.88369372733406e-18	0.57692074452003	0.318	0.207	8.04196460119063e-14	V1	CTGF
CST3	1.57830491972792e-16	0.346992615832036	0.626	0.526	3.26819599728061e-12	V1	CST3
FOS1	1.7279784065146e-16	0.471718960631824	0.917	0.914	3.57812488636978e-12	V1	FOS
HIST1H3G1	2.68454266334021e-14	0.250370366119778	0.459	0.336	5.55888249297857e-10	V1	HIST1H3G
GADD45G	3.65419021820709e-11	0.289168053651057	0.569	0.493	7.56673168484143e-07	V1	GADD45G
HIST1H1B1	1.86093483715027e-09	0.277712265154427	0.59	0.511	3.85343776728706e-05	V1	HIST1H1B
MT3	1.96794439552933e-07	0.258880242688552	0.289	0.224	0.00407502245982258	V1	MT3
CYR61	3.8873538432572e-06	0.33121354837936	0.668	0.642	0.0804954360323268	V1	CYR61
