	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TUBB2B	8.37409433169456e-96	0.299449980493309	1	1	1.73402371326399e-91	motor	TUBB2B
JUND	1.44441785482299e-83	0.329094017446617	0.988	0.986	2.99095605198196e-79	motor	JUND
DUSP1	2.03949203978396e-51	0.536213698004126	0.595	0.436	4.22317616678064e-47	motor	DUSP1
RTN1	3.12854219221386e-48	0.337962292605507	0.942	0.896	6.47827231741724e-44	motor	RTN1
TUBB2A	4.48549711493932e-48	0.30550393423593	0.93	0.892	9.28811887590484e-44	motor	TUBB2A
RPS10	7.27009669000559e-43	0.25932240817365	0.812	0.695	1.50541892159946e-38	motor	RPS10
FOS	7.12559794400116e-39	0.493136729620141	0.74	0.603	1.47549756626432e-34	motor	FOS
EPHB6	6.43578665536843e-36	0.415554843791528	0.639	0.515	1.33265834272714e-31	motor	EPHB6
ZEB2	1.15971385426713e-20	0.30155347229807	0.39	0.285	2.40141947803094e-16	motor	ZEB2
RP11-436D23.1	1.17932145551737e-20	0.341995914188466	0.351	0.228	2.44202093793982e-16	motor	RP11-436D23.1
HSPA1A	1.48644205094401e-20	0.630284681698125	0.42	0.322	3.07797555488976e-16	motor	HSPA1A
HSPA1B	1.97929447270857e-14	0.39979784367428	0.291	0.214	4.09852506463764e-10	motor	HSPA1B
CLMP	5.56182130140693e-13	0.251037588578179	0.612	0.537	1.15168633688233e-08	motor	CLMP
RBP1	1.12171971046047e-12	0.302054453708842	0.382	0.281	2.32274500445049e-08	motor	RBP1
JUN	9.8910342803603e-06	0.297190967704452	0.72	0.731	0.204813646843421	motor	JUN
SRM	5.66836944280791e-05	0.26316507013952	0.405	0.381	1	motor	SRM
RPS291	4.79532995605415e-223	0.477172397681601	0.979	0.993	9.92968974000133e-219	parietal	RPS29
RPL37A1	2.56040221736628e-176	0.315098078249669	0.995	0.999	5.30182487150035e-172	parietal	RPL37A
RPL381	2.04111238387722e-98	0.333499122596167	0.961	0.978	4.22653141329455e-94	parietal	RPL38
DYNC1I2	3.37257776025763e-67	0.336760823771082	0.892	0.765	6.98359676816548e-63	parietal	DYNC1I2
NTM	3.15574229397163e-61	0.375359450776903	0.872	0.735	6.53459556812706e-57	parietal	NTM
