	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DUSP1	6.00008148389867e-17	0.39435573383457	0.349	0.249	1.2424368728709e-12	motor	DUSP1
ARRDC3	2.74089205693354e-10	0.265950314095658	0.377	0.303	5.67556518229228e-06	motor	ARRDC3
HSPA1A	4.23731025345436e-05	0.255897197178858	0.454	0.41	0.877419834182794	motor	HSPA1A
FOS	0.000147989449356761	0.291931789571735	0.358	0.336	1	motor	FOS
RPS291	4.77322683222727e-68	0.31680246758841	0.954	0.984	9.88392080149301e-64	parietal	RPS29
NTM	1.17836508274402e-43	0.512248091946682	0.454	0.251	2.44004057683803e-39	parietal	NTM
DYNC1I2	2.40255959528722e-34	0.281980962317236	0.822	0.706	4.97498015396125e-30	parietal	DYNC1I2
MT-ND4L1	3.33136827408437e-28	0.253719171991436	0.847	0.725	6.8982642851465e-24	parietal	MT-ND4L
VCAN	1.09204168614345e-26	0.330433525808722	0.639	0.454	2.26129071949723e-22	parietal	VCAN
CDR1-AS	3.30214398896266e-26	0.360227102759403	0.379	0.215	6.83774955794498e-22	parietal	CDR1-AS
AP2B1	3.41647720411709e-25	0.281425679306045	0.553	0.381	7.07449934656525e-21	parietal	AP2B1
ANK3	4.20373855413505e-20	0.285099597365167	0.356	0.22	8.70468142404746e-16	parietal	ANK3
NETO2	1.0029745360363e-18	0.280035230782675	0.557	0.407	2.07685937177037e-14	parietal	NETO2
CALB2	1.13725077314879e-17	0.381415923492959	0.435	0.288	2.3549051759592e-13	parietal	CALB2
HES6	3.74559933120261e-17	0.280625757019924	0.572	0.415	7.75601253512125e-13	parietal	HES6
ATP5I	3.48714217927579e-16	0.253993330283708	0.708	0.581	7.22082531062637e-12	parietal	ATP5I
PTN	5.89417545887958e-16	0.276786774416996	0.278	0.156	1.22050691227019e-11	parietal	PTN
PEG10	2.347721452369e-15	0.261192305065332	0.469	0.335	4.86142681142048e-11	parietal	PEG10
SCGN	2.44649731889262e-14	0.334108543546164	0.441	0.308	5.06596199823096e-10	parietal	SCGN
GPD1	2.87090468665645e-14	0.26853498012416	0.339	0.219	5.9447823346595e-10	parietal	GPD1
TMEM158	7.14705031272191e-14	0.263835271206689	0.336	0.22	1.47993970825533e-09	parietal	TMEM158
SST	3.6365414784508e-06	0.306758958969388	0.267	0.211	0.0753018643942807	parietal	SST
RPL411	6.90639118235072e-258	0.668619139512993	0.988	0.885	1.43010642212936e-253	somatosensory	RPL41
RPS211	5.69099251627315e-239	0.618036240207548	0.994	0.905	1.17843382034468e-234	somatosensory	RPS21
MALAT1	8.87003013228323e-228	0.325841576953716	0.999	0.999	1.83671713949189e-223	somatosensory	MALAT1
RPS101	1.76812720016472e-224	0.954377518552321	0.897	0.593	3.66126099338109e-220	somatosensory	RPS10
RPL36A1	3.51796455320902e-168	0.776338001052302	0.747	0.362	7.28464920032992e-164	somatosensory	RPL36A
RPS27	6.71858256518071e-166	0.364248019798156	0.999	0.992	1.39121689177197e-161	somatosensory	RPS27
RPL34	2.8017263031546e-129	0.310329164861074	1	0.994	5.80153465594224e-125	somatosensory	RPL34
RPS28	4.58034712411809e-128	0.343536975428705	0.997	0.97	9.48452478991134e-124	somatosensory	RPS28
MT-ND3	2.83045354642456e-126	0.405162617519388	0.998	0.983	5.86102015858134e-122	somatosensory	MT-ND3
RPL39	5.75601074453261e-123	0.307528411553633	0.999	0.988	1.19189714487037e-118	somatosensory	RPL39
RPS292	5.25057145562477e-119	0.326203971732701	0.996	0.973	1.08723583131622e-114	somatosensory	RPS29
SOX4	5.50065566608373e-103	0.389617312436864	1	0.992	1.13902076877596e-98	somatosensory	SOX4
RPL37	4.34697245455287e-98	0.296585131790218	0.998	0.979	9.00127586164262e-94	somatosensory	RPL37
