	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
STAB1	3.57063580666521e-07	0.715275107353845	0.429	0.181	0.00739371556486166	motor	STAB1
BCYRN1	5.06917409346014e-07	0.681271892556109	0.286	0.082	0.0104967387953279	motor	BCYRN1
TSC22D3	2.96038142512881e-06	0.786475789935053	0.304	0.108	0.0613006181701424	motor	TSC22D3
PPT1	2.61429418630701e-05	0.567865929832088	0.589	0.359	0.541341897158592	motor	PPT1
RHOB	4.63378599582943e-05	0.795547039652988	0.625	0.454	0.9595180661564	motor	RHOB
FCGRT	5.18110728205639e-05	0.838517168919766	0.696	0.553	1	motor	FCGRT
KLF2	9.72120505562726e-05	0.967749721332575	0.482	0.289	1	motor	KLF2
SLCO2B1	0.000201162164683627	0.730684921711294	0.464	0.279	1	motor	SLCO2B1
HTRA1	0.000329488602390185	0.587128926121086	0.714	0.589	1	motor	HTRA1
DEGS1	0.000628713659504497	0.431858428333211	0.411	0.239	1	motor	DEGS1
B2M	0.000659881161572108	0.455354700326759	0.857	0.752	1	motor	B2M
TMEM173	0.000791202034883103	0.349459004790471	0.357	0.188	1	motor	TMEM173
YIPF4	0.000792636349432287	0.402418738299928	0.339	0.173	1	motor	YIPF4
HSPA1A	0.000825110940598857	1.05603140908268	0.625	0.496	1	motor	HSPA1A
DUSP1	0.000866784217493994	0.712411410905134	0.696	0.573	1	motor	DUSP1
MYDGF	0.000868126030038997	0.530383383427207	0.643	0.51	1	motor	MYDGF
C1QB	0.000943103587730388	0.534417721548021	0.679	0.526	1	motor	C1QB
HSD17B11	0.00103912729202005	0.557721625782443	0.375	0.221	1	motor	HSD17B11
PMAIP1	0.00110678569043865	0.35689066087265	0.339	0.181	1	motor	PMAIP1
HSPA1B	0.0011559823230199	1.11475907210747	0.446	0.284	1	motor	HSPA1B
DNAJB1	0.00119192208148442	0.625801584308958	0.518	0.366	1	motor	DNAJB1
EIF3L	0.00173142760728365	0.30815285330909	0.696	0.56	1	motor	EIF3L
FOSB	0.00190506677579496	0.780930427339619	0.429	0.281	1	motor	FOSB
MAF	0.00252850667667688	0.509987390053308	0.518	0.381	1	motor	MAF
BCKDK	0.00319901837896912	0.361765005555518	0.268	0.133	1	motor	BCKDK
ADPGK	0.00339822752864855	0.36021489026886	0.357	0.215	1	motor	ADPGK
JUND	0.00367368671056646	0.364609665550746	0.911	0.863	1	motor	JUND
HERPUD1	0.00391636629649573	0.564465114698024	0.554	0.414	1	motor	HERPUD1
MRFAP1	0.00436325722351867	0.324362472958647	0.643	0.495	1	motor	MRFAP1
CORO1A	0.00465746425252533	0.467030489137404	0.5	0.353	1	motor	CORO1A
CPVL	0.00491870185628747	0.603127391575774	0.5	0.374	1	motor	CPVL
C1QA	0.00501830673488196	0.437351524815137	0.607	0.491	1	motor	C1QA
BIN1	0.00584305261091072	0.401704189287266	0.714	0.579	1	motor	BIN1
CYBA	0.0060491452327164	0.501602043717293	0.661	0.564	1	motor	CYBA
JUN	0.00738576987427899	0.679345472676105	0.732	0.669	1	motor	JUN
KCTD12	0.00898586164124324	0.321513967423168	0.446	0.3	1	motor	KCTD12
RHBDF2	0.00949135981423726	0.31081763126479	0.304	0.174	1	motor	RHBDF2
FOS	0.00959968303370553	0.58136791683385	0.768	0.711	1	motor	FOS
SRSF6	0.00961566415976858	0.300315176834311	0.446	0.308	1	motor	SRSF6
ITM2C	0.00986350005304119	0.428479020444088	0.536	0.418	1	motor	ITM2C
STMN1	8.12458224253657e-11	0.505320546518253	0.938	0.913	1.68235724496205e-06	parietal	STMN1
SOX11	1.3893563003719e-10	0.600720911527102	0.75	0.566	2.8769400911801e-06	parietal	SOX11
NPY	3.28176912500881e-10	0.941382963808493	0.298	0.122	6.79555932715575e-06	parietal	NPY
FABP7	3.68840107516483e-10	0.594016789231972	0.791	0.638	7.63757210634382e-06	parietal	FABP7
BASP11	7.14103407926869e-10	0.413085769427616	0.921	0.88	1.47869392679417e-05	parietal	BASP1
YBX1	2.52010436504706e-08	0.297082657031686	0.979	0.985	0.000521838010870295	parietal	YBX1
MAP1B	1.4375193215218e-07	0.468885623205643	0.805	0.696	0.00297667125907519	parietal	MAP1B
LHX21	2.36372460872499e-07	0.565754477313046	0.428	0.274	0.00489456454728683	parietal	LHX2
TUBA1A	2.74750316907319e-07	0.352095724888095	0.962	0.948	0.00568925481219985	parietal	TUBA1A
PTN1	4.79577201388056e-07	0.373813193959097	0.497	0.329	0.00993060510914247	parietal	PTN
STMN2	6.12707038503251e-07	0.502855037986546	0.836	0.746	0.0126873246462868	parietal	STMN2
TUBB2B	2.07712901500309e-06	0.302393386369152	0.897	0.818	0.0430111105136689	parietal	TUBB2B
PTMS1	2.17509772433236e-06	0.295812236475867	0.791	0.738	0.0450397485777503	parietal	PTMS
RPLP0	2.64248438416733e-06	0.283476878858385	0.884	0.86	0.0547179241429529	parietal	RPLP0
RTN1	4.50766644793459e-06	0.43913468390158	0.678	0.566	0.0933402491373816	parietal	RTN1
CALM1	5.95031898493098e-06	0.377534721958193	0.911	0.878	0.123213255220966	parietal	CALM1
MARCKSL1	7.32464490371248e-06	0.349980820075748	0.825	0.721	0.151671422021174	parietal	MARCKSL1
BPTF	1.30854168771029e-05	0.397790773953545	0.579	0.454	0.270959727274169	parietal	BPTF
YWHAE	1.78207219929185e-05	0.328830483407808	0.812	0.763	0.369013690307364	parietal	YWHAE
STMN4	1.94996023115401e-05	0.520517988144737	0.435	0.304	0.403778265065061	parietal	STMN4
ZNF462	2.07853788269646e-05	0.449430360648336	0.305	0.177	0.430402839369957	parietal	ZNF462
APP	2.19382203163327e-05	0.386712344122625	0.486	0.364	0.4542747280903	parietal	APP
MYT1L1	4.78691936733492e-05	0.453532524376514	0.339	0.222	0.991227393394041	parietal	MYT1L
MAP2	4.78761868434439e-05	0.399368870773126	0.469	0.372	0.991372200967192	parietal	MAP2
HES6	5.70021533498389e-05	0.404216959472407	0.603	0.496	1	parietal	HES6
ZBTB18	6.79644543174529e-05	0.417922958694536	0.332	0.212	1	parietal	ZBTB18
NREP	8.10202545582773e-05	0.354611900342269	0.551	0.444	1	parietal	NREP
ZNF428	0.000118087223010765	0.2890465695008	0.692	0.599	1	parietal	ZNF428
SLA	0.000119720201710269	0.506408544031531	0.432	0.329	1	parietal	SLA
FOXG1	0.000167373481055225	0.383502258243686	0.524	0.444	1	parietal	FOXG1
GAP43	0.00018495884661083	0.449728514733738	0.325	0.207	1	parietal	GAP43
NEUROD2	0.000232353222469321	0.475082671861471	0.36	0.267	1	parietal	NEUROD2
DOK51	0.000285494475473156	0.415561715831112	0.322	0.209	1	parietal	DOK5
UCHL1	0.000352100922188837	0.450595961877157	0.555	0.469	1	parietal	UCHL1
KIF1B	0.000542276158678524	0.416407942867188	0.397	0.294	1	parietal	KIF1B
KIDINS2201	0.000617481618001774	0.37549577143475	0.541	0.466	1	parietal	KIDINS220
SRGAP1	0.000691076764114889	0.339972510701192	0.486	0.387	1	parietal	SRGAP1
HN1	0.000699567541672374	0.272435563671242	0.829	0.81	1	parietal	HN1
VEZT	0.00124887023987624	0.261931023332245	0.288	0.19	1	parietal	VEZT
PCSK1N	0.00129305533926756	0.315951323363756	0.541	0.444	1	parietal	PCSK1N
