	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CSRP2	2.33962316435539e-277	1.18487502811433	0.92	0.669	4.84465768643071e-273	motor	CSRP2
ENC1	4.7114686450894e-213	0.883220089486814	0.909	0.619	9.75603812338662e-209	motor	ENC1
SRM	2.93006714390266e-186	1.1706071097714	0.846	0.628	6.06729003487923e-182	motor	SRM
MT-ND3	1.32305318132163e-155	0.368217128412071	0.999	0.984	2.73964622256269e-151	motor	MT-ND3
HSP90AA1	4.47844517932364e-148	0.394744642210487	0.996	0.987	9.27351643282546e-144	motor	HSP90AA1
MEIS2	9.92442918025953e-106	0.575609817894673	0.803	0.518	2.05505155035634e-101	motor	MEIS2
NFIA	9.09376139570084e-98	0.526596229465296	0.611	0.277	1.88304517220777e-93	motor	NFIA
NNAT	2.29400442077975e-93	0.456239611042586	0.903	0.776	4.75019495410864e-89	motor	NNAT
GPM6A	1.0854410437367e-92	0.334535257962481	0.996	0.962	2.24762276926559e-88	motor	GPM6A
RPS10	3.27928298865972e-84	0.462107310080355	0.816	0.591	6.79041128461768e-80	motor	RPS10
LIMCH1	6.05829491381649e-83	0.586381383852802	0.738	0.541	1.25449112780398e-78	motor	LIMCH1
SOX4	6.4358692538211e-83	0.367056374492128	0.984	0.919	1.33267544638873e-78	motor	SOX4
SNAP25	3.50105013862069e-79	0.56984105839016	0.565	0.318	7.24962452204186e-75	motor	SNAP25
RPL41	1.58146009710273e-78	0.314230356396006	0.976	0.881	3.27472942307062e-74	motor	RPL41
VSTM2L	1.22517827207718e-76	0.562079543617594	0.367	0.123	2.53697664799022e-72	motor	VSTM2L
LINC01102	1.64420052062811e-76	0.584227828593927	0.524	0.241	3.40464601806464e-72	motor	LINC01102
VCAN	4.52819463313334e-75	0.412665884607597	0.746	0.424	9.37653262682921e-71	motor	VCAN
CLMP	1.12240293037564e-69	0.472565878777626	0.589	0.31	2.32415974792884e-65	motor	CLMP
GAPDH	1.31401688478515e-68	0.275106160166441	0.987	0.946	2.72093476332461e-64	motor	GAPDH
ZEB2	5.27180992187037e-67	0.397941531053698	0.783	0.552	1.0916336805217e-62	motor	ZEB2
BCYRN1	8.35367859044939e-62	0.572370883024978	0.422	0.202	1.72979622572435e-57	motor	BCYRN1
CPE	7.53938245646991e-60	0.321419775763251	0.891	0.749	1.56117992526123e-55	motor	CPE
TSC22D1	1.29950718364335e-54	0.341826722360949	0.936	0.825	2.69088952517029e-50	motor	TSC22D1
AUTS2	1.60133141842021e-54	0.396126963838426	0.647	0.425	3.31587696812274e-50	motor	AUTS2
RCAN1	2.81008058094835e-53	0.405917410638931	0.517	0.299	5.81883385896974e-49	motor	RCAN1
LNX1	1.33846696622972e-52	0.396688635550812	0.27	0.09	2.77156354697188e-48	motor	LNX1
SAT1	1.77415835262611e-48	0.478802676874298	0.423	0.216	3.6737497007829e-44	motor	SAT1
CDH4	9.18069512994854e-47	0.416057572964822	0.43	0.219	1.90104654055844e-42	motor	CDH4
RHOB	5.7959918825368e-46	0.401184757666165	0.664	0.471	1.2001760391169e-41	motor	RHOB
POU3F2	5.01320918015441e-44	0.32636514020946	0.628	0.385	1.03808522493457e-39	motor	POU3F2
NOVA1	3.19426695699981e-43	0.382364710127473	0.485	0.298	6.61436858785951e-39	motor	NOVA1
CBX3	4.49112723051204e-42	0.321529770069281	0.795	0.616	9.29977715622129e-38	motor	CBX3
ARL4C	1.73216813829564e-40	0.332237977496876	0.641	0.456	3.58680056396878e-36	motor	ARL4C
FZD3	1.80872879790093e-40	0.335685986222551	0.43	0.251	3.74533472181346e-36	motor	FZD3
RPL36A	7.03416500801313e-40	0.316729868072393	0.632	0.447	1.45656454820928e-35	motor	RPL36A
JUN	1.41484626653754e-39	0.486412513237572	0.743	0.573	2.92972216411928e-35	motor	JUN
MN1	2.64982731652498e-34	0.325486081871726	0.587	0.417	5.48699742432828e-30	motor	MN1
RBMX	1.94327164615353e-33	0.27844349675471	0.777	0.608	4.02393259769011e-29	motor	RBMX
RBFOX1	2.44945903859072e-33	0.328496873154167	0.614	0.433	5.07209483120981e-29	motor	RBFOX1
CTTNBP2	7.20212224373538e-33	0.327231437943662	0.603	0.406	1.49134345301029e-28	motor	CTTNBP2
MASP1	9.13487858665953e-33	0.337838789945329	0.301	0.167	1.89155930893959e-28	motor	MASP1
POU3F3	8.25166021038142e-32	0.330798147179294	0.616	0.426	1.70867127976368e-27	motor	POU3F3
NETO2	2.24673313542726e-31	0.31143599521854	0.573	0.374	4.65231030352923e-27	motor	NETO2
PGAP1	8.41629814491633e-27	0.320378632801556	0.292	0.16	1.74276285686782e-22	motor	PGAP1
SEMA3C	3.1325414987457e-25	0.306472697471899	0.404	0.253	6.48655368145273e-21	motor	SEMA3C
DUSP1	4.70315024505835e-25	0.400930100326552	0.499	0.334	9.73881321244234e-21	motor	DUSP1
H2AFY2	4.4122337096716e-24	0.287851476837284	0.321	0.178	9.13641234261698e-20	motor	H2AFY2
NDUFA13	4.95564281188981e-24	0.293058842917857	0.371	0.237	1.02616495705802e-19	motor	NDUFA13
FOS	4.85254741058538e-22	0.39141598421229	0.582	0.439	1.00481699230991e-17	motor	FOS
FBLN1	1.11299131955346e-20	0.288571697596251	0.414	0.276	2.30467112539936e-16	motor	FBLN1
MDK	2.1406357092338e-20	0.278486234315246	0.49	0.354	4.43261436311043e-16	motor	MDK
CMC2	1.21172350765276e-17	0.251649666375662	0.352	0.221	2.50911586729656e-13	motor	CMC2
PALMD	1.69260771829456e-16	0.298447180730324	0.334	0.217	3.50488280227255e-12	motor	PALMD
HSPA1A	2.93520772764322e-13	0.25781115337683	0.535	0.432	6.07793464163082e-09	motor	HSPA1A
EPHB6	5.37779548464158e-11	0.286894604165848	0.347	0.254	1.11358011100473e-06	motor	EPHB6
MT-ATP6	1.57047119797119e-136	0.315899373595299	1	1	3.25197470963894e-132	parietal	MT-ATP6
MT-CO2	1.39072532718679e-106	0.301282810331823	1	1	2.87977493500569e-102	parietal	MT-CO2
MT-ND5	9.90788588961745e-67	0.367854402792219	0.93	0.93	2.05162593116308e-62	parietal	MT-ND5
ARPP211	2.84615297684558e-39	0.39107335720772	0.739	0.739	5.89352896915414e-35	parietal	ARPP21
CEP170	5.60191556156564e-35	0.338444460158363	0.733	0.782	1.1599886553334e-30	parietal	CEP170
NPY1	1.83405778062249e-33	0.416682168832924	0.427	0.271	3.79778344633499e-29	parietal	NPY
HNRNPU1	9.61691884317358e-31	0.411705011526873	0.63	0.616	1.99137538485595e-26	parietal	HNRNPU
BPTF1	2.14891870757062e-26	0.435823847249123	0.584	0.585	4.44976596776647e-22	parietal	BPTF
PCLO1	4.52530110671924e-26	0.423384477185271	0.583	0.599	9.37054100168353e-22	parietal	PCLO
SOX11	8.7072866999546e-26	0.293470667419323	0.909	0.921	1.8030178569596e-21	parietal	SOX11
CHL11	2.32665841297647e-25	0.369249644077753	0.679	0.707	4.81781157575037e-21	parietal	CHL1
SEPT7	1.16361377767177e-22	0.294633813722793	0.744	0.805	2.40949504942494e-18	parietal	SEPT7
KIDINS2201	1.25797435868238e-22	0.272023221615507	0.714	0.789	2.60488750452361e-18	parietal	KIDINS220
NCL	1.81023841830288e-21	0.306746439224785	0.695	0.724	3.74846069277978e-17	parietal	NCL
R3HDM11	1.92418291846303e-20	0.509270828449418	0.422	0.4	3.98440556926139e-16	parietal	R3HDM1
MYT1L1	1.05611939506296e-19	0.384545110585707	0.627	0.669	2.18690643135687e-15	parietal	MYT1L
SPIRE11	1.19323914859843e-17	0.398206682465772	0.488	0.463	2.47084030500278e-13	parietal	SPIRE1
LHX21	1.6395183072531e-17	0.295422865267875	0.581	0.577	3.394950558829e-13	parietal	LHX2
ANK21	1.69206671063488e-17	0.34441765140025	0.613	0.645	3.50376253771164e-13	parietal	ANK2
SRRM2	4.48042691417371e-17	0.30295801368066	0.653	0.714	9.2776200111795e-13	parietal	SRRM2
NEFM1	8.20436217931946e-17	0.327195999245202	0.612	0.564	1.69887727647168e-12	parietal	NEFM
NEFL1	7.51345761215721e-15	0.424620328855798	0.373	0.296	1.55581166774939e-10	parietal	NEFL
PPFIA21	1.6764948485567e-14	0.409931762251431	0.459	0.452	3.47151788290636e-10	parietal	PPFIA2
NCAM1	1.99359954371886e-14	0.261565448699046	0.675	0.762	4.12814657517865e-10	parietal	NCAM1
KIF1B1	3.73161679662981e-14	0.314606467661955	0.56	0.618	7.72705890078135e-10	parietal	KIF1B
SYNE2	5.93829802674142e-14	0.478214198047223	0.439	0.393	1.22964337239735e-09	parietal	SYNE2
NR2F11	5.14776604218749e-12	0.309911736807748	0.54	0.544	1.06594791435576e-07	parietal	NR2F1
FNBP1L	7.9136184513299e-12	0.292010340243888	0.582	0.625	1.63867297271688e-07	parietal	FNBP1L
ROBO21	9.11189668340968e-12	0.384268726298289	0.399	0.365	1.88680044623364e-07	parietal	ROBO2
MTSS1	2.16384071242454e-11	0.364762365325598	0.395	0.396	4.4806649632175e-07	parietal	MTSS1
CDR1-AS1	3.94176193907625e-11	0.452374406241357	0.285	0.214	8.16220644724519e-07	parietal	CDR1-AS
PTPRD	5.9754346794216e-10	0.325414887544042	0.513	0.548	1.23733325906783e-05	parietal	PTPRD
LINC006571	8.1852559001566e-10	0.379041405046553	0.41	0.407	1.69492093924543e-05	parietal	LINC00657
CACNA2D1	9.03316121310258e-10	0.335931496520377	0.4	0.4	1.87049669239715e-05	parietal	CACNA2D1
APC	4.48380057625847e-09	0.327920655642319	0.459	0.48	9.28460585325842e-05	parietal	APC
ARHGAP21	1.10257897759446e-08	0.283938316721993	0.547	0.621	0.000228311028890484	parietal	ARHGAP21
ATXN7L3B	1.47740635344761e-08	0.367688072482576	0.392	0.392	0.000305926533608396	parietal	ATXN7L3B
LHFP1	1.5240445826709e-08	0.274086179634767	0.309	0.278	0.000315583911733663	parietal	LHFP
EZR	2.12822149853357e-08	0.359712028838677	0.335	0.32	0.000440690825701347	parietal	EZR
DST1	3.79638326779412e-08	0.372703757791835	0.393	0.379	0.000786117083262129	parietal	DST
NBEA1	1.44843099449815e-07	0.282095561336808	0.457	0.509	0.00299926606030732	parietal	NBEA
MACF1	4.71332926821823e-07	0.252191805087674	0.531	0.588	0.00975989091569948	parietal	MACF1
ARGLU1	5.21353738788367e-07	0.253285140736327	0.546	0.617	0.0107956718690907	parietal	ARGLU1
INA1	8.85428690974758e-07	0.281792283262871	0.495	0.527	0.0183345719040143	parietal	INA
DYNC1H1	9.348137369177e-07	0.252592943860593	0.557	0.633	0.0193571880503548	parietal	DYNC1H1
NKTR	1.75331982508154e-06	0.271453357826828	0.453	0.506	0.0363059936179633	parietal	NKTR
JMJD1C1	2.18225311598934e-06	0.285112580938593	0.508	0.565	0.0451879152727912	parietal	JMJD1C
SPTBN11	1.33129100288794e-05	0.31021319116331	0.472	0.52	0.275670427968006	parietal	SPTBN1
DNM31	2.04485093442633e-05	0.304066231302835	0.306	0.295	0.423427282991661	parietal	DNM3
KIF2A	7.13260227984137e-05	0.272646226872836	0.418	0.454	1	parietal	KIF2A
OSBPL8	8.20710664289437e-05	0.312273743552307	0.366	0.388	1	parietal	OSBPL8
PHF3	9.01716217104746e-05	0.321875197429127	0.307	0.304	1	parietal	PHF3
