	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL3	6.22062498870015e-15	0.375868671605038	1	1	1.28810481641014e-10	motor	RPL3
RPL8	9.36772585145367e-13	0.328306863211877	1	0.996	1.93977499206051e-08	motor	RPL8
HNRNPA1	5.80359927079118e-12	0.372367424569966	1	0.966	1.20175130100273e-07	motor	HNRNPA1
RPS2	1.20345452749555e-11	0.329662211543631	1	1	2.49199329008504e-07	motor	RPS2
RPS6	2.48402005899168e-11	0.352232951469679	0.987	0.996	5.14366033615408e-07	motor	RPS6
EEF1A1	2.8103378851672e-11	0.329731989864475	1	1	5.81936665881572e-07	motor	EEF1A1
RPS9	1.72684161741904e-10	0.317372937859098	0.993	1	3.57577093718961e-06	motor	RPS9
RPL9	3.5890067129817e-10	0.301514650179094	1	0.996	7.43175620057121e-06	motor	RPL9
RPL10A	2.63156133978483e-09	0.312597097184774	0.993	0.979	5.44917406629245e-05	motor	RPL10A
RPS10	5.46625535047942e-09	0.367641916388087	0.895	0.769	0.000113189749542377	motor	RPS10
RPS4X	1.89580401776148e-08	0.268986699398639	1	0.996	0.00039256413795787	motor	RPS4X
GNB2L1	2.97026393033538e-08	0.282987959820178	0.993	0.987	0.000615052552054546	motor	GNB2L1
RPL4	3.41181483580728e-08	0.37687680355263	0.935	0.962	0.000706484498050613	motor	RPL4
RPL18A	3.81886552402509e-08	0.273659834477186	1	1	0.000790772484059875	motor	RPL18A
RPL23A	5.28521647288826e-08	0.274179697853326	0.993	0.966	0.00109440977504097	motor	RPL23A
RPS5	6.29296951011622e-08	0.283840105577621	1	0.983	0.00130308519645976	motor	RPS5
RPS14	9.48215399542463e-08	0.263595505335532	1	0.987	0.00196346962783258	motor	RPS14
TPT1	1.26166345925898e-07	0.259839980643239	1	0.991	0.00261252652508756	motor	TPT1
RPS3	1.86983059022401e-07	0.26815336112447	0.98	1	0.00387185820317686	motor	RPS3
SLC25A6	7.03446228666273e-07	0.341443731650405	0.961	0.932	0.0145662610569925	motor	SLC25A6
TUBB2B	1.90379126719212e-06	0.255074678611426	1	0.996	0.0394218057697472	motor	TUBB2B
IGFBP2	3.18896766142512e-06	0.356805140237377	0.961	0.936	0.06603395336513	motor	IGFBP2
DLL3	2.59394477552135e-05	0.569782857356063	0.627	0.496	0.537128144667206	motor	DLL3
H2AFY	2.980612287838e-05	0.351237085589392	0.758	0.662	0.617195386442614	motor	H2AFY
FABP7	9.02045683197608e-05	0.279426820104738	0.948	0.949	1	motor	FABP7
GLTSCR2	0.000132546084963927	0.385955524299239	0.693	0.632	1	motor	GLTSCR2
HES6	0.000323014480038784	0.400965547564423	0.745	0.641	1	motor	HES6
CD9	0.000445996423100865	0.398771402796227	0.614	0.534	1	motor	CD9
CYBA	0.000525459854336875	0.397762011102772	0.288	0.167	1	motor	CYBA
CKB	0.000783128520917422	0.3465535817851	0.83	0.808	1	motor	CKB
SEC11C	0.000814464523326123	0.292336113211	0.784	0.752	1	motor	SEC11C
TMEM98	0.00099771938445783	0.363955089482473	0.464	0.368	1	motor	TMEM98
DUSP1	0.00100855343883981	0.448401529040512	0.431	0.329	1	motor	DUSP1
MYL6B	0.00106915203125017	0.251820499221751	0.739	0.705	1	motor	MYL6B
OLIG1	0.0012979233523188	0.250944212725801	0.961	0.957	1	motor	OLIG1
NKAIN4	0.002378515706617	0.32887392925265	0.712	0.701	1	motor	NKAIN4
TMSB4X	0.00273903354362169	0.273545249808962	0.98	0.974	1	motor	TMSB4X
SNHG25	0.00313623034525295	0.289976622661719	0.327	0.218	1	motor	SNHG25
DDOST	0.00316546819408735	0.299791149166793	0.516	0.444	1	motor	DDOST
PHC2	0.00352585820085474	0.301412232244602	0.471	0.393	1	motor	PHC2
GNAI2	0.00437807264298114	0.257961047819996	0.732	0.697	1	motor	GNAI2
LINC01003	0.00438350398283327	0.251695885921135	0.464	0.35	1	motor	LINC01003
RPS27L	0.00468562716953624	0.287297703699543	0.765	0.731	1	motor	RPS27L
TOMM40	0.0061109668348996	0.359273719756574	0.451	0.389	1	motor	TOMM40
ITM2C	0.00913802982050194	0.294710950659031	0.837	0.868	1	motor	ITM2C
RAMP1	0.00915666160588758	0.37845334388031	0.575	0.521	1	motor	RAMP1
KIF3A	4.94239250729369e-06	0.555268190312477	0.773	0.522	0.10234212164853	parietal	KIF3A
LHFPL31	5.00113598933539e-06	0.68333948562308	0.432	0.169	0.103558522931168	parietal	LHFPL3
CEP1701	2.98962010578571e-05	0.418275571874011	0.773	0.528	0.619060635305046	parietal	CEP170
PLCB11	3.66391908884965e-05	0.467894808352025	0.545	0.268	0.758687725728097	parietal	PLCB1
OPA1	0.000261929966365587	0.408513629358876	0.409	0.181	1	parietal	OPA1
BPTF	0.000304806739673387	0.444619938591995	0.75	0.603	1	parietal	BPTF
ZNF708	0.000318267793325227	0.391647385421102	0.5	0.259	1	parietal	ZNF708
RSF1	0.000330496427776316	0.359203230571703	0.818	0.708	1	parietal	RSF1
SF3B1	0.000383415373046923	0.309911447582783	0.795	0.656	1	parietal	SF3B1
SYNE11	0.000405622799231222	0.516981888354422	0.614	0.399	1	parietal	SYNE1
SRRM2	0.00040647841550199	0.314453720977347	1	0.88	1	parietal	SRRM2
OTULIN	0.000409734732332062	0.363912980240446	0.273	0.102	1	parietal	OTULIN
PRR14L	0.000469669002659717	0.362513400572156	0.364	0.152	1	parietal	PRR14L
PRRC2B	0.00049540862113124	0.388817147816381	0.727	0.487	1	parietal	PRRC2B
EIF4G3	0.00052975975702996	0.385251357255069	0.614	0.364	1	parietal	EIF4G3
NKTR	0.000577501933726641	0.469460071808772	0.636	0.504	1	parietal	NKTR
MT-ND6	0.000601542652546609	0.321719246758957	0.614	0.353	1	parietal	MT-ND6
HNRNPU1	0.000706851693587233	0.379084621503349	0.886	0.755	1	parietal	HNRNPU
DGKB	0.000744407691836662	0.387769215856759	0.295	0.117	1	parietal	DGKB
HLTF1	0.000752880470712972	0.427226383929646	0.545	0.335	1	parietal	HLTF
IFT81	0.00103482121623065	0.361861114938772	0.5	0.277	1	parietal	IFT81
ACSL31	0.00107600298695093	0.486026420638282	0.659	0.426	1	parietal	ACSL3
CENPJ1	0.00114800833472866	0.499489368863596	0.5	0.294	1	parietal	CENPJ
CDR1-AS	0.00120553943402332	0.436517876577292	0.5	0.292	1	parietal	CDR1-AS
HSP90AA1	0.00134632205592333	0.263517600767753	1	0.994	1	parietal	HSP90AA1
HIST1H1E1	0.00135214301624034	0.428073208338317	0.523	0.312	1	parietal	HIST1H1E
MT-ND51	0.00155758681582191	0.264459508283382	0.977	0.968	1	parietal	MT-ND5
DMXL2	0.00157399773175314	0.418639956438953	0.295	0.128	1	parietal	DMXL2
ANKRD54	0.0015859968474063	0.395886449825799	0.318	0.146	1	parietal	ANKRD54
TANC2	0.00179671572077486	0.366406382496905	0.545	0.324	1	parietal	TANC2
PNISR	0.00195468204593106	0.331242751168952	0.955	0.869	1	parietal	PNISR
PSMB3	0.00220532398176051	0.336987320055589	0.682	0.513	1	parietal	PSMB3
VEZF1	0.00238061172740686	0.35878335502533	0.591	0.408	1	parietal	VEZF1
TPM41	0.00240325156238284	0.333565691260593	0.705	0.571	1	parietal	TPM4
SNX6	0.00273393175191786	0.345793736674154	0.727	0.534	1	parietal	SNX6
IFI16	0.00280009225504037	0.31601278003802	0.295	0.131	1	parietal	IFI16
ASH1L	0.00283020743013631	0.468165373086804	0.591	0.402	1	parietal	ASH1L
SYNRG1	0.00288444125220102	0.488113265903182	0.432	0.265	1	parietal	SYNRG
OPN3	0.00291801439719814	0.295673604857175	0.273	0.12	1	parietal	OPN3
