	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
S100A16	2.58318019335607e-219	0.78452091705707	0.587	0.086	5.34899122638241e-215	motor	S100A16
S100A13	1.47459113454083e-135	0.677473488382665	0.538	0.149	3.05343586229369e-131	motor	S100A13
LAMP5	4.85338538320438e-100	0.529645200832497	0.552	0.199	1.00499051130013e-95	motor	LAMP5
CRYM	8.10054808218372e-88	0.4550159062892	0.299	0.052	1.67738049137778e-83	motor	CRYM
GPM6B	1.96927819924873e-63	0.423397891230096	0.975	0.896	4.07778436718435e-59	motor	GPM6B
PEA15	1.47808194054793e-61	0.486238014185501	0.918	0.779	3.06066427429259e-57	motor	PEA15
CSPG5	2.45535847095433e-56	0.414972960735508	0.708	0.476	5.08431078580514e-52	motor	CSPG5
TUBB2B	2.70044512583494e-54	0.416767635957938	1	0.997	5.5918117220664e-50	motor	TUBB2B
FAM134B	7.2238807555344e-53	0.336062225305195	0.577	0.345	1.49584898804851e-48	motor	FAM134B
DBI	1.10132270629206e-52	0.343180433025953	0.988	0.913	2.28050892791896e-48	motor	DBI
C8orf4	6.55175582008624e-52	0.413798742945679	0.819	0.633	1.35667207766526e-47	motor	C8orf4
ENHO	2.29906556659449e-51	0.375597383047897	0.797	0.601	4.76067506874721e-47	motor	ENHO
ITM2B	5.57636067944501e-51	0.296555351521571	0.94	0.844	1.15469700589268e-46	motor	ITM2B
TNC	2.63458116465987e-50	0.502902706363234	0.487	0.242	5.45542721766119e-46	motor	TNC
CD9	1.33604873424303e-48	0.478568247271121	0.424	0.198	2.76655611399704e-44	motor	CD9
SOX3	9.25233404628041e-48	0.364338490045229	0.696	0.483	1.91588081096329e-43	motor	SOX3
FABP7	2.24136452707732e-46	0.485024200317984	0.997	0.993	4.64119352621901e-42	motor	FABP7
HOPX	7.75336532967322e-46	0.579743433601735	0.732	0.519	1.60548935881543e-41	motor	HOPX
BCAN	6.45856719255693e-45	0.443681232887235	0.875	0.731	1.33737550856276e-40	motor	BCAN
COMT	1.93228730594897e-41	0.324720026518592	0.818	0.637	4.00118732442853e-37	motor	COMT
TRIM9	2.05985077694846e-41	0.337005075627406	0.698	0.492	4.26533300382718e-37	motor	TRIM9
METRN	4.17251466960611e-41	0.333447301494392	0.859	0.712	8.64002612635338e-37	motor	METRN
NCAN	7.97843406897135e-41	0.352254411276834	0.734	0.537	1.6520943426619e-36	motor	NCAN
