	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DENND2A	3.03090960488075e-10	0.443132671378303	0.673	0.242	6.27610451882657e-06	motor	DENND2A
NFATC4	3.1609156998167e-10	0.262910363558071	0.49	0.13	6.54530813961045e-06	motor	NFATC4
PIK3R6	1.2686897258081e-08	0.310038249155695	0.367	0.092	0.000262707581523083	motor	PIK3R6
GALNT18	1.70678799735771e-08	0.528768852195111	0.796	0.405	0.000353424590612862	motor	GALNT18
INF2	2.42881966817287e-08	0.282715648974583	0.592	0.23	0.000502935688688557	motor	INF2
PSMA2	4.13595246574863e-08	0.304580334181505	0.673	0.27	0.00085643167708257	motor	PSMA2
ANGPTL4	5.62838077169628e-08	0.411805741955543	0.612	0.246	0.00116546880639515	motor	ANGPTL4
SLC30A1	5.6785733423582e-08	0.30624119575977	0.429	0.13	0.00117586218200211	motor	SLC30A1
CRACR2B	6.24108156260122e-08	0.307035665018162	0.388	0.111	0.00129234075916784	motor	CRACR2B
EHD2	8.24327297432125e-08	0.278991769797917	0.408	0.121	0.0017069345347927	motor	EHD2
ATF6B	9.83451188898007e-08	0.30236226332471	0.531	0.192	0.0020364323768511	motor	ATF6B
RBMS2	1.08706958280838e-07	0.259210811003206	0.592	0.244	0.00225099498512131	motor	RBMS2
PALD1	1.28633739482156e-07	0.415312406956321	0.735	0.422	0.002663618843457	motor	PALD1
TIMM22	1.42020649729014e-07	0.334441257040744	0.653	0.275	0.00294082159393869	motor	TIMM22
SGPL1	2.12535585800208e-07	0.260140888763614	0.551	0.206	0.00440097437516492	motor	SGPL1
ZDHHC9	2.64521515522403e-07	0.257609122223827	0.429	0.14	0.0054774470219224	motor	ZDHHC9
KLHDC3	4.12779792184028e-07	0.257263307811928	0.612	0.27	0.00854743115675467	motor	KLHDC3
BCAT1	4.61516548658513e-07	0.298665181875527	0.408	0.13	0.00955662317307183	motor	BCAT1
SPARC	5.42542317135112e-07	0.416434861755409	0.939	0.808	0.0112344237609168	motor	SPARC
ZFP36	5.76301838973978e-07	0.54821844471481	0.755	0.415	0.0119334821796342	motor	ZFP36
ARID3A	6.49018377646204e-07	0.286458093350902	0.51	0.197	0.0134392235459199	motor	ARID3A
ADM	8.15187003403601e-07	0.489032302940947	0.51	0.192	0.0168800772794784	motor	ADM
COL6A1	8.29591650609487e-07	0.331535058161627	0.714	0.336	0.0171783543091706	motor	COL6A1
OLFML2A	8.54673648151481e-07	0.268437369900568	0.49	0.182	0.0176977272322727	motor	OLFML2A
SLC25A11	8.79664552874537e-07	0.251851974129205	0.735	0.367	0.018215213896373	motor	SLC25A11
EIF2B2	9.73586305222399e-07	0.284253903817714	0.653	0.306	0.0201600516222402	motor	EIF2B2
UNC5B	1.05869455170123e-06	0.513049187908567	0.796	0.467	0.0219223880820774	motor	UNC5B
SLC19A1	1.12876584792371e-06	0.397463620998623	0.633	0.289	0.0233733544129563	motor	SLC19A1
RHOB	1.14181642050405e-06	0.525274419772742	0.98	0.718	0.0236435926193774	motor	RHOB
SLC9A1	1.39248273751148e-06	0.339881840342485	0.592	0.28	0.0288341400456503	motor	SLC9A1
HSF1	1.43450261499347e-06	0.267915727014821	0.531	0.22	0.0297042456486698	motor	HSF1
TTYH3	1.68104775081129e-06	0.257031163485855	0.551	0.235	0.0348094557760495	motor	TTYH3
AK3	1.95778523963996e-06	0.376851086828647	0.571	0.277	0.0405398589572247	motor	AK3
EPHX1	1.99919508546319e-06	0.318959006171802	0.49	0.194	0.0413973326346862	motor	EPHX1
KLF4	2.22196589760191e-06	0.390482610266103	0.837	0.474	0.0460102478416427	motor	KLF4
SPPL3	2.22213065784854e-06	0.27120762863663	0.571	0.254	0.0460136595320697	motor	SPPL3
CPPED1	2.3242172966387e-06	0.304005679049564	0.551	0.225	0.0481275675614976	motor	CPPED1
TGFBR2	2.48880180604369e-06	0.39219560496865	0.755	0.405	0.0515356189977468	motor	TGFBR2
KHSRP	2.72790575810213e-06	0.317093541746827	0.612	0.303	0.0564867445330208	motor	KHSRP
TMEM173	2.9093876862897e-06	0.37058244377038	0.796	0.434	0.0602446908200008	motor	TMEM173
PDZD2	3.17908810259006e-06	0.374323667748442	0.755	0.41	0.0658293773403324	motor	PDZD2
NDUFA13	3.35626619558659e-06	0.339079268894297	0.796	0.415	0.0694982041120115	motor	NDUFA13
RPS10	3.36350448287302e-06	0.343938242650978	0.878	0.59	0.0696480873268516	motor	RPS10
TNFRSF21	3.44216475986043e-06	0.313542089864639	0.673	0.332	0.0712769056824298	motor	TNFRSF21
RASGRP2	3.47493492052718e-06	0.284760948831027	0.653	0.291	0.0719554773993564	motor	RASGRP2
CD34	3.49797536277726e-06	0.547252294307156	0.449	0.175	0.0724325758370288	motor	CD34
COL9A3	3.64184496382081e-06	0.645120645800099	0.347	0.111	0.0754116836658374	motor	COL9A3
ATXN2L	3.82850889143561e-06	0.265622969416572	0.449	0.171	0.0792769336149571	motor	ATXN2L
ZFP36L1	4.54816641044878e-06	0.461913928058926	0.878	0.609	0.0941788818611628	motor	ZFP36L1
FN1	4.71465471028981e-06	0.409244879843954	0.918	0.912	0.0976263550859711	motor	FN1
WTIP	4.9172589778e-06	0.278982615707897	0.571	0.263	0.101821681653305	motor	WTIP
FOXC1	5.47589943653693e-06	0.391409869945349	0.878	0.585	0.11338944963237	motor	FOXC1
CHST2	5.68690980969109e-06	0.395909805353253	0.714	0.382	0.117758841429273	motor	CHST2
ENPEP	6.04483269121731e-06	0.260840892089632	0.408	0.145	0.125170350537037	motor	ENPEP
PDLIM2	6.52579024208491e-06	0.38792948657555	0.898	0.545	0.135129538542852	motor	PDLIM2
PRRC2A	6.63137729631157e-06	0.266918307793029	0.592	0.27	0.137315929674724	motor	PRRC2A
HEG1	6.6767705627079e-06	0.265326616791715	0.571	0.249	0.138255888041992	motor	HEG1
NELFB	7.56175441891399e-06	0.283926599891302	0.592	0.282	0.156581248752452	motor	NELFB
PRELP	7.70268882525575e-06	0.430254802563128	0.714	0.37	0.159499577504571	motor	PRELP
DLL4	7.80216064365775e-06	0.28402468081798	0.367	0.128	0.161559340448221	motor	DLL4
CD9	7.94357355458098e-06	0.618060830867561	0.857	0.512	0.164487577594708	motor	CD9
SRSF8	8.20550993310942e-06	0.264778843262571	0.551	0.251	0.169911494184897	motor	SRSF8
UBE2Z	8.95824797375363e-06	0.251072914196099	0.571	0.261	0.185498440792516	motor	UBE2Z
DUS1L	1.1802491842554e-05	0.327394159325532	0.612	0.289	0.244394198583766	motor	DUS1L
PDE2A	1.24949078799504e-05	0.266402558399047	0.429	0.166	0.258732057470134	motor	PDE2A
TMED2	1.25028333260828e-05	0.305164317171931	0.796	0.429	0.258896169683197	motor	TMED2
ALDOA	1.34407711689048e-05	0.413287631750848	0.959	0.751	0.278318048594512	motor	ALDOA
MCL1	1.448952171344e-05	0.396119804405588	0.857	0.59	0.300034526120202	motor	MCL1
RGL1	1.56236744849307e-05	0.279066285429393	0.633	0.32	0.32351942755946	motor	RGL1
TMEM109	1.57407249388471e-05	0.355348925617571	0.796	0.479	0.325943191308707	motor	TMEM109
FOSB	1.57970950432341e-05	0.513494291779651	0.878	0.63	0.327110447060248	motor	FOSB
TMEM204	1.71625474823368e-05	0.376959121455987	0.816	0.519	0.355384870716749	motor	TMEM204
SLC2A3	1.78797846569903e-05	0.362342524391366	0.898	0.614	0.370236700892298	motor	SLC2A3
MYADM	1.79613730965296e-05	0.407437833247095	0.653	0.363	0.371926152709838	motor	MYADM
SLC38A3	1.84769952967769e-05	0.382383668863883	0.449	0.201	0.382603141610359	motor	SLC38A3
FOXS1	1.90885768271751e-05	0.598701825139053	0.714	0.405	0.395267160360314	motor	FOXS1
AGRN	1.91593262495752e-05	0.382740968015958	0.898	0.6	0.396732168649953	motor	AGRN
PGF	2.02341933380189e-05	0.403283048074069	0.837	0.517	0.418989441450358	motor	PGF
SLC6A1	2.09413702402998e-05	0.344956229056963	0.673	0.351	0.433632953565887	motor	SLC6A1
SLC12A7	2.09799683602341e-05	0.315135264796155	0.714	0.408	0.434432204835369	motor	SLC12A7
SLC1A4	2.20299396970397e-05	0.465211756675935	0.408	0.168	0.4561739613066	motor	SLC1A4
ATP1A2	2.20944031196893e-05	0.700947187669387	0.776	0.505	0.457508805399405	motor	ATP1A2
NFKBIZ	2.23806525717073e-05	0.300905382985658	0.49	0.223	0.463436172802343	motor	NFKBIZ
THSD1	2.30946403205095e-05	0.277803374368427	0.367	0.14	0.47822071711679	motor	THSD1
LEPROT	2.73485915556686e-05	0.263416640605645	0.898	0.559	0.56630728534323	motor	LEPROT
RPL36A	2.73669808891647e-05	0.266935540358545	0.796	0.462	0.566688073271933	motor	RPL36A
CFAP20	2.79098907014687e-05	0.436082640610439	0.878	0.571	0.577930106755312	motor	CFAP20
PDGFB	2.80635550908797e-05	0.330385142570021	0.388	0.152	0.581112035266846	motor	PDGFB
BHLHE40	2.80736572301803e-05	0.357762400273716	0.531	0.265	0.581321220265344	motor	BHLHE40
NEU1	3.02164419663245e-05	0.26238465539848	0.653	0.329	0.625691863796681	motor	NEU1
CA2	3.13286984502896e-05	0.50586489826292	0.673	0.377	0.648723358810148	motor	CA2
FSTL1	3.67608118680762e-05	0.36826081495852	0.837	0.559	0.761206131352254	motor	FSTL1
ADA	3.99359192796506e-05	0.381687325266275	0.673	0.365	0.826953080523725	motor	ADA
CEBPB	4.2318575807939e-05	0.504325083335311	0.796	0.491	0.876290749254994	motor	CEBPB
ITPRIP	4.37107106577062e-05	0.252227051979636	0.51	0.237	0.905117685589122	motor	ITPRIP
EPAS1	4.55856770209802e-05	0.353774167916345	0.796	0.545	0.943942614073437	motor	EPAS1
FRZB	4.69330848777438e-05	0.528550560996176	0.857	0.509	0.971843388563441	motor	FRZB
VAMP5	4.7157905454121e-05	0.310852385499816	0.857	0.59	0.976498748238483	motor	VAMP5
NBL1	4.76693367797154e-05	0.304706696289388	0.796	0.476	0.987088956697567	motor	NBL1
ADGRF5	4.98403174643488e-05	0.354440490200455	0.735	0.412	1	motor	ADGRF5
GNG11	5.07053243984724e-05	0.397180796454689	0.939	0.73	1	motor	GNG11
NR4A1	5.68291532291078e-05	0.354421251827727	0.796	0.481	1	motor	NR4A1
SLC6A12	5.82219649442799e-05	0.363844880753191	0.612	0.315	1	motor	SLC6A12
DOCK6	5.94415297200702e-05	0.303284076535815	0.653	0.344	1	motor	DOCK6
LMAN2	6.24039773838604e-05	0.317598568744664	0.735	0.448	1	motor	LMAN2
TRIOBP	6.57513350099263e-05	0.285900459326664	0.714	0.429	1	motor	TRIOBP
HSPG2	6.89189199117143e-05	0.477681289159862	0.531	0.249	1	motor	HSPG2
POLR2L	7.77679701239115e-05	0.293561262791191	0.878	0.588	1	motor	POLR2L
PTEN	8.04700964712667e-05	0.352120731625499	0.898	0.55	1	motor	PTEN
APLN	8.63351890176624e-05	0.531919777191448	0.408	0.171	1	motor	APLN
TACC1	9.09807889664675e-05	0.275923819234112	0.796	0.536	1	motor	TACC1
ZBTB7A	9.10229641998487e-05	0.269755134315593	0.531	0.256	1	motor	ZBTB7A
TSC22D3	9.14147759041985e-05	0.293483362455812	0.776	0.455	1	motor	TSC22D3
CLIC4	9.16183176520452e-05	0.290056368620304	0.653	0.386	1	motor	CLIC4
CCNY	9.23804624826544e-05	0.250034787404243	0.673	0.396	1	motor	CCNY
ECE1	9.97367517564311e-05	0.258766143310031	0.816	0.495	1	motor	ECE1
GGT5	9.98171072555183e-05	0.308701412446395	0.796	0.464	1	motor	GGT5
ING1	0.000103039296444487	0.290103221409783	0.633	0.339	1	motor	ING1
IFRD1	0.000103977966112969	0.253771277766563	0.857	0.509	1	motor	IFRD1
