	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TUBB2B	4.19729012649502e-62	0.26525109072507	0.998	0.996	8.69132866493324e-58	motor	TUBB2B
DUSP1	1.17472484588537e-22	0.396084468490992	0.523	0.421	2.43250273837483e-18	motor	DUSP1
BCYRN1	4.27866962092049e-22	0.4087464966029	0.262	0.146	8.85984118404006e-18	motor	BCYRN1
CSRP2	1.76174155074114e-14	0.533491628526787	0.627	0.589	3.64803822911968e-10	motor	CSRP2
SRM	8.52563149794559e-14	0.677375929706757	0.514	0.454	1.76540251427959e-09	motor	SRM
ZEB2	1.92184289024269e-13	0.285361631861339	0.56	0.439	3.97956007282554e-09	motor	ZEB2
RBP1	2.00761538196359e-13	0.391248467236476	0.384	0.26	4.157169171432e-09	motor	RBP1
LINC01102	1.69615285570121e-11	0.266333439520011	0.254	0.173	3.51222371830051e-07	motor	LINC01102
HSPA1A	4.20529976005826e-11	0.446437834999061	0.539	0.47	8.70791421315264e-07	motor	HSPA1A
SNAP25	1.6877166012748e-09	0.297343087453943	0.32	0.242	3.49475476625972e-05	motor	SNAP25
EPHB6	2.35388853091391e-09	0.265013843087104	0.315	0.277	4.87419698096343e-05	motor	EPHB6
HSPA1B	2.17215841030413e-05	0.30516363973128	0.32	0.276	0.449788842021677	motor	HSPA1B
LIMCH1	0.00307682468178143	0.278920223881466	0.321	0.296	1	motor	LIMCH1
MT-ND5	3.4470200941162e-29	0.26998866828927	0.946	0.92	7.13774450888641e-25	parietal	MT-ND5
NR2F11	5.64916290777124e-29	0.358392625623155	0.71	0.592	1.16977216331219e-24	parietal	NR2F1
CDR1-AS	1.76392159764983e-22	0.31326134783388	0.361	0.23	3.6525524522535e-18	parietal	CDR1-AS
BPTF	1.54636802006329e-21	0.281369363530563	0.667	0.579	3.20206425914505e-17	parietal	BPTF
SYNE2	3.53504807003884e-21	0.301374548510302	0.746	0.676	7.32002403862944e-17	parietal	SYNE2
NPY1	9.60923536783506e-19	0.358333874278133	0.32	0.194	1.9897843676176e-14	parietal	NPY
POU3F2	5.60824056463278e-16	0.293021884016531	0.584	0.478	1.16129837371851e-11	parietal	POU3F2
HES6	7.07449471731009e-16	0.252617292423465	0.808	0.743	1.4649156211134e-11	parietal	HES6
EGR11	1.39679158003516e-14	0.303775048347913	0.423	0.335	2.8923363247788e-10	parietal	EGR1
HES11	7.45402489404427e-14	0.574789900214987	0.316	0.242	1.54350493480975e-09	parietal	HES1
ZFHX4	1.32052917450948e-13	0.276434454896835	0.402	0.3	2.73441976165677e-09	parietal	ZFHX4
GRIA2	2.00975015551346e-08	0.254767410295904	0.451	0.388	0.000416158964702173	parietal	GRIA2
PCLO	1.56036733018528e-05	0.282607658106141	0.299	0.255	0.323105263061467	parietal	PCLO
RPS21	1.98169246346721e-169	0.494213681921602	0.994	0.919	4.10349058410156e-165	somatosensory	RPS21
RPL411	3.07798432539809e-149	0.485288132749201	0.992	0.926	6.37358214260182e-145	somatosensory	RPL41
RPS29	2.87390833378724e-145	0.385876251701602	0.997	0.967	5.95100198677324e-141	somatosensory	RPS29
RPS101	9.83069061774463e-127	0.764899768625926	0.899	0.663	2.03564110621638e-122	somatosensory	RPS10
RPS27	9.18022226716596e-121	0.342750739110221	0.999	0.991	1.90094862486205e-116	somatosensory	RPS27
DYNC1I2	1.92752287834206e-120	0.477608425253485	0.923	0.708	3.99132162418291e-116	somatosensory	DYNC1I2
RPL36A1	7.79047995764903e-118	0.624595056543191	0.807	0.501	1.61317468483038e-113	somatosensory	RPL36A
MALAT1	1.65897599322985e-115	0.258002985633133	0.997	0.997	3.43524158918105e-111	somatosensory	MALAT1
MT-ND3	1.00913252594537e-110	0.371461071489358	0.998	0.988	2.08961072147508e-106	somatosensory	MT-ND3
RPL38	1.65451505971041e-99	0.362406952329245	0.99	0.935	3.42600433414234e-95	somatosensory	RPL38
MT-ND4L1	8.03323950291843e-99	0.509274533248147	0.924	0.768	1.66344290386932e-94	somatosensory	MT-ND4L
RPL37A	1.95959396165934e-95	0.283316382941252	0.999	0.993	4.057731216408e-91	somatosensory	RPL37A
RPL37	4.65938647206109e-91	0.273084960897241	0.999	0.982	9.6481915676969e-87	somatosensory	RPL37
RERE	1.00181812947527e-88	0.512149798713518	0.829	0.536	2.07446480070443e-84	somatosensory	RERE
RPS28	1.51957172698713e-87	0.276630618364389	0.998	0.968	3.14657717507225e-83	somatosensory	RPS28
ZEB21	1.95185883777106e-87	0.601940235547374	0.688	0.423	4.04171409537253e-83	somatosensory	ZEB2
RPL34	2.30138617439307e-87	0.281054360414068	0.999	0.994	4.76548035131573e-83	somatosensory	RPL34
TMSB101	2.9922839738885e-86	0.332225393449099	0.998	0.993	6.19612242473092e-82	somatosensory	TMSB10
DPYSL2	1.09609647759637e-79	0.449354121126132	0.825	0.627	2.2696869761588e-75	somatosensory	DPYSL2
SHTN1	2.04613619543538e-76	0.562412137601725	0.69	0.414	4.23693421988804e-72	somatosensory	SHTN1
AP2B1	7.65210153569429e-75	0.426862440751933	0.677	0.422	1.58452066499622e-70	somatosensory	AP2B1
MT-ATP8	2.05218276889679e-71	0.479041709779046	0.622	0.327	4.24945485955458e-67	somatosensory	MT-ATP8
PLCG2	1.47486349044417e-68	0.442496773185089	0.47	0.22	3.05399982966274e-64	somatosensory	PLCG2
DLX6-AS1	6.13574379414097e-67	0.781006239466478	0.437	0.177	1.27052846745277e-62	somatosensory	DLX6-AS1
ATP5E	1.7199962026756e-62	0.320648167807662	0.955	0.853	3.56159613688036e-58	somatosensory	ATP5E
USMG5	2.25196449100648e-62	0.326880321666458	0.818	0.637	4.66314287152712e-58	somatosensory	USMG5
CBX3	7.4212581374715e-62	0.397624160836461	0.88	0.687	1.53671992252622e-57	somatosensory	CBX3
MTRNR2L12	5.87392739684326e-61	0.352814014650997	0.709	0.484	1.21631414606433e-56	somatosensory	MTRNR2L12
PLS3	1.06544908444163e-58	0.700411548111559	0.37	0.149	2.20622541915329e-54	somatosensory	PLS3
TRIM36	1.13467443643454e-58	0.419915342095722	0.528	0.276	2.34957035552499e-54	somatosensory	TRIM36
CCSER1	2.30772280453314e-55	0.395122768850461	0.331	0.117	4.77860161134677e-51	somatosensory	CCSER1
PET100	6.02804052236534e-55	0.352191930522615	0.619	0.38	1.24822635096619e-50	somatosensory	PET100
KIF2A	1.25003001762128e-54	0.408340909449165	0.702	0.468	2.58843715748839e-50	somatosensory	KIF2A
DLX5	1.28415691358821e-53	0.611091747714348	0.352	0.132	2.6591037209671e-49	somatosensory	DLX5
RBMX	4.38778044070204e-52	0.35673038413159	0.868	0.674	9.08577695856171e-48	somatosensory	RBMX
PDE4DIP	1.85849566758896e-50	0.445011994430871	0.535	0.312	3.84838697887646e-46	somatosensory	PDE4DIP
AAK1	5.44432613063861e-50	0.358442992566264	0.592	0.354	1.12735661187134e-45	somatosensory	AAK1
DLX1	7.65129934369771e-49	0.526179009886308	0.28	0.1	1.58435455509948e-44	somatosensory	DLX1
AC004158.3	1.27094391242882e-46	0.471982585874876	0.471	0.217	2.63174355946635e-42	somatosensory	AC004158.3
