	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL8	4.0643197119954e-16	0.446468666877644	1	0.986	1.13195368298784e-11	motor	RPL8
TBCB	5.71628747378351e-14	0.858040905992581	0.706	0.367	1.59204322432344e-09	motor	TBCB
RPL13	1.96490587051389e-13	0.606805974664641	1	0.729	5.47245933996823e-09	motor	RPL13
TUBB2A	1.12502841088335e-12	0.867358489580572	0.794	0.531	3.13331662715123e-08	motor	TUBB2A
C9orf16	1.34228640498152e-12	0.724567244513271	0.721	0.391	3.73840186651403e-08	motor	C9orf16
CALM1	1.35706382966727e-12	0.712868871139462	0.89	0.729	3.77955847200633e-08	motor	CALM1
RPS3A	7.65782583387128e-12	0.273502015452594	1	1	2.13278107299149e-07	motor	RPS3A
CSRP2	1.3544647870157e-11	1.15811709233182	0.735	0.512	3.77231987831742e-07	motor	CSRP2
GPX4	1.16477351006323e-10	0.540432318374603	0.846	0.638	3.24401070287709e-06	motor	GPX4
CHCHD2	4.24656332799902e-10	0.532274662813085	0.853	0.681	1.18271035248101e-05	motor	CHCHD2
PEBP1	4.90215642296861e-10	0.643059365162234	0.831	0.628	1.36529958536099e-05	motor	PEBP1
ZNF428	9.33118302467478e-10	0.616486947421603	0.75	0.406	2.59882778420217e-05	motor	ZNF428
ATP6V0B	1.67209743421796e-09	0.606135829739365	0.787	0.618	4.65695856404045e-05	motor	ATP6V0B
RPS15	6.24252127390169e-09	0.290185097369305	1	1	0.000173860459999436	motor	RPS15
PPDPF	7.23852885101576e-09	0.621531319963244	0.596	0.324	0.00020160026702964	motor	PPDPF
VAMP2	8.63384375313687e-09	0.7061753244563	0.721	0.512	0.000240461182368615	motor	VAMP2
VCAN	1.49412064798052e-08	1.06397570342888	0.485	0.242	0.000416127541669055	motor	VCAN
FKBP1A	1.91369865972271e-08	0.53553932496597	0.699	0.454	0.000532984213719371	motor	FKBP1A
TUBB2B	2.73404483457944e-08	0.558368825474179	0.904	0.812	0.00076145882687872	motor	TUBB2B
EIF5	2.95465121043312e-08	0.653879305148974	0.743	0.565	0.000822899908617727	motor	EIF5
GPX1	1.11732597424744e-07	0.477360939119128	0.831	0.618	0.00311186457087655	motor	GPX1
LMO3	1.11922264184068e-07	0.927023125051244	0.441	0.188	0.00311714697979047	motor	LMO3
MIF	1.19034087752756e-07	0.448895959909312	0.537	0.271	0.003315218378002	motor	MIF
SMDT1	2.04708775891531e-07	0.574740076854279	0.64	0.44	0.00570134411735502	motor	SMDT1
CTTNBP2	5.38538566773391e-07	0.675245463237734	0.5	0.271	0.0149988376232057	motor	CTTNBP2
NNAT	5.54529182541456e-07	0.622983694600578	0.691	0.517	0.0154441922629621	motor	NNAT
