	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ITGA8	0.000713170841846718	0.400904085050078	0.417	0	1	motor	ITGA8
FNIP2	0.00122953924103313	0.656583952930549	0.583	0.08	1	motor	FNIP2
CAMTA1	0.0019274855932385	0.907624942013053	0.833	0.56	1	motor	CAMTA1
FKBP1B	0.00236039715189489	0.521765872563327	0.5	0.08	1	motor	FKBP1B
VASH2	0.0028931415529839	0.630819781253326	0.333	0	1	motor	VASH2
PPP2R5D	0.0028931415529839	0.384460171924044	0.333	0	1	motor	PPP2R5D
FOXJ2	0.0028931415529839	0.370248040956907	0.333	0	1	motor	FOXJ2
RP11-401P9.4	0.0028931415529839	0.323406577384962	0.333	0	1	motor	RP11-401P9.4
NTN4	0.0028931415529839	0.268087822003835	0.333	0	1	motor	NTN4
SERBP1	0.00332065378053912	0.475592132399737	1	0.92	1	motor	SERBP1
TIMM13	0.00333942748601956	0.713983874328584	0.917	0.72	1	motor	TIMM13
NREP	0.0034831078147181	0.471656473478422	1	0.96	1	motor	NREP
KIAA0753	0.00429398752813155	0.340367731916099	0.417	0.04	1	motor	KIAA0753
RIC8B	0.00715664081182505	0.499188920500359	0.583	0.16	1	motor	RIC8B
TMEM106C	0.00806527660787976	0.507898541509099	0.583	0.16	1	motor	TMEM106C
ZNF33A	0.00846316960142227	0.727922369913839	0.583	0.2	1	motor	ZNF33A
PEBP1	0.00892623705959211	0.654731033992527	0.917	0.84	1	motor	PEBP1
NGFRAP1	0.00900354008933965	0.622119651423154	1	0.92	1	motor	NGFRAP1
PHB2	0.00901453502751993	0.666652753714848	0.75	0.44	1	motor	PHB2
BCL11A	0.0090342850115896	0.686052035809307	0.417	0.08	1	motor	BCL11A
VTI1B	0.00934728525784942	0.684313437433858	0.75	0.36	1	motor	VTI1B
SPRTN	0.0093699782948621	0.562072118118507	0.667	0.36	1	motor	SPRTN
C4orf48	2.59780355166847e-06	0.702792064662979	0.667	0	0.0723514267175185	PFC	C4orf48
PCSK1N	2.59780355166847e-06	0.386457155217118	0.667	0	0.0723514267175185	PFC	PCSK1N
SLN	2.59780355166847e-06	0.328696387433756	0.667	0	0.0723514267175185	PFC	SLN
NPDC1	5.81852512955479e-06	1.0702443310693	1	0.194	0.162051743383231	PFC	NPDC1
HBG2	1.42157856179961e-05	3.77452549452982	0.833	0.065	0.39592384524681	PFC	HBG2
