	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CTC-490E21.14	6.07298613263239e-17	0.409403102781336	0.75	0	1.64335004749032e-12	motor	CTC-490E21.14
FGD3	5.92860958894213e-13	0.404016444969609	0.75	0.011	1.60428175476774e-08	motor	FGD3
CDR1	1.12486134306378e-11	0.815026251198283	1	0.043	3.04387479433059e-07	motor	CDR1
LHX6	1.19446866747649e-11	0.447296109165384	0.5	0	3.23223221419139e-07	motor	LHX6
SLC45A3	1.19446866747649e-11	0.336330934667051	0.5	0	3.23223221419139e-07	motor	SLC45A3
CTD-2194D22.4	1.19446866747649e-11	0.336330934667051	0.5	0	3.23223221419139e-07	motor	CTD-2194D22.4
NHEJ1	1.19446866747649e-11	0.310437645323837	0.5	0	3.23223221419139e-07	motor	NHEJ1
THRB	1.19446866747649e-11	0.27705979564408	0.5	0	3.23223221419139e-07	motor	THRB
SLITRK3	1.19446866747649e-11	0.27705979564408	0.5	0	3.23223221419139e-07	motor	SLITRK3
SALL1	1.19446866747649e-11	0.27705979564408	0.5	0	3.23223221419139e-07	motor	SALL1
RP11-24C3.2	1.19446866747649e-11	0.27705979564408	0.5	0	3.23223221419139e-07	motor	RP11-24C3.2
ZEB2-AS1	2.05879345975503e-10	0.468562458581037	0.75	0.022	5.57109510209711e-06	motor	ZEB2-AS1
SDK2	5.16398626704548e-10	0.340778149467208	0.75	0.022	1.39737468386251e-05	motor	SDK2
KIAA0922	6.9339690324196e-09	0.466437397680039	1	0.065	0.000187633202017274	motor	KIAA0922
DLX6-AS1	1.77597890638023e-08	1.05609391803769	1	0.087	0.000480579892066489	motor	DLX6-AS1
HRASLS5	2.22465916200829e-08	0.406104721931104	0.75	0.033	0.000601992769239443	motor	HRASLS5
GJC1	3.69375663470497e-08	0.330944276855324	0.5	0.011	0.000999530545351165	motor	GJC1
SBNO2	3.69375663470497e-08	0.303986738504417	0.5	0.011	0.000999530545351165	motor	SBNO2
RGS5.1	5.20757392833073e-08	0.270534508305259	0.5	0.011	0.0014091695050063	motor	RGS5.1
TMEM2	7.31545387973781e-08	0.332234577297106	0.5	0.011	0.00197956181985705	motor	TMEM2
AC093390.1	7.31545387973781e-08	0.313098976184034	0.5	0.011	0.00197956181985705	motor	AC093390.1
LINC00463	7.31545387973781e-08	0.262101782052228	0.5	0.011	0.00197956181985705	motor	LINC00463
DLX1	1.10855443620077e-07	0.637509476555393	0.75	0.043	0.00299974830435929	motor	DLX1
C1QTNF4	1.38451103879979e-07	0.714000777300524	0.75	0.043	0.00374648687099224	motor	C1QTNF4
SEMA3C	1.72638983667503e-07	0.519359363262926	0.75	0.043	0.00467161089804263	motor	SEMA3C
H3F3C	1.72638983667503e-07	0.459064622894746	0.75	0.043	0.00467161089804263	motor	H3F3C
PKP1	2.14923869046616e-07	0.344915313489114	0.75	0.043	0.00581583989640143	motor	PKP1
SUV39H2	1.43830376017534e-06	0.459424823612893	0.75	0.054	0.0389204997503446	motor	SUV39H2
SMOX	1.43830376017534e-06	0.329881692520215	0.75	0.054	0.0389204997503446	motor	SMOX
NRXN3	1.86222991868712e-06	0.805610238609438	0.75	0.065	0.0503919415996735	motor	NRXN3
SST	2.14112544753794e-06	0.694340961220251	0.5	0.022	0.0579388546103766	motor	SST
KHNYN	2.77686490802084e-06	0.49445936945403	0.5	0.022	0.0751419644110439	motor	KHNYN
NOX5	2.77686490802084e-06	0.327025445835682	0.5	0.022	0.0751419644110439	motor	NOX5
RP11-795F19.5	2.77686490802084e-06	0.324053031693043	0.5	0.022	0.0751419644110439	motor	RP11-795F19.5
TP53INP1	3.59164768736643e-06	0.321940127385507	0.5	0.022	0.0971899864201357	motor	TP53INP1
CDC42EP4	3.59164768736643e-06	0.308293375948536	0.5	0.022	0.0971899864201357	motor	CDC42EP4
RAC2	3.59164768736643e-06	0.298210184111703	0.5	0.022	0.0971899864201357	motor	RAC2
RP11-679B19.1	3.59164768736643e-06	0.260665264187512	0.5	0.022	0.0971899864201357	motor	RP11-679B19.1
TRERF1	4.63297403268494e-06	0.383465809194538	0.5	0.022	0.125368277324454	motor	TRERF1
UBOX5	4.63297403268494e-06	0.321328721405647	0.5	0.022	0.125368277324454	motor	UBOX5
KLHL1	4.63297403268494e-06	0.307918769790645	0.5	0.022	0.125368277324454	motor	KLHL1
CTA-373H7.7	4.63297403268494e-06	0.258734505121231	0.5	0.022	0.125368277324454	motor	CTA-373H7.7
RP11-452F19.3	4.63297403268494e-06	0.252453356859357	0.5	0.022	0.125368277324454	motor	RP11-452F19.3
BCL9	5.60784994623541e-06	0.445134939229079	1	0.12	0.15174841954513	motor	BCL9
PGBD2	5.96010631299012e-06	0.290394735383473	0.5	0.022	0.161280476829513	motor	PGBD2
MYO18A	5.96010631299012e-06	0.270977600807607	0.5	0.022	0.161280476829513	motor	MYO18A
LINC00643	5.96010631299012e-06	0.253382883297487	0.5	0.022	0.161280476829513	motor	LINC00643
ZNF212	7.54269113795549e-06	0.401802058954336	0.75	0.065	0.204105222193076	motor	ZNF212
REEP3	7.9949538114036e-06	0.359824335112979	1	0.109	0.216343450136581	motor	REEP3
GLRA2	8.93287810103846e-06	0.368196969984138	0.75	0.065	0.241723681414101	motor	GLRA2
ELMO2	8.96778639129274e-06	0.686056424370499	1	0.163	0.242668299748382	motor	ELMO2
TUBB3	1.45590126917839e-05	0.856137100417265	1	0.163	0.393966883439671	motor	TUBB3
ZNFX1	1.64328894136441e-05	0.377800991544881	1	0.12	0.444673987533211	motor	ZNFX1
ALDH1B1	1.7352890640186e-05	0.314242797368343	0.75	0.065	0.469569220723432	motor	ALDH1B1
CTA-384D8.36	1.80134169727898e-05	0.39304341928196	0.75	0.076	0.487443063283691	motor	CTA-384D8.36
PLXNA2	1.87376784932355e-05	0.579560792298061	1	0.13	0.507041580026952	motor	PLXNA2
USP3-AS1	2.04220099482725e-05	0.377858707242646	0.75	0.065	0.552619589200253	motor	USP3-AS1
ABCG4	2.50756088307076e-05	0.292111750123079	0.5	0.033	0.678545974958947	motor	ABCG4
WDR27	3.1757244893246e-05	0.495305058931779	0.75	0.087	0.859351046811236	motor	WDR27
SOX5	3.3267540671265e-05	0.44722866000598	0.75	0.076	0.900219650564432	motor	SOX5
TPRN	3.80712113970926e-05	0.388467913607078	0.5	0.033	1	motor	TPRN
LL22NC03-86G7.1	3.86709569315306e-05	0.323800792454043	0.75	0.076	1	motor	LL22NC03-86G7.1
ERBB2	4.6758195308496e-05	0.315109916834106	0.5	0.033	1	motor	ERBB2
ZNF530	4.6758195308496e-05	0.311540814917028	0.5	0.033	1	motor	ZNF530
ZNF543	5.20745022941318e-05	0.32914906488784	0.75	0.076	1	motor	ZNF543
