	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CSRP2	1.7816290248338e-126	0.429487898880799	0.853	0.678	4.82108814120026e-122	motor	CSRP2
PTPRZ1	1.09622715012498e-39	0.330325790458211	0.581	0.478	2.9663906682382e-35	motor	PTPRZ1
NFIA	3.37035911551745e-25	0.274160430718747	0.587	0.503	9.12019176659021e-21	motor	NFIA
RP11-436D23.1	1.48895419418576e-23	0.350097282479729	0.424	0.325	4.02911004946667e-19	motor	RP11-436D23.1
ZEB2	2.9046805485171e-23	0.392690105998715	0.379	0.272	7.86006556428728e-19	motor	ZEB2
TPI1	3.50395379265555e-21	0.255846017271059	0.508	0.446	9.48169896292593e-17	motor	TPI1
ANK3	1.34264787437324e-20	0.426250616450664	0.298	0.189	3.63320514805399e-16	motor	ANK3
RBP1	5.09170538013897e-18	0.43001061633048	0.305	0.195	1.37781547586561e-13	motor	RBP1
SLC25A5	2.27771921396499e-16	0.280182973865997	0.44	0.373	6.16350819298926e-12	motor	SLC25A5
PDHA1	2.82690239884072e-16	0.316164312726494	0.354	0.28	7.64959789126298e-12	motor	PDHA1
AK1	5.72098371039697e-15	0.328868180888353	0.305	0.232	1.54809819203342e-10	motor	AK1
FAM213A	5.05905595377822e-14	0.277079070208307	0.411	0.349	1.36898054109239e-09	motor	FAM213A
ANK2	2.51184259986576e-13	0.272085205012106	0.368	0.306	6.79704607523674e-09	motor	ANK2
PIN1	1.017553661375e-12	0.265096893077855	0.371	0.315	2.75350020768075e-08	motor	PIN1
PPP1R17	8.85323601477394e-10	0.252122065422812	0.388	0.344	2.39568566559783e-05	motor	PPP1R17
LINC01102	2.43906615599822e-09	0.30784852350273	0.255	0.189	6.60011301813118e-05	motor	LINC01102
PHKB	5.56511244180429e-09	0.258658166283568	0.294	0.24	0.000150591942675224	motor	PHKB
ATP5O	1.47575670937737e-08	0.264754775232498	0.324	0.272	0.000399339765557516	motor	ATP5O
RAI14	1.12422409679797e-07	0.286252145681331	0.255	0.197	0.00304215040593531	motor	RAI14
HES61	0	1.56445847103607	0.881	0.171	0	parietal	HES6
YBX11	0	1.16027021357663	0.991	0.403	0	parietal	YBX1
MARCKSL11	0	0.914948934237861	1	0.559	0	parietal	MARCKSL1
RPS21	5.4813874972967e-296	0.642154707861724	0.996	0.666	1.48326345676849e-291	parietal	RPS2
BTG11	3.73524692673755e-252	1.02765512570261	0.869	0.315	1.01075781837518e-247	parietal	BTG1
FTH11	3.97375194585176e-240	0.490337956368183	1	0.739	1.07529727654749e-235	parietal	FTH1
BASP11	5.10317966502967e-197	0.753821235878769	0.88	0.468	1.38092041735703e-192	parietal	BASP1
CENPV	1.98712381304726e-174	1.2165387645938	0.531	0.077	5.37715703810588e-170	parietal	CENPV
JUN1	3.41502008545369e-169	0.797554963593911	0.841	0.411	9.24104435123769e-165	parietal	JUN
C1QBP	5.19759004957543e-158	1.11420964425566	0.465	0.068	1.40646786741511e-153	parietal	C1QBP
ATP5D	1.51639421116341e-137	1.09672384210936	0.329	0.022	4.10336273540817e-133	parietal	ATP5D
TERF2IP1	1.23340505261168e-134	0.755193278889837	0.777	0.349	3.3375940723672e-130	parietal	TERF2IP
RCN2	6.20398983041083e-121	0.972360462534597	0.494	0.118	1.67879964810917e-116	parietal	RCN2
RTN4	2.68185258907481e-116	0.446788140046854	0.926	0.655	7.25709310603644e-112	parietal	RTN4
RPL131	4.7484003015811e-112	0.251250900976801	1	0.898	1.28491712160785e-107	parietal	RPL13
C19orf431	4.10710199057606e-95	0.59652091514136	0.751	0.401	1.11138179864988e-90	parietal	C19orf43
SRSF9	7.98801064731347e-93	0.895547027342199	0.345	0.061	2.16155568116302e-88	parietal	SRSF9
GADD45G1	1.93927311285837e-92	0.762958092542228	0.588	0.232	5.24767304339475e-88	parietal	GADD45G
PRELID1	3.41143847193756e-89	0.888137157972216	0.356	0.073	9.23135250506302e-85	parietal	PRELID1
RANBP11	1.34970771049669e-88	0.726824478745218	0.595	0.244	3.65230906460404e-84	parietal	RANBP1
NPDC1	3.00669341878643e-83	0.883621634244141	0.276	0.035	8.13611239123609e-79	parietal	NPDC1
ITM2B1	1.49133752519083e-82	0.72662961900409	0.559	0.216	4.03555934316638e-78	parietal	ITM2B
GLTSCR2	4.77115964481582e-82	0.825511944610406	0.399	0.106	1.29107579988716e-77	parietal	GLTSCR2
IER21	5.94742144089139e-82	0.765993439095927	0.521	0.211	1.60937224190521e-77	parietal	IER2
HPCAL1	8.08278449470327e-82	0.825678666809298	0.277	0.045	2.18720148426671e-77	parietal	HPCAL1
CST3	6.58716947492886e-80	0.798356839836768	0.304	0.062	1.78248805991575e-75	parietal	CST3
NDN	1.15636773380718e-78	0.846600124153805	0.261	0.033	3.12913108768222e-74	parietal	NDN
UBE2S	2.14727892322601e-78	0.842237709678635	0.268	0.044	5.81053676624957e-74	parietal	UBE2S
TSPAN5	2.56330625513801e-75	0.748739075889669	0.43	0.141	6.93630672640344e-71	parietal	TSPAN5
AP1S21	1.86943047141294e-74	0.745113597678175	0.477	0.17	5.05867885564341e-70	parietal	AP1S2
DUSP1	1.15308415182376e-71	0.746678599283863	0.458	0.16	3.1202457148351e-67	parietal	DUSP1
NKAIN3	4.90764196692417e-70	0.731595854119943	0.416	0.14	1.32800791624968e-65	parietal	NKAIN3
RASD1	6.2015927681851e-67	0.778668230792379	0.382	0.116	1.67815100307089e-62	parietal	RASD1
CKB1	9.26942238564276e-67	0.37172208427886	0.863	0.627	2.50830569755493e-62	parietal	CKB
BAG1	1.01894913571941e-66	0.729023305551279	0.253	0.048	2.75727636125673e-62	parietal	BAG1
SRSF21	2.04641415617723e-65	0.625411913546194	0.516	0.226	5.5375967066156e-61	parietal	SRSF2
MAF1	2.83124492871256e-65	0.778922674127525	0.298	0.064	7.66134877709618e-61	parietal	MAF1
CYC1	1.25122760440834e-63	0.760400545854246	0.355	0.1	3.38582189752897e-59	parietal	CYC1
YWHAH	2.55484062957395e-63	0.756732162307867	0.347	0.09	6.9133987436271e-59	parietal	YWHAH
MTCH1	6.62807402084556e-61	0.718292027598086	0.316	0.086	1.79355683004081e-56	parietal	MTCH1
METTL9	2.36586693763194e-59	0.676381810498637	0.419	0.155	6.40203593323203e-55	parietal	METTL9
SMARCD3	4.56441031050149e-57	0.666826036465398	0.391	0.14	1.2351294300217e-52	parietal	SMARCD3
PFN11	5.3532515150814e-57	0.595991034124816	0.466	0.21	1.44858985998103e-52	parietal	PFN1
PGLS	2.32258257104807e-56	0.668264421689608	0.332	0.108	6.28490843725607e-52	parietal	PGLS
KLHDC2	2.60795988943302e-56	0.666406478168854	0.348	0.116	7.05713946080576e-52	parietal	KLHDC2
ZNF4281	2.07444609664122e-54	0.413268937392276	0.832	0.554	5.61345113751115e-50	parietal	ZNF428
BOD1	2.88155104501222e-53	0.643351385522527	0.252	0.067	7.79747712780307e-49	parietal	BOD1
HMGN11	1.67661349508095e-51	0.4005474267619	0.796	0.534	4.53691611768905e-47	parietal	HMGN1
