	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
XXbac-BPG252P9.9	6.42084287266205e-111	1.04019622603445	0.432	0.069	1.73748008134235e-106	motor	XXbac-BPG252P9.9
RP11-386G11.10	2.6789190308661e-69	0.773676343935459	0.472	0.145	7.24915489752367e-65	motor	RP11-386G11.10
LIMCH1	9.51704218311642e-50	0.715639077529452	0.283	0.073	2.5753116147513e-45	motor	LIMCH1
FADS2	7.3897472927591e-49	0.657787661384795	0.265	0.06	1.99966561742061e-44	motor	FADS2
SATB2	1.637382764253e-45	0.627252415816637	0.282	0.074	4.43075776006861e-41	motor	SATB2
TUBB4A	2.01506238852498e-27	0.469099421299226	0.345	0.148	5.4527588233486e-23	motor	TUBB4A
CSRP2	3.01164645156119e-27	0.491097062237765	0.326	0.138	8.14951529792459e-23	motor	CSRP2
MAPRE2	1.24564188858222e-25	0.447927596785683	0.332	0.146	3.37070695050348e-21	motor	MAPRE2
TUBB2A	2.76018522367768e-22	0.307183706303969	0.758	0.501	7.46906121527182e-18	motor	TUBB2A
SERINC1	3.06806738992249e-22	0.388023037947345	0.493	0.278	8.30219035713026e-18	motor	SERINC1
MEF2C	1.17365801721383e-20	0.354609909630788	0.577	0.368	3.17591859458063e-16	motor	MEF2C
UBA1	1.23418679858244e-19	0.387778349847305	0.271	0.12	3.33970947696409e-15	motor	UBA1
TSPYL4	1.32213337547873e-19	0.373237416646616	0.347	0.17	3.57769291404545e-15	motor	TSPYL4
ATP5O	2.17326719256581e-18	0.361841502957	0.435	0.247	5.88086102308307e-14	motor	ATP5O
GRIN2B	2.86706207615578e-18	0.387628590285148	0.277	0.131	7.75826997807755e-14	motor	GRIN2B
PPP2R2B	3.99619299068275e-18	0.403948884404768	0.288	0.144	1.08136982327875e-13	motor	PPP2R2B
MIF	6.0152848262692e-18	0.30801686884422	0.636	0.418	1.62773607398845e-13	motor	MIF
LMO3	1.72528034748442e-15	0.345819342805318	0.293	0.152	4.66860862029284e-11	motor	LMO3
SYT4	2.27387531793419e-15	0.342306651718947	0.261	0.129	6.15310661032991e-11	motor	SYT4
EEF2	5.01398196305553e-15	0.25112012466687	0.748	0.546	1.35678351920283e-10	motor	EEF2
NME1	1.20275097735997e-14	0.32517794970431	0.374	0.218	3.25464414473608e-10	motor	NME1
ARF3	4.04045712615648e-14	0.357433944799747	0.269	0.144	1.09334769833794e-09	motor	ARF3
TSPAN7	3.01890293713181e-13	0.3249081662861	0.305	0.173	8.16915134787867e-09	motor	TSPAN7
SLC38A2	1.10615389981675e-12	0.299014416448637	0.269	0.144	2.99325245290414e-08	motor	SLC38A2
FDFT1	1.42971830440843e-12	0.289751313979857	0.344	0.201	3.86881773172923e-08	motor	FDFT1
SSBP2	3.39232360774791e-12	0.252572390928101	0.607	0.41	9.17962768256583e-08	motor	SSBP2
STMN4	6.3710830695925e-12	0.272792068111407	0.463	0.307	1.72401507863173e-07	motor	STMN4
VSTM2A	7.71717673026205e-12	0.288169948539357	0.262	0.142	2.08826802320891e-07	motor	VSTM2A
RAB3A	1.94385366019802e-11	0.267374620816259	0.446	0.287	5.26006800449584e-07	motor	RAB3A
SCN3B	2.46627597541238e-11	0.271170555943267	0.273	0.154	6.67374278946589e-07	motor	SCN3B
ANK3	7.15378330334677e-11	0.268704654316583	0.341	0.207	1.93581376188564e-06	motor	ANK3
PKM	7.83992145874159e-11	0.266355061399389	0.4	0.257	2.12148274673547e-06	motor	PKM
CALB2	1.29779093147002e-10	0.306793304253197	0.378	0.254	3.51182226055789e-06	motor	CALB2
BSG	1.51341971224575e-10	0.280079561149468	0.337	0.207	4.09531374133701e-06	motor	BSG
PRRC2A	2.32791733639796e-10	0.254608339929809	0.257	0.145	6.29934431229289e-06	motor	PRRC2A
SCG5	4.26902655255948e-10	0.260734114829889	0.384	0.252	1.15519858512259e-05	motor	SCG5
NDUFS7	5.67241677349381e-10	0.261853822656268	0.275	0.161	1.53495597890742e-05	motor	NDUFS7
UFM1	1.9482755210981e-09	0.260230308083208	0.297	0.183	5.27203356009146e-05	motor	UFM1
NXPH1	5.9970768052633e-09	0.266760194717204	0.276	0.173	0.000162280898350425	motor	NXPH1
NDUFC2	1.24284627064052e-08	0.259826742627266	0.252	0.154	0.000336314200835325	motor	NDUFC2
PCSK1N	1.23076746208633e-207	1.56406507325736	0.555	0.01	3.33045675240562e-203	parietal	PCSK1N
CENPV	9.7643726118973e-114	1.19768113748929	0.585	0.062	2.64223922877941e-109	parietal	CENPV
HES6	1.09063256809655e-112	1.27318989907946	0.49	0.037	2.95125172926927e-108	parietal	HES6
ATP5D	2.02870355229771e-107	1.10134730251994	0.405	0.023	5.48967181251761e-103	parietal	ATP5D
NEUROD2	1.25322682687467e-93	1.22054673987403	0.455	0.046	3.39123179352285e-89	parietal	NEUROD2
