	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AC090498.1	3.473687684214e-06	1.4554074982469	1	0.971	0.0981455718297824	motor	AC090498.1
HSPE1	2.4315813789498e-05	0.900603280680179	1	0.971	0.687019002808476	motor	HSPE1
NDUFB2	4.1684252210568e-05	0.723314076387606	1	1	1	motor	NDUFB2
COX6A1	6.6000066000066e-05	0.688346718895353	1	1	1	motor	COX6A1
UQCRQ	0.000100736942842206	0.634522003590026	1	0.971	1	motor	UQCRQ
ATP5I	0.00020842126105284	0.726641814374694	1	1	1	motor	ATP5I
MIF-AS1	0.00021680810883898	1.17536943537337	0.8	0.147	1	motor	MIF-AS1
TRANK1	0.000232243532035153	0.967301042547163	0.4	0	1	motor	TRANK1
RP11-159D12.2	0.000232243532035153	0.887968009381711	0.4	0	1	motor	RP11-159D12.2
RAB12	0.000232243532035153	0.887968009381711	0.4	0	1	motor	RAB12
PLEKHH3	0.000232243532035153	0.863011630714628	0.4	0	1	motor	PLEKHH3
RP11-768F21.1	0.000232243532035153	0.832524390119115	0.4	0	1	motor	RP11-768F21.1
RP11-264B17.4	0.000232243532035153	0.832524390119115	0.4	0	1	motor	RP11-264B17.4
CITF22-92A6.1	0.000232243532035153	0.809113513178847	0.4	0	1	motor	CITF22-92A6.1
MT-ND3	0.000288316077789762	0.77353165500379	1	1	1	motor	MT-ND3
USMG5	0.000392526708316182	0.636391447711572	1	1	1	motor	USMG5
AMIGO2	0.000456004880868068	1.17055343056344	1	0.588	1	motor	AMIGO2
SLC25A5	0.000528521491141411	1.09646526319843	1	0.941	1	motor	SLC25A5
COX8A	0.000882316671790356	0.612284853291909	1	1	1	motor	COX8A
NDUFB3	0.000969160040928962	0.914553116857583	1	0.882	1	motor	NDUFB3
OST4	0.00112547480968534	0.807219118169094	1	0.971	1	motor	OST4
RNF11	0.00146939353952431	0.896568797650096	1	0.794	1	motor	RNF11
STAT1	0.00148501164488754	1.02789849202485	0.6	0.088	1	motor	STAT1
DCUN1D5	0.00160869092840467	1.48231648665206	0.8	0.265	1	motor	DCUN1D5
ATP5G1	0.00176810703126493	0.628676782522705	1	1	1	motor	ATP5G1
TMA7	0.00176810703126493	0.503010961903215	1	1	1	motor	TMA7
COX7A2	0.00218147586568639	0.508999247238571	1	1	1	motor	COX7A2
SELK	0.0023209044856362	0.601575424517767	1	0.941	1	motor	SELK
SLC38A1	0.00265222036663097	0.721611002749878	1	0.647	1	motor	SLC38A1
RELN	0.00267126582916057	0.973563620968791	1	1	1	motor	RELN
ATP5E	0.00267126582916057	0.40609239121437	1	1	1	motor	ATP5E
NDUFA1	0.00285673538196917	0.557851631560868	1	1	1	motor	NDUFA1
MAPRE2	0.00294399559753003	1.06241345411294	0.8	0.324	1	motor	MAPRE2
HEXIM1	0.00350959884193134	1.09553177605512	0.6	0.118	1	motor	HEXIM1
C2orf49	0.00350959884193134	0.983255978962899	0.6	0.118	1	motor	C2orf49
FAM41C	0.00362744834168382	0.923290579351921	0.4	0.029	1	motor	FAM41C
RABGEF1	0.00362744834168382	0.916872717184528	0.4	0.029	1	motor	RABGEF1
AC007228.11	0.00362744834168382	0.890591620100188	0.4	0.029	1	motor	AC007228.11
C1orf233	0.00362744834168382	0.842385623635429	0.4	0.029	1	motor	C1orf233
CTXN1	0.00376425255162707	0.91042077351144	0.8	0.353	1	motor	CTXN1
RPL39	0.00390789864474075	0.557138663900884	1	1	1	motor	RPL39
UQCR11	0.00390789864474075	0.45666687010312	1	1	1	motor	UQCR11
LSAMP	0.0039705436368767	0.793538294903829	1	0.853	1	motor	LSAMP
ATP5H	0.00467558362295204	0.680746298668146	1	0.971	1	motor	ATP5H
PLXND1	0.00483295558843616	0.851694247434755	0.4	0.029	1	motor	PLXND1
SPCS2	0.00520404492453659	0.991277603968658	1	0.912	1	motor	SPCS2
COX17	0.00521087707556195	0.865083713802551	1	0.941	1	motor	COX17
SRA1	0.00539982657484092	1.1381695614631	0.8	0.382	1	motor	SRA1
UQCRHL	0.00539982657484092	1.11040592051837	0.8	0.382	1	motor	UQCRHL
DBI	0.00556137398242661	0.639275647854596	1	1	1	motor	DBI
COMMD6	0.00556137398242661	0.41617205591368	1	1	1	motor	COMMD6
USP9X	0.00567099614756728	1.2571561967686	0.8	0.412	1	motor	USP9X
ATP5EP2	0.00567099614756728	1.24118832241511	0.8	0.412	1	motor	ATP5EP2
ZMPSTE24	0.00567099614756728	0.962504708527763	0.8	0.412	1	motor	ZMPSTE24
FRRS1L	0.00567099614756728	0.941164400363397	0.8	0.412	1	motor	FRRS1L
PSMB5	0.00631764727426167	0.695861035367815	1	0.941	1	motor	PSMB5
RPS29	0.00657221709853289	0.417161707276415	1	1	1	motor	RPS29
GOLPH3	0.00675695117734941	1.29652286315223	0.6	0.147	1	motor	GOLPH3
PIK3CB	0.00675695117734941	1.19925939611628	0.6	0.147	1	motor	PIK3CB
CLTB	0.00757975900433198	0.640897504166902	1	0.853	1	motor	CLTB
CDC123	0.00787188531113654	0.852172240152738	0.8	0.471	1	motor	CDC123
ZDHHC2	0.00807155578943231	1.07831780777275	0.6	0.147	1	motor	ZDHHC2
HSPA4	0.00941286169980123	0.916395337681288	0.8	0.382	1	motor	HSPA4
ZNF280D	0.0096106386192006	1.00543466033771	0.6	0.147	1	motor	ZNF280D
GNG2	0.00970587307393133	0.415102690116772	1	0.853	1	motor	GNG2
BEX5	7.08816833551046e-05	0.840653968188007	1	0.667	1	PFC	BEX5
RPL10A1	0.00017724514706025	0.540658437678093	1	0.933	1	PFC	RPL10A
NNAT1	0.000503830823345152	0.550808832256618	1	0.867	1	PFC	NNAT
CSRP2	0.00113323076912367	0.931628329233342	0.875	0.467	1	PFC	CSRP2
TRIM36	0.00157689292905359	0.650255247813752	0.5	0	1	PFC	TRIM36
IGFBP2	0.00221871279705323	0.650284500749926	0.583	0.133	1	PFC	IGFBP2
RPL21	0.00232157236087832	0.313590851151615	1	1	1	PFC	RPL21
RBP1	0.00250108340945577	0.669461379649941	0.667	0.267	1	PFC	RBP1
DGUOK	0.00263359963286955	0.460027568659523	0.958	0.667	1	PFC	DGUOK
AP2B1	0.00322790837018892	0.414750427344301	1	1	1	PFC	AP2B1
RPS19	0.00396337677596179	0.338696230067922	1	1	1	PFC	RPS19
RPL61	0.0048425165111404	0.365937705133308	1	1	1	PFC	RPL6
CFDP11	0.00543320916051434	0.654368593482935	0.833	0.6	1	PFC	CFDP1
SMS1	0.00543320916051434	0.587641390013485	0.833	0.6	1	PFC	SMS
SLC25A61	0.00588830453213651	0.42060095378635	1	1	1	PFC	SLC25A6
RPL34	0.00588830453213651	0.267898428114139	1	1	1	PFC	RPL34
RAD23A1	0.00692394305197631	0.493438393926796	0.833	0.533	1	PFC	RAD23A
RPS251	0.00757654165279105	0.315380619668558	1	0.867	1	PFC	RPS25
FTL	0.00757654165279105	0.300711732198419	1	1	1	PFC	FTL
MRPL48	0.00768001749740216	0.521093410604129	0.458	0.067	1	PFC	MRPL48
MT-ND4L	0.00782642269846835	0.35709798064574	1	1	1	PFC	MT-ND4L
MALAT11	0.00858545348260443	0.341287429914477	1	1	1	PFC	MALAT1
RUNX1T1	0.00879787651689893	0.570228060662465	0.375	0	1	PFC	RUNX1T1
BCYRN1	0.00933659405457581	0.813619124008502	0.917	0.533	1	PFC	BCYRN1
RPLP21	0.00940753649404817	0.333041741485358	1	1	1	PFC	RPLP2
DCXR1	0.00970521481274051	0.525344602777335	0.75	0.467	1	PFC	DCXR
ATXN31	3.00314322562461e-07	0.62235203883043	0.75	0	0.00848508086967978	V1	ATXN3
RRM11	4.03592257202938e-06	0.528794641880394	0.625	0	0.114030956350118	V1	RRM1
CUL4A1	2.50862575223572e-05	0.539975461229746	0.75	0.065	0.70878712003668	V1	CUL4A
BEND51	3.11713832452828e-05	0.484529275002938	0.75	0.065	0.880716262212219	V1	BEND5
CRYAB	3.18024304816127e-05	1.1021854961354	1	0.387	0.898545870827484	V1	CRYAB
ZMAT51	4.68305510680956e-05	0.480049599375761	0.625	0.032	1	V1	ZMAT5
SRFBP11	4.8706407682283e-05	0.459068606347062	0.5	0	1	V1	SRFBP1
HCG11	4.8706407682283e-05	0.317152993554758	0.5	0	1	V1	HCG11
GATB	4.8706407682283e-05	0.316071120422375	0.5	0	1	V1	GATB
PIM2	4.8706407682283e-05	0.314171645540793	0.5	0	1	V1	PIM2
RP11-182L21.6	4.8706407682283e-05	0.301356919817575	0.5	0	1	V1	RP11-182L21.6
RP1-39G22.7	4.8706407682283e-05	0.283258732524233	0.5	0	1	V1	RP1-39G22.7
HERC4	5.93148720128571e-05	0.467858333682637	0.625	0.032	1	V1	HERC4
MTMR91	8.36303740277138e-05	0.8971217295419	0.75	0.097	1	V1	MTMR9
