	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CALCRL	5.4808055303858e-50	1.5352903584371	0.5	0.003	1.5485467945552e-45	motor	CALCRL
KIF1C	4.44264111150776e-15	1.51368841625703	0.5	0.018	1.2552238196454e-10	motor	KIF1C
PGBD4	6.72209757098754e-13	1.49754550035355	0.5	0.019	1.89926144770682e-08	motor	PGBD4
TAF4	3.11202392110123e-10	1.43489967241777	0.5	0.025	8.7927123866794e-06	motor	TAF4
AQP4	6.23978242109467e-10	1.48596886578212	0.5	0.027	1.76298812525609e-05	motor	AQP4
WDR92	1.32890313703004e-08	1.53348849014493	0.5	0.033	0.000375468292336466	motor	WDR92
PLAC9	6.60608044767028e-07	1.42036749294459	0.5	0.038	0.0186648196968476	motor	PLAC9
VASP	5.68240847409343e-06	1.44669557454979	0.5	0.042	0.160550769027036	motor	VASP
Z83001.1	8.23790229214092e-06	1.80374181249804	0.75	0.112	0.23275369136215	motor	Z83001.1
IL17RD	1.4793484931623e-05	1.45144325115448	0.5	0.04	0.417975123258076	motor	IL17RD
HYPK	2.43942630700071e-05	1.40644512653868	0.5	0.052	0.68923550877998	motor	HYPK
OLFM1	3.80470658398336e-05	1.7045031300791	0.75	0.143	1	motor	OLFM1
CBWD5	7.15753828906932e-05	1.40536856796637	0.5	0.054	1	motor	CBWD5
PTAR1	8.08373028383889e-05	1.9995918645146	0.75	0.154	1	motor	PTAR1
DCK	0.000118647815872079	1.48819756635451	1	0.353	1	motor	DCK
TFPI	0.000143785711412431	1.71725614407625	0.75	0.153	1	motor	TFPI
RP11-538P18.2	0.00015748499909986	1.35156047104621	0.5	0.072	1	motor	RP11-538P18.2
ID4	0.000222766409543045	1.38645680946698	1	0.327	1	motor	ID4
ARF4	0.000240084770175835	1.5697542670914	1	0.505	1	motor	ARF4
PRMT2	0.000317154700163474	1.55948912633066	1	0.43	1	motor	PRMT2
PHTF1	0.000365873917475518	1.36438591949562	0.5	0.069	1	motor	PHTF1
GNG5	0.000396538712443568	1.64145405821753	1	0.579	1	motor	GNG5
ANXA2	0.000497884078205875	1.59770872326864	0.75	0.183	1	motor	ANXA2
SS18L1	0.000797929344717673	1.35695171857849	0.5	0.077	1	motor	SS18L1
HSBP1	0.000804777362073916	1.19551404355299	1	0.81	1	motor	HSBP1
PSTK	0.000821251364826218	1.33537756056368	0.5	0.083	1	motor	PSTK
MICAL1	0.000848685721372618	1.2920216216489	0.5	0.081	1	motor	MICAL1
AC090498.1	0.000863824162573017	1.71683145890192	1	0.522	1	motor	AC090498.1
DNAJC24	0.000895495095903624	1.32483405142216	0.5	0.078	1	motor	DNAJC24
DBI	0.00094319050468949	1.7715135833079	1	0.774	1	motor	DBI
ATP5E	0.00100975013867349	1.04792217116141	1	0.93	1	motor	ATP5E
AP2B1	0.00102423926632761	1.18129288376881	1	0.46	1	motor	AP2B1
NDUFA2	0.00108349680965269	1.12887691446028	1	0.51	1	motor	NDUFA2
BTF3L4	0.00118082462149121	1.0677092009636	1	0.533	1	motor	BTF3L4
RABAC1	0.00133830156629688	1.04109495797852	1	0.543	1	motor	RABAC1
AHCTF1	0.00144098753622176	1.27457960825048	0.5	0.086	1	motor	AHCTF1
FAM19A5	0.00144371915145566	1.33287334194282	0.5	0.087	1	motor	FAM19A5
LRRC7	0.00149708573128709	1.30354637501443	0.5	0.091	1	motor	LRRC7
PPP1CB	0.00150740153301898	1.14339007598733	1	0.512	1	motor	PPP1CB
FOXK1	0.00151870261541393	1.24038215817515	0.5	0.087	1	motor	FOXK1
UQCR10	0.00153401398892622	0.991505355601601	1	0.816	1	motor	UQCR10
SRSF8	0.00187169622931149	1.25949390796869	0.5	0.09	1	motor	SRSF8
NUDT16	0.00194690269456609	1.67457410282294	0.5	0.091	1	motor	NUDT16
SEPT3	0.00196954550558077	1.27634785335513	0.5	0.099	1	motor	SEPT3
RPL38	0.00212944334643046	0.741205094054362	1	0.961	1	motor	RPL38
RPS27L	0.00221397762691478	1.24055986739078	1	0.625	1	motor	RPS27L
RNF14	0.00254126740969934	1.34841859189111	0.5	0.097	1	motor	RNF14
ZNF90	0.00261729997790634	1.36249816132024	0.5	0.094	1	motor	ZNF90
FABP7	0.0026457451648092	1.12135331235692	1	0.963	1	motor	FABP7
ZFAND2A	0.00267423481297384	1.28850730347009	0.5	0.099	1	motor	ZFAND2A
NDUFA13	0.00276016806489548	1.1625830532762	1	0.752	1	motor	NDUFA13
DNAJC19	0.00285183323604397	1.22008291626927	0.75	0.258	1	motor	DNAJC19
LLNLR-245B6.1	0.00290164005754895	1.44208959793604	0.75	0.261	1	motor	LLNLR-245B6.1
STX2	0.00316427839946324	1.28182019340044	0.5	0.103	1	motor	STX2
SUCLG2	0.00326548519679355	1.30688124183485	0.5	0.102	1	motor	SUCLG2
NDUFA4	0.00339728887613756	0.828043770889908	1	0.906	1	motor	NDUFA4
C1orf122	0.0034686320016479	1.79875308007211	0.75	0.276	1	motor	C1orf122
TMEM167A	0.0035817292644543	1.79090513235549	0.75	0.289	1	motor	TMEM167A
PRDX5	0.00359347333705796	0.972708865807836	1	0.691	1	motor	PRDX5
CST3	0.00392438411770718	0.889210298972694	1	0.495	1	motor	CST3
HOPX	0.00392829608276411	1.23958970016121	0.75	0.238	1	motor	HOPX
EIF4E	0.00396000452081344	1.00633416331432	1	0.634	1	motor	EIF4E
POMP	0.00431191516339165	1.02482441566793	1	0.722	1	motor	POMP
SCLT1	0.00444800709456779	1.22754573166007	0.5	0.106	1	motor	SCLT1
MGST3	0.00459438134797965	1.00342956646021	1	0.633	1	motor	MGST3
LINC00998	0.00468472155640072	1.14859754908339	0.75	0.293	1	motor	LINC00998
TNC	0.00498130431813144	1.23439958405561	0.5	0.114	1	motor	TNC
PSMD5-AS1	0.00509406803118925	1.31592946674304	0.5	0.112	1	motor	PSMD5-AS1
GPBP1L1	0.00518224991201388	1.23356298277611	0.5	0.105	1	motor	GPBP1L1
ANAPC11	0.00543687702478433	0.884121866255112	1	0.78	1	motor	ANAPC11
ERI2	0.00555513839497228	1.27303474955864	0.5	0.113	1	motor	ERI2
ARL5A	0.00566241278791714	1.14816986206369	0.75	0.313	1	motor	ARL5A
CKS2	0.0057906807023326	1.22684967771404	1	0.643	1	motor	CKS2
CTNNB1	0.00591402652706994	2.00304830003153	0.75	0.301	1	motor	CTNNB1
SNRPG	0.00657050615750424	1.17131149448997	1	0.82	1	motor	SNRPG
DCUN1D1	0.0070473348433473	1.24850229284089	0.5	0.12	1	motor	DCUN1D1
SMG1	0.00722441590228271	1.24411391278983	0.5	0.123	1	motor	SMG1
CDKN3	0.00732873243382643	1.37523904633043	0.75	0.334	1	motor	CDKN3
HSPA8	0.00737411463079691	0.91609573348437	1	0.744	1	motor	HSPA8
NR2E1	0.00756239325281065	1.25943426162677	0.5	0.131	1	motor	NR2E1
AKIP1	0.00760249969842743	1.24563192944588	0.5	0.121	1	motor	AKIP1
EFCAB2	0.00766651494321479	1.21365872341497	0.5	0.12	1	motor	EFCAB2
LGALS3	0.00773664132270893	1.26482402841839	0.5	0.113	1	motor	LGALS3
YWHAQ	0.00793787373813034	0.625828364843498	1	0.866	1	motor	YWHAQ
PRDX4	0.00798416896712015	1.09776024811642	0.75	0.335	1	motor	PRDX4
ATP5J2	0.00811615608966911	0.895309594550201	1	0.822	1	motor	ATP5J2
ZFP36L1	0.00835307801822869	1.42245746765658	0.75	0.315	1	motor	ZFP36L1
PON2	0.00843342773804898	1.68846112684366	0.75	0.333	1	motor	PON2
FBXO7	0.00868941163906576	1.24411811309421	0.5	0.121	1	motor	FBXO7
WTAP	0.00897669432902184	1.24983497114242	0.75	0.348	1	motor	WTAP
GMNN	0.00902281328696819	1.0460642381888	0.75	0.345	1	motor	GMNN
STT3B	0.00924054721386845	1.2006571041947	0.5	0.13	1	motor	STT3B
GTF2H2	0.00928166907032452	1.1591640780246	0.5	0.13	1	motor	GTF2H2
TNPO2	0.0094411399334777	1.24734337590502	0.5	0.122	1	motor	TNPO2
RPL34	3.52220043121653e-67	0.31809075951907	1	0.999	9.95162509835919e-63	parietal	RPL34
IGFBP2	6.8260142568133e-59	0.735045624907428	0.449	0.157	1.92862206812003e-54	parietal	IGFBP2
RPL37A1	3.08502318747211e-40	0.252799955698076	1	0.993	8.7164245138837e-36	parietal	RPL37A
NR2F1	2.46275895707743e-23	0.388106998849617	0.584	0.381	6.95827915732656e-19	parietal	NR2F1
MZT2B	4.62289516473846e-15	0.267101987162233	0.75	0.632	1.30615279984521e-10	parietal	MZT2B
SOX2	2.4859802931621e-13	0.267228216598594	0.8	0.679	7.02388872030021e-09	parietal	SOX2
XXbac-BPG252P9.9	2.44802065978742e-58	0.516248780348655	0.306	0.091	6.91663757216336e-54	PFC	XXbac-BPG252P9.9
RP11-386G11.10	3.86688458962711e-55	0.520506986575963	0.314	0.106	1.09254957195324e-50	PFC	RP11-386G11.10
NNAT1	2.57627260431619e-49	0.420167154614777	0.941	0.927	7.27900061623497e-45	PFC	NNAT
RBP1	8.29755203981039e-44	0.566231997739323	0.435	0.218	2.34439035332803e-39	PFC	RBP1
RP11-436D23.1	7.37573397381265e-35	0.49425191116586	0.421	0.242	2.08393987696103e-30	PFC	RP11-436D23.1
MEG3	8.55319128349575e-31	0.467843483397728	0.292	0.136	2.41661866523889e-26	PFC	MEG3
DNAJB11	8.60371329666928e-27	0.406718524285863	0.637	0.478	2.43089315484094e-22	PFC	DNAJB1
MOXD1	5.20039122743409e-23	0.355159557697673	0.321	0.172	1.46931853739923e-18	PFC	MOXD1
PPP1CB1	2.8344029627087e-18	0.347542764405496	0.581	0.476	8.00832213083715e-14	PFC	PPP1CB
GDI1	7.70238556118991e-16	0.257479268557939	0.462	0.356	2.1762320164586e-11	PFC	GDI1
ZEB2	1.36863063888884e-13	0.323229130181943	0.339	0.229	3.86692900711653e-09	PFC	ZEB2
C8orf4	6.59250657651405e-12	0.28656915332146	0.303	0.206	1.86264680812828e-07	PFC	C8orf4
TOP2A1	1.13701766671845e-11	0.304087467581286	0.819	0.76	3.21252971554631e-07	PFC	TOP2A
HNRNPH11	1.22870292725085e-11	0.35286442711028	0.629	0.554	3.47157725065455e-07	PFC	HNRNPH1
GLUL	5.37235979793205e-11	0.250901118398016	0.395	0.298	1.51790653730772e-06	PFC	GLUL
HSPA1A1	3.66259176269074e-10	0.269853914708157	0.593	0.522	1.03482867663064e-05	PFC	HSPA1A
ROBO1	7.79022458068251e-10	0.252532543159188	0.259	0.172	2.20105005302604e-05	PFC	ROBO1
MARCH6	1.08083007561823e-09	0.257413381659129	0.457	0.379	3.05377729565175e-05	PFC	MARCH6
FZD3	1.7437496580102e-09	0.272451677933072	0.37	0.287	4.92679028374203e-05	PFC	FZD3
CTNNB11	8.52494197650632e-08	0.297261805202934	0.346	0.277	0.0024086371060421	PFC	CTNNB1
ATP1B1	8.78981904903874e-08	0.253863549801457	0.309	0.236	0.00248347547411541	PFC	ATP1B1
HSPA1B1	4.453964829934e-07	0.288688978695771	0.488	0.44	0.0125842322304955	PFC	HSPA1B
BEX5	9.13746404105498e-07	0.25033186673532	0.259	0.209	0.0258169909015968	PFC	BEX5
HSPA5	2.02032309547901e-06	0.260978541324961	0.605	0.592	0.057082208739664	PFC	HSPA5
SOX111	2.29843885808415e-06	0.393791478505029	0.806	0.795	0.0649400914963094	PFC	SOX11
RPL37A3	1.55365529464748e-47	0.299065132104907	1	0.993	4.38969766949698e-43	temporal	RPL37A
RPS81	1.42030187304158e-35	0.256400224562023	1	0.995	4.01292091209167e-31	temporal	RPS8
RPS261	2.78347722595109e-33	0.274983356885174	0.98	0.966	7.86443655420221e-29	temporal	RPS26
RPL382	1.7779694114197e-32	0.321687631574422	0.987	0.957	5.02347477502521e-28	temporal	RPL38
RPL36A1	2.64958813144216e-21	0.309768089024719	0.898	0.829	7.48614630657669e-17	temporal	RPL36A
SON	3.99364829013857e-20	0.363044600715318	0.798	0.706	1.12836538789575e-15	temporal	SON
MARCKS	9.14865625358016e-19	0.353446488675803	0.911	0.878	2.58486133788654e-14	temporal	MARCKS
RPS211	5.0520869855945e-18	0.250468719026404	0.942	0.905	1.42741665690987e-13	temporal	RPS21
SOX4	4.02001531096786e-14	0.441970888266741	0.915	0.864	1.13581512596086e-09	temporal	SOX4
PEG10	1.15066152648292e-13	0.30246326975051	0.685	0.593	3.25107907692484e-09	temporal	PEG10
TMSB15A	3.29491476925117e-13	0.271712195145744	0.849	0.819	9.30945218904226e-09	temporal	TMSB15A
