	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL39	1.22832612551193e-216	0.536346830777934	1	0.998	3.47051263502139e-212	parietal	RPL39
RPS27	2.31333328995619e-197	0.495416937747295	1	0.998	6.53609187744223e-193	parietal	RPS27
RPS29	2.51607342349731e-182	0.601117769587757	1	0.959	7.10891385074929e-178	parietal	RPS29
RPL34	2.49395580131233e-150	0.384066211443328	1	1	7.04642272102785e-146	parietal	RPL34
RPL37A	1.83486236562712e-149	0.478174049551162	0.998	0.987	5.18422012784287e-145	parietal	RPL37A
IGFBP2	3.00017477499366e-114	1.16982102142512	0.394	0.068	8.47669380926708e-110	parietal	IGFBP2
RPL36	1.81208670345166e-111	0.453884695916722	0.997	0.968	5.11986977193231e-107	parietal	RPL36
RPS19	2.708669349305e-110	0.302639208465282	1	1	7.65307437952634e-106	parietal	RPS19
RPS28	2.29920677074918e-102	0.435647565228275	0.996	0.96	6.49617881007474e-98	parietal	RPS28
RPS18	3.45178228619032e-102	0.298191359209111	1	0.999	9.75266567140212e-98	parietal	RPS18
RPS14	5.0692365825783e-98	0.313386755497461	1	0.998	1.43226210404167e-93	parietal	RPS14
RPS15	5.44969113323954e-97	0.319084131782841	1	0.998	1.5397557327855e-92	parietal	RPS15
RPS2	2.46794844874068e-83	0.322742313442912	1	0.994	6.97294154707192e-79	parietal	RPS2
RPL38	5.3958679891464e-79	0.39855151611459	0.972	0.911	1.52454854165342e-74	parietal	RPL38
RPL12	1.93150883734645e-78	0.3376896847588	0.998	0.988	5.45728506903865e-74	parietal	RPL12
AC090498.1	1.02165892934227e-65	0.769568111092416	0.486	0.192	2.88659513896365e-61	parietal	AC090498.1
RPLP1	8.80239445991034e-65	0.310155869028891	0.999	0.995	2.48702853070307e-60	parietal	RPLP1
RPLP2	3.21232051990535e-62	0.295832119655065	0.998	0.983	9.07609039694058e-58	parietal	RPLP2
TMSB4X	3.67717609205923e-60	0.262696571172556	1	1	1.03894933305042e-55	parietal	TMSB4X
RPL35	1.21432838516699e-58	0.336537069700648	0.982	0.953	3.43096341945082e-54	parietal	RPL35
RPL35A	1.56260487423199e-58	0.287466546333872	1	0.991	4.41498381165506e-54	parietal	RPL35A
ATP5E	1.77449584814064e-54	0.448281375743488	0.867	0.716	5.01366056933658e-50	parietal	ATP5E
NR2F1	6.0970937673483e-54	0.619853142152998	0.565	0.298	1.72267287302659e-49	parietal	NR2F1
RPL37	1.66331634666813e-53	0.338744559775926	0.976	0.913	4.69953400587613e-49	parietal	RPL37
ATP5I	5.64024419358817e-51	0.490106748027326	0.749	0.543	1.5935945944564e-46	parietal	ATP5I
MT-ND4L	1.10149943150281e-50	0.461521505612378	0.84	0.695	3.11217649376803e-46	parietal	MT-ND4L
MEF2C	1.0139901705203e-49	0.498820309925985	0.465	0.21	2.86492782778806e-45	parietal	MEF2C
YBX1	2.07250368761779e-49	0.306420269397335	0.982	0.956	5.85565191899531e-45	parietal	YBX1
RPL31	2.92821560579736e-48	0.269054028398409	0.996	0.975	8.27338037261987e-44	parietal	RPL31
RPS21	6.46609261657712e-48	0.376538491830025	0.936	0.827	1.8269298078877e-43	parietal	RPS21
RPS17	3.84580808565509e-35	0.254245482544848	0.987	0.975	1.08659461652099e-30	parietal	RPS17
MT-ND3	1.18121991140684e-31	0.344350916277541	0.849	0.743	3.33741873768889e-27	parietal	MT-ND3
C14orf2	1.93693016052212e-31	0.346263686837682	0.79	0.683	5.47260247553919e-27	parietal	C14orf2
TMA7	3.47446505758147e-29	0.325303629404032	0.806	0.685	9.81675357369068e-25	parietal	TMA7
