	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL39	2.2851112728341e-171	0.649735245084682	1	0.992	6.45635339026546e-167	parietal	RPL39
RPS29	5.08710233129058e-121	0.568371789280746	0.997	0.953	1.43730989268284e-116	parietal	RPS29
RPS27	1.54332250586148e-118	0.46835671229705	1	0.995	4.36050340806101e-114	parietal	RPS27
RPL37A	6.61032592191115e-110	0.498884628631844	1	0.975	1.86768148597678e-105	parietal	RPL37A
RPS2	4.81481257835925e-107	0.493886910758719	0.993	0.973	1.36037714588962e-102	parietal	RPS2
MEF2C	3.58716707640047e-101	0.901756541912103	0.751	0.32	1.01351818576619e-96	parietal	MEF2C
RPL34	1.3638377491538e-96	0.37834519629563	1	1	3.85338717645915e-92	parietal	RPL34
RPL36	2.92914200958866e-93	0.481130905022304	0.996	0.948	8.2759978338918e-89	parietal	RPL36
IGFBP2	1.01388410158084e-84	0.909707309801913	0.297	0.035	2.86462814060652e-80	parietal	IGFBP2
RPS18	1.95064762173967e-82	0.338308008473566	1	0.999	5.51135979046325e-78	parietal	RPS18
RPL38	7.9660077277232e-72	0.467848629839767	0.988	0.888	2.25071582339091e-67	parietal	RPL38
RPS28	4.86940014881913e-71	0.417766893951574	0.991	0.959	1.37580031804736e-66	parietal	RPS28
AC090498.1	1.26620975843999e-69	0.810426283142336	0.452	0.136	3.57754905149634e-65	parietal	AC090498.1
RPS14	5.4141355223766e-67	0.338984995616631	0.999	0.991	1.52970985049228e-62	parietal	RPS14
RPL12	3.35879726441601e-63	0.426762740340807	0.988	0.935	9.48994579088099e-59	parietal	RPL12
RPS15	3.52023669035513e-57	0.284561031366926	1	0.994	9.9460767449294e-53	parietal	RPS15
RPS19	2.538203745617e-53	0.25209643826402	1	1	7.17144086286628e-49	parietal	RPS19
RPL41	1.86495951755319e-52	0.327989183812698	1	0.97	5.26925662089479e-48	parietal	RPL41
RPLP1	1.95646783310842e-50	0.282469163813873	1	0.99	5.52780421566454e-46	parietal	RPLP1
MT-ND4L	1.71756397992996e-47	0.57399207125021	0.78	0.522	4.8528052688941e-43	parietal	MT-ND4L
RPS21	6.70755837594068e-43	0.421885952567111	0.905	0.738	1.89515354353828e-38	parietal	RPS21
ATP5E	9.57245452152504e-43	0.385657460006267	0.924	0.8	2.70460130051168e-38	parietal	ATP5E
TMSB4X	4.80461273324195e-42	0.306542965017347	1	1	1.35749528165018e-37	parietal	TMSB4X
RPL31	6.50867896794182e-42	0.334008216093623	0.987	0.936	1.83896215560228e-37	parietal	RPL31
MT-ND3	5.50898623181490e-40	0.519582088315855	0.739	0.485	1.55650896993698e-35	parietal	MT-ND3
RPL37	1.87642673986757e-39	0.366934069361593	0.949	0.846	5.30165611082183e-35	parietal	RPL37
ATP5I	1.26928536513899e-35	0.462459266197615	0.753	0.501	3.5862388706637e-31	parietal	ATP5I
NPY	5.94247415080217e-35	1.10766913275523	0.268	0.086	1.67898664656765e-30	parietal	NPY
MIF	5.96250664813556e-35	0.523430333183318	0.638	0.402	1.68464662836422e-30	parietal	MIF
COX7C	6.05079418648197e-33	0.362316382554623	0.88	0.723	1.70959138944862e-28	parietal	COX7C
RPL35	7.47560683924979e-31	0.28276295568868	0.985	0.953	2.11215795636164e-26	parietal	RPL35
NDUFB1	2.91206961020398e-30	0.518960109830014	0.469	0.243	8.22776147667031e-26	parietal	NDUFB1
C4orf48	9.75980335376343e-30	0.463703182924793	0.71	0.484	2.75753483957232e-25	parietal	C4orf48
NDUFB2	1.53435008620022e-29	0.458396850947681	0.618	0.395	4.33515273355009e-25	parietal	NDUFB2
ATP5J2	2.14599217839648e-29	0.450214338669121	0.72	0.48	6.0632863008414e-25	parietal	ATP5J2
TMEM258	1.02690456352571e-28	0.456594286582327	0.556	0.33	2.90141615378554e-24	parietal	TMEM258
COX7A2	5.94648084128492e-28	0.313172347760835	0.905	0.788	1.68011869689664e-23	parietal	COX7A2
TTC9B	3.44262400045294e-26	0.473185052779116	0.392	0.196	9.72678985087975e-22	parietal	TTC9B
NEUROD6	5.37969821340007e-25	0.537186417528184	0.297	0.126	1.51997993321406e-20	parietal	NEUROD6
ATP5L	6.19945736806537e-25	0.312047909378541	0.852	0.708	1.75159468477319e-20	parietal	ATP5L
CHD3	1.57594656110832e-24	0.511640870689441	0.316	0.139	4.45267941375543e-20	parietal	CHD3
ZBTB18	1.78068756977896e-24	0.441716907142761	0.272	0.116	5.03115465965348e-20	parietal	ZBTB18
C14orf2	4.13738132387017e-24	0.369557741380767	0.761	0.594	1.16897571924628e-19	parietal	C14orf2
COX6C	1.23879553239069e-23	0.398252115463884	0.754	0.559	3.50009289721666e-19	parietal	COX6C
OST4	1.99231318661624e-23	0.425956409241614	0.592	0.386	5.62908167746551e-19	parietal	OST4
H1FX	2.79031375283962e-23	0.467490835185238	0.255	0.102	7.88375247727305e-19	parietal	H1FX
NDUFA3	4.23442757802918e-23	0.461312679001217	0.492	0.285	1.19639516789636e-18	parietal	NDUFA3
UQCR10	8.07218249396702e-23	0.335536080216283	0.701	0.524	2.28071444184544e-18	parietal	UQCR10
BEX2	1.04926570648121e-20	0.431844085461293	0.49	0.293	2.96459532709202e-16	parietal	BEX2
USMG5	1.14096425569874e-20	0.357734088871084	0.694	0.515	3.22368040805123e-16	parietal	USMG5
NDUFA1	8.15307228176856e-19	0.397465902222125	0.515	0.332	2.30356904249089e-14	parietal	NDUFA1
TCEB2	1.45338338967352e-18	0.330092610284379	0.77	0.603	4.10638942918356e-14	parietal	TCEB2
SLIRP	5.46905059605008e-18	0.347095852858176	0.51	0.324	1.54522555540799e-13	parietal	SLIRP
UQCRQ	6.13446973169907e-18	0.336479727088472	0.615	0.44	1.73323307799425e-13	parietal	UQCRQ
ATOX1	7.31216237281949e-18	0.344204633924402	0.4	0.245	2.06597835681642e-13	parietal	ATOX1
CHL1	9.21499567369633e-18	0.462307342540301	0.388	0.226	2.60360487764616e-13	parietal	CHL1
PTOV1	1.10196043137618e-17	0.365216779212066	0.344	0.194	3.11347900281025e-13	parietal	PTOV1
ATP5G1	1.35120623492348e-17	0.391119469778813	0.49	0.31	3.8176980961528e-13	parietal	ATP5G1
POLR2L	2.58104180572775e-17	0.40201211835672	0.389	0.217	7.29247551790319e-13	parietal	POLR2L
UQCR11	2.94112308165597e-17	0.333365235848689	0.678	0.484	8.30984915491077e-13	parietal	UQCR11
ATPIF1	6.21869596461103e-17	0.412975262078126	0.452	0.281	1.7570303578412e-12	parietal	ATPIF1
NDUFS5	1.42770731947178e-16	0.280295771151913	0.777	0.63	4.03384426043556e-12	parietal	NDUFS5
RPL36A	2.59913216815323e-16	0.324586406651946	0.757	0.586	7.34358802790015e-12	parietal	RPL36A
NDUFA4	2.82497289921977e-16	0.265523684364999	0.871	0.75	7.98167842945554e-12	parietal	NDUFA4
MYEOV2	1.24906773850018e-15	0.340073460843716	0.543	0.354	3.52911598835842e-11	parietal	MYEOV2
GADD45G	2.47583231460946e-15	0.367725331298672	0.316	0.168	6.99521662169757e-11	parietal	GADD45G
ROMO1	3.7510344784305e-15	0.364054626717425	0.334	0.191	1.05981728153575e-10	parietal	ROMO1
TOMM7	5.06434527906823e-15	0.334136339258885	0.679	0.53	1.43088011514794e-10	parietal	TOMM7
MYT1L	5.26419146718424e-15	0.371530919117498	0.435	0.279	1.48734465713824e-10	parietal	MYT1L
NDUFC1	6.07580857827889e-15	0.354322952013727	0.385	0.235	1.71665895570692e-10	parietal	NDUFC1
RPL23	9.34528733082923e-15	0.251144104746513	0.873	0.775	2.64041748245249e-10	parietal	RPL23
UBL5	1.00097153075266e-14	0.308182089074137	0.684	0.508	2.82814496298857e-10	parietal	UBL5
CPE	1.32913467668302e-14	0.36516334039516	0.264	0.136	3.7553371155002e-10	parietal	CPE
GPM6A	2.98323223466564e-14	0.26752786295178	0.751	0.634	8.42882435582429e-10	parietal	GPM6A
EEF1B2	3.80837456272041e-14	0.298351495729518	0.657	0.517	1.07601814895103e-09	parietal	EEF1B2
C19orf70	1.69368163021094e-13	0.323115972269865	0.258	0.143	4.78532807799798e-09	parietal	C19orf70
SYT1	1.97500594115036e-13	0.283212441169048	0.707	0.576	5.58018178612623e-09	parietal	SYT1
