	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL34	2.10636043420512e-22	0.29085324313809	1	1	5.95131077080313e-18	parietal	RPL34
RPL37A	2.90088229898425e-16	0.264738736401295	0.997	0.995	8.19615284755009e-12	parietal	RPL37A
IGFBP2	8.04026740806456e-14	0.497728203959547	0.314	0.096	2.27169715347456e-09	parietal	IGFBP2
NEFL	1.73312226347673e-10	0.515025081325376	0.253	0.082	4.89676364322716e-06	parietal	NEFL
RNF187	3.74841109686005e-09	0.352582277385694	0.259	0.094	0.000105907607130684	parietal	RNF187
PPFIA2	1.35011435610278e-08	0.407198225325839	0.288	0.126	0.000381461310173279	parietal	PPFIA2
NEUROD6	3.26350991869927e-08	0.452344144338747	0.555	0.362	0.000922072092429293	parietal	NEUROD6
ID2	1.2055379329614e-05	0.32269647755762	0.651	0.487	0.340612687578913	parietal	ID2
ARPP21	4.19258646475532e-05	0.289756504200991	0.395	0.249	1	parietal	ARPP21
SYT4	6.62314759228241e-05	0.363922863516632	0.363	0.229	1	parietal	SYT4
RTN1	0.00024089254261778	0.288923768886586	0.727	0.67	1	parietal	RTN1
GADD45G	0.00143463707797693	0.257862867178149	0.262	0.169	1	parietal	GADD45G
APOE	0.00649820182137174	0.277560930025106	0.718	0.634	1	parietal	APOE
APOC1	0.00651352530134695	0.33265711993347	0.596	0.515	1	parietal	APOC1
NNAT1	3.53089681465275e-17	0.580381348112658	0.844	0.705	9.97619586011988e-13	PFC	NNAT
ACTB1	3.51183229867708e-15	0.530520834214166	1	1	9.92233097668222e-11	PFC	ACTB
RBP1	8.06954358730976e-13	0.746472816956632	0.322	0.113	2.2799688451585e-08	PFC	RBP1
SRM	4.31174555691985e-09	0.847781824659145	0.366	0.198	0.000121824058965213	PFC	SRM
GAPDH	4.31530475211479e-09	0.356618227278459	0.956	0.911	0.000121924620466251	PFC	GAPDH
DNAJB11	8.38771229860383e-09	0.486442374089887	0.444	0.241	0.000236986423284753	PFC	DNAJB1
MYL6	3.07151448117934e-08	0.33780963503155	0.902	0.905	0.00086782570151241	PFC	MYL6
SH3BGRL3	2.72699712623422e-07	0.449293383461281	0.615	0.493	0.00770485768046218	PFC	SH3BGRL3
OAZ1	2.95096735018813e-07	0.328755855641235	0.81	0.745	0.00833766315122153	PFC	OAZ1
ZEB2	3.1471399199703e-07	0.470051027864349	0.483	0.318	0.00889192912988408	PFC	ZEB2
HNRNPH11	4.1842399144521e-07	0.551807152388457	0.527	0.363	0.011822151454293	PFC	HNRNPH1
LGALS1	4.97469203496457e-07	0.678075135763862	0.512	0.37	0.0140554948755889	PFC	LGALS1
CAPG	1.01230589137639e-06	0.685577504394017	0.395	0.243	0.0286016906549485	PFC	CAPG
CORO1C	1.01429771634798e-06	0.433556718990951	0.293	0.146	0.0286579676776957	PFC	CORO1C
PFN1	1.45144986802813e-06	0.483262610975078	0.766	0.717	0.0410092645712668	PFC	PFN1
PSMA21	1.74714046841676e-06	0.440947851814644	0.449	0.295	0.0493637067946472	PFC	PSMA2
SERF2	3.36730849374152e-06	0.296581630409323	0.922	0.92	0.0951399341821729	PFC	SERF2
HSP90AA11	3.50984432901648e-06	0.38861219697346	0.785	0.724	0.0991671416720317	PFC	HSP90AA1
ALDOA	4.28893417994112e-06	0.410796690952832	0.595	0.462	0.121179546320056	PFC	ALDOA
MARCH61	4.46676408959268e-06	0.484194031665466	0.463	0.302	0.126203952587352	PFC	MARCH6
SRSF61	8.72359863989605e-06	0.402393255816695	0.415	0.26	0.246476555971623	PFC	SRSF6
NFIA1	9.55795326434146e-06	0.474179226945432	0.361	0.22	0.270050411530704	PFC	NFIA
VAMP8	1.5043837979511e-05	0.421811233531828	0.415	0.266	0.425048598273103	PFC	VAMP8
