	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RP5-827C21.6	7.92004867833197e-40	1.00583007340036	0.267	0.004	2.23773055357592e-35	motor	RP5-827C21.6
CTD-2023N9.3	7.49158321465982e-37	1.16635225418827	0.267	0.006	2.11667192146999e-32	motor	CTD-2023N9.3
PCP4	3.3462803675116e-24	2.97165207622134	0.667	0.054	9.45458055036726e-20	motor	PCP4
GDA	5.67218421286981e-22	1.17735242884875	0.267	0.011	1.60261892750424e-17	motor	GDA
BSCL2	4.1753798640643e-17	1.28816918812425	0.333	0.016	1.17971182679273e-12	motor	BSCL2
UQCRHL	4.06886209904982e-16	1.37708905122685	0.533	0.058	1.14961629746554e-11	motor	UQCRHL
FABP6	1.53547553894422e-11	1.34589167207789	0.333	0.029	4.33833258773299e-07	motor	FABP6
AC090498.1	1.86209676934074e-11	1.5220874251161	1	0.462	5.26116821209531e-07	motor	AC090498.1
CALY	3.14645546043532e-11	1.05429796065489	0.267	0.022	8.88999525791396e-07	motor	CALY
FGF7	1.8499025557624e-10	1.17309752657118	0.4	0.044	5.22671468105108e-06	motor	FGF7
PEG3	1.89877327298849e-09	1.02342678370855	0.333	0.034	5.36479400550168e-05	motor	PEG3
UQCR10	2.48079859497143e-09	1.35706114440091	1	0.785	7.00924835023226e-05	motor	UQCR10
TMEM14A	4.49107159675062e-09	1.25547252384679	1	0.556	0.000126890736894592	motor	TMEM14A
LMO3	4.68634001717194e-09	1.45314333371608	0.867	0.307	0.000132407850845176	motor	LMO3
COX16	5.71367688670912e-09	1.22359421395282	0.6	0.135	0.000161434226757079	motor	COX16
NDUFB2	1.02394628046194e-08	1.08736484514159	1	0.734	0.000289305782081716	motor	NDUFB2
KCTD12	1.033720296758e-08	1.32715351422937	0.467	0.079	0.000292067332646006	motor	KCTD12
MAL2	1.07091031350519e-08	1.02614628432965	0.333	0.046	0.000302574999977755	motor	MAL2
ATP5I	2.94114147202777e-08	1.25722374399224	0.933	0.822	0.000830990111506726	motor	ATP5I
CALB2	7.41096080358783e-08	0.943941655998422	0.267	0.03	0.00209389286544571	motor	CALB2
NOP10	1.23209273167423e-07	1.28366074889183	0.867	0.466	0.00348115480407236	motor	NOP10
SERPINI1	2.29597570331027e-07	1.38712658959758	0.467	0.093	0.00648704975213282	motor	SERPINI1
MIF	2.38291126069018e-07	0.946978553102908	1	0.763	0.00673267747595404	motor	MIF
ATPIF1	2.73812388542949e-07	1.13212368754772	0.933	0.591	0.00773629522589247	motor	ATPIF1
COX6C	5.59864212494303e-07	1.03120058492484	1	0.831	0.015818403459814	motor	COX6C
SRCIN1	6.41780032551501e-07	1.21872850706563	0.333	0.055	0.0181328530397101	motor	SRCIN1
USMG5	9.48786958272985e-07	0.817936143055042	0.933	0.818	0.0268070267190449	motor	USMG5
ELAVL2	9.6674425854516e-07	1.05160114944258	0.733	0.295	0.0273143922809349	motor	ELAVL2
NDUFB1	1.16214587353681e-06	1.16519561044916	0.867	0.614	0.032835269510909	motor	NDUFB1
RP11-410L14.2	1.23653806632129e-06	0.989244978073629	0.267	0.037	0.0349371465258416	motor	RP11-410L14.2
LINC00205	1.56731133233321e-06	0.861842814989551	0.267	0.036	0.0442828143837426	motor	LINC00205
ATOX1	1.74692877483161e-06	0.903928328954029	0.933	0.598	0.0493577256040922	motor	ATOX1
EPCAM	2.07955740459836e-06	0.944820186855939	0.267	0.038	0.0587558149095221	motor	EPCAM
CALM2	2.17161076029843e-06	0.769644224910179	1	0.994	0.0613566904214717	motor	CALM2
BCAT1	3.82967974683305e-06	0.848044435829225	0.267	0.037	0.108203771567021	motor	BCAT1
GNG8	3.88604496174081e-06	0.965091034408394	0.267	0.043	0.109796314349025	motor	GNG8
NBL1	4.30853101571348e-06	0.90280338711287	0.267	0.038	0.121733235317969	motor	NBL1
TMA7	4.8623276827517e-06	0.985868355236659	0.933	0.883	0.137380206348466	motor	TMA7
ZNF385D	5.17287923369572e-06	0.949290391194901	0.267	0.034	0.146154529868839	motor	ZNF385D
NDUFA4	5.7846625933766e-06	0.934582943854078	1	0.903	0.163439856913263	motor	NDUFA4
NDUFC1	5.94550027494281e-06	1.04665549217467	0.8	0.436	0.167984164768234	motor	NDUFC1
VKORC1L1	5.98045298897142e-06	0.949242936363624	0.267	0.038	0.168971718750399	motor	VKORC1L1
TMEM205	6.75253715137994e-06	1.1796286813308	0.4	0.093	0.190786184675089	motor	TMEM205
NDUFV3	7.27657034686337e-06	1.16642376446661	0.6	0.219	0.205592218580278	motor	NDUFV3
CAMK2D	8.10270026342279e-06	1.05918799148197	0.267	0.038	0.228933693242747	motor	CAMK2D
DYNLL1	8.42171595151274e-06	0.746291723347573	1	0.943	0.237947162494041	motor	DYNLL1
PDE1A	1.42733950208618e-05	0.891465032019189	0.333	0.065	0.403280502919429	motor	PDE1A
CDH13	1.43058237246892e-05	0.859288895704983	0.267	0.047	0.40419674351737	motor	CDH13
NDUFA13	1.8571107028766e-05	0.973618307142166	0.867	0.677	0.524708057990755	motor	NDUFA13
SATB1	2.30643725584024e-05	1.20646787846121	0.267	0.047	0.651660782265101	motor	SATB1
UBL5	2.5059475524637e-05	0.762954357952518	0.867	0.775	0.708030421473095	motor	UBL5
RPP21	2.92313103841066e-05	1.10788807459273	0.467	0.131	0.825901443592548	motor	RPP21
GATC	3.11310635693656e-05	0.815756979729701	0.267	0.041	0.879577070088856	motor	GATC
LYPLA1	3.27426474413205e-05	1.02562846469991	0.467	0.137	0.925110760807069	motor	LYPLA1
RAP2A	4.10921125299258e-05	1.135153407009	0.533	0.176	1	motor	RAP2A
MGAT4C	4.54150483630885e-05	0.890289068741439	0.333	0.089	1	motor	MGAT4C
DYNLT1	4.92930877868041e-05	0.869186171033724	0.867	0.625	1	motor	DYNLT1
MORF4L1	6.25544720193669e-05	0.605622695461242	1	0.911	1	motor	MORF4L1
PAPD5	6.78004461699888e-05	0.839966963498986	0.267	0.044	1	motor	PAPD5
CTXN1	7.04998485149241e-05	1.05311483742418	0.4	0.116	1	motor	CTXN1
SNCA	8.56465113048062e-05	1.28781928523857	0.6	0.275	1	motor	SNCA
NDUFA5	9.58039743952326e-05	0.786897519504555	0.867	0.657	1	motor	NDUFA5
C3orf14	0.000107192553815308	1.16352721766109	0.667	0.386	1	motor	C3orf14
ACYP1	0.000110139625376897	1.03592357003799	0.533	0.22	1	motor	ACYP1
CTNND2	0.000110818297487417	1.022692755007	0.4	0.104	1	motor	CTNND2
PNKD	0.000118885030530694	1.13307737300978	0.533	0.225	1	motor	PNKD
POMP	0.000121871684707244	0.689540921437468	0.867	0.684	1	motor	POMP
SHFM1	0.000128697138861891	0.979922904624952	0.8	0.549	1	motor	SHFM1
SLIRP	0.000141357817374444	1.01758680970994	0.8	0.613	1	motor	SLIRP
GAP43	0.000144435866485362	0.638805975939504	1	0.849	1	motor	GAP43
MARCH6	0.000149789420918107	0.861899149973987	0.733	0.437	1	motor	MARCH6
LIN7B	0.000155513690444559	1.11745262112024	0.467	0.165	1	motor	LIN7B
PTS	0.000157989122424285	0.948112643127748	0.467	0.168	1	motor	PTS
EIF3J	0.000169083504668603	0.997561167856434	0.667	0.34	1	motor	EIF3J
CRYM	0.000171432249650466	1.01796811156271	0.467	0.131	1	motor	CRYM
SCOC	0.00018137467964571	1.43088022505824	0.6	0.324	1	motor	SCOC
NDUFB8	0.000183599287294408	0.97519207446412	0.8	0.61	1	motor	NDUFB8
