	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPL34	1.99845919058061e-18	0.301848929872985	1	1	5.64644659706645e-14	parietal	RPL34
IGFBP2	2.52006665431075e-16	0.832858163408016	0.532	0.251	7.1201963250896e-12	parietal	IGFBP2
BCAN	9.63503313901703e-12	0.404144094984773	0.875	0.692	2.72228226309787e-07	parietal	BCAN
PTPRZ1	2.62133478283582e-10	0.320246512474615	0.985	0.96	7.40631929542432e-06	parietal	PTPRZ1
OLIG1	3.27808160793524e-07	0.476729665829815	0.426	0.254	0.00926189177506022	parietal	OLIG1
LIMA1	1.24921716794494e-06	0.376728662150342	0.654	0.462	0.0352953818631162	parietal	LIMA1
SLC25A6	3.97591962996778e-06	0.264895162338651	0.878	0.808	0.11233563322511	parietal	SLC25A6
MT-ND5	4.12123292906755e-05	0.268742808320492	0.825	0.707	1	parietal	MT-ND5
LUZP2	8.40987706445865e-05	0.436385668100987	0.395	0.275	1	parietal	LUZP2
ANXA5	0.000139815777324849	0.343851589980905	0.289	0.174	1	parietal	ANXA5
NR2F1	0.000179640429282181	0.363725016604744	0.281	0.169	1	parietal	NR2F1
APOD	0.000179915762646193	0.572446915802487	0.464	0.347	1	parietal	APOD
PLLP	0.000268024400018428	0.361646608006978	0.3	0.185	1	parietal	PLLP
RAMP1	0.000398962140060043	0.367573462896083	0.403	0.289	1	parietal	RAMP1
CHD9	0.000468032940476412	0.262589770844528	0.521	0.404	1	parietal	CHD9
COL9A1	0.000530988635138801	0.306823392382774	0.259	0.153	1	parietal	COL9A1
MRPL28	0.000584180317575639	0.329584959250725	0.289	0.188	1	parietal	MRPL28
PDGFRA	0.000695505912988509	0.27648919038197	0.646	0.516	1	parietal	PDGFRA
DLL3	0.000755182872095081	0.332489436053951	0.338	0.228	1	parietal	DLL3
RCN2	0.00182375966274021	0.252000764463329	0.597	0.486	1	parietal	RCN2
EPN2	0.00295128115084332	0.33205698294262	0.601	0.516	1	parietal	EPN2
GTF2I	0.00308024075525783	0.257070579738452	0.513	0.427	1	parietal	GTF2I
SMOC1	0.0036994307580932	0.346557163081703	0.338	0.246	1	parietal	SMOC1
RSL1D1	0.00439639951536782	0.252105804048712	0.43	0.343	1	parietal	RSL1D1
EMC10	0.00499063160381802	0.277471079370671	0.3	0.218	1	parietal	EMC10
GRID2	0.00650431947258341	0.273975243462226	0.251	0.174	1	parietal	GRID2
COMT	0.00697368217209033	0.312124612713697	0.342	0.272	1	parietal	COMT
CSRP21	4.14319043821087e-17	1.16355222152718	0.546	0.303	1.1706170264121e-12	PFC	CSRP2
SOX111	8.69808387196421e-17	0.952039635930608	0.84	0.657	2.45755661718477e-12	PFC	SOX11
NNAT	1.23585315267708e-12	0.442683072082189	0.799	0.646	3.49177949757382e-08	PFC	NNAT
DPYSL21	1.64118866884079e-12	0.700106856104313	0.686	0.519	4.63701446494277e-08	PFC	DPYSL2
ZEB21	1.74084061796709e-12	0.708787872988158	0.49	0.253	4.91857108200422e-08	PFC	ZEB2
STMN11	1.94176264260643e-12	0.398655354543159	0.985	0.98	5.48625617042021e-08	PFC	STMN1
SRM	5.32783007752784e-12	0.820950778414829	0.438	0.222	1.50532511010471e-07	PFC	SRM
TMSB101	5.58473170148843e-12	0.475186901651507	0.985	0.984	1.57791009493854e-07	PFC	TMSB10
ENC11	1.73849728014269e-11	0.654468439697431	0.418	0.19	4.91195021531515e-07	PFC	ENC1
MAP1B1	1.28571656721319e-09	0.554694556831908	0.778	0.667	3.63266358900416e-05	PFC	MAP1B
LMO31	9.30635723311174e-09	0.595315647562041	0.345	0.168	0.000262941817264339	PFC	LMO3
YWHAZ	1.5176873587726e-08	0.59294250373342	0.603	0.442	0.00042880738634761	PFC	YWHAZ
TMSB4X	2.14655029780416e-08	0.260358749314467	1	1	0.000606486321141589	PFC	TMSB4X
TUBB	7.3796298303897e-08	0.296780300710915	0.948	0.911	0.0020850406122783	PFC	TUBB
DYNLL1	2.76694307985913e-07	0.308957388958471	0.897	0.861	0.00781772097783398	PFC	DYNLL1
MLLT11	1.25410981966344e-06	0.363482802895747	0.768	0.667	0.0354336188447709	PFC	MLLT11
CALM21	1.29166868377071e-06	0.253209518220217	0.969	0.945	0.0364948069912577	PFC	CALM2
PTBP21	1.41915985714958e-06	0.479541876290398	0.314	0.162	0.0400969426039043	PFC	PTBP2
DCX1	2.17785934770997e-06	0.530225471927622	0.515	0.372	0.0615332380101974	PFC	DCX
PPP1CB1	2.67702873350359e-06	0.476578326672209	0.521	0.376	0.0756367698364105	PFC	PPP1CB
YWHAG1	4.50061003286896e-06	0.422971990155585	0.433	0.287	0.12716023586868	PFC	YWHAG
STMN21	5.0995895318045e-06	0.616964330518043	0.691	0.689	0.144083802631604	PFC	STMN2
C4orf48	5.70376961209479e-06	0.367018403617026	0.814	0.776	0.161154306620126	PFC	C4orf48
PBX11	7.87382954094543e-06	0.486115142461372	0.397	0.261	0.222467179849872	PFC	PBX1
BEX51	1.49733054268192e-05	0.459403186904372	0.443	0.303	0.423055771529349	PFC	BEX5
ARRDC31	1.70671926180557e-05	0.47590130615646	0.433	0.301	0.482216460230546	PFC	ARRDC3
CCDC167	1.94468953465555e-05	0.484157646815186	0.5	0.374	0.549452581121579	PFC	CCDC167
MARCH61	2.08024778909315e-05	0.447682702293401	0.448	0.303	0.58775321033038	PFC	MARCH6
CD241	2.36175454697887e-05	0.475674176851768	0.51	0.406	0.667290129703411	PFC	CD24
BCL11A1	2.50220606530179e-05	0.527210243674144	0.309	0.188	0.706973301690367	PFC	BCL11A
HNRNPH11	3.59688443640835e-05	0.623033376109243	0.541	0.432	1	PFC	HNRNPH1
BASP1	4.1767435769877e-05	0.47269189277273	0.541	0.44	1	PFC	BASP1
AP2B11	5.79093132950237e-05	0.289290464569558	0.619	0.493	1	PFC	AP2B1
RPRM1	6.23428253281508e-05	0.541646827063522	0.345	0.232	1	PFC	RPRM
