	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
IGFBP2	1.70396613793677e-72	0.748277690454671	0.49	0.153	4.81438592612654e-68	parietal	IGFBP2
RPL34	6.57929679717194e-59	0.338634244961908	1	0.999	1.85891451707296e-54	parietal	RPL34
ID4	4.40829664227109e-50	0.600857049929195	0.775	0.525	1.24552013330727e-45	parietal	ID4
RPL39	1.48278296929854e-48	0.291009665751665	1	0.997	4.1894550014561e-44	parietal	RPL39
RPL37A	5.98694452920171e-47	0.298012960095523	0.999	0.982	1.69155130728065e-42	parietal	RPL37A
RPS2	1.35293303306776e-45	0.316293442496149	1	0.996	3.82257699162965e-41	parietal	RPS2
RNF187	1.77497286102886e-34	0.390265341619142	0.272	0.088	5.01500832155095e-30	parietal	RNF187
HTRA1	2.69204606163999e-30	0.384987613625227	0.299	0.117	7.60610694255763e-26	parietal	HTRA1
RPL37	6.22901919751177e-29	0.28537095814801	0.962	0.908	1.75994708406498e-24	parietal	RPL37
NR2F1	1.16704486305584e-27	0.352510339246873	0.507	0.279	3.29736855607796e-23	parietal	NR2F1
NPY	4.99790705471949e-15	0.409594260331129	0.389	0.234	1.41210865924045e-10	parietal	NPY
MZT2B	1.27605224694866e-14	0.263629975951498	0.615	0.48	3.60535801852876e-10	parietal	MZT2B
SFRP1	6.17025500931366e-14	0.256201453676653	0.661	0.524	1.74334385033148e-09	parietal	SFRP1
B2M	3.06285225093979e-10	0.297184323920694	0.816	0.736	8.65378274980528e-06	parietal	B2M
HES6	0.000341835418396769	0.315336703310355	0.38	0.335	1	parietal	HES6
S100A161	2.22469494192859e-149	0.959672519983205	0.513	0.12	6.28565308892505e-145	PFC	S100A16
XXbac-BPG252P9.9	5.35125119731045e-105	0.609253632140607	0.341	0.054	1.51194251328809e-100	PFC	XXbac-BPG252P9.9
S100A13	1.6111279062031e-102	0.75375226363644	0.406	0.096	4.55208078618625e-98	PFC	S100A13
LAMP5	1.93308220346922e-83	0.597260507727851	0.291	0.046	5.46173045768192e-79	PFC	LAMP5
RP11-386G11.10	7.5038254763259e-82	0.55804404789503	0.356	0.087	2.12013085008112e-77	PFC	RP11-386G11.10
CRYM	1.11080665505265e-65	0.657497798857136	0.339	0.1	3.13847312318576e-61	PFC	CRYM
