	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AC090498.1	2.39531015592266e-14	1.47721499317716	1	0.742	6.76770931454389e-10	motor	AC090498.1
POMP	3.39605838353412e-12	0.885961222479258	1	0.933	9.59522335683731e-08	motor	POMP
NAMPT	3.57236351307109e-12	1.2370198852976	0.889	0.565	1.0093355869831e-07	motor	NAMPT
FOS	4.70921688430483e-11	0.877367813249847	1	0.961	1.33054213849149e-06	motor	FOS
JUND	6.11429237362939e-11	1.14204875479736	0.963	0.781	1.72753216724525e-06	motor	JUND
RHOB	1.38679704101006e-10	1.006376242876	0.926	0.823	3.91825635966983e-06	motor	RHOB
KLF4	1.98682062155223e-09	0.966039823417899	0.963	0.731	5.61356298413368e-05	motor	KLF4
ITM2A	4.65573437437701e-09	0.969166627982287	1	0.675	0.000131543119013648	motor	ITM2A
CH507-42P11.8	2.66604005629927e-08	1.08740545197543	0.407	0.085	0.000753262957506795	motor	CH507-42P11.8
ZFP36L1	5.67784819313008e-08	0.93726710435284	0.926	0.767	0.00160421922848697	motor	ZFP36L1
SLC39A10	6.19951367897497e-08	0.888452650013408	0.889	0.65	0.00175161059485759	motor	SLC39A10
KLF2	6.22755971104862e-08	1.23499273948546	0.778	0.587	0.00175953472075968	motor	KLF2
CDH11	1.50833544483907e-07	0.80261539015855	0.852	0.675	0.0042616509658483	motor	CDH11
SLC38A2	1.59948239333455e-07	0.830039478026201	0.963	0.728	0.00451917755412745	motor	SLC38A2
TFRC	2.20566140062676e-07	1.04168538282522	0.852	0.608	0.00623187572133086	motor	TFRC
FN1	2.8997920514264e-07	0.695175665223229	0.963	0.933	0.00819307246210016	motor	FN1
RPL17	3.94510305122479e-07	0.823477152566676	0.889	0.71	0.0111464941609305	motor	RPL17
APOLD1	3.99558731582075e-07	1.15881465030911	0.815	0.615	0.0112891324021199	motor	APOLD1
MT-ND3	5.88917808102365e-07	0.698729330981361	0.963	0.94	0.0166392837501242	motor	MT-ND3
ETS1	9.8800636712018e-07	0.944634221359977	0.778	0.636	0.0279151318966136	motor	ETS1
SGK1	1.10801198137842e-06	1.10567183902806	0.778	0.519	0.0313057705218657	motor	SGK1
YBX3	1.31137051032133e-06	1.01472160082418	0.704	0.445	0.037051462398619	motor	YBX3
BHLHE40	1.52494088165372e-06	0.932267083456831	0.704	0.491	0.0430856796702443	motor	BHLHE40
MT-CO3	2.09777229088739e-06	0.379129685659571	0.963	1	0.0592704583067322	motor	MT-CO3
SLC7A11	2.1465634460003e-06	1.10561262206493	0.667	0.389	0.0606490036032925	motor	SLC7A11
SOCS3	2.15625605580141e-06	1.04633647333524	0.815	0.495	0.0609228586006129	motor	SOCS3
CLIC4	3.66699770267351e-06	0.927564114685998	0.741	0.608	0.103607353091337	motor	CLIC4
KITLG	4.60665653224723e-06	1.13532177792012	0.667	0.413	0.130156473662113	motor	KITLG
FLI1	4.76714588451448e-06	0.92959999075214	0.704	0.442	0.134690939821072	motor	FLI1
KDR	5.84950921824502e-06	0.908637713647593	0.704	0.484	0.165272033452295	motor	KDR
QKI	5.94793875190299e-06	1.01336313131491	0.815	0.668	0.168053061496267	motor	QKI
TCF4	6.86759983210145e-06	0.721848520997619	0.926	0.788	0.194037165656194	motor	TCF4
SELE	7.59153984724103e-06	0.622051860525381	0.333	0.078	0.214491366843948	motor	SELE
GJA1	9.04577059728787e-06	1.06190878385668	0.667	0.406	0.255579202455772	motor	GJA1
DUSP6	9.71264208669999e-06	0.863228330917592	0.815	0.583	0.274420989517622	motor	DUSP6
JMJD1C	1.23282029317837e-05	0.649537988468263	0.852	0.728	0.348321045634617	motor	JMJD1C
APCDD1	1.40707162371112e-05	0.722934997333532	0.778	0.509	0.397554016563339	motor	APCDD1
MYO1B	1.53716675246413e-05	0.716433203379785	0.852	0.784	0.434311094241214	motor	MYO1B
DDX3X	1.81001807662012e-05	0.758610545009852	0.815	0.664	0.511402507368248	motor	DDX3X
TMA7	1.83960756174283e-05	0.395790086147415	1	0.936	0.519762720494819	motor	TMA7
ADGRF5	2.20272341473878e-05	0.97815480170866	0.667	0.495	0.622357473600294	motor	ADGRF5
IL6ST	2.43644445524459e-05	0.89308389289449	0.704	0.516	0.688393016384807	motor	IL6ST
SNHG9	2.8274284001336e-05	1.16416818991266	0.667	0.449	0.798861620173748	motor	SNHG9
ARHGAP29	2.85152402152145e-05	0.514916420111531	0.889	0.852	0.805669597040672	motor	ARHGAP29
KLF10	3.34358844064568e-05	0.968492189941388	0.741	0.558	0.94469747802003	motor	KLF10
NPIPB11	3.72134877512908e-05	0.696696459360364	0.333	0.095	1	motor	NPIPB11
PTPRG	4.46837715509788e-05	0.983945105033248	0.704	0.519	1	motor	PTPRG
YES1	4.95253162060488e-05	0.822531627371003	0.704	0.558	1	motor	YES1
SLC7A1	5.23406609272884e-05	0.926048166251435	0.778	0.569	1	motor	SLC7A1
SMARCA2	5.41866535647882e-05	0.821228710873322	0.704	0.516	1	motor	SMARCA2
CD93	5.73463294573504e-05	1.00913454892586	0.704	0.498	1	motor	CD93
MARCKS	5.83429474175042e-05	0.47473720188709	0.926	0.908	1	motor	MARCKS
C1orf54	5.95607518165881e-05	0.582204982781395	0.889	0.693	1	motor	C1orf54
CCNL1	7.48001702446934e-05	0.617637961540958	0.889	0.689	1	motor	CCNL1
DNAJB6	8.56758093526579e-05	0.427276195325157	0.889	0.777	1	motor	DNAJB6
COL4A2	9.1531199393323e-05	0.58808159975195	0.963	0.876	1	motor	COL4A2
SDCBP	0.000108688756854328	0.492098305736707	0.926	0.813	1	motor	SDCBP
TMEM123	0.000108781653114527	0.683993265733523	0.741	0.615	1	motor	TMEM123
PPP2CB	0.000121025032331262	0.758883966141058	0.667	0.491	1	motor	PPP2CB
PLK2	0.000130803035813528	0.671805222721829	0.815	0.622	1	motor	PLK2
RP11-386I14.4	0.000140826630627263	0.812412278679241	0.333	0.102	1	motor	RP11-386I14.4
H3F3B	0.00014471967567745	0.286420078993095	1	0.993	1	motor	H3F3B
FAM124B	0.000146299258114118	1.01203592770611	0.593	0.392	1	motor	FAM124B
ABCG2	0.000152835229159248	0.736138586854	0.741	0.551	1	motor	ABCG2
MIDN	0.000157212259864319	0.676951188145195	0.741	0.576	1	motor	MIDN
RASGRP3	0.000175304572516286	0.687242662043147	0.704	0.516	1	motor	RASGRP3
ABCA1	0.000177285402285789	0.733652829746895	0.593	0.392	1	motor	ABCA1
KLHL2	0.000184635663262184	0.621858036826206	0.37	0.134	1	motor	KLHL2
