	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RGS5	1.0330679890507e-122	1.74278042589586	0.451	0.01	2.91883029626384e-118	motor	RGS5
FLI1	2.34640852861158e-120	1.14344977327302	0.373	0.004	6.62954265673915e-116	motor	FLI1
C1orf54	2.45633674750327e-115	1.73200300149108	0.471	0.009	6.94013384639575e-111	motor	C1orf54
CD93	2.22622393704887e-111	1.49567998053499	0.373	0.005	6.28997311173787e-107	motor	CD93
FOXF2	6.13444251077656e-109	1.09326491212598	0.333	0.004	1.73322538699481e-104	motor	FOXF2
ETS1	1.06479241040756e-108	1.50124094911131	0.412	0.008	3.00846447636553e-104	motor	ETS1
ADGRF5	6.76036869292116e-108	1.28252554716889	0.353	0.004	1.91007457049795e-103	motor	ADGRF5
EDNRA	1.86664207606285e-107	1.23382846441135	0.373	0.005	5.27401052170797e-103	motor	EDNRA
KDR	1.3348283262554e-104	1.34090963955719	0.392	0.004	3.771423953002e-100	motor	KDR
TGFBR2	3.24345900959566e-104	0.973243610860375	0.333	0.005	9.16406908571159e-100	motor	TGFBR2
FLT1	2.68327082256724e-103	1.38535268442795	0.353	0.005	7.58131338208147e-99	motor	FLT1
ARHGAP29	1.8131536893337e-101	1.94064744684124	0.471	0.011	5.12288443384343e-97	motor	ARHGAP29
GJA1	9.167570983111e-100	1.15452830172994	0.353	0.005	2.59020550556818e-95	motor	GJA1
COBLL1	2.19960042708663e-98	1.43032887810052	0.392	0.009	6.21475104669058e-94	motor	COBLL1
ABCG2	2.32698989006244e-98	1.57191845733498	0.392	0.009	6.57467723538242e-94	motor	ABCG2
COL4A2	5.03190280295779e-97	2.08092311451379	0.51	0.026	1.42171381794769e-92	motor	COL4A2
RASGRP3	8.25165306470076e-97	1.08916044605236	0.373	0.006	2.33142205690055e-92	motor	RASGRP3
MIR4435-2HG	1.21242231447597e-96	1.84279121928447	0.431	0.009	3.4255780073204e-92	motor	MIR4435-2HG
ADGRL4	1.78151729591422e-96	1.2168059009793	0.373	0.005	5.03349896787604e-92	motor	ADGRL4
COL4A1	2.04791339618475e-96	1.98928463093936	0.431	0.014	5.78617450958038e-92	motor	COL4A1
ID3	2.87042343857189e-94	1.5045385597093	0.471	0.016	8.11009438334101e-90	motor	ID3
EBF1	5.2912985438017e-93	1.20161738449391	0.353	0.005	1.49500349056573e-88	motor	EBF1
SLCO2B1	5.2912985438017e-93	1.0712209063956	0.353	0.007	1.49500349056573e-88	motor	SLCO2B1
APCDD1	5.60859553860627e-90	1.3397933315327	0.431	0.009	1.58465258347782e-85	motor	APCDD1
FAM124B	2.01142866242334e-88	1.07616011382019	0.314	0.003	5.68309054281089e-84	motor	FAM124B
MYCT1	2.46013343442149e-88	0.909925386315587	0.314	0.004	6.95086100561448e-84	motor	MYCT1
EPAS1	4.1424746404304e-88	1.13410512918334	0.373	0.007	1.17041478490721e-83	motor	EPAS1
ITGA1	1.35365131904647e-87	1.3451169337759	0.392	0.012	3.82460643683389e-83	motor	ITGA1
BHLHE40	5.19961926212179e-86	1.25815749447448	0.392	0.01	1.46910042631989e-81	motor	BHLHE40
ABCC9	9.34838601019782e-82	1.14079563290923	0.353	0.01	2.64129298332129e-77	motor	ABCC9
C2CD4B	2.13314916878926e-81	0.761061221318548	0.255	0.002	6.02699966149717e-77	motor	C2CD4B
LINC00152	2.63984076783157e-81	1.21386832741202	0.353	0.008	7.45860610543132e-77	motor	LINC00152
SOX17	1.57869355056537e-80	0.846778652472059	0.275	0.005	4.46044075776741e-76	motor	SOX17
NID1	9.93174160395576e-79	1.64149493530245	0.412	0.012	2.80611427278166e-74	motor	NID1
EMP1	2.52060832647016e-78	1.16883146074856	0.314	0.007	7.12172676560878e-74	motor	EMP1
KLF4	3.52121107970779e-78	2.08277975687734	0.51	0.028	9.9488297846064e-74	motor	KLF4
ECSCR.1	4.7440241086591e-77	0.85797309910603	0.294	0.007	1.34037657166054e-72	motor	ECSCR.1
SPINK8	5.09011020651951e-77	1.03570352656285	0.294	0.004	1.43815973775002e-72	motor	SPINK8
CALCRL	9.50469648884239e-76	0.97726927755852	0.314	0.005	2.68545694595753e-71	motor	CALCRL
FN1	1.11406116709379e-75	2.8666272529793	0.51	0.027	3.14766842150678e-71	motor	FN1
FOXC1	1.40252374632861e-75	0.969315524086367	0.314	0.004	3.96269059287685e-71	motor	FOXC1
COL3A1	6.45221744203786e-73	0.7824713483812	0.255	0.004	1.82300951607338e-68	motor	COL3A1
PPP1R14A	9.28262864590385e-73	0.897543126973956	0.314	0.006	2.62271389761367e-68	motor	PPP1R14A
KLF2	2.68625874670513e-71	1.87562013194505	0.412	0.015	7.58975546294067e-67	motor	KLF2
ITM2A	4.34147399553837e-71	3.40580582217171	0.608	0.042	1.22664006269941e-66	motor	ITM2A
LEF1	1.87738068369733e-70	1.17028525084615	0.333	0.007	5.30435138371843e-66	motor	LEF1
DLC1	1.66038826862782e-69	1.07943459575211	0.373	0.015	4.69126101418104e-65	motor	DLC1
SLC7A11	1.70674736190411e-67	1.19862705741178	0.353	0.015	4.82224399632386e-63	motor	SLC7A11
HIGD1B	6.28104481569492e-66	1.1018651205839	0.333	0.01	1.77464640222644e-61	motor	HIGD1B
MYO1B	6.03610882151399e-64	1.69280847747557	0.451	0.025	1.70544218643056e-59	motor	MYO1B
KIAA1462	8.01008211273082e-64	0.905728438531982	0.294	0.006	2.26316860013097e-59	motor	KIAA1462
SLC7A5	2.39671381174581e-63	1.60708752333957	0.49	0.023	6.77167520370662e-59	motor	SLC7A5
FOSL2	3.22065382940033e-63	0.805202415156581	0.255	0.006	9.09963532958769e-59	motor	FOSL2
ESAM	4.38720384520601e-63	1.25226447177598	0.353	0.011	1.23956057442451e-58	motor	ESAM
PECAM1	6.93725734568639e-62	0.746142117122368	0.275	0.006	1.96005269045023e-57	motor	PECAM1
IGFBP7	1.28565533890171e-61	2.1807987428502	0.529	0.035	3.6324905945329e-57	motor	IGFBP7
SIPA1	1.7353274200476e-60	0.568610551072288	0.255	0.006	4.90299409260248e-56	motor	SIPA1
ITIH5	1.8467666758492e-59	0.793322994018056	0.275	0.008	5.21785456594432e-55	motor	ITIH5
NR3C1	6.69365527285558e-59	1.01103252702388	0.314	0.013	1.89122536079261e-54	motor	NR3C1
DUSP6	1.92163963857084e-58	1.54387596095098	0.451	0.03	5.42940063481804e-54	motor	DUSP6
ETS2	5.90684042482571e-58	1.1220848346749	0.353	0.012	1.66891869363026e-53	motor	ETS2
MFSD2A	2.98836602422988e-57	1.43852079343191	0.373	0.019	8.44332936485909e-53	motor	MFSD2A
SLC39A8	5.30575121681583e-56	0.772782570249262	0.294	0.005	1.49908694879914e-51	motor	SLC39A8
SLC30A1	3.35653675929843e-53	1.25438327614568	0.333	0.017	9.48355895972179e-49	motor	SLC30A1
ENG	3.51829472607364e-53	0.702203794492358	0.255	0.008	9.94058991904845e-49	motor	ENG
MMP28	1.25889641457064e-52	0.816196680582252	0.294	0.015	3.55688592972789e-48	motor	MMP28
SLC2A1	4.46731475182315e-52	1.12378010166121	0.353	0.018	1.26219510998011e-47	motor	SLC2A1
SLC38A5	1.37516421336769e-50	1.32631275581115	0.412	0.024	3.88538896844906e-46	motor	SLC38A5
ABLIM3	2.87797782870567e-50	0.750326869496572	0.275	0.008	8.13143855722501e-46	motor	ABLIM3
SLC7A1	5.68065034771991e-50	1.76943078484975	0.412	0.025	1.60501094924478e-45	motor	SLC7A1
SOCS3	7.20811575426428e-50	1.56418189525688	0.431	0.029	2.03658102520983e-45	motor	SOCS3
FAM43A	2.17958975007163e-49	0.700443369321428	0.255	0.008	6.15821287985237e-45	motor	FAM43A
PRKCDBP	4.82734255873382e-49	1.1150110137073	0.333	0.013	1.36391736654465e-44	motor	PRKCDBP
A2M	8.35685490056077e-49	1.09782701577885	0.314	0.017	2.36114578360444e-44	motor	A2M
SRGN	9.78058100399827e-49	0.891991588833208	0.275	0.013	2.76340535686967e-44	motor	SRGN
LMO2	1.2424038670345e-48	0.694420282469458	0.275	0.012	3.51028788591927e-44	motor	LMO2
LPAR6	5.86113822851716e-48	1.28063433725695	0.314	0.019	1.65600599508524e-43	motor	LPAR6
SLC9A3R2	3.97704611926567e-46	0.74484355134788	0.255	0.012	1.12367461053732e-41	motor	SLC9A3R2
IL6ST	6.5883557093703e-46	1.13958943537519	0.392	0.031	1.86147402212549e-41	motor	IL6ST
PODXL	2.46217596606346e-45	1.02480726141254	0.333	0.019	6.95663197451569e-41	motor	PODXL
ANXA1	4.31939638248858e-45	1.11536640021335	0.392	0.031	1.22040225390832e-40	motor	ANXA1
NDUFA4L2	1.03064916292974e-42	1.36799329498113	0.392	0.031	2.91199614494168e-38	motor	NDUFA4L2
COL1A2	8.23612211122138e-42	0.978715111362058	0.294	0.015	2.32703394130449e-37	motor	COL1A2
RAPGEF5	2.23833799002409e-41	0.843893660559649	0.294	0.017	6.32420015701405e-37	motor	RAPGEF5
CLDN5	2.24867835407948e-41	2.82228186787322	0.51	0.063	6.35341582161617e-37	motor	CLDN5
PCDH18	6.32557984381867e-41	0.983386166999032	0.275	0.011	1.78722932907253e-36	motor	PCDH18
APOLD1	3.41445632560657e-40	1.83968564764023	0.431	0.042	9.64720490236881e-36	motor	APOLD1
SLC2A3	4.12186774201911e-40	1.69573831473101	0.431	0.039	1.16459251183008e-35	motor	SLC2A3
SEMA5A	4.9695713509535e-40	0.760164539141744	0.294	0.017	1.4041026894984e-35	motor	SEMA5A
NEAT1	5.45569452579974e-40	1.38972734572124	0.431	0.043	1.54145193131946e-35	motor	NEAT1
UTRN	7.32332573745305e-40	0.870313959277435	0.314	0.019	2.06913245385998e-35	motor	UTRN
GADD45B	8.52032484646953e-40	1.29918856669348	0.451	0.043	2.4073325821215e-35	motor	GADD45B
SGK1	1.08542395989532e-39	1.50314521017532	0.431	0.039	3.06675685628823e-35	motor	SGK1
NOTCH3	2.17432856771766e-39	1.00223253462025	0.314	0.019	6.14334793522947e-35	motor	NOTCH3
TFRC	3.21964344126441e-39	1.83806486855114	0.471	0.047	9.09678057894847e-35	motor	TFRC
LAMC1	4.55591296872969e-39	1.08101007433259	0.275	0.013	1.28722765018489e-34	motor	LAMC1
RGCC	4.73781229703901e-39	1.50283289706263	0.51	0.062	1.3386214864054e-34	motor	RGCC
VAMP5	2.21834797479755e-38	1.10375372136812	0.314	0.018	6.26772036799299e-34	motor	VAMP5
ZFP36	3.17850573906973e-38	1.49486253755755	0.412	0.04	8.9805501151676e-34	motor	ZFP36
ABLIM1	9.92693302439518e-38	1.20627728122729	0.471	0.054	2.80475565671261e-33	motor	ABLIM1
BGN	1.26836076492765e-37	0.746241452564122	0.275	0.014	3.58362650522658e-33	motor	BGN
PDGFRB	2.81762077591077e-36	0.955212558921555	0.294	0.021	7.96090574025828e-32	motor	PDGFRB
LAMA4	3.59603261991278e-36	0.847768676775222	0.255	0.012	1.01602305643016e-31	motor	LAMA4
SERPINH1	1.13301387717337e-35	1.09323588873565	0.373	0.034	3.20121740856564e-31	motor	SERPINH1
CTGF	2.29317143587241e-35	1.11458764201263	0.353	0.024	6.47912657491392e-31	motor	CTGF
AC090498.1	5.80911753190423e-35	1.7035250828613	1	0.415	1.64130806746422e-30	motor	AC090498.1
MIF-AS1	5.52388499344465e-34	0.757890240271048	0.255	0.015	1.56071846604785e-29	motor	MIF-AS1
YBX3	1.35029125609174e-33	1.17789121458791	0.373	0.028	3.81511291496159e-29	motor	YBX3
MYH9	3.9567970045845e-33	0.941928799837713	0.294	0.023	1.1179534256753e-28	motor	MYH9
ABCA1	1.92043771299491e-31	0.809016052616207	0.333	0.023	5.42600471429582e-27	motor	ABCA1
IFITM3	2.15124961314731e-31	1.44458476531561	0.451	0.06	6.07814065698641e-27	motor	IFITM3
HLA-E	3.23726619790002e-31	1.21195420031224	0.373	0.037	9.14657191554672e-27	motor	HLA-E
TFPI	1.1869096763756e-30	1.25648327466657	0.471	0.061	3.35349459963162e-26	motor	TFPI
PMEPA1	1.50137580104666e-30	0.712858398477274	0.314	0.028	4.24198718827723e-26	motor	PMEPA1
CAV1	1.51292215700409e-30	0.783195050217198	0.255	0.016	4.27461026239937e-26	motor	CAV1
C11orf96	1.55513770850467e-30	0.887759694686611	0.275	0.017	4.39388608160908e-26	motor	C11orf96
AGRN	2.89229600074897e-30	1.04035107645844	0.392	0.042	8.17189312051614e-26	motor	AGRN
NAMPT	1.06876133644108e-29	1.65199899683346	0.51	0.088	3.01967827998063e-25	motor	NAMPT
UQCRHL	1.49168923191532e-29	1.02557318708696	0.412	0.05	4.21461875585355e-25	motor	UQCRHL
SPARC	1.56624855497734e-29	1.70955476875786	0.451	0.066	4.42527866723297e-25	motor	SPARC
SLC6A1	2.47189625931209e-29	0.674220286983093	0.275	0.018	6.98409569106039e-25	motor	SLC6A1
MAST4	7.45160298260501e-29	0.929073354714735	0.353	0.035	2.10537590670522e-24	motor	MAST4
PTPRG	7.95317500556033e-29	1.26402696357181	0.431	0.051	2.24709006607102e-24	motor	PTPRG
GNG11	1.36306026222215e-28	1.06360181625228	0.392	0.047	3.85119046488247e-24	motor	GNG11
TJP1	1.84302753033075e-28	1.28960633287355	0.431	0.055	5.20728998419651e-24	motor	TJP1
CD9	1.91708389447719e-28	0.877920737101281	0.471	0.061	5.41652883545584e-24	motor	CD9
ZFP36L1	3.58954757467863e-28	1.86306758465771	0.569	0.109	1.0141907717497e-23	motor	ZFP36L1
SPARCL1	1.41430102479513e-27	0.875929780409513	0.333	0.032	3.99596611545616e-23	motor	SPARCL1
ITGA6	5.47578094861231e-27	0.822253881888809	0.314	0.03	1.54712714922092e-22	motor	ITGA6
GADD45A	4.07196612566866e-26	1.07075351807486	0.392	0.038	1.15049330914642e-21	motor	GADD45A
CDH6	7.88762232129889e-26	0.918826387941035	0.275	0.023	2.22856881065979e-21	motor	CDH6
YES1	1.15408169198356e-25	1.18451260515426	0.412	0.051	3.26074241253036e-21	motor	YES1
EGFL7	1.21698486981436e-25	0.846196649180632	0.294	0.025	3.43846905117348e-21	motor	EGFL7
MAP4K2	1.71818071118752e-25	0.59270975466492	0.255	0.016	4.85454778138921e-21	motor	MAP4K2
SLC40A1	2.59618181407925e-25	0.918747541137777	0.255	0.018	7.33525209749953e-21	motor	SLC40A1
FCGRT	2.7498737126767e-25	0.808286850700987	0.275	0.026	7.76949318779675e-21	motor	FCGRT
