	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
NKX2-1	3.78258435733364e-168	0.889747810055292	0.406	0.004	1.03151075424488e-163	motor	NKX2-1
LYPD1	5.38571045660906e-141	1.23484344528853	0.707	0.158	1.46868324151729e-136	motor	LYPD1
NNAT	2.69373029364426e-136	1.23211241849565	0.998	0.878	7.34580251076789e-132	motor	NNAT
LMO1	2.76084692864918e-130	0.828041482032352	0.381	0.017	7.52882957442631e-126	motor	LMO1
RP3-395M20.12	1.11035461360504e-94	0.758318699982967	0.289	0.013	3.02793703130093e-90	motor	RP3-395M20.12
EEF1A1	1.57412460040508e-84	0.446306679202445	1	1	4.29263778530466e-80	motor	EEF1A1
RIC3	2.62110666129691e-82	0.905983319195517	0.413	0.072	7.14775786535668e-78	motor	RIC3
SEPP1	3.5402676818253e-82	0.879211268826971	0.841	0.487	9.65430996833759e-78	motor	SEPP1
RPL3	5.57278321380714e-82	0.488167094294483	0.998	0.996	1.51969798240521e-77	motor	RPL3
RPL7	2.24549163676581e-80	0.474581042073078	0.998	0.999	6.12345569346036e-76	motor	RPL7
HNRNPA1	2.61176637015746e-79	0.630004962802681	0.998	0.942	7.1222868914194e-75	motor	HNRNPA1
RPS3A	3.22297028305022e-79	0.440679769575729	1	1	8.78903996187794e-75	motor	RPS3A
MGST1	3.23911302133782e-76	0.65893545323983	0.35	0.047	8.83306120918822e-72	motor	MGST1
RPL5	1.02062580216588e-73	0.521144193347182	0.998	0.985	2.78324656250635e-69	motor	RPL5
JUNB	2.26277939129397e-69	0.885501062435108	0.787	0.359	6.17059940005867e-65	motor	JUNB
EEF2	3.00675078437714e-68	0.572366674391387	0.99	0.908	8.19940938899646e-64	motor	EEF2
RPS3	3.61691133545882e-66	0.488278710126861	1	0.99	9.8633172117962e-62	motor	RPS3
RPL15	3.92925333425544e-66	0.360519953718339	1	0.998	1.07150738425146e-61	motor	RPL15
RPL13A	1.60106703447969e-62	0.366377668502199	1	0.999	4.36610980302612e-58	motor	RPL13A
FAM181A	4.20419201165272e-61	0.595167840092608	0.347	0.064	1.1464831615777e-56	motor	FAM181A
RPL10	2.40903437608458e-57	0.334304489265877	1	1	6.56943674358264e-53	motor	RPL10
RPLP0	2.73805553967061e-57	0.499458453076703	0.993	0.959	7.46667745668176e-53	motor	RPLP0
RPS27A	8.40816285171941e-57	0.371358463104128	1	0.998	2.29290600966388e-52	motor	RPS27A
PABPC1	9.31516610309528e-55	0.662369660229856	0.897	0.668	2.54024579631408e-50	motor	PABPC1
SOX2	5.20469056358589e-54	0.565063397812975	0.98	0.908	1.41931911668987e-49	motor	SOX2
LIX1	9.12165551295044e-54	0.653845236430419	0.381	0.093	2.48747545838159e-49	motor	LIX1
GNB2L1	3.12417854976969e-52	0.436466692371645	0.998	0.975	8.51963490522196e-48	motor	GNB2L1
SLC25A5	3.73421771913233e-51	0.660415059363302	0.885	0.661	1.01832117200739e-46	motor	SLC25A5
RARRES2	1.28933764600606e-50	0.734909177711184	0.567	0.24	3.51602376065852e-46	motor	RARRES2
