	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
FBXO45	4.40832856521711e-05	0.752233064935437	0.667	0	1	motor	FBXO45
CLTA	0.000147813571894068	0.698992151750444	1	0.217	1	motor	CLTA
STAM	0.000273920679229472	0.429316740793647	0.667	0.043	1	motor	STAM
FAM222B	0.00037508461360606	0.467955435685524	0.667	0.043	1	motor	FAM222B
AP2B1	0.000418490936552913	0.842011543617684	1	0.87	1	motor	AP2B1
PPP1R8	0.000510377261414671	0.5577806944453	0.667	0.043	1	motor	PPP1R8
ATR	0.000536059774316195	0.688108212272945	0.5	0	1	motor	ATR
ST6GALNAC5	0.000536059774316195	0.599113540023087	0.5	0	1	motor	ST6GALNAC5
ELL2	0.000536059774316195	0.445483848404881	0.5	0	1	motor	ELL2
ENDOG	0.000536059774316195	0.436914083713359	0.5	0	1	motor	ENDOG
ZXDB	0.000536059774316195	0.404262847073508	0.5	0	1	motor	ZXDB
MMP14	0.000536059774316195	0.39356393271096	0.5	0	1	motor	MMP14
TRMT13	0.000536059774316195	0.349282260471542	0.5	0	1	motor	TRMT13
KIN	0.000536059774316195	0.324765814504132	0.5	0	1	motor	KIN
IQCB1	0.000536059774316195	0.275236888346716	0.5	0	1	motor	IQCB1
ZYG11B	0.000567012373365142	0.427676056885115	1	0.13	1	motor	ZYG11B
PRC1	0.000690107194761445	0.574541595500975	0.667	0.043	1	motor	PRC1
PSD	0.000690107194761445	0.416436654006108	0.667	0.043	1	motor	PSD
UBR1	0.000690107194761445	0.395066156870936	0.667	0.043	1	motor	UBR1
FAM215B	0.000717873456922547	0.635239930978323	0.833	0.13	1	motor	FAM215B
MAML3	0.000771574734785707	0.575958814000329	1	0.217	1	motor	MAML3
NISCH	0.00091865052820618	0.741706313982381	0.833	0.13	1	motor	NISCH
PIKFYVE	0.000927279711429012	0.311457851502355	0.667	0.043	1	motor	PIKFYVE
CTTNBP2NL	0.00119785557654374	0.587854375726565	1	0.217	1	motor	CTTNBP2NL
SMARCE1	0.00123304796271588	0.654459700235162	0.667	0.087	1	motor	SMARCE1
KBTBD2	0.00123304796271588	0.434454259567778	0.667	0.087	1	motor	KBTBD2
AFTPH	0.00129481201551009	0.702469351106158	0.833	0.174	1	motor	AFTPH
NMT1	0.00148473523444346	0.536173056963257	0.833	0.13	1	motor	NMT1
SEZ6L2	0.00156046099995307	0.829529077744994	1	0.739	1	motor	SEZ6L2
MIB1	0.00160444898759543	0.61449804577718	0.667	0.087	1	motor	MIB1
DUSP8	0.00160444898759543	0.513780256446362	0.667	0.087	1	motor	DUSP8
CCSER1	0.0016245001909347	0.683825774825998	0.833	0.174	1	motor	CCSER1
PTP4A2	0.00187522252260419	0.41617443211396	0.833	0.13	1	motor	PTP4A2
MPC1	0.00189881149563204	0.726593858092768	1	0.565	1	motor	MPC1
PRKACA	0.00207647671851066	0.422606714251156	0.667	0.087	1	motor	PRKACA
BICD1	0.00225599734629824	0.579719263513801	1	0.217	1	motor	BICD1
RNF5	0.00255236874041513	0.705074854802443	1	0.522	1	motor	RNF5
POLE3	0.00256577554407274	0.382680723739076	0.833	0.217	1	motor	POLE3
LINC00869	0.00286946617173581	0.602824637762404	1	0.261	1	motor	LINC00869
NTN4	0.00352473291348067	0.652372828338332	0.5	0.043	1	motor	NTN4
HMGB2	0.00352473291348067	0.610420241974463	0.5	0.043	1	motor	HMGB2
TIMM23B	0.00352473291348067	0.541769783833939	0.5	0.043	1	motor	TIMM23B
CSPG5	0.00352473291348067	0.524916729741961	0.5	0.043	1	motor	CSPG5
NTM	0.00352473291348067	0.465937288228176	0.5	0.043	1	motor	NTM
CPNE7	0.00352473291348067	0.430850054813843	0.5	0.043	1	motor	CPNE7
CENPU	0.00352473291348067	0.394335597381452	0.5	0.043	1	motor	CENPU
UPF3A	0.00402995921113849	0.895085529690441	1	0.478	1	motor	UPF3A
GRHPR	0.00410105199699726	0.546975147895236	1	0.348	1	motor	GRHPR
UBTF	0.00422405357527314	0.504966889553368	1	0.261	1	motor	UBTF
COMMD8	0.0043583199634767	0.608598268910113	0.667	0.087	1	motor	COMMD8
