	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	1.15200315814095e-64	0.616462871065891	0.998	0.997	3.19957357142068e-60	motor	RPS29
MALAT1	1.46660036189622e-62	0.283806416672308	1	1	4.07333584513057e-58	motor	MALAT1
MT-ND3	1.0205237483124e-42	0.404467425987254	0.995	0.974	2.83440265856286e-38	motor	MT-ND3
PTPRZ1	1.67512090109542e-40	0.644768811912049	0.848	0.64	4.65248079070241e-36	motor	PTPRZ1
ATP5I	3.72826420998937e-40	0.619407981073415	0.848	0.724	1.03548810168245e-35	motor	ATP5I
HES1	2.57637086852261e-37	1.20603455125375	0.474	0.239	7.15561245023471e-33	motor	HES1
ATP5E	1.72187819021751e-32	0.392343638597643	0.963	0.934	4.78234448551012e-28	motor	ATP5E
MT-ND4L	5.50291752271233e-32	0.34223393346832	0.978	0.953	1.52838031275812e-27	motor	MT-ND4L
PTN	8.1869499027897e-32	0.551530564107934	0.814	0.577	2.27384346600081e-27	motor	PTN
RPS27	2.05235273599281e-30	0.345535145429341	1	1	5.70020448894643e-26	motor	RPS27
RPS28	1.9331464915401e-27	0.332371743832993	0.998	0.994	5.36912106560349e-23	motor	RPS28
FABP7	7.705469805828e-27	0.358302339824056	0.926	0.801	2.14011718387067e-22	motor	FABP7
RPL41	4.3504932250869e-26	0.476079596127139	0.997	0.994	1.20830598833564e-21	motor	RPL41
AC090498.1	4.17177708795808e-25	0.546700451068715	0.819	0.747	1.15866936840948e-20	motor	AC090498.1
EMX2	2.92634875660943e-23	0.478989094481833	0.31	0.139	8.12764103660703e-19	motor	EMX2
RPS21	7.52290027448504e-23	0.632429827178689	0.79	0.718	2.08941032223547e-18	motor	RPS21
RPL36	8.9643997767173e-23	0.291311769897005	0.998	0.995	2.48977239398546e-18	motor	RPL36
USMG5	2.79088959450033e-22	0.457077345229763	0.684	0.526	7.75141675976522e-18	motor	USMG5
UQCR11	2.3759337259706e-20	0.428112215508573	0.689	0.563	6.59891833051073e-16	motor	UQCR11
RPL38	2.87434045354564e-20	0.323899057194977	0.986	0.987	7.98319317567766e-16	motor	RPL38
PEG10	1.91847084950525e-18	0.517860392177018	0.536	0.396	5.32836093741588e-14	motor	PEG10
AP2B1	7.29889903721948e-18	0.498911085413476	0.384	0.239	2.02719621859734e-13	motor	AP2B1
UBL5	9.35060521621771e-18	0.319686663691307	0.827	0.775	2.59703709275231e-13	motor	UBL5
RPL36A	3.27181213724036e-17	0.454477072153037	0.609	0.485	9.08713102997138e-13	motor	RPL36A
COX7A2	1.0246715776712e-16	0.290376974311574	0.853	0.795	2.845922839824e-12	motor	COX7A2
TCEB2	1.0420898809178e-16	0.319746033411526	0.848	0.766	2.89430043526111e-12	motor	TCEB2
DBI	1.96828962428973e-16	0.475905470361782	0.794	0.736	5.4667276025023e-12	motor	DBI
C1orf61	4.37088265581977e-16	0.368430661464723	0.883	0.797	1.21396894882738e-11	motor	C1orf61
YWHAE	5.00165718411291e-16	0.259279416924915	0.951	0.919	1.38916026631552e-11	motor	YWHAE
POLR2L	5.21261200800481e-16	0.437819897049595	0.616	0.5	1.44775085910326e-11	motor	POLR2L
NUSAP1	8.95994101601926e-16	0.362432856631744	0.848	0.794	2.48853401778919e-11	motor	NUSAP1
PBK	1.04873174534378e-14	0.381053631482446	0.646	0.488	2.91274754951782e-10	motor	PBK
FOS	1.93597432409676e-14	0.347753280738162	0.865	0.784	5.37697508774635e-10	motor	FOS
NDUFA3	2.15480633728113e-14	0.403491168942232	0.599	0.494	5.9847591211646e-10	motor	NDUFA3
SLIRP	3.81441707834969e-14	0.38184583438518	0.599	0.513	1.05941619934084e-09	motor	SLIRP
PET100	3.83953301632779e-14	0.402288799956567	0.47	0.34	1.06639189995488e-09	motor	PET100
SLC1A3	1.84552359195479e-13	0.407658328273325	0.425	0.287	5.12575722429523e-09	motor	SLC1A3
NDUFB1	2.9799700370958e-13	0.490300814970996	0.641	0.583	8.27656878102987e-09	motor	NDUFB1
TMEM258	3.69197315875685e-13	0.316080814091329	0.694	0.609	1.02540862511313e-08	motor	TMEM258
UQCR10	1.03895864942007e-12	0.304403482087606	0.765	0.685	2.8856037528993e-08	motor	UQCR10
LGALS1	1.80176613885024e-12	0.465962411348571	0.624	0.51	5.00422527404265e-08	motor	LGALS1
MT2A	4.12590183688988e-12	0.441834981102263	0.514	0.395	1.14592797617779e-07	motor	MT2A
ROMO1	4.96283200389648e-12	0.351767997276825	0.496	0.403	1.37837696076221e-07	motor	ROMO1
UQCRQ	1.05819815095507e-11	0.275586462867133	0.788	0.757	2.93903954446262e-07	motor	UQCRQ
DYNC1I2	3.04005611844168e-11	0.333147166506257	0.591	0.462	8.44345186335992e-07	motor	DYNC1I2
ATP5J2	8.05184741644206e-11	0.310757133146994	0.756	0.714	2.23632010144262e-06	motor	ATP5J2
CSRP2	8.09750925932202e-11	0.385226831812924	0.657	0.546	2.2490022216841e-06	motor	CSRP2
NDUFC2	1.67123781050998e-10	0.282297993884917	0.619	0.503	4.64169589491043e-06	motor	NDUFC2
EIF5B	1.74628993947267e-10	0.342044405953136	0.536	0.433	4.85014567789139e-06	motor	EIF5B
