	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	9.33734394753346e-32	0.605187951888114	0.995	0.997	2.59335390798794e-27	motor	RPS29
RPS21	1.34628278592111e-15	0.718007483255563	0.801	0.688	3.73916580961728e-11	motor	RPS21
RPS27	3.14626842321263e-15	0.340090376050304	1	1	8.73844591863075e-11	motor	RPS27
AP2B1	4.44965762105059e-14	0.641925066547053	0.441	0.229	1.23584790767059e-09	motor	AP2B1
USMG5	2.05369827969909e-12	0.489383282554376	0.711	0.505	5.70394160203625e-08	motor	USMG5
SOX4	7.49247337035983e-12	0.275433424641259	0.986	0.993	2.08095955388374e-07	motor	SOX4
NDUFB1	3.54381650833589e-11	0.555684539067277	0.607	0.421	9.8425959702521e-07	motor	NDUFB1
RPS28	1.93465187168296e-10	0.29739494939431	0.991	0.988	5.37330210841225e-06	motor	RPS28
ATP5I	4.08090981463546e-09	0.481154849053777	0.749	0.63	0.000113343189191685	motor	ATP5I
UQCR11	4.60519726645279e-09	0.438185857611165	0.673	0.5	0.00012790474887846	motor	UQCR11
RPL36	9.20835571102735e-09	0.269628657469324	0.991	0.99	0.000255752871518074	motor	RPL36
RPL38	1.39152390507678e-08	0.295758934707257	1	0.99	0.000386481849396024	motor	RPL38
RPL39	4.37146518664203e-08	0.254838692456754	1	0.999	0.00121413074093796	motor	RPL39
DYNC1I2	1.29799722530775e-07	0.481550591596545	0.602	0.465	0.00360505749356974	motor	DYNC1I2
GPM6A	1.5806475089313e-07	0.319748261207161	0.91	0.872	0.00439009039130579	motor	GPM6A
RPL41	1.62042311099883e-07	0.336281715260889	0.972	0.993	0.00450056314848815	motor	RPL41
AC090498.1	1.74409761770419e-07	0.387238024921015	0.749	0.659	0.00484405672341162	motor	AC090498.1
RPL36A	4.13602656459873e-07	0.49325022185155	0.578	0.46	0.0114874001805165	motor	RPL36A
DPYSL2	4.72841283660766e-07	0.364350995819227	0.583	0.423	0.0131326938123941	motor	DPYSL2
ATP5E	6.41395571461996e-07	0.266399997953636	0.953	0.892	0.0178141206017855	motor	ATP5E
YWHAE	8.22311743852362e-07	0.292374658075016	0.886	0.838	0.0228388863737555	motor	YWHAE
COX7A2	8.25530675734719e-07	0.284055479280242	0.91	0.856	0.0229282889878561	motor	COX7A2
TMA7	2.15967054334037e-06	0.284442066133888	0.82	0.78	0.0599826896707353	motor	TMA7
PSMC3	5.15282643477631e-06	0.36607681508126	0.403	0.252	0.143114601399477	motor	PSMC3
NDUFA3	6.17651524505407e-06	0.379288989204493	0.536	0.419	0.171546534416132	motor	NDUFA3
SYT4	7.48455424264197e-06	0.38492091171526	0.36	0.231	0.207876009535138	motor	SYT4
UBL5	1.12681865469311e-05	0.282449469749547	0.763	0.654	0.312962613154464	motor	UBL5
COX6C	1.15689742937507e-05	0.28497326584825	0.777	0.696	0.321316692034631	motor	COX6C
PEG10	1.17173907400463e-05	0.392487317412968	0.398	0.273	0.325438810414046	motor	PEG10
LRRTM2	2.13585079490685e-05	0.330588108672521	0.294	0.175	0.593211199777427	motor	LRRTM2
ATP5J2	2.22884986182212e-05	0.349644214668934	0.692	0.62	0.619040760622476	motor	ATP5J2
UQCR10	3.35731344151951e-05	0.25878278572983	0.668	0.563	0.932460235247628	motor	UQCR10
BEX2	3.94140298466121e-05	0.339573732950571	0.502	0.381	1	motor	BEX2
LLNLR-245B6.1	5.08081010283116e-05	0.383510730811093	0.28	0.176	1	motor	LLNLR-245B6.1
YBX1	5.18204341446577e-05	0.274867756257085	0.512	0.398	1	motor	YBX1
PALMD	7.15801664244094e-05	0.358252013363392	0.46	0.355	1	motor	PALMD
PFDN1	9.22125287343765e-05	0.281213861949482	0.374	0.256	1	motor	PFDN1
ATOX1	9.37550209210605e-05	0.312842717475093	0.46	0.339	1	motor	ATOX1
BEX1	0.000110880463984981	0.257811391537435	0.768	0.733	1	motor	BEX1
CMSS1	0.000113668939456242	0.365136067612378	0.251	0.155	1	motor	CMSS1
SLIRP	0.000243374424403389	0.323243302380209	0.479	0.379	1	motor	SLIRP
GAP43	0.000421332491655041	0.313519262508025	0.63	0.544	1	motor	GAP43
PTPRZ1	0.00109264307153575	0.378992263579248	0.626	0.571	1	motor	PTPRZ1
SLC39A10	0.00109625494774136	0.268375897411837	0.318	0.223	1	motor	SLC39A10
MEG3	0.00130260455011462	0.28809259137759	0.488	0.385	1	motor	MEG3
CFDP1	0.0013786064823484	0.29367344110189	0.412	0.308	1	motor	CFDP1
UPF2	0.00142443253875787	0.254214986779834	0.303	0.212	1	motor	UPF2
UQCRQ	0.00158289399467209	0.274608834309911	0.63	0.571	1	motor	UQCRQ
HNRNPM	0.00194152297929443	0.280788026722387	0.284	0.195	1	motor	HNRNPM
EIF5B	0.00245062443250247	0.270214597460664	0.417	0.32	1	motor	EIF5B
CWF19L2	0.00378650217722942	0.25454212299253	0.303	0.223	1	motor	CWF19L2
PWP1	0.0047424781745921	0.257707164908209	0.251	0.171	1	motor	PWP1
COX20	0.00585983166010779	0.258590592355222	0.332	0.257	1	motor	COX20
SHOC2	0.00624933898528973	0.30302492400567	0.299	0.229	1	motor	SHOC2
MT-ND4L	3.08895579023133e-15	0.283521424933252	0.983	0.97	8.57926581178851e-11	parietal	MT-ND4L
RPL171	1.69744790304257e-13	0.374658521936809	0.828	0.708	4.71449180591042e-09	parietal	RPL17
MT-ATP8	2.04514242904346e-12	0.444971799310377	0.316	0.149	5.6801785824253e-08	parietal	MT-ATP8
PPP1CB	6.24810812462554e-06	0.352035072163871	0.368	0.254	0.17353495505335	parietal	PPP1CB
SFPQ	5.59257029156365e-05	0.323379147060497	0.454	0.351	1	parietal	SFPQ
LRRC7	0.000268352152317307	0.271518133560269	0.326	0.227	1	parietal	LRRC7
BCL11A	0.000297423473433081	0.284149266185121	0.409	0.31	1	parietal	BCL11A
BTG1	0.000726352237201542	0.319015437494332	0.316	0.24	1	parietal	BTG1
HNRNPH1	0.00310040056573583	0.298999583147013	0.54	0.45	1	parietal	HNRNPH1
MT-ND21	2.70015894186252e-44	0.435583938848769	0.99	0.953	7.49942144512897e-40	PFC	MT-ND2
RPL132	2.47933036077674e-36	0.43699644184162	0.928	0.58	6.88609214402132e-32	PFC	RPL13
MT-ND11	3.66742860680087e-32	0.354204870732281	0.99	0.953	1.01859162125287e-27	PFC	MT-ND1
MIF2	4.66330661705527e-28	0.550857843978132	0.59	0.285	1.29518677982093e-23	PFC	MIF
MT-CYB1	1.39278887957723e-24	0.306575223815696	0.988	0.969	3.86833183413781e-20	PFC	MT-CYB
CALM12	7.13060873293246e-23	0.482557287518854	0.788	0.579	1.98045526948466e-18	PFC	CALM1
