	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT-ND4L	1.77588742983878e-21	0.360662208847228	0.979	0.939	4.93234974763423e-17	motor	MT-ND4L
RPS29	3.29135611336063e-20	0.405504539436713	0.997	0.997	9.1414124692478e-16	motor	RPS29
MT-ND3	1.40320030141905e-14	0.313279222327081	0.988	0.966	3.89724851716128e-10	motor	MT-ND3
C14orf2	3.37852955214543e-14	0.345586946830907	0.808	0.729	9.38352797812871e-10	motor	C14orf2
TMA7	1.89943730477364e-12	0.278209090706104	0.913	0.839	5.27549717027831e-08	motor	TMA7
AP2B1	2.44954607453521e-12	0.470250603809646	0.392	0.239	6.8033692674141e-08	motor	AP2B1
UQCRQ	1.94471548082867e-11	0.338514605178793	0.704	0.594	5.40125277645356e-07	motor	UQCRQ
UBL5	3.33101686577972e-11	0.337859473889092	0.76	0.666	9.25156624301658e-07	motor	UBL5
ATP5I	2.00090702991359e-10	0.402857225712203	0.725	0.632	5.55731918488201e-06	motor	ATP5I
CALM2	3.65822684384301e-09	0.280824523542753	0.985	0.974	0.000101603592360896	motor	CALM2
AC090498.1	5.67809803942872e-09	0.355382014253637	0.662	0.588	0.000157703494947093	motor	AC090498.1
MORF4L1	1.08644613934302e-08	0.316663319061283	0.859	0.813	0.00030174955074113	motor	MORF4L1
TCEB2	1.93018658094133e-08	0.313220334237793	0.74	0.657	0.000536090020990645	motor	TCEB2
SEC61G	3.04232412190926e-08	0.311204961692537	0.725	0.646	0.000844975101619079	motor	SEC61G
ATPIF1	4.03521189341327e-08	0.332177228325322	0.506	0.394	0.0011207397512766	motor	ATPIF1
COX7A2	4.55878645888271e-08	0.263155688879724	0.874	0.846	0.00126615735109008	motor	COX7A2
GPM6A	9.08175829891356e-08	0.274455265622195	0.808	0.755	0.00252236754994025	motor	GPM6A
NDUFA4	1.471722499127e-07	0.272306993745616	0.868	0.875	0.00408756206907532	motor	NDUFA4
SLIRP	3.52444219980992e-07	0.342075644533249	0.509	0.395	0.00978878576575206	motor	SLIRP
COX6C	3.73033465821741e-07	0.288036874346565	0.799	0.771	0.010360631479733	motor	COX6C
ATP5J2	7.40749031843683e-07	0.25275058475725	0.689	0.624	0.0205735636104265	motor	ATP5J2
BEX5	8.13225449540623e-07	0.369105129817324	0.296	0.198	0.0225865236355413	motor	BEX5
NTM	2.13801517774378e-06	0.354963225365159	0.338	0.221	0.0593812335466557	motor	NTM
UQCR11	3.0938484114802e-06	0.298557273187622	0.581	0.491	0.0859285457804509	motor	UQCR11
NDUFB1	3.92138889167098e-06	0.289528910863382	0.509	0.425	0.10891265507727	motor	NDUFB1
TXN	5.73257495240579e-06	0.262292293261133	0.689	0.61	0.159216536728118	motor	TXN
