	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ATP5I	1.07302067928009e-08	0.523876774976633	0.854	0.701	0.000298020763463252	motor	ATP5I
NDUFB1	7.08361730100774e-07	0.479776274089599	0.719	0.498	0.0196740386918189	motor	NDUFB1
RPS29	9.80737833279616e-07	0.496189773935095	1	0.998	0.0272390125815081	motor	RPS29
DYNC1I2	3.78147531705559e-06	0.528139026698502	0.542	0.311	0.105026695455902	motor	DYNC1I2
VPS29	5.70820708787677e-06	0.391283667719025	0.604	0.356	0.15853974365869	motor	VPS29
AC090498.1	9.71809720313919e-06	0.466891609919043	0.833	0.762	0.269910431719988	motor	AC090498.1
MEIS2	2.37723090222826e-05	0.491976829255262	0.49	0.29	0.660252110784878	motor	MEIS2
USMG5	3.21875061438415e-05	0.442385575395705	0.677	0.507	0.893975795639053	motor	USMG5
AP2B1	5.04738440939938e-05	0.458415105629384	0.406	0.229	1	motor	AP2B1
SLIRP	8.20410161116721e-05	0.429463999716793	0.552	0.377	1	motor	SLIRP
NDUFA3	9.89515070961193e-05	0.397530963741341	0.656	0.493	1	motor	NDUFA3
COX17	0.000179138045955053	0.288447957540439	0.542	0.349	1	motor	COX17
RPS21	0.00018030115040583	0.611013857440348	0.729	0.663	1	motor	RPS21
RPL41	0.000190445081857602	0.339024865392278	1	1	1	motor	RPL41
COX7C	0.00025175804295793	0.328153829194228	0.958	0.885	1	motor	COX7C
UBL5	0.000290611946763203	0.310818471065025	0.833	0.724	1	motor	UBL5
YWHAE	0.000429503788191668	0.372833754012933	0.854	0.783	1	motor	YWHAE
CALM2	0.00044785379215962	0.251900556494882	0.99	0.941	1	motor	CALM2
EIF2S2	0.000526465029120235	0.307486285920636	0.427	0.255	1	motor	EIF2S2
NDUFB4	0.0006053867446055	0.311685873425294	0.646	0.479	1	motor	NDUFB4
MORF4L1	0.000635070940289621	0.31572142120158	0.865	0.776	1	motor	MORF4L1
ATP5G3	0.000662149346576494	0.306491472033503	0.667	0.538	1	motor	ATP5G3
C1orf61	0.000737048259920516	0.40113115416555	0.74	0.594	1	motor	C1orf61
CLU	0.000905255100968465	0.762279719284332	0.375	0.233	1	motor	CLU
SRP14	0.00100681029035295	0.260364283451209	0.969	0.929	1	motor	SRP14
DPYSL2	0.00147875778119461	0.298403677808431	0.5	0.321	1	motor	DPYSL2
MAP2	0.00154942279462051	0.275018207466343	0.5	0.312	1	motor	MAP2
NDUFA6	0.00156014486681071	0.323276090653003	0.5	0.337	1	motor	NDUFA6
CCNI	0.00168681939809649	0.290143811532776	0.573	0.411	1	motor	CCNI
COX6A1	0.00187796153675803	0.27157053372443	0.792	0.696	1	motor	COX6A1
PSMC3	0.00190758148310477	0.395095141849443	0.375	0.25	1	motor	PSMC3
PTPRZ1	0.00193998836264797	0.314523172645866	0.49	0.318	1	motor	PTPRZ1
CTNNB1	0.0022786486155287	0.368393921958031	0.26	0.141	1	motor	CTNNB1
HMP19	0.00230230845704492	0.302369638310934	0.302	0.168	1	motor	HMP19
AZIN1	0.00236963490093387	0.258739777262776	0.271	0.146	1	motor	AZIN1
TCEB1	0.00320387628679688	0.254162011922376	0.583	0.405	1	motor	TCEB1
LMAN2	0.00322742842983356	0.309142931440458	0.292	0.163	1	motor	LMAN2
MYEOV2	0.00332057990004977	0.36258711420291	0.625	0.516	1	motor	MYEOV2
TAX1BP1	0.00337159840719462	0.263628879496759	0.417	0.267	1	motor	TAX1BP1
CSRP2	0.00396022814226371	0.559104958811541	0.49	0.363	1	motor	CSRP2
CWF19L2	0.00408828007078593	0.344587124375413	0.312	0.193	1	motor	CWF19L2
TCF25	0.00409509249212924	0.276181246700543	0.5	0.351	1	motor	TCF25
MEF2C	0.00442605904306436	0.396108235102664	0.771	0.691	1	motor	MEF2C
POLR2L	0.00457175030282536	0.303937846336118	0.562	0.472	1	motor	POLR2L
RPL38	0.00476479993940486	0.250701381575788	1	0.984	1	motor	RPL38
PRPF4B	0.00490483770920228	0.342598727290062	0.406	0.295	1	motor	PRPF4B
PET100	0.00551879373324685	0.350621734473462	0.448	0.335	1	motor	PET100
DDX1	0.00582028995058512	0.304180424252451	0.333	0.214	1	motor	DDX1
SF3B5	0.00587745819952189	0.276708040400741	0.594	0.465	1	motor	SF3B5
ABI2	0.00632128201084359	0.338295917843173	0.26	0.155	1	motor	ABI2
GPM6A	0.00670516974105143	0.347580513919308	0.615	0.493	1	motor	GPM6A
PDAP1	0.00819233683960624	0.415259249984952	0.375	0.253	1	motor	PDAP1
ARID4A	0.00827437426715546	0.278007213960442	0.312	0.198	1	motor	ARID4A
EGR1	0.00844779021256921	0.284237498211804	0.719	0.623	1	motor	EGR1
PNRC1	0.00926374543107038	0.281408601163079	0.344	0.224	1	motor	PNRC1
PFDN5	9.23003800716121e-11	0.287783296133092	0.962	0.948	2.56355075610896e-06	parietal	PFDN5
APOC11	8.9094852398014e-08	0.49530765275114	0.842	0.734	0.00247452043050244	parietal	APOC1
LGALS3	9.85020230398507e-06	0.503128635927881	0.402	0.264	0.273579518790881	parietal	LGALS3
RPL17	1.00446554629948e-05	0.282023517286974	0.808	0.739	0.278980260829218	parietal	RPL17
LGALS1	1.01792388544757e-05	0.375013732522813	0.632	0.502	0.282718179944208	parietal	LGALS1
GABARAP	1.04410491075028e-05	0.314796500112141	0.293	0.16	0.289989697911783	parietal	GABARAP
NME2	5.50555826926965e-05	0.321619185412039	0.301	0.175	1	parietal	NME2
NDUFB2	9.89409140661047e-05	0.293714273681735	0.733	0.628	1	parietal	NDUFB2
GPNMB	0.000427168654198353	0.387937991263536	0.316	0.204	1	parietal	GPNMB
PTN	0.000504239956763281	0.445683361818394	0.395	0.288	1	parietal	PTN
HES1	0.000517606146214267	0.286885512324548	0.32	0.204	1	parietal	HES1
CD141	0.000540605425462606	0.436064923553775	0.481	0.384	1	parietal	CD14
ATOX1	0.000688834489832387	0.275295944835497	0.594	0.5	1	parietal	ATOX1
PTPRZ11	0.000861652166971317	0.447530447390249	0.41	0.298	1	parietal	PTPRZ1
FTL	0.000999504067749499	0.257054380971149	1	1	1	parietal	FTL
NPL1	0.00133412272616217	0.301310434015436	0.342	0.244	1	parietal	NPL
SPP11	0.0014469938529038	0.434649982932471	0.876	0.869	1	parietal	SPP1
GPM6B	0.00182797795921781	0.313680274490986	0.368	0.266	1	parietal	GPM6B
LIPA	0.00257999674880586	0.398578438382362	0.368	0.278	1	parietal	LIPA
NPC2	0.00595288683484996	0.290455772952291	0.643	0.608	1	parietal	NPC2
MT-ND21	3.71397527776457e-17	0.676427910771411	1	0.961	1.03151949364633e-12	PFC	MT-ND2
MT-ND1	5.15028395386871e-13	0.621435218082432	1	0.954	1.43043986534749e-08	PFC	MT-ND1
MALAT1	4.19259615695736e-09	0.286286210383906	1	1	0.000116445165663334	PFC	MALAT1
MT-CYB1	6.44261084998632e-09	0.443003339386127	1	0.979	0.00017893707374752	PFC	MT-CYB
VAMP21	1.61031662215403e-08	0.72248112550662	0.59	0.28	0.00044724933863706	PFC	VAMP2
MIF2	1.62081118637656e-07	0.590186942636308	0.623	0.3	0.00450164098904225	PFC	MIF
RPLP2	1.4289338401543e-06	0.267373118068607	0.984	0.993	0.0396872084764456	PFC	RPLP2
MAP4K4	1.60125693021539e-06	0.491727362087457	0.525	0.231	0.0444733099798021	PFC	MAP4K4
STMN21	1.68298140174121e-06	0.707726586651501	0.984	0.736	0.0467431254519603	PFC	STMN2
MYT1L	2.3547926295473e-06	0.493010495532559	0.393	0.149	0.0654020104930468	PFC	MYT1L
GAP43	2.48418134628978e-06	0.715592077280681	0.574	0.306	0.0689956527118524	PFC	GAP43
ARGLU11	3.60114537456221e-06	0.677673089107636	0.508	0.26	0.100018211633091	PFC	ARGLU1
CH25H1	3.86689559365443e-06	0.729247466466085	0.443	0.201	0.107399158218158	PFC	CH25H
RPL132	5.24361101587209e-06	0.345451806026601	0.885	0.619	0.145636052354831	PFC	RPL13
EEF1A1	6.4610290743899e-06	0.253440451954792	1	0.998	0.179448621512105	PFC	EEF1A1
YWHAG	1.02981100894249e-05	0.454623574387195	0.525	0.236	0.286019709623687	PFC	YWHAG
HMP191	1.10293916763514e-05	0.53138536734949	0.393	0.167	0.306330324418985	PFC	HMP19
MT-ND4	1.48282334246121e-05	0.277508260140975	0.984	0.997	0.411839355135177	PFC	MT-ND4
DHX9	1.74369676222724e-05	0.470825086458917	0.311	0.116	0.484294338740992	PFC	DHX9
NR4A1	1.82878031390987e-05	0.496419528418775	0.426	0.19	0.507925444385327	PFC	NR4A1
OS9	3.99445586632866e-05	0.454815184081585	0.41	0.185	1	PFC	OS9
CALM11	4.51956725955029e-05	0.58378523191012	0.754	0.563	1	PFC	CALM1
C31	6.15038228769075e-05	0.679968623351146	0.557	0.381	1	PFC	C3
MT-ND3	6.24454775955405e-05	0.313614115587241	1	0.993	1	PFC	MT-ND3
OAZ2	0.000104546812357912	0.397205227386861	0.574	0.309	1	PFC	OAZ2
MIS18BP1	0.000108104086409027	0.461268126040217	0.311	0.129	1	PFC	MIS18BP1
MT-ATP6	0.000121413747374881	0.317047441363694	1	0.99	1	PFC	MT-ATP6
KMT2E	0.000141708318098731	0.423377925212817	0.475	0.232	1	PFC	KMT2E
PTMA1	0.000164423736595839	0.333531122385501	1	0.99	1	PFC	PTMA
TUBB2A	0.000178512061332073	0.380334460408296	0.508	0.26	1	PFC	TUBB2A
ARID4A1	0.000290996741495567	0.374914042791457	0.41	0.195	1	PFC	ARID4A
