	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	2.78385382871349e-141	0.650330080642203	0.998	0.998	7.73187562386886e-137	motor	RPS29
ATP5I	1.69872505989859e-112	0.672437241652522	0.864	0.782	4.71803898136234e-108	motor	ATP5I
ATP5E	2.60160927146893e-96	0.431815278928618	0.976	0.976	7.22570959057781e-92	motor	ATP5E
NDUFB1	1.7408652999421e-78	0.600524312677099	0.789	0.679	4.83507928405919e-74	motor	NDUFB1
RPS27	7.1859658028845e-74	0.366146188313464	1	1	1.99583014209314e-69	motor	RPS27
CALM2	1.79327109409974e-70	0.271328593859657	0.998	0.993	4.98063113675263e-66	motor	CALM2
USMG5	2.04769533922275e-70	0.526881009829624	0.83	0.764	5.68726903515726e-66	motor	USMG5
RPL41	2.19235364061746e-64	0.453738504772085	0.995	0.995	6.08904300145094e-60	motor	RPL41
AC090498.1	3.10114116234948e-59	0.523196629107537	0.814	0.77	8.61310946430943e-55	motor	AC090498.1
AP2B1	4.6361644193536e-57	0.64471992650121	0.616	0.484	1.28764830583127e-52	motor	AP2B1
MT-ND3	1.85153213658323e-51	0.263170001335859	0.992	0.994	5.14244535614626e-47	motor	MT-ND3
ATP5J2	2.12387324742758e-51	0.414071568043946	0.87	0.834	5.89884555740537e-47	motor	ATP5J2
RPL38	1.38209729345691e-50	0.312558081589474	0.995	0.995	3.83863702284723e-46	motor	RPL38
NDUFA4	1.90775302712528e-50	0.25553977469468	0.97	0.955	5.29859325753774e-46	motor	NDUFA4
GAP43	3.53829901536187e-50	0.328570840872199	0.943	0.919	9.82727168526606e-46	motor	GAP43
YWHAE	5.59511794392357e-49	0.265076985805464	0.973	0.964	1.55398805774533e-44	motor	YWHAE
UQCR11	7.6708166156515e-48	0.419931868761768	0.788	0.745	2.13049260683105e-43	motor	UQCR11
RPS21	4.00098418855239e-47	0.649406502635004	0.736	0.732	1.11123334852854e-42	motor	RPS21
RPL36	9.54553174933103e-47	0.295052249252276	0.996	0.996	2.6511759880592e-42	motor	RPL36
MORF4L1	1.475113603542e-45	0.294872147321793	0.954	0.942	4.09698052247754e-41	motor	MORF4L1
BEX5	2.32479036907211e-45	0.489811678804437	0.656	0.514	6.45687277106087e-41	motor	BEX5
RPS28	5.1114301742351e-45	0.308404573169827	0.989	0.991	1.41964861659206e-40	motor	RPS28
COX7A2	1.93794831214011e-44	0.264862194315119	0.949	0.947	5.38245764213793e-40	motor	COX7A2
C14orf2	1.15019604288424e-40	0.299703588849099	0.886	0.872	3.19455448950669e-36	motor	C14orf2
UQCRQ	2.48179885603035e-40	0.347437707673125	0.819	0.783	6.89294814273868e-36	motor	UQCRQ
SLIRP	1.85985880015057e-39	0.452866901717291	0.649	0.578	5.16557183153819e-35	motor	SLIRP
RPL39	3.34664881760103e-39	0.264256995695126	0.999	1	9.2949824260051e-35	motor	RPL39
