	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	5.96896652899632e-43	0.573017499853705	1	0.993	1.65782076376344e-38	motor	RPS29
ATP5I	1.44548565991273e-18	0.489572800487822	0.795	0.742	4.01469187184162e-14	motor	ATP5I
RPS27	9.48440675990593e-18	0.296864025550965	1	0.999	2.63419913349627e-13	motor	RPS27
USMG5	1.45956561759578e-15	0.458369040975152	0.631	0.5	4.05379754631051e-11	motor	USMG5
ATP5E	2.85400028052398e-14	0.266670204877876	0.963	0.954	7.92670037912731e-10	motor	ATP5E
RPS28	4.02507403624748e-14	0.26985243829909	0.988	0.992	1.11792406282738e-09	motor	RPS28
RPS21	1.40610922518691e-13	0.637885024403006	0.666	0.625	3.90532776203412e-09	motor	RPS21
MT-ND3	5.51224747199099e-13	0.251770876304688	0.992	0.988	1.53097161287078e-08	motor	MT-ND3
AC090498.1	8.42720449083023e-12	0.457985456770526	0.753	0.722	2.34057177528319e-07	motor	AC090498.1
RPL41	5.53616034340841e-11	0.348027590284262	0.996	0.992	1.53761317377825e-06	motor	RPL41
UQCR11	1.39239886587991e-10	0.345448752802737	0.716	0.626	3.86724861009486e-06	motor	UQCR11
RPL38	1.67656339811877e-10	0.274614614223532	0.981	0.985	4.65648718193506e-06	motor	RPL38
AP2B1	2.71459217505955e-10	0.375829037035701	0.444	0.312	7.53950830701039e-06	motor	AP2B1
HES1	8.77536936915988e-10	0.886505949169928	0.39	0.282	2.43727108859046e-05	motor	HES1
NDUFB1	9.78190953779477e-09	0.344129095868872	0.587	0.525	0.000271682755502712	motor	NDUFB1
SOX4	1.72657260843976e-08	0.275983486685925	0.9	0.882	0.000479538276268059	motor	SOX4
PTPRZ1	4.21160464645098e-08	0.261603742709391	0.979	0.975	0.00116973107450529	motor	PTPRZ1
NDUFA3	8.637197906976e-08	0.344894849810892	0.571	0.498	0.00239889534668351	motor	NDUFA3
PEG10	1.06680580686207e-07	0.425475168004277	0.45	0.364	0.00296294644797872	motor	PEG10
NDUFB2	1.36608427683945e-07	0.258699949092851	0.71	0.664	0.00379416247049388	motor	NDUFB2
MT2A	1.40967647894344e-07	0.430530285609813	0.448	0.348	0.0039152354526175	motor	MT2A
UQCRQ	1.62061250715847e-07	0.27201304946187	0.737	0.701	0.00450108917738194	motor	UQCRQ
RPL36A	7.94763975568481e-07	0.378701029654371	0.49	0.405	0.022073774657439	motor	RPL36A
NDUFA1	1.73222417090138e-06	0.277712251274366	0.573	0.509	0.0481107941226149	motor	NDUFA1
DPYSL2	3.5702369716551e-06	0.280466900712344	0.454	0.359	0.0991597616507488	motor	DPYSL2
DYNC1I2	4.23037403235846e-06	0.357401591986872	0.479	0.405	0.117494408374724	motor	DYNC1I2
PTN	4.43844909954104e-06	0.317345260190636	0.917	0.884	0.123273485290653	motor	PTN
PRMT2	7.28567168288281e-06	0.274862344066779	0.349	0.248	0.202352245320387	motor	PRMT2
TMEM258	8.40296515326224e-06	0.265176340321153	0.664	0.61	0.233383954166706	motor	TMEM258
EIF5B	1.95602213557855e-05	0.2776679202868	0.483	0.404	0.543265587935585	motor	EIF5B
PET100	3.2468220727527e-05	0.304535790118115	0.361	0.286	0.901772362486335	motor	PET100
SNRPF	4.571650203958e-05	0.281561497679289	0.529	0.496	1	motor	SNRPF
COX17	5.33585950523621e-05	0.321608301889935	0.334	0.262	1	motor	COX17
POLR2L	0.000159850677318886	0.313600379887707	0.55	0.511	1	motor	POLR2L
SLIRP	0.000277535806738587	0.27368969252556	0.461	0.412	1	motor	SLIRP
TLE4	0.00125486194324874	0.301255556709312	0.299	0.245	1	motor	TLE4
SPRY1	0.00190284264873735	0.299488963420451	0.286	0.231	1	motor	SPRY1
MT3	0.00362997101653433	0.266416905669171	0.535	0.488	1	motor	MT3
TUBA1B	0.00648911806603136	0.29163553341954	0.71	0.701	1	motor	TUBA1B
MT-ATP8	6.38748630005888e-19	0.448439869146987	0.306	0.131	1.77406044497835e-14	parietal	MT-ATP8
MT-ND4L	1.99679979627937e-16	0.250223904196884	0.993	0.975	5.54591175418633e-12	parietal	MT-ND4L
RPL171	1.05063790355872e-15	0.402206248142979	0.783	0.705	2.91804171334398e-11	parietal	RPL17
NME2	1.07113517740582e-07	0.359306443004731	0.32	0.214	0.00297497084172693	parietal	NME2
NDUFA13	4.57337464565192e-06	0.281559488211388	0.557	0.476	0.127020907408336	parietal	NDUFA13
B2M	7.97121166701017e-05	0.307529713705473	0.684	0.649	1	parietal	B2M
MIF2	5.76613677675411e-71	0.883444712453343	0.824	0.333	1.60148682837569e-66	PFC	MIF
RPL132	4.38707197717434e-60	0.640158975029456	0.96	0.547	1.2184653709404e-55	PFC	RPL13
MT-ND21	5.57205887799074e-51	0.513833370164109	0.988	0.919	1.54758363277315e-46	PFC	MT-ND2
EEF1A12	1.163920728651e-46	0.388176802470747	1	0.997	3.23267343175528e-42	PFC	EEF1A1
OLIG12	5.75677258704252e-40	0.729931189967778	0.673	0.308	1.59888601832519e-35	PFC	OLIG1
CALM12	3.81410133368581e-35	0.617595532112534	0.864	0.573	1.0593285044179e-30	PFC	CALM1
TPT1	1.58178527716148e-33	0.394234018789833	0.991	0.894	4.3932504287883e-29	PFC	TPT1
RPLP2	9.15854267073998e-29	0.255454619429782	1	0.991	2.54369364137132e-24	PFC	RPLP2
MT-ATP6	2.5031498146626e-28	0.294304420620983	1	0.987	6.95224829524391e-24	PFC	MT-ATP6
MT-ND1	1.62002276574615e-27	0.375020030489704	0.98	0.894	4.49945122958336e-23	PFC	MT-ND1
RPS261	7.89412297177013e-25	0.354819579324129	0.971	0.861	2.19251371417944e-20	PFC	RPS26
MRPL12	3.09523365167188e-23	0.339781935971729	0.257	0.07	8.59670194415348e-19	PFC	MRPL12
MT-CYB	3.521561277345e-23	0.289467940551072	0.98	0.962	9.780784291698e-19	PFC	MT-CYB
SPECC1	1.3135784953988e-19	0.379610726296862	0.332	0.124	3.64833291312063e-15	PFC	SPECC1
