	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	8.53209575610938e-111	0.586712549339378	0.998	0.994	2.36970427530182e-106	motor	RPS29
HES1	5.45389987194701e-97	1.16225928206845	0.889	0.804	1.51476615043456e-92	motor	HES1
MT-ND3	2.79889487236364e-58	0.34103559027196	0.994	0.988	7.77365061850277e-54	motor	MT-ND3
ATP5I	1.85707164941522e-47	0.459331629681434	0.841	0.833	5.15783079908583e-43	motor	ATP5I
ATP5E	1.13924254437994e-44	0.315400812439367	0.977	0.967	3.16413224276085e-40	motor	ATP5E
RPS27	2.39122548119867e-42	0.29662177085189	1	1	6.6413896514812e-38	motor	RPS27
AP2B1	2.34423007210591e-37	0.597717939777863	0.561	0.427	6.51086460226694e-33	motor	AP2B1
RPL38	1.03753046938674e-35	0.324312017784017	0.975	0.977	2.88163712567472e-31	motor	RPL38
RPL41	1.34363442815438e-31	0.326409477554068	0.997	0.997	3.73181026075597e-27	motor	RPL41
RPS28	7.42436144835121e-31	0.292473376629141	0.978	0.985	2.06204214866507e-26	motor	RPS28
NDUFB1	4.64566116256303e-30	0.46938039035723	0.69	0.651	1.29028593129026e-25	motor	NDUFB1
AC090498.1	3.56383937056187e-29	0.398449920795197	0.796	0.787	9.89820746779854e-25	motor	AC090498.1
RPS21	7.94603164920394e-29	0.591896902251024	0.644	0.583	2.2069308302499e-24	motor	RPS21
UQCR11	9.3856047496675e-25	0.379119625429886	0.767	0.741	2.60675786317265e-20	motor	UQCR11
DYNC1I2	2.00055377244436e-23	0.378691583562027	0.681	0.625	5.55633804758697e-19	motor	DYNC1I2
PTPRZ1	2.33168415647098e-21	0.368265075089946	0.987	0.987	6.4760195761825e-17	motor	PTPRZ1
USMG5	7.98711663101526e-21	0.35498870781673	0.703	0.668	2.21834177309818e-16	motor	USMG5
PEG10	3.28765979520936e-15	0.437553054954157	0.46	0.39	9.13114631521449e-11	motor	PEG10
POLR2L	8.73884912500824e-15	0.310488696744228	0.712	0.69	2.42712795597979e-10	motor	POLR2L
S100A13	1.00122385414948e-13	0.426029410896035	0.454	0.385	2.78079913251477e-09	motor	S100A13
TMEM258	5.41179868119619e-13	0.254598385580981	0.68	0.671	1.50307296571543e-08	motor	TMEM258
EMX2	8.5051711188703e-13	0.297807476321634	0.271	0.176	2.36222622655504e-08	motor	EMX2
ROMO1	1.0573024649162e-10	0.289710156504506	0.558	0.544	2.93655186605825e-06	motor	ROMO1
RPL36A	1.29651827740823e-10	0.304196867882532	0.456	0.409	3.60094986367361e-06	motor	RPL36A
NDUFA3	1.43591890879693e-10	0.314568176085233	0.58	0.574	3.98812117729261e-06	motor	NDUFA3
MYEOV2	1.767029133862e-10	0.268084587742973	0.732	0.732	4.90774671638832e-06	motor	MYEOV2
SLIRP	1.34229246395319e-09	0.27959184735117	0.569	0.565	3.7280830893836e-05	motor	SLIRP
NTM	9.79754523430924e-09	0.253432715747195	0.373	0.304	0.000272117021337705	motor	NTM
TLE4	1.10821971131942e-08	0.345508894124636	0.535	0.509	0.000307796942621857	motor	TLE4
PFDN1	1.41717611053296e-08	0.29194912417724	0.43	0.392	0.000393606492939425	motor	PFDN1
MT3	1.73787515717514e-08	0.32930722046647	0.494	0.426	0.000482677446153824	motor	MT3
SPARCL1	1.3621360124636e-07	0.337024090470879	0.345	0.263	0.00378319656101639	motor	SPARCL1
PRMT2	2.99949726563801e-07	0.27928174130772	0.453	0.4	0.008330803705583	motor	PRMT2
YAF2	8.93788287383606e-07	0.251803630458163	0.306	0.264	0.0248240758937923	motor	YAF2
PET100	3.56387571171279e-06	0.296977127283794	0.383	0.342	0.0989830840171111	motor	PET100
EIF5B	6.85675937920488e-06	0.281650012511106	0.462	0.437	0.190439634998036	motor	EIF5B
MT1X	0.000107869593343211	0.280394476262676	0.434	0.393	1	motor	MT1X
FXYD1	0.00108633205186475	0.277813534853413	0.268	0.228	1	motor	FXYD1
RPL26	3.54710382297879e-50	0.261567783129411	0.997	0.991	9.85172615794128e-46	parietal	RPL26
RPL17	5.28362864098261e-39	0.357080947472687	0.817	0.745	1.46747501874651e-34	parietal	RPL17
MT-ATP8	1.7130365498433e-31	0.356332277508762	0.273	0.129	4.75778771353478e-27	parietal	MT-ATP8
NME2	1.54033293113602e-21	0.340980318710735	0.295	0.168	4.27812068293719e-17	parietal	NME2
B2M	5.40782918225975e-16	0.266956483803678	0.923	0.91	1.50197047708082e-11	parietal	B2M
NR2F1	4.11831520656562e-13	0.285422528151281	0.275	0.194	1.14382086547154e-08	parietal	NR2F1
IFITM3	2.05227950069232e-10	0.303997110925316	0.377	0.311	5.70000108522286e-06	parietal	IFITM3
