	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
DDX1	2.86199974651567e-05	0.370461729309348	0.545	0.321	0.794891809597261	motor	DDX1
TMA16	0.000233754316992137	0.312937463373821	0.299	0.129	1	motor	TMA16
KNOP1	0.000274047301128215	0.36563224419924	0.545	0.344	1	motor	KNOP1
AQR	0.000508462374187565	0.261643837260088	0.312	0.146	1	motor	AQR
CAST	0.000548923178219176	0.352567231206311	0.545	0.347	1	motor	CAST
RPS29	0.000655839614087013	0.357031196875407	1	0.997	1	motor	RPS29
CSNK2B	0.000817726825783408	0.297666531919977	0.61	0.41	1	motor	CSNK2B
COPS6	0.00098866227059053	0.269778387468842	0.74	0.516	1	motor	COPS6
GTF2F1	0.00107252264100271	0.366703645520856	0.468	0.298	1	motor	GTF2F1
CMSS1	0.00150330603223914	0.326343359406634	0.39	0.221	1	motor	CMSS1
CMTM3	0.00188473389228269	0.27462891742331	0.364	0.209	1	motor	CMTM3
BCAS2	0.00241098133539404	0.27708395617681	0.468	0.292	1	motor	BCAS2
CMC2	0.00241505923197983	0.250399185524566	0.429	0.255	1	motor	CMC2
REXO2	0.00273712911958231	0.278413998763471	0.468	0.301	1	motor	REXO2
KIAA0355	0.00291262695400661	0.264368815427566	0.506	0.35	1	motor	KIAA0355
EIF5B	0.00364794466601615	0.269293059343773	0.727	0.593	1	motor	EIF5B
PMPCB	0.00366010755620388	0.284517725163384	0.377	0.229	1	motor	PMPCB
HMP19	0.00371791584588766	0.279251695497922	0.39	0.229	1	motor	HMP19
AKAP9	0.0037997043799652	0.362582154984359	0.597	0.461	1	motor	AKAP9
TAGLN	0.00393018087998889	0.302956462367665	0.364	0.221	1	motor	TAGLN
AC090498.1	0.0045378227415976	0.352140878255585	0.935	0.86	1	motor	AC090498.1
NDUFA3	0.00476078033011395	0.270355861373648	0.779	0.668	1	motor	NDUFA3
RPL38	0.00484992582800147	0.263224525065984	1	0.989	1	motor	RPL38
CWC15	0.00520506019428851	0.330589180347396	0.701	0.567	1	motor	CWC15
PDLIM5	0.00540805255136187	0.281169546148804	0.364	0.215	1	motor	PDLIM5
ILF2	0.00643971735798989	0.299013441767331	0.597	0.436	1	motor	ILF2
NUDT2	0.00670801050112809	0.298006245973985	0.325	0.195	1	motor	NUDT2
PTBP1	0.00800713581338946	0.252020944158977	0.468	0.321	1	motor	PTBP1
RSRC2	0.00877314860060867	0.25874447853819	0.714	0.57	1	motor	RSRC2
RPS21	0.00994674090349595	0.484857791425265	0.805	0.791	1	motor	RPS21
IFITM1	1.91229860304798e-05	0.63462278926318	0.781	0.698	0.531121814010546	parietal	IFITM1
MT-ATP81	5.77646467154891e-05	0.498446853087266	0.495	0.355	1	parietal	MT-ATP8
RPL171	0.000175751317513417	0.297308564932619	0.838	0.854	1	parietal	RPL17
FABP7	0.000987366972412783	0.375692396532965	0.81	0.726	1	parietal	FABP7
HN1	0.00277391897834106	0.398121685885363	0.705	0.614	1	parietal	HN1
P2RY14	0.00363604697669323	0.347065781101645	0.295	0.171	1	parietal	P2RY14
RPS281	3.95743188984263e-15	0.387582578491762	1	0.997	1.09913713308489e-10	PFC	RPS28
RPL41	1.80976577409931e-13	0.388024334130407	1	1	5.02644346098343e-09	PFC	RPL41
CLDN51	3.83222425483892e-10	0.617548968238679	0.745	0.522	1.06436196453896e-05	PFC	CLDN5
JUND1	6.38170080490909e-10	0.710340112912638	0.686	0.467	1.77245358155545e-05	PFC	JUND
