	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RPS29	1.54147252095693e-112	0.579585465826844	0.998	0.997	4.28128577970578e-108	motor	RPS29
ATP5E	2.96272655968492e-85	0.423080931356593	0.973	0.95	8.22867674686889e-81	motor	ATP5E
ATP5I	1.95772604753536e-77	0.60230848307365	0.841	0.739	5.43738832442471e-73	motor	ATP5I
AP2B1	8.3581389455406e-68	0.667209829131598	0.54	0.341	2.32138951073445e-63	motor	AP2B1
NDUFB1	1.38258160754838e-66	0.573288052615211	0.717	0.583	3.83998215680487e-62	motor	NDUFB1
USMG5	4.38488502859798e-66	0.531202731316021	0.755	0.631	1.2178579678428e-61	motor	USMG5
YWHAE	1.27971244676411e-54	0.309735277591562	0.955	0.924	3.55427334964264e-50	motor	YWHAE
MT-ND3	7.37912715428522e-48	0.29710441617327	0.994	0.985	2.04947877583118e-43	motor	MT-ND3
RPL41	8.08023523284244e-45	0.390632224603963	0.995	0.994	2.24420453356966e-40	motor	RPL41
AC090498.1	8.55734170193516e-41	0.462121109071623	0.806	0.737	2.37671608429547e-36	motor	AC090498.1
UQCR11	2.56400186757343e-40	0.428470065483358	0.745	0.644	7.12125878699845e-36	motor	UQCR11
UBL5	4.83473781459459e-40	0.331002381278158	0.831	0.775	1.3428000806255e-35	motor	UBL5
RPS27	6.57382358907298e-40	0.278072849857478	1	1	1.82581376362913e-35	motor	RPS27
MORF4L1	1.52127584454448e-39	0.297383130304507	0.914	0.873	4.22519153063784e-35	motor	MORF4L1
UQCRQ	2.18271325890694e-37	0.324903660257438	0.79	0.725	6.06226780528812e-33	motor	UQCRQ
CALM2	1.21750303611269e-36	0.26287532969332	0.983	0.976	3.38149293249938e-32	motor	CALM2
SLN	7.72477182938626e-36	0.617286700802814	0.275	0.126	2.14547812789374e-31	motor	SLN
RPL38	6.41802522728761e-35	0.282716526320092	0.989	0.989	1.78254232662686e-30	motor	RPL38
DYNC1I2	8.38689691977839e-35	0.42492823147695	0.663	0.538	2.32937675049925e-30	motor	DYNC1I2
RPS21	1.54511036226393e-34	0.601389793450266	0.733	0.686	4.29138952015184e-30	motor	RPS21
ATP5J2	3.26033187037118e-34	0.397470922922452	0.812	0.741	9.05524573676891e-30	motor	ATP5J2
TMA7	4.79487269949123e-34	0.262658818330995	0.918	0.881	1.33172794355669e-29	motor	TMA7
PEG10	4.42668947229879e-33	0.534452962008101	0.455	0.325	1.22946873403627e-28	motor	PEG10
RPS28	6.0132291892141e-32	0.255250469807075	0.989	0.99	1.67011427501232e-27	motor	RPS28
COX7A2	6.36798313306113e-32	0.274833339382458	0.898	0.87	1.7686436353764e-27	motor	COX7A2
SLIRP	6.41012176999489e-32	0.417731490821141	0.596	0.501	1.78034722039838e-27	motor	SLIRP
RPL36A	1.75873869894001e-30	0.437089643256737	0.589	0.484	4.88472086243598e-26	motor	RPL36A
CSRP2	2.59729860153423e-30	0.392111398243809	0.738	0.649	7.21373713590117e-26	motor	CSRP2
COX6C	2.77498471944739e-30	0.273393936191363	0.876	0.838	7.70724255979318e-26	motor	COX6C
TCEB2	1.37403585827376e-29	0.288912789314879	0.811	0.764	3.81624719276955e-25	motor	TCEB2
BEX5	2.28875367387045e-29	0.48572778132403	0.421	0.27	6.35678445380779e-25	motor	BEX5
BEX2	2.59251096342104e-29	0.374807630933866	0.587	0.489	7.20043994980559e-25	motor	BEX2
POLR2L	4.14869750416845e-29	0.46221665020912	0.616	0.499	1.15225924480775e-24	motor	POLR2L
