	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
BASP1	1.36961255690775e-196	1.02463990009165	0.972	0.665	3.8216299175397e-192	motor	BASP1
MT-ND3	3.34557314514165e-188	0.975257860195442	0.989	0.773	9.33515274688876e-184	motor	MT-ND3
MALAT1	6.28747877519327e-179	0.558934779290982	0.999	1	1.75439520264218e-174	motor	MALAT1
HIST1H4C	3.19600386182597e-163	1.10944205896772	0.858	0.35	8.917809575653e-159	motor	HIST1H4C
RPS29	2.45510904874501e-132	0.702088788636993	0.987	0.837	6.85049077871321e-128	motor	RPS29
RPL37A	5.88887092650492e-106	0.518771990634035	0.996	0.936	1.64317165462267e-101	motor	RPL37A
MEIS2	1.28354032263182e-103	0.951094784955126	0.867	0.529	3.58146256223958e-99	motor	MEIS2
RPL37	2.13340861682273e-101	0.671263535936165	0.955	0.746	5.95285006352045e-97	motor	RPL37
RPL38	6.71517261865312e-96	0.587106546193625	0.975	0.791	1.87373461578278e-91	motor	RPL38
NFIX	2.12126713944903e-94	0.859855464664647	0.763	0.422	5.91897169920463e-90	motor	NFIX
GPM6A	5.88699039266012e-90	0.486455182752253	0.983	0.929	1.64264692926395e-85	motor	GPM6A
SOX4	7.2867796339437e-85	0.777869779945633	0.925	0.727	2.03323012125931e-80	motor	SOX4
RPS27	9.79677594893039e-85	0.422667306128592	0.996	0.963	2.73359439303005e-80	motor	RPS27
POU3F2	2.36381631152438e-69	0.828164990899465	0.703	0.38	6.59575665404647e-65	motor	POU3F2
HSP90AA1	5.24106563438172e-65	0.410284536928287	0.989	0.952	1.46241454396153e-60	motor	HSP90AA1
PALMD	1.0344022328592e-64	0.907429549882266	0.472	0.178	2.88629255034702e-60	motor	PALMD
RPL39	1.97271882361602e-62	0.37172924548759	0.996	0.961	5.50447733353578e-58	motor	RPL39
DPYSL2	5.55878517322277e-61	0.527545063385871	0.846	0.693	1.55106782688435e-56	motor	DPYSL2
NFIA	2.15093319426236e-59	0.708270148562581	0.573	0.277	6.00174889195027e-55	motor	NFIA
MAP2	1.37681737314351e-58	0.524287250770096	0.859	0.71	3.84173351628232e-54	motor	MAP2
H1FX	1.51082810947941e-56	0.68291041127058	0.518	0.229	4.2156636738804e-52	motor	H1FX
CEP170	4.37649402822575e-56	0.583332610671941	0.803	0.576	1.22117312869583e-51	motor	CEP170
MT-ND4L	6.80329892373974e-55	0.608333810750382	0.753	0.472	1.8983244986911e-50	motor	MT-ND4L
EEF1A1	5.53896798225472e-54	0.288162676168384	0.999	0.997	1.54553823608853e-49	motor	EEF1A1
CCNI	1.0640289570046e-51	0.378103841559057	0.983	0.916	2.96895999872993e-47	motor	CCNI
PKIA	1.24447300375907e-50	0.58324862694462	0.677	0.442	3.47245302238894e-46	motor	PKIA
RPS28	2.76722832149031e-50	0.412577904685394	0.934	0.811	7.72139718545441e-46	motor	RPS28
LRRTM2	1.80594654742047e-49	0.634929436448436	0.423	0.174	5.03913265126735e-45	motor	LRRTM2
RPLP2	3.60868428569315e-49	0.371656604260288	0.955	0.846	1.00693117623696e-44	motor	RPLP2
DYNC1I2	2.21490682699715e-47	0.496815852312886	0.793	0.588	6.18025451937013e-43	motor	DYNC1I2
AC004158.3	2.78327095846326e-47	0.731135417893619	0.406	0.166	7.76616095540004e-43	motor	AC004158.3
SCG2	4.56118772105479e-47	0.718732435420839	0.517	0.262	1.27270820980592e-42	motor	SCG2
PBX1	8.80437585407471e-46	0.522422490145441	0.757	0.557	2.45668499456247e-41	motor	PBX1
TMSB10	1.40908821618926e-43	0.26679012062077	0.997	0.984	3.9317788496329e-39	motor	TMSB10
HNRNPD	5.85536627770528e-43	0.607154634359719	0.492	0.226	1.6338228524681e-38	motor	HNRNPD
