	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
PTPRZ1	6.14598022634488e-46	0.644174092142675	0.988	0.937	1.71491286255701e-41	motor	PTPRZ1
MT-ND3	5.52058588525922e-34	0.532443155770705	0.977	0.893	1.54040907956388e-29	motor	MT-ND3
RPS29	1.98584643730271e-22	0.371268925312227	0.977	0.922	5.54110731400575e-18	motor	RPS29
MT-ND4L	1.35436573139194e-16	0.555028734863783	0.688	0.548	3.77908670030294e-12	motor	MT-ND4L
SOX2	8.81511540528007e-13	0.373088128951753	0.812	0.688	2.4596816515353e-08	motor	SOX2
HSP90AA1	5.14429836493182e-11	0.344037593107109	0.927	0.92	1.43541357276693e-06	motor	HSP90AA1
VIM	6.79230925509667e-11	0.730631939942317	0.515	0.367	1.89525805144962e-06	motor	VIM
RPL37	7.30946382244756e-10	0.28124106551978	0.927	0.86	2.03955969037754e-05	motor	RPL37
NCL	2.04202739914927e-09	0.34364009579956	0.75	0.67	5.69786905184622e-05	motor	NCL
HNRNPA2B1	4.10857740335973e-09	0.284825813926946	0.869	0.841	0.000114641635285946	motor	HNRNPA2B1
NES	2.48435506431092e-07	0.505961010712156	0.369	0.271	0.00693209593594675	motor	NES
CCND2	6.3461518457084e-07	0.401710016454588	0.588	0.501	0.0177076674950801	motor	CCND2
HOPX	8.95971375382148e-07	0.564459347232246	0.362	0.238	0.0250002892872881	motor	HOPX
HSPA1A	1.89954319824961e-06	0.374203535566264	0.688	0.639	0.0530029538607589	motor	HSPA1A
HIST1H4C	2.65883106575502e-06	0.54884140321224	0.485	0.391	0.0741893632277622	motor	HIST1H4C
UQCRB	3.64291950019534e-06	0.250335977766562	0.812	0.782	0.101648382813951	motor	UQCRB
SERBP1	5.82808792912945e-06	0.269689938654931	0.635	0.553	0.162621137486499	motor	SERBP1
HES1	9.08969188266129e-06	0.577507193790949	0.377	0.279	0.253629672601898	motor	HES1
KTN1	9.39055938173591e-06	0.388713360006357	0.488	0.428	0.262024778428577	motor	KTN1
EGFR	2.35423644914481e-05	0.410375533850117	0.373	0.274	0.656902596404876	motor	EGFR
NASP	2.60860617382674e-05	0.401584465537542	0.469	0.403	0.727879380682874	motor	NASP
