# From df_markers_by_cell_type_and_indiv.txt.
# Expanded metadata and filtered for excitatory lineage cells (rg, ipc, neuron).
# See `compare_markers_MAST_wilcox.Rmd`
# [2020-11-28]
# 
gene	p_val_adj	avg_logfc	gene.score	gene.ratio	pct.1	pct.2	p_val	stage_area	area	individual	celltype_stage	celltype_region	cell_type	file	stage_region	stage	region
KRT31	0	1.31375	10.37313	7.89583	0.379	0.048	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
LMO4	0	1.20684	3.6454	3.02062	0.586	0.194	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PCDH17	0	1.09189	5.26674	4.82353	0.328	0.068	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
LMO3	0	1.19178	3.81212	3.19868	0.483	0.151	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CDH6	0	0.68052	4.00581	5.88636	0.259	0.044	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HES1	5e-5	1.43874	4.88189	3.39316	0.397	0.117	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TTYH3	9e-5	0.57228	2.77105	4.84211	0.276	0.057	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SAR1A	8.2e-4	0.77363	1.6853	2.17844	0.586	0.269	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CSRP2	0.00117	0.77537	1.15709	1.49231	0.776	0.52	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
QKI	0.00622	0.63275	2.03473	3.21569	0.328	0.102	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MIF	0.00937	0.51705	0.67133	1.29838	0.879	0.677	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ETNK1	0.01148	0.6389	1.78047	2.78676	0.379	0.136	0	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PTN	0.12061	0.95057	1.46975	1.54617	0.586	0.379	1e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SEC23A	0.13823	0.63711	2.11553	3.32051	0.259	0.078	1e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
LIMCH1	0.17183	0.62582	0.99735	1.59367	0.655	0.411	1e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
STT3B	0.47805	0.43127	1.34578	3.12048	0.259	0.083	2e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
USMG5	0.65497	0.4163	0.49122	1.17997	0.931	0.789	3e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
BCYRN1	0.73474	0.71242	1.85588	2.60504	0.31	0.119	3e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SNHG9	0.77707	0.66679	1.44652	2.1694	0.397	0.183	3e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
H2AFV	0.8606	0.5073	1.29995	2.5625	0.328	0.128	4e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
UBB	0.92856	0.32417	0.35304	1.08906	0.966	0.887	4e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
AZIN1	1	0.51491	1.16498	2.2625	0.362	0.16	5e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PBX1	1	0.47329	0.7023	1.48387	0.69	0.465	7e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
NFIA	1	0.5944	0.78311	1.31749	0.776	0.589	7e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CDC42	1	0.49535	0.62698	1.26573	0.724	0.572	7e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
GAPDH	1	0.30233	0.33593	1.11111	1	0.9	7e-5	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MEF2C	1	0.56033	0.85048	1.51782	0.724	0.477	1e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
