	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
TNFRSF11A	5.94081764190141e-09	0.766373692166935	0.714	0.018	0.000163812105657789	motor	TNFRSF11A
NTAN1	7.96853145320087e-09	0.842297499740578	0.571	0	0.000219724286290561	motor	NTAN1
GFM1	7.96853145320087e-09	0.637184289995153	0.571	0	0.000219724286290561	motor	GFM1
RP11-231C14.7	7.96853145320087e-09	0.521142722628261	0.571	0	0.000219724286290561	motor	RP11-231C14.7
PGBD5	7.96853145320087e-09	0.455156850168284	0.571	0	0.000219724286290561	motor	PGBD5
TTYH3	7.96853145320087e-09	0.413951192822143	0.571	0	0.000219724286290561	motor	TTYH3
SLC1A6	7.96853145320087e-09	0.391170399275722	0.571	0	0.000219724286290561	motor	SLC1A6
MAP2K1	7.96853145320087e-09	0.38661145577161	0.571	0	0.000219724286290561	motor	MAP2K1
KCNC1	7.96853145320087e-09	0.367858519097017	0.571	0	0.000219724286290561	motor	KCNC1
VRK2	7.96853145320087e-09	0.324372071762145	0.571	0	0.000219724286290561	motor	VRK2
SOD2	7.96853145320087e-09	0.324372071762145	0.571	0	0.000219724286290561	motor	SOD2
ZYX	2.06428714928741e-08	1.137350804601	0.857	0.054	0.00056920653854451	motor	ZYX
VTA1	5.7364019775713e-08	0.65943584414212	0.857	0.054	0.00158175548129551	motor	VTA1
FBXO44	1.09048879206434e-07	0.841232810474486	0.714	0.036	0.00300691379523821	motor	FBXO44
NRBP2	2.09490905627881e-07	0.709892651919213	0.714	0.036	0.0057765022317832	motor	NRBP2
C11orf95	2.09490905627881e-07	0.643663763476606	0.714	0.036	0.0057765022317832	motor	C11orf95
TNPO3	2.59613242369159e-07	0.698926569117849	0.714	0.036	0.0071585755450872	motor	TNPO3
STK32A	2.86410527879074e-07	0.59822544864975	0.571	0.018	0.0078974838957376	motor	STK32A
NIPSNAP1	3.21227320907126e-07	0.617133264735806	0.714	0.036	0.00885752214669308	motor	NIPSNAP1
FABP3	3.29972850895082e-07	0.819141769056021	0.857	0.071	0.009098671390581	motor	FABP3
RAI2	3.66619270537445e-07	0.662839384477019	0.571	0.018	0.0101091597657995	motor	RAI2
NR2C2AP	3.66619270537445e-07	0.406806386402577	0.571	0.018	0.0101091597657995	motor	NR2C2AP
FAM219A	3.66619270537445e-07	0.385486303255626	0.571	0.018	0.0101091597657995	motor	FAM219A
VPS37A	4.68302291245661e-07	0.699106749523287	0.571	0.018	0.0129129673788079	motor	VPS37A
SHISA7	4.68302291245661e-07	0.379466649352043	0.571	0.018	0.0129129673788079	motor	SHISA7
SUPT20H	4.68302291245661e-07	0.356046991898478	0.571	0.018	0.0129129673788079	motor	SUPT20H
NHLRC2	5.96928648551169e-07	0.658110804670234	0.571	0.018	0.0164597105551499	motor	NHLRC2
SPG20	5.96928648551169e-07	0.619477090139344	0.571	0.018	0.0164597105551499	motor	SPG20
CNDP2	5.96928648551169e-07	0.600255499996395	0.571	0.018	0.0164597105551499	motor	CNDP2
ATPAF2	5.96928648551169e-07	0.520847150175068	0.571	0.018	0.0164597105551499	motor	ATPAF2
GMPR2	5.96928648551169e-07	0.510742336889745	0.571	0.018	0.0164597105551499	motor	GMPR2
WDR26	5.96928648551169e-07	0.509161056482239	0.571	0.018	0.0164597105551499	motor	WDR26
DFFA	5.96928648551169e-07	0.388212086395665	0.571	0.018	0.0164597105551499	motor	DFFA
TDRD3	5.96928648551169e-07	0.332065673905657	0.571	0.018	0.0164597105551499	motor	TDRD3
XPO6	5.96928648551169e-07	0.324971553814946	0.571	0.018	0.0164597105551499	motor	XPO6
GPKOW	7.4759935372627e-07	0.700515539181732	0.429	0	0.0206143045796482	motor	GPKOW
AZU1	7.4759935372627e-07	0.696634525233593	0.429	0	0.0206143045796482	motor	AZU1
FCER1A	7.4759935372627e-07	0.636877890126854	0.429	0	0.0206143045796482	motor	FCER1A
PSME3	7.4759935372627e-07	0.623021079883397	0.429	0	0.0206143045796482	motor	PSME3
HOMER2	7.4759935372627e-07	0.608245770811512	0.429	0	0.0206143045796482	motor	HOMER2
FBXW9	7.4759935372627e-07	0.608245770811512	0.429	0	0.0206143045796482	motor	FBXW9
QARS	7.4759935372627e-07	0.60735361884394	0.429	0	0.0206143045796482	motor	QARS
MYO5A	7.4759935372627e-07	0.597520804710854	0.429	0	0.0206143045796482	motor	MYO5A
TAB2	7.4759935372627e-07	0.565709007159789	0.429	0	0.0206143045796482	motor	TAB2
NUDT10	7.4759935372627e-07	0.525128953745027	0.429	0	0.0206143045796482	motor	NUDT10
BCL2L13	7.4759935372627e-07	0.453378678142267	0.429	0	0.0206143045796482	motor	BCL2L13
SCN4B	7.4759935372627e-07	0.368778897822454	0.429	0	0.0206143045796482	motor	SCN4B
ACAD8	7.4759935372627e-07	0.358503197106477	0.429	0	0.0206143045796482	motor	ACAD8
NUCB1	7.4759935372627e-07	0.335419584526566	0.429	0	0.0206143045796482	motor	NUCB1
ATP2B2	7.4759935372627e-07	0.334407807519242	0.429	0	0.0206143045796482	motor	ATP2B2
ZNF277	7.4759935372627e-07	0.334407807519242	0.429	0	0.0206143045796482	motor	ZNF277
CYTH1	7.4759935372627e-07	0.333455229102353	0.429	0	0.0206143045796482	motor	CYTH1
RP13-1032I1.7	7.4759935372627e-07	0.333455229102353	0.429	0	0.0206143045796482	motor	RP13-1032I1.7
WWP1	7.4759935372627e-07	0.328624768957281	0.429	0	0.0206143045796482	motor	WWP1
SNAPC4	7.4759935372627e-07	0.314639898461747	0.429	0	0.0206143045796482	motor	SNAPC4
PIP4K2A	7.4759935372627e-07	0.314639898461747	0.429	0	0.0206143045796482	motor	PIP4K2A
C16orf74	7.4759935372627e-07	0.314639898461747	0.429	0	0.0206143045796482	motor	C16orf74
PATL1	7.4759935372627e-07	0.309717465015257	0.429	0	0.0206143045796482	motor	PATL1
COG6	7.4759935372627e-07	0.309717465015257	0.429	0	0.0206143045796482	motor	COG6
SRC	7.4759935372627e-07	0.309717465015257	0.429	0	0.0206143045796482	motor	SRC
ARHGAP39	7.4759935372627e-07	0.303789434622396	0.429	0	0.0206143045796482	motor	ARHGAP39
SYNDIG1L	7.4759935372627e-07	0.303789434622396	0.429	0	0.0206143045796482	motor	SYNDIG1L
AC009133.12	7.4759935372627e-07	0.303789434622396	0.429	0	0.0206143045796482	motor	AC009133.12
ZADH2	7.4759935372627e-07	0.303789434622396	0.429	0	0.0206143045796482	motor	ZADH2
OGFRL1	7.4759935372627e-07	0.298875508152846	0.429	0	0.0206143045796482	motor	OGFRL1
GFRA2	7.59283885622691e-07	0.407622333241134	0.571	0.018	0.0209364938621601	motor	GFRA2
NAV2	7.59283885622691e-07	0.351921078068857	0.571	0.018	0.0209364938621601	motor	NAV2
SLC35E2B	7.59283885622691e-07	0.324170008245665	0.571	0.018	0.0209364938621601	motor	SLC35E2B
TM9SF2	7.59283885622691e-07	0.312074205405559	0.571	0.018	0.0209364938621601	motor	TM9SF2
FAM228B	7.59283885622691e-07	0.297791322295368	0.571	0.018	0.0209364938621601	motor	FAM228B
AVL9	7.59283885622691e-07	0.281763030156652	0.571	0.018	0.0209364938621601	motor	AVL9
VSTM2L	7.59283885622691e-07	0.270035420663478	0.571	0.018	0.0209364938621601	motor	VSTM2L
TRIM8	7.59283885622691e-07	0.266979010887829	0.571	0.018	0.0209364938621601	motor	TRIM8
TUBGCP4	1.18644307088223e-06	0.786049650782206	0.714	0.054	0.0327149812365065	motor	TUBGCP4
CDIPT	1.21209375768058e-06	0.909608691375871	1	0.125	0.0334222732742842	motor	CDIPT
EXOSC1	1.43497989362093e-06	0.645844641884028	0.714	0.054	0.0395681355867035	motor	EXOSC1
HARS	1.73318769309169e-06	0.492861539525891	0.714	0.054	0.0477909174493102	motor	HARS
SDHB	1.93540216886467e-06	0.856535032057306	0.857	0.089	0.0533667794042744	motor	SDHB
RAB3B	2.09048244742362e-06	0.687116342603309	0.714	0.054	0.0576429630052588	motor	RAB3B
TUBG1	2.09048244742362e-06	0.465771431579623	0.714	0.054	0.0576429630052588	motor	TUBG1
KIFC2	2.2075049561165e-06	0.757073336778283	1	0.125	0.0608697416599565	motor	KIFC2
TMEM55A	2.2786232403625e-06	0.846706395403066	0.857	0.089	0.0628307572297555	motor	TMEM55A
SS18L1	2.51796034850536e-06	0.791437014644421	0.714	0.054	0.0694302386496869	motor	SS18L1
NCBP2-AS2	2.51796034850536e-06	0.546570056295846	0.714	0.054	0.0694302386496869	motor	NCBP2-AS2
FAM188A	2.51796034850536e-06	0.496616070667665	0.714	0.054	0.0694302386496869	motor	FAM188A
CRBN	5.41482618957428e-06	1.0199188119253	0.857	0.107	0.149308417351321	motor	CRBN
EMX2OS	5.89264220466249e-06	1.01110589212857	0.571	0.036	0.162483716151364	motor	EMX2OS
MYO1B	7.21433593153487e-06	0.667127314427159	0.571	0.036	0.198928098976142	motor	MYO1B
AC141928.1	7.21433593153487e-06	0.660665354008927	0.571	0.036	0.198928098976142	motor	AC141928.1
ASAP1	7.21433593153487e-06	0.522253708831441	0.571	0.036	0.198928098976142	motor	ASAP1
KCNMA1	7.21433593153487e-06	0.362534069311209	0.571	0.036	0.198928098976142	motor	KCNMA1
CEND1	8.29540375607931e-06	1.23298525115382	1	0.214	0.228737463170131	motor	CEND1
NDUFB6	8.49592344096362e-06	0.914374977027035	0.857	0.107	0.234266592961131	motor	NDUFB6
TNIK	8.81684265443064e-06	0.670819848520129	0.571	0.036	0.24311561935327	motor	TNIK
FOXK2	8.81684265443064e-06	0.648488736389465	0.571	0.036	0.24311561935327	motor	FOXK2
TIMM10B	8.81684265443064e-06	0.579709850226376	0.571	0.036	0.24311561935327	motor	TIMM10B
VPS4B	8.81684265443064e-06	0.546980837031201	0.571	0.036	0.24311561935327	motor	VPS4B
HDAC3	8.81684265443064e-06	0.536290027716898	0.571	0.036	0.24311561935327	motor	HDAC3
NUDCD3	8.81684265443064e-06	0.447717727962203	0.571	0.036	0.24311561935327	motor	NUDCD3
LRTM1	8.81684265443064e-06	0.385383809680082	0.571	0.036	0.24311561935327	motor	LRTM1
ATF6B	8.81684265443064e-06	0.348812388621923	0.571	0.036	0.24311561935327	motor	ATF6B
GALNT8	9.0588295593701e-06	0.801021260171045	0.714	0.071	0.249788166270071	motor	GALNT8
TMEM126B	9.0588295593701e-06	0.748865293808992	0.714	0.071	0.249788166270071	motor	TMEM126B
GUCY1A2	9.0588295593701e-06	0.696706799065413	0.714	0.071	0.249788166270071	motor	GUCY1A2
IFT27	1.06980992727521e-05	0.794216050175326	0.714	0.071	0.294989389346866	motor	IFT27
NSMF	1.06980992727521e-05	0.67392372258575	0.714	0.071	0.294989389346866	motor	NSMF
NFAT5	1.07562464037523e-05	0.887732327506785	0.571	0.036	0.296592738337066	motor	NFAT5
TTC9	1.07562464037523e-05	0.849193531535405	0.571	0.036	0.296592738337066	motor	TTC9
RP11-254F7.2	1.07562464037523e-05	0.789443216756251	0.571	0.036	0.296592738337066	motor	RP11-254F7.2
NUDT8	1.07562464037523e-05	0.630694593326705	0.571	0.036	0.296592738337066	motor	NUDT8
CCDC88A	1.07562464037523e-05	0.620866397926148	0.571	0.036	0.296592738337066	motor	CCDC88A
UBXN2B	1.07562464037523e-05	0.601765710854119	0.571	0.036	0.296592738337066	motor	UBXN2B
POLR3F	1.07562464037523e-05	0.575301156084293	0.571	0.036	0.296592738337066	motor	POLR3F
DENND1B	1.07562464037523e-05	0.567351727834704	0.571	0.036	0.296592738337066	motor	DENND1B
LPAR2	1.07562464037523e-05	0.527282029453649	0.571	0.036	0.296592738337066	motor	LPAR2
TMEM53	1.07562464037523e-05	0.509754192579434	0.571	0.036	0.296592738337066	motor	TMEM53
SEC22C	1.07562464037523e-05	0.403482362507067	0.571	0.036	0.296592738337066	motor	SEC22C
FMN2	1.07562464037523e-05	0.319901750585548	0.571	0.036	0.296592738337066	motor	FMN2
ZNF775	1.07562464037523e-05	0.316161339470333	0.571	0.036	0.296592738337066	motor	ZNF775
NXN	1.07562464037523e-05	0.306161500425175	0.571	0.036	0.296592738337066	motor	NXN
CRAT	1.26183554343643e-05	0.589331804010354	0.714	0.071	0.347938532747161	motor	CRAT
ANO10	1.3099050317373e-05	0.592784261052474	0.571	0.036	0.361193213451243	motor	ANO10
DUBR	1.3099050317373e-05	0.502047789889912	0.571	0.036	0.361193213451243	motor	DUBR
ZNF467	1.3099050317373e-05	0.385805071041213	0.571	0.036	0.361193213451243	motor	ZNF467
TMEM11	1.3099050317373e-05	0.341137350689886	0.571	0.036	0.361193213451243	motor	TMEM11
DNAL4	1.3099050317373e-05	0.302968297082737	0.571	0.036	0.361193213451243	motor	DNAL4
