	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
GAD2	7.29592764860262e-70	1.30091233731669	0.43	0.096	2.01177908982569e-65	motor	GAD2
DLX1	2.61713809206451e-67	0.842277604254096	0.451	0.099	7.21649657505868e-63	motor	DLX1
DLX2	4.01827805955948e-61	0.843919664062073	0.451	0.112	1.10799999214293e-56	motor	DLX2
RBP1	1.71810308502539e-57	0.758749868093675	0.775	0.357	4.737497446649e-53	motor	RBP1
HMGN2	9.22370963491163e-57	0.505151037618046	0.992	0.903	2.54334569473053e-52	motor	HMGN2
TOX3	4.30918335309818e-55	0.626081021977927	0.643	0.264	1.18821421778329e-50	motor	TOX3
RND3	7.03342593222345e-52	0.933198852430421	0.752	0.386	1.93939686655129e-47	motor	RND3
DLX5	7.75307900926144e-50	0.823789472215137	0.408	0.109	2.13783400601375e-45	motor	DLX5
TUBA1B	7.00649698490315e-47	0.456394988199685	1	0.955	1.93197147861719e-42	motor	TUBA1B
HMGB1	1.95529863916568e-45	0.363636508761927	1	0.974	5.39154046763545e-41	motor	HMGB1
LGALS1	7.68513806638025e-43	0.860814793777284	0.737	0.388	2.11909997042369e-38	motor	LGALS1
GLCCI1	9.88241061244328e-43	0.575295026917793	0.522	0.219	2.72497590227511e-38	motor	GLCCI1
TMSB4X	1.50948680048309e-40	0.358690736539156	1	0.996	4.16225890365208e-36	motor	TMSB4X
ARX	3.27182528181847e-40	0.520577099785396	0.577	0.251	9.02173103208626e-36	motor	ARX
PFN2	1.42289913310893e-36	0.720857271760565	0.937	0.658	3.92350206963458e-32	motor	PFN2
RNASEH2B	4.79786137529354e-36	0.425573353351847	0.81	0.446	1.32296229562344e-31	motor	RNASEH2B
TIAM2	1.64159319151786e-35	0.372854925577802	0.41	0.15	4.52652906629135e-31	motor	TIAM2
HIST1H2BG	4.92065889806614e-35	0.38853221421386	0.304	0.084	1.35682248455276e-30	motor	HIST1H2BG
ZEB2	3.02245230088558e-32	0.331678090284784	0.653	0.326	8.3341099744619e-28	motor	ZEB2
TPT1	5.38407676339215e-32	0.274028433137097	1	0.968	1.48460532673775e-27	motor	TPT1
CDCA7	2.00961307190593e-31	0.33382673358837	0.554	0.261	5.5413070844734e-27	motor	CDCA7
CENPU	8.95659228965911e-31	0.350715331214241	0.828	0.447	2.4696907579506e-26	motor	CENPU
H2AFZ	4.92148063287343e-29	0.317890343887252	0.997	0.913	1.35704906970852e-24	motor	H2AFZ
C11orf96	4.1719980363903e-28	0.494495443662388	0.603	0.305	1.15038673855426e-23	motor	C11orf96
MAGI1	4.72114180797663e-28	0.279674133307217	0.58	0.294	1.30180764213148e-23	motor	MAGI1
DDX39A	3.80129959164279e-27	0.274506189435362	0.792	0.432	1.04817034939958e-22	motor	DDX39A
CDCA4	2.69474494706449e-26	0.262193179455417	0.608	0.319	7.43048971703562e-22	motor	CDCA4
MCM7	1.23246329843111e-25	0.329966700393454	0.803	0.456	3.39839429909393e-21	motor	MCM7
SAP30	1.41484670587448e-25	0.258348767567067	0.734	0.408	3.90129830677828e-21	motor	SAP30
TYMS	1.57553849197815e-25	0.368035966093513	0.83	0.496	4.34438983778056e-21	motor	TYMS
MAD2L1	9.0070989276296e-24	0.314727772412939	0.813	0.467	2.48361745830459e-19	motor	MAD2L1
TMEM123	3.68554126467939e-23	0.314685481268759	0.585	0.317	1.0162511483227e-18	motor	TMEM123
HAT1	1.18143462124883e-22	0.260221000719089	0.656	0.37	3.25768782463153e-18	motor	HAT1
SMC2	2.4295263333427e-22	0.283229560341492	0.754	0.442	6.69917591155917e-18	motor	SMC2
ARL4D	4.81096304796414e-22	0.290154952381086	0.491	0.248	1.32657495084563e-17	motor	ARL4D
CKS1B	5.23354730883774e-22	0.28339400259418	0.706	0.407	1.44309833493892e-17	motor	CKS1B
SGOL1	5.60804455441281e-22	0.263400144897659	0.608	0.33	1.54636220543379e-17	motor	SGOL1
RNASEH2A	6.63538274163878e-22	0.263581330898992	0.787	0.456	1.82964043717948e-17	motor	RNASEH2A
HMGB2	8.42641401083896e-22	0.341111903805163	0.939	0.763	2.32349939934874e-17	motor	HMGB2
H2AFV	2.44485990998837e-21	0.299426345449923	0.934	0.607	6.74145671580194e-17	motor	H2AFV
RAD51AP1	9.98526822092267e-21	0.254133370805583	0.6	0.341	2.75333785923722e-16	motor	RAD51AP1
PCNA	1.69845445561773e-20	0.268519541736966	0.727	0.415	4.68331831592033e-16	motor	PCNA
CDT1	2.12679148061966e-20	0.270841616993611	0.557	0.303	5.86441482866065e-16	motor	CDT1
INSM1	8.55224227003409e-20	0.322490011198508	0.818	0.519	2.3581952835392e-15	motor	INSM1
COL1A2	6.89490631481253e-19	0.739695598402321	0.304	0.134	1.90120146724641e-14	motor	COL1A2
KIAA0101	1.64460614560679e-18	0.320143040329496	0.79	0.503	4.53483698589617e-14	motor	KIAA0101
TOP2A	1.67320697157127e-18	0.389895168217641	0.787	0.525	4.61370090341062e-14	motor	TOP2A
CKAP2	2.4988553783273e-18	0.303980154826301	0.724	0.435	6.89034382019971e-14	motor	CKAP2
DUT	2.57287083619839e-18	0.314661885893585	0.884	0.579	7.09443404373344e-14	motor	DUT
UBE2T	3.73767416412335e-18	0.270925856375639	0.863	0.544	1.03062627401537e-13	motor	UBE2T
ELAVL4	9.70362631497862e-18	0.267793878694322	0.759	0.463	2.67567792009221e-13	motor	ELAVL4
RP11-436D23.1	1.27433774899147e-17	0.25257329107652	0.504	0.278	3.51385890906909e-13	motor	RP11-436D23.1
DLX6-AS1	2.25362181162759e-17	0.579461152726203	0.433	0.226	6.21413678338192e-13	motor	DLX6-AS1
H1FX	2.1605779681753e-16	0.258971600006484	0.997	0.9	5.95757768944657e-12	motor	H1FX
NUSAP1	2.53978331029345e-16	0.303259947184058	0.838	0.557	7.00319849980316e-12	motor	NUSAP1
CENPF	3.32270727691242e-16	0.315689047055902	0.787	0.517	9.1620330453583e-12	motor	CENPF
CARHSP1	9.06618626071277e-16	0.259703588464199	0.927	0.617	2.49991019952894e-11	motor	CARHSP1
CKS2	1.25154128145722e-14	0.311933293796922	0.722	0.483	3.45099992949013e-10	motor	CKS2
ASPM	4.03061844751634e-14	0.315006034012966	0.527	0.323	1.11140273071816e-09	motor	ASPM
CKB	7.91488680093829e-14	0.251005677472931	0.997	0.933	2.18245088649072e-09	motor	CKB
KPNA2	3.46930162407078e-12	0.258718085113418	0.734	0.494	9.56625229821276e-08	motor	KPNA2
GADD45G	2.43063021195896e-11	0.323350263080517	0.732	0.515	6.70221974645563e-07	motor	GADD45G
TUBB4B	2.48986396011185e-11	0.301028030085256	0.904	0.687	6.86555088361241e-07	motor	TUBB4B
HSPA1A	3.99247830205118e-10	0.328904019539202	0.82	0.619	1.10088596700759e-05	motor	HSPA1A
PTTG1	6.57185691609634e-10	0.294992989136366	0.795	0.567	1.8121238260444e-05	motor	PTTG1
UBE2C	9.21347702863825e-10	0.366496989149682	0.749	0.536	2.54052415587671e-05	motor	UBE2C
CCNB2	1.16281629547326e-09	0.25063247933863	0.658	0.45	3.20634965313797e-05	motor	CCNB2
HIST1H4C	4.59860777025819e-09	0.38126510574838	0.937	0.85	0.000126802010657099	motor	HIST1H4C
UBE2S	1.55042880055702e-08	0.252273194919927	0.929	0.729	0.000427515237465594	motor	UBE2S
ARL6IP1	7.0149201553912e-07	0.273596286406757	0.757	0.568	0.0193429408364757	motor	ARL6IP1
CDK2AP1	4.42378799205709e-41	0.364491443585548	0.633	0.192	1.21981530092982e-36	parietal	CDK2AP1
WIPF3	1.15931428352495e-30	0.349059278167316	0.739	0.282	3.1966932053917e-26	parietal	WIPF3
HLA-C	2.34311986417052e-29	0.437611208383364	0.583	0.212	6.4609187134638e-25	parietal	HLA-C
UHRF1	2.8257175564425e-25	0.375886870049128	0.644	0.263	7.79163359013455e-21	parietal	UHRF1
AHCY	7.87262486007331e-24	0.313871303400797	0.644	0.266	2.17079757891661e-19	parietal	AHCY
HLA-A	1.70478726943663e-23	0.334061231172769	0.656	0.289	4.70078041674456e-19	parietal	HLA-A
SMC21	4.05462522300882e-23	0.42352495159888	0.894	0.46	1.11802235899245e-18	parietal	SMC2
C1QL1	4.86450584707884e-22	0.394798492070571	0.472	0.165	1.34133884227352e-17	parietal	C1QL1
CENPU1	8.54599974243304e-22	0.39921787018358	0.906	0.476	2.35647396897849e-17	parietal	CENPU
NME4	1.13454608847003e-21	0.340174784487397	0.867	0.442	3.12839738434726e-17	parietal	NME4
