	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT-ND3	8.34375053657688e-96	0.440267125243568	1	1	2.30070577295571e-91	motor	MT-ND3
MT-ND4	3.9603114512749e-80	0.384113399776158	1	0.999	1.09201627957454e-75	motor	MT-ND4
MT-CO2	1.46814834947059e-67	0.304314890345948	1	1	4.04827225883021e-63	motor	MT-CO2
MT-ATP6	1.74665270405965e-61	0.290594774462333	1	1	4.81622016617409e-57	motor	MT-ATP6
MT-CYB	1.3208471235581e-58	0.300611194183829	1	1	3.64210385849909e-54	motor	MT-CYB
MT-ND2	3.304848875073e-50	0.40199447585261	1	0.988	9.11279028812628e-46	motor	MT-ND2
RBP1	7.29328289643712e-46	0.720565142298029	0.711	0.393	2.01104982586357e-41	motor	RBP1
MT-ND5	4.22515965296466e-24	0.307914441373971	0.985	0.948	1.16504552270847e-19	motor	MT-ND5
MT-ND4L	7.0034388867947e-21	0.339857039383068	0.909	0.84	1.93112823864477e-16	motor	MT-ND4L
TIMP3	1.3784820066045e-14	0.359954524096203	0.269	0.126	3.80102628501124e-10	motor	TIMP3
STK17A	1.27413513593274e-10	0.261482899516388	0.33	0.195	3.51330022382093e-06	motor	STK17A
PPP1R17	2.74554661240763e-10	0.275469817061128	0.891	0.767	7.57057022905279e-06	motor	PPP1R17
MEF2C	4.559851782252e-10	0.295072281132379	0.343	0.204	1.25733353043817e-05	motor	MEF2C
LGALS1	4.71384058806048e-05	0.257505677679002	0.269	0.184	1	motor	LGALS1
AC090498.1	8.23360202510138e-36	0.39069165927329	0.828	0.646	2.27033342240145e-31	parietal	AC090498.1
MTRNR2L121	4.05750064404379e-31	0.364350165339594	0.872	0.718	1.11881522758864e-26	parietal	MTRNR2L12
RP11-437B10.1	1.5202206955478e-30	0.362792393938008	0.425	0.198	4.19185654590351e-26	parietal	RP11-437B10.1
HLA-C	4.03266636112794e-20	0.354642169861883	0.528	0.337	1.11196742241742e-15	parietal	HLA-C
CDK2AP1	3.6562156321046e-19	0.281880224367775	0.295	0.141	1.00816489839652e-14	parietal	CDK2AP1
HLA-B	1.41901392158511e-13	0.286378561990566	0.366	0.221	3.91278898737877e-09	parietal	HLA-B
B2M	2.13526717541123e-12	0.274075350570252	0.737	0.646	5.88778570947894e-08	parietal	B2M
RASD11	6.51530644707195e-10	0.32006087524227	0.384	0.269	1.79653059971562e-05	parietal	RASD1
BCYRN1	6.23286545447291e-36	0.641755522624563	0.462	0.129	1.71865032041636e-31	PFC	BCYRN1
SNHG25	8.65386750381569e-36	0.575757038681917	0.407	0.099	2.38621742550214e-31	PFC	SNHG25
RBP12	1.04048414843598e-24	0.720332216019746	0.725	0.418	2.86903099089738e-20	PFC	RBP1
NTM	6.46744166635027e-22	0.732485836058097	0.857	0.676	1.78333236507942e-17	PFC	NTM
RBMX	3.82830137326061e-19	0.474006735653476	0.885	0.738	1.05561582066288e-14	PFC	RBMX
HSPA1A	3.38620826995715e-14	0.946645829222175	0.747	0.611	9.33713068357984e-10	PFC	HSPA1A
DPYSL2	3.29691588800653e-12	0.344339493440957	0.769	0.608	9.09091586958922e-08	PFC	DPYSL2
NMT1	6.88373221971652e-12	0.334247263779126	0.412	0.205	1.89812032226463e-07	PFC	NMT1
PPP1R171	8.70046571938806e-11	0.379910190839501	0.896	0.777	2.39906641746406e-06	PFC	PPP1R17
DYNC1I2	6.93491770532755e-10	0.289483784290542	0.879	0.787	1.91223420806702e-05	PFC	DYNC1I2
AC004158.3	2.16210273298192e-09	0.379578658417137	0.412	0.244	5.96178207592434e-05	PFC	AC004158.3
SNHG9	3.64493867906833e-09	0.284552050854268	0.308	0.153	0.00010050553913663	PFC	SNHG9
RERE	4.32713150868428e-08	0.348422165421265	0.67	0.525	0.0011931632422046	PFC	RERE
EMX2	4.35475550357352e-08	0.361801366741533	0.709	0.604	0.00120078028255536	PFC	EMX2
CHRDL1	5.54289493879518e-08	0.338660229408495	0.33	0.186	0.00152839785042338	PFC	CHRDL1
EGR1	6.93923154556182e-08	0.352995798249211	0.626	0.434	0.00191342370637322	PFC	EGR1
HSPA1B	7.4991919063614e-08	0.514209760234988	0.637	0.483	0.00206782717626009	PFC	HSPA1B
CBX3	1.29298985297853e-07	0.277505219621682	0.824	0.75	0.00356529022060299	PFC	CBX3
MTRNR2L1	3.78077902158623e-07	0.31764247929381	0.555	0.41	0.0104251200741219	PFC	MTRNR2L1
CLMP	5.41860486203213e-07	0.274385881948936	0.72	0.605	0.0149412610465674	PFC	CLMP
SCN3A	2.582990069661e-06	0.283235459876757	0.335	0.194	0.0712233681808325	PFC	SCN3A
TMEM158	2.77580384736845e-06	0.281567764054554	0.978	0.985	0.0765400152873377	PFC	TMEM158
AP2B1	2.81141731911154e-06	0.271100951551201	0.445	0.302	0.0775220211571815	PFC	AP2B1
DHRS7	5.18813180266689e-06	0.272710745860402	0.467	0.343	0.143057546326737	PFC	DHRS7
