	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
RBP1	1.462673630893e-08	0.520310764849924	0.416	0.218	0.000403317626982436	motor	RBP1
AC004158.3	1.02226741210596e-05	0.268054779123814	0.29	0.152	0.281880016214099	motor	AC004158.3
CSRP2	3.52428994722276e-05	0.346855350520468	0.537	0.361	0.971787710047204	motor	CSRP2
SLAIN1	0.000230034849462136	0.310041721527034	0.257	0.145	1	motor	SLAIN1
APOC1	0.000519613211298823	0.323058040130546	0.715	0.558	1	motor	APOC1
POU3F2	0.000581520383558803	0.258965033558963	0.341	0.221	1	motor	POU3F2
RND3	0.000927764046502746	0.254332233182462	0.308	0.197	1	motor	RND3
LGALS1	0.00112571275508109	0.334243779949395	0.379	0.269	1	motor	LGALS1
DLX6-AS1	0.00797503064331647	0.355865341719811	0.28	0.193	1	motor	DLX6-AS1
SPP1	3.10001622771275e-20	1.18824762500692	0.914	0.656	8.54798474629514e-16	parietal	SPP1
CD68	7.71908687764936e-19	0.691012059236784	0.789	0.511	2.12846101564304e-14	parietal	CD68
RGS10	5.51026406992721e-17	0.62638132764636	0.876	0.585	1.51940021464173e-12	parietal	RGS10
RNASEK	5.98218698627242e-17	0.448416696309616	0.524	0.216	1.64952823959476e-12	parietal	RNASEK
NPL	5.11320110521367e-16	0.638527837832021	0.568	0.273	1.40991407275162e-11	parietal	NPL
S100A11	2.63458752386305e-15	0.660967842866123	0.8	0.542	7.26461163829998e-11	parietal	S100A11
ARHGDIB	2.95722668677412e-15	0.582975544611975	0.773	0.487	8.15425686611097e-11	parietal	ARHGDIB
TMSB4X	4.34203844555985e-15	0.386637573028609	1	0.996	1.19727368097867e-10	parietal	TMSB4X
TREM2	5.72797396495306e-15	0.6559500140986	0.773	0.516	1.57943154109616e-10	parietal	TREM2
AC090498.1	9.2590053101879e-15	0.459991014339864	0.838	0.574	2.55307812423121e-10	parietal	AC090498.1
PLA2G7	1.16739722356918e-14	0.663200306300607	0.459	0.202	3.21898110426965e-10	parietal	PLA2G7
FTL	1.22030919955195e-14	0.532361620768554	1	1	3.36488058684454e-10	parietal	FTL
CAPZB	2.08352810181046e-14	0.495630621258279	0.886	0.63	5.74512038793215e-10	parietal	CAPZB
B2M	3.47891985832614e-14	0.507869920854324	0.897	0.676	9.5927736173485e-10	parietal	B2M
GYPC	5.78924889066221e-14	0.654025227882029	0.686	0.397	1.5963274891112e-09	parietal	GYPC
ARPC1B	1.02517687850823e-13	0.556881009456522	0.778	0.542	2.8268227247986e-09	parietal	ARPC1B
APOE	1.90776502039897e-13	0.571721384931824	0.93	0.673	5.26047126724813e-09	parietal	APOE
TYROBP	3.58022173351083e-13	0.520171503289747	0.843	0.613	9.87210340798276e-09	parietal	TYROBP
UCP2	1.22265466111542e-12	0.57313863070935	0.654	0.398	3.37134796255965e-08	parietal	UCP2
APOC11	1.28740937770623e-12	0.6513612233658	0.805	0.542	3.54990261808716e-08	parietal	APOC1
AIF1	1.51427095399153e-12	0.471571007604052	0.87	0.652	4.17545072853624e-08	parietal	AIF1
COTL1	2.42691796285536e-12	0.493592487488888	0.838	0.618	6.69198359077736e-08	parietal	COTL1
TPT1	3.23087730120463e-12	0.366187997837351	1	0.978	8.90882107034165e-08	parietal	TPT1
OAZ1	8.321424418523e-12	0.453466046491384	0.951	0.743	2.29454956916353e-07	parietal	OAZ1
PFN1	1.20256983026576e-11	0.516094525158692	0.886	0.699	3.3159660499748e-07	parietal	PFN1
GPX1	1.47052067711017e-11	0.470861581975831	0.973	0.816	4.05481371506358e-07	parietal	GPX1
NPC2	1.52024556561407e-11	0.541407905841596	0.676	0.429	4.19192512262425e-07	parietal	NPC2
CREG1	1.62479812970074e-11	0.493367497798314	0.616	0.371	4.48021836283683e-07	parietal	CREG1
BIN1	2.10986088269056e-11	0.530585303412712	0.843	0.591	5.81773039793094e-07	parietal	BIN1
TBC1D4	4.51166392462222e-11	0.268274716853044	0.265	0.086	1.24404621057533e-06	parietal	TBC1D4
LGALS3	4.85006127859498e-11	0.589719850875079	0.416	0.195	1.33735589695978e-06	parietal	LGALS3
FCER1G	5.4685937111958e-11	0.562271325026172	0.692	0.465	1.50791002992513e-06	parietal	FCER1G
C1QC	1.97557163658555e-10	0.429511688585399	0.8	0.595	5.44744123072098e-06	parietal	C1QC
RPL23A	2.23706842702626e-10	0.318196196726391	0.989	0.934	6.16849248068222e-06	parietal	RPL23A
SAT1	2.37634860673691e-10	0.416467528817499	0.854	0.634	6.55254364821635e-06	parietal	SAT1
RHOA	5.84161431953923e-10	0.430431631930455	0.811	0.597	1.61076673246975e-05	parietal	RHOA
CD37	1.13200639623272e-09	0.469692309133038	0.622	0.406	3.12139443697211e-05	parietal	CD37
C3AR1	1.22897288941518e-09	0.383814895365453	0.357	0.164	3.38876984527343e-05	parietal	C3AR1
VSIG4	1.24421808905557e-09	0.584112656473082	0.643	0.421	3.43080695876184e-05	parietal	VSIG4
GSN	1.44658149324078e-09	0.522404508988968	0.708	0.488	3.98880380946212e-05	parietal	GSN
OSTF1	1.55975085290438e-09	0.432645574833193	0.53	0.315	4.30085700179854e-05	parietal	OSTF1
CD63	1.60834627207421e-09	0.441477148202349	0.816	0.606	4.43485401061741e-05	parietal	CD63
CSTB	1.61575817252526e-09	0.50344084392817	0.741	0.508	4.45529158492117e-05	parietal	CSTB
CD74	1.81549992412667e-09	0.768428109351033	0.67	0.449	5.00605949078688e-05	parietal	CD74
LAPTM5	1.91804469215427e-09	0.381401316989437	0.681	0.433	5.28881643414619e-05	parietal	LAPTM5
SERPINB1	1.94063180765129e-09	0.45756546280204	0.411	0.212	5.35109814641767e-05	parietal	SERPINB1
ASAH1	1.9557685823489e-09	0.455441959103147	0.714	0.496	5.39283628896886e-05	parietal	ASAH1
MYOZ2	2.72043418548815e-09	0.573059526012829	0.362	0.171	7.50132522306503e-05	parietal	MYOZ2
HLA-C	3.28759368277999e-09	0.474873569610515	0.573	0.371	9.06521082089755e-05	parietal	HLA-C
CLIC1	3.3061665201215e-09	0.392990078992726	0.649	0.414	9.11642356258301e-05	parietal	CLIC1
TGFB1	4.11842604205049e-09	0.408431547787892	0.573	0.353	0.0001135614796835	parietal	TGFB1
ITM2B	5.5139783461618e-09	0.385987962683109	0.973	0.835	0.000152042438917066	parietal	ITM2B
CAPG	5.99952608751802e-09	0.546024923120733	0.562	0.353	0.000165430932337222	parietal	CAPG
S100A13	6.27134770255455e-09	0.383211542013745	0.368	0.179	0.000172926141550239	parietal	S100A13
CD14	6.37824402689078e-09	0.650875131253872	0.481	0.274	0.000175873700797487	parietal	CD14
MPP1	6.63366452833001e-09	0.494019717429339	0.341	0.16	0.000182916665704172	parietal	MPP1
SH3BGRL3	7.95697343100994e-09	0.371790685427749	0.854	0.695	0.000219405585386668	parietal	SH3BGRL3
LGALS9	7.95822638342676e-09	0.355178077699219	0.362	0.176	0.000219440134296609	parietal	LGALS9
NINJ1	8.40590597123285e-09	0.422726294781598	0.681	0.474	0.000231784451250775	parietal	NINJ1
TMEM14C	8.69772516522486e-09	0.387707818384206	0.638	0.403	0.00023983107370591	parietal	TMEM14C
PIH1D1	9.56735393937618e-09	0.383223732685991	0.686	0.458	0.000263810217524359	parietal	PIH1D1
FCGR1A	1.00839556092602e-08	0.509248451970178	0.584	0.397	0.000278054991969741	parietal	FCGR1A
CD99	1.09334094679339e-08	0.465168902641473	0.578	0.38	0.000301477832668808	parietal	CD99
HPGDS	1.20307864730336e-08	0.475478692081151	0.562	0.371	0.000331736906207429	parietal	HPGDS
ARRB2	1.24089605507097e-08	0.387529781502723	0.6	0.38	0.00034216467822527	parietal	ARRB2
SERF2	1.41058067899436e-08	0.32890530940701	0.984	0.886	0.000388953516425905	parietal	SERF2
