	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MT-ND3	1.4350263443203e-173	0.35721019612312	1	0.999	3.95694164182878e-169	motor	MT-ND3
MT-ATP6	2.64705726733951e-117	0.264477944144899	1	1	7.29899570896197e-113	motor	MT-ATP6
MT-ND4	4.9529651191349e-116	0.265701562020409	1	0.999	1.36573060195026e-111	motor	MT-ND4
MT-CYB	2.11193015708681e-100	0.258176008724654	1	0.999	5.82343621515118e-96	motor	MT-CYB
MT-CO3	7.76048548868721e-96	0.250541409069293	1	1	2.13987626865061e-91	motor	MT-CO3
RBP1	4.61206252983706e-72	0.523225367284612	0.515	0.255	1.27173012197727e-67	motor	RBP1
MEIS2	1.97107590788067e-63	0.38535510676533	0.929	0.802	5.43504470839015e-59	motor	MEIS2
MT-ND4L	3.09053457927543e-47	0.255473666668092	0.914	0.859	8.52184004889406e-43	motor	MT-ND4L
MIF	4.40425386584233e-44	0.255472652244493	0.841	0.767	1.21442896096736e-39	motor	MIF
NFIA	1.56792871194404e-40	0.313466450320225	0.548	0.39	4.32340663031451e-36	motor	NFIA
SRM	1.94199373366361e-35	0.496687753176259	0.771	0.727	5.35485352120405e-31	motor	SRM
LMO3	9.97719633765025e-30	0.2696586001357	0.482	0.298	2.75111211814368e-25	motor	LMO3
VSTM2L	2.10946470778775e-28	0.42494425059161	0.434	0.265	5.81663798525394e-24	motor	VSTM2L
BCL11B	6.75431308964704e-26	0.269274970309479	0.266	0.148	1.86243429133927e-21	motor	BCL11B
AC004158.3	2.06800017658776e-22	0.291714114553762	0.525	0.383	5.7023036869231e-18	motor	AC004158.3
CSRP2	3.71911886575218e-13	0.277744420897754	0.858	0.825	1.02550983604251e-08	motor	CSRP2
AC090498.1	1.13358576461766e-94	0.411439996307684	0.811	0.531	3.12574938735674e-90	parietal	AC090498.1
HIST1H4C1	4.1750334567635e-75	0.3480311054456	0.944	0.838	1.15122372536797e-70	parietal	HIST1H4C
LHX21	1.5182628704e-72	0.389109567372794	0.735	0.474	4.18645803884096e-68	parietal	LHX2
SEPT5	3.33759711742184e-71	0.379950460152641	0.576	0.297	9.20309029157898e-67	parietal	SEPT5
RPL17	1.19421910423212e-69	0.36354162251954	0.608	0.335	3.29293975800965e-65	parietal	RPL17
RP11-437B10.1	2.19391803781925e-66	0.314994374727706	0.414	0.156	6.04950959748279e-62	parietal	RP11-437B10.1
EEF21	1.9024067171241e-57	0.255228268710512	0.981	0.927	5.24569628179801e-53	parietal	EEF2
MTRNR2L12	1.84537439424431e-51	0.35328284285673	0.784	0.57	5.08843535468925e-47	parietal	MTRNR2L12
NKAIN3	8.79202011500173e-47	0.259131055311601	0.413	0.208	2.42431162651058e-42	parietal	NKAIN3
ROBO2	1.58315549739162e-45	0.327084418769604	0.545	0.297	4.36539296850767e-41	parietal	ROBO2
INSM11	1.32496780688196e-44	0.404626008137883	0.64	0.4	3.65346623069631e-40	parietal	INSM1
NR2F11	1.5312687883046e-44	0.267779421650795	0.77	0.523	4.22232055687111e-40	parietal	NR2F1
HEBP2	5.65779874084103e-44	0.295600697944619	0.533	0.302	1.56008142479951e-39	parietal	HEBP2
RNF1821	2.86728317050271e-40	0.288951051636764	0.556	0.327	7.90624661434416e-36	parietal	RNF182
TLE1	7.43350867294663e-40	0.281286381019716	0.364	0.173	2.0497156814783e-35	parietal	TLE1
NR4A2	3.08802366176881e-38	0.300719220909033	0.281	0.123	8.51491644496132e-34	parietal	NR4A2
MCUR11	5.64025311586534e-38	0.328341021867782	0.621	0.416	1.55524339416871e-33	parietal	MCUR1
FAM57B1	6.46346860119994e-37	0.250149335756623	0.636	0.427	1.78223683209487e-32	parietal	FAM57B
KIAA1324	4.03291946721143e-35	0.275366701495803	0.268	0.114	1.11203721388888e-30	parietal	KIAA1324
ARHGAP21	2.93257968756121e-34	0.279957347653632	0.761	0.562	8.08629523048127e-30	parietal	ARHGAP21
SDCBP	2.61615182581516e-31	0.286045640655698	0.843	0.674	7.21377704450273e-27	parietal	SDCBP
COL9A2	3.12216068007216e-30	0.296625170804686	0.365	0.185	8.60904585923098e-26	parietal	COL9A2
