	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
MIF	3.46649483789313e-22	0.487431901131827	0.938	0.73	9.55851286600652e-18	motor	MIF
AC090498.1	2.65888325128855e-16	0.334708255845985	0.815	0.491	7.33160467710304e-12	motor	AC090498.1
ARF5	1.07419026171039e-12	0.345281215949253	0.758	0.509	2.96197222764022e-08	motor	ARF5
RBP1	0.00161320882410192	0.255809774973269	0.701	0.603	1	motor	RBP1
RP11-437B10.1	3.4737056372562e-13	0.482468311275348	0.569	0.16	9.57839592417024e-09	parietal	RP11-437B10.1
CDK2AP1	3.55409504454321e-11	0.427280627066153	0.471	0.133	9.80006167582344e-07	parietal	CDK2AP1
NPY	3.75596789258267e-09	1.0856629024803	0.49	0.18	0.000103567058670074	parietal	NPY
NCAPH2	4.12823742861373e-09	0.344036410748491	0.431	0.129	0.000113832018856595	parietal	NCAPH2
RMDN1	1.23214447030362e-08	0.303105102085365	0.314	0.076	0.00033975151624152	parietal	RMDN1
METAP1D	2.56410810619331e-08	0.306419926605397	0.392	0.115	0.000707027169201743	parietal	METAP1D
AHI1	3.16633949875422e-08	0.373754937032328	0.529	0.197	0.000873086453386488	parietal	AHI1
TRIM24	6.92011686688717e-08	0.379181459931311	0.608	0.243	0.00190815302487547	parietal	TRIM24
SPC25	1.67448622234841e-07	0.306879710734286	0.275	0.068	0.0046172283095035	parietal	SPC25
VCP	2.20955112132812e-07	0.434652055169351	0.941	0.556	0.00609261626195015	parietal	VCP
MAP3K4	2.57043988761661e-07	0.325887251100853	0.373	0.118	0.00708773094611403	parietal	MAP3K4
KIAA0141	2.85739613593044e-07	0.313725733128811	0.333	0.099	0.00787898410521461	parietal	KIAA0141
GSS	2.98436319104714e-07	0.270350364015357	0.471	0.168	0.00822908306299339	parietal	GSS
MTRNR2L12	4.4760802453382e-07	0.473269118868325	0.882	0.624	0.0123423436684956	parietal	MTRNR2L12
DPP10	5.89754578229301e-07	0.304334107599007	0.451	0.157	0.0162618927400947	parietal	DPP10
HIST1H4C1	5.90830467432684e-07	1.19671220964136	0.922	0.698	0.0162915593089888	parietal	HIST1H4C
POLR3K	6.1384226092853e-07	0.288661540484972	0.431	0.16	0.0169260865028433	parietal	POLR3K
AC090498.11	6.49882358647478e-07	0.361925605668743	0.863	0.553	0.0179198561573456	parietal	AC090498.1
FIBIN	6.86967144984238e-07	0.626331493980901	0.608	0.298	0.0189424320557954	parietal	FIBIN
RRM1	7.63281656239931e-07	0.455548336268204	0.51	0.214	0.0210467283891599	parietal	RRM1
SAV1	9.72645830293364e-07	0.260905273395404	0.373	0.127	0.0268197361245092	parietal	SAV1
PGP	9.95607963664478e-07	0.38644372714513	0.647	0.303	0.0274528939900843	parietal	PGP
CDT1	1.38577933839967e-06	0.401310479772343	0.412	0.158	0.0382114794770326	parietal	CDT1
RP11-15A1.3	1.94947354746725e-06	0.27068256436996	0.255	0.07	0.053754783597862	parietal	RP11-15A1.3
WDR76	3.14021756489811e-06	0.327753315483872	0.314	0.104	0.0865883591345006	parietal	WDR76
COMMD1	3.26345261336753e-06	0.316514276569101	0.686	0.315	0.0899864423609963	parietal	COMMD1
NUBP2	4.27338360409585e-06	0.305088707919626	0.608	0.279	0.117834279499339	parietal	NUBP2
ZNF445	4.32835880515451e-06	0.296819780452942	0.333	0.11	0.11935016569333	parietal	ZNF445
SEL1L3	5.63778498532881e-06	0.38170296477811	0.471	0.197	0.155456283185457	parietal	SEL1L3
MIF1	8.41936552119774e-06	0.351211382385634	0.961	0.771	0.232155584881506	parietal	MIF
RWDD2A	9.24332955321448e-06	0.321678857397993	0.333	0.119	0.254875569100336	parietal	RWDD2A
KBTBD7	9.53273650013082e-06	0.262525911591108	0.431	0.175	0.262855676254607	parietal	KBTBD7
CCDC14	9.6363794038838e-06	0.273270651510903	0.627	0.296	0.265713525682692	parietal	CCDC14
ACTR8	1.14069138761765e-05	0.253238682362686	0.294	0.096	0.314534243221691	parietal	ACTR8
LHX2	1.15188698141091e-05	0.501017689664637	0.686	0.421	0.317621316254246	parietal	LHX2
KCND3	1.18639127681877e-05	0.275960647453221	0.392	0.152	0.327135530670006	parietal	KCND3
SETD5	1.31251992326434e-05	0.369793204127514	0.686	0.388	0.36191424364091	parietal	SETD5
