	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
S100A16	4.26468155932322e-84	0.776582638745672	0.625	0.14	1.17594329316779e-79	motor	S100A16
LAMP5	8.31882978797498e-81	0.73140521813195	0.618	0.149	2.29383412573622e-76	motor	LAMP5
S100A13	1.23745533173268e-68	0.723034628571072	0.584	0.151	3.41215933171969e-64	motor	S100A13
CRYM	3.56019969485524e-46	0.620224106045691	0.506	0.146	9.81689463859385e-42	motor	CRYM
ANXA2	5.69796331013348e-42	0.624574687144565	0.7	0.302	1.5711564031362e-37	motor	ANXA2
CYBA	1.33583036346979e-40	0.447691382126227	0.581	0.207	3.6834186442316e-36	motor	CYBA
S100A6	1.56514212793612e-40	0.5025946398846	0.517	0.167	4.31572290357107e-36	motor	S100A6
FXYD1	3.40678183531722e-40	0.415996511454602	0.27	0.044	9.39386023270371e-36	motor	FXYD1
CKB	1.51128472219089e-35	0.491381322819963	0.989	0.925	4.16721649296916e-31	motor	CKB
DPP7	1.41857247064257e-34	0.390013073455817	0.569	0.223	3.91157173054982e-30	motor	DPP7
GLIPR2	4.25357067988846e-32	0.255435760873604	0.382	0.113	1.17287957927244e-27	motor	GLIPR2
PEA15	1.45215665735021e-31	0.632645282117375	0.914	0.622	4.00417676697747e-27	motor	PEA15
CHRDL1	1.86485212442991e-31	0.314060156159496	0.337	0.094	5.14214324790304e-27	motor	CHRDL1
METRN	4.0156695930537e-31	0.538049470272829	0.843	0.486	1.10728073358863e-26	motor	METRN
CROT	7.023657128454e-31	0.259860884293295	0.412	0.131	1.93670321659991e-26	motor	CROT
SLCO1C1	5.11019264369697e-29	0.492201386814377	0.644	0.301	1.409084519573e-24	motor	SLCO1C1
LGALS1	1.98917505693308e-28	0.648446603477378	0.772	0.428	5.48495130198728e-24	motor	LGALS1
FGFR2	2.51535033693826e-27	0.363044115370522	0.539	0.236	6.93582701907355e-23	motor	FGFR2
HEPN1	6.96228806544562e-27	0.427701790018735	0.745	0.367	1.91978131116598e-22	motor	HEPN1
PSAT1	8.96418003648439e-27	0.509223428383993	0.831	0.5	2.47178300326021e-22	motor	PSAT1
RP11-76I14.1	1.24554837122348e-26	0.428543892767398	0.7	0.34	3.43447507881163e-22	motor	RP11-76I14.1
